CBSAFP,Year,AsOfDate,dockCt,docklessCt,scooterCt,Lat,Lon,Unnamed: 16
14500,2016,403224,43,0,0,80.1821929999999,-210.372473999999,0.0
14500,2017,403424,55,0,0,80.1821929999999,-210.372473999999,0.0
14500,2018,403624,54,0,0,80.1821929999999,-210.372473999999,0.0
14500,2019,403824,54,0,0,80.1821929999999,-210.372473999999,0.0
15380,2015,201512,0,0,0,42.8864469999999,-78.878369,0.0
15380,2016,201612,67,0,0,42.8864469999999,-78.878369,0.0
15380,2017,201712,54,0,0,42.8864469999999,-78.878369,0.0
15380,2018,201812,57,0,0,42.8864469999999,-78.878369,0.0
15380,2019,201912,57,0,0,42.8864469999999,-78.878369,0.0
15540,2015,201512,0,0,0,44.475883,-73.212072,0.0
15540,2016,201612,0,0,0,44.475883,-73.212072,0.0
15540,2017,201712,0,0,0,44.475883,-73.212072,0.0
15540,2018,201812,16,0,0,44.475883,-73.212072,0.0
15540,2019,201912,16,0,0,44.475883,-73.212072,0.0
16300,2015,201512,0,0,0,41.9696479999999,-91.675047,0.0
16300,2016,201612,0,0,0,41.9696479999999,-91.675047,0.0
16300,2017,201712,0,0,0,41.9696479999999,-91.675047,0.0
16300,2018,201812,0,0,0,41.9696479999999,-91.675047,0.0
16300,2019,201912,0,1,1,41.9696479999999,-91.675047,0.0
16700,2015,201512,0,0,0,32.7764749999999,-79.9310509999999,0.0
16700,2016,201612,0,0,0,32.7764749999999,-79.9310509999999,0.0
16700,2017,201712,30,0,0,32.7764749999999,-79.9310509999999,0.0
16700,2018,201812,31,0,0,32.7764749999999,-79.9310509999999,0.0
16700,2019,201912,31,0,0,32.7764749999999,-79.9310509999999,0.0
16740,2015,403024,24,0,0,70.15195399999979,-161.8682049999998,0.0
16740,2016,403224,25,0,0,70.15195399999979,-161.8682049999998,0.0
16740,2017,403424,26,5,0,70.15195399999979,-161.8682049999998,0.0
16740,2018,403624,34,3,3,70.15195399999979,-161.8682049999998,0.0
16740,2019,403824,34,2,1,70.15195399999979,-161.8682049999998,0.0
16820,2015,201512,0,0,0,38.0293059999999,-78.476678,0.0
16820,2016,201612,0,0,0,38.0293059999999,-78.476678,0.0
16820,2017,201712,0,0,0,38.0293059999999,-78.476678,0.0
16820,2018,201812,0,0,1,38.0293059999999,-78.476678,0.0
16820,2019,201912,0,0,2,38.0293059999999,-78.476678,0.0
16860,2015,201512,33,0,0,35.04563,-85.30968,0.0
16860,2016,201612,37,0,0,35.04563,-85.30968,0.0
16860,2017,201712,36,0,0,35.04563,-85.30968,0.0
16860,2018,201812,36,0,0,35.04563,-85.30968,0.0
16860,2019,201912,36,0,0,35.04563,-85.30968,0.0
