,CBSA,MNAME,Year,TOT_POP,UBER_ARRIVAL,TNC_ARRIVAL_YEAR,TNC_FIRST_FULL_YEAR_OPERATION,TNC_FLAG,APTA_CLUSTER
1218,21140,"Elkhart-Goshen, IN Metro Area",2017,205032,8/1/16,2016,2017,1,Low Op-Ex
1231,21300,"Elmira, NY Metro Area",2017,85557,7/1/17,2017,2018,0,Low Op-Ex
2397,31140,"Louisville-Jefferson County, KY-IN Metro Area",2017,1293722,4/1/14,2014,2015,1,Mid Op-Ex
1257,21500,"Erie, PA Metro Area",2017,274541,4/1/15,2015,2016,1,Low Op-Ex
2815,35380,"New Orleans-Metairie, LA Metro Area",2017,1275762,9/1/14,2014,2015,1,Mid Op-Ex
1283,21780,"Evansville, IN-KY Metro Area",2017,315669,1/1/17,2017,2018,0,Low Op-Ex
1296,21820,"Fairbanks, AK Metro Area",2017,99703,7/1/17,2017,2018,0,Low Op-Ex
1309,22020,"Fargo, ND-MN Metro Area",2017,241356,5/1/15,2015,2016,1,Low Op-Ex
1322,22180,"Fayetteville, NC Metro Area",2017,386662,10/1/14,2014,2015,1,Low Op-Ex
1335,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",2017,535557,11/1/14,2014,2015,1,Low Op-Ex
1348,22380,"Flagstaff, AZ Metro Area",2017,140776,1/1/15,2015,2016,1,Low Op-Ex
1361,22420,"Flint, MI Metro Area",2017,407385,5/1/15,2015,2016,1,Low Op-Ex
1374,22500,"Florence, SC Metro Area",2017,205831,1/1/18,2018,2019,0,Low Op-Ex
1387,22540,"Fond du Lac, WI Metro Area",2017,102548,12/1/18,2018,2019,0,Low Op-Ex
1400,22660,"Fort Collins, CO Metro Area",2017,343976,8/1/14,2014,2015,1,Low Op-Ex
1413,22900,"Fort Smith, AR-OK Metro Area",2017,282086,5/1/16,2016,2017,1,Low Op-Ex
1426,23020,"Crestview-Fort Walton Beach-Destin, FL Metro Area",2017,271346,5/1/15,2015,2016,1,Low Op-Ex
1439,23060,"Fort Wayne, IN Metro Area",2017,434617,5/1/15,2015,2016,1,Low Op-Ex
1709,25540,"Hartford-West Hartford-East Hartford, CT Metro Area",2017,1210259,7/1/14,2014,2015,1,Mid Op-Ex
1465,23540,"Gainesville, FL Metro Area",2017,285374,9/1/14,2014,2015,1,Low Op-Ex
1478,23580,"Gainesville, GA Metro Area",2017,199335,12/1/15,2015,2016,1,Low Op-Ex
1483,23900,"Gettysburg, PA Metro Area",2017,102336,1/1/17,2017,2018,0,
1496,24020,"Glens Falls, NY Metro Area",2017,126152,7/1/17,2017,2018,0,Low Op-Ex
1509,24140,"Goldsboro, NC Metro Area",2017,124172,1/1/17,2017,2018,0,Low Op-Ex
1522,24220,"Grand Forks, ND-MN Metro Area",2017,102414,3/1/17,2017,2018,0,Low Op-Ex
1535,24300,"Grand Junction, CO Metro Area",2017,151616,3/1/16,2016,2017,1,Low Op-Ex
3525,41620,"Salt Lake City, UT Metro Area",2017,1203105,5/1/14,2014,2015,1,Mid Op-Ex
1561,24500,"Great Falls, MT Metro Area",2017,81654,11/1/17,2017,2018,0,Low Op-Ex
1574,24540,"Greeley, CO Metro Area",2017,304633,4/1/16,2016,2017,1,Low Op-Ex
1587,24580,"Green Bay, WI Metro Area",2017,320050,3/1/15,2015,2016,1,Low Op-Ex
1600,24660,"Greensboro-High Point, NC Metro Area",2017,761184,7/1/14,2014,2015,1,Low Op-Ex
1613,24780,"Greenville, NC Metro Area",2017,179042,9/1/15,2015,2016,1,Low Op-Ex
1626,24860,"Greenville-Anderson-Mauldin, SC Metro Area",2017,895923,7/1/14,2014,2015,1,Low Op-Ex
1639,25060,"Gulfport-Biloxi-Pascagoula, MS Metro Area",2017,394232,7/1/16,2016,2017,1,Low Op-Ex
1652,25180,"Hagerstown-Martinsburg, MD-WV Metro Area",2017,265498,10/1/15,2015,2016,1,Low Op-Ex
1657,25220,"Hammond, LA Metro Area",2017,132497,5/1/17,2017,2018,0,
1670,25260,"Hanford-Corcoran, CA Metro Area",2017,150101,10/1/16,2016,2017,1,Low Op-Ex
412,13820,"Birmingham-Hoover, AL Metro Area",2017,1149807,12/1/15,2015,2016,1,Mid Op-Ex
1696,25500,"Harrisonburg, VA Metro Area",2017,134442,10/1/15,2015,2016,1,Low Op-Ex
586,15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",2017,1136856,6/1/17,2017,2018,0,Mid Op-Ex
1722,25620,"Hattiesburg, MS Metro Area",2017,146530,7/1/16,2016,2017,1,Low Op-Ex
1735,25860,"Hickory-Lenoir-Morganton, NC Metro Area",2017,366534,2/1/17,2017,2018,0,Low Op-Ex
1740,25940,"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",2017,215302,4/1/15,2015,2016,1,
1752,25980,"Hinesville, GA Metro Area",2017,81044,6/1/16,2016,2017,1,Low Op-Ex
1757,26140,"Homosassa Springs, FL Metro Area",2017,145647,10/1/17,2017,2018,0,
1770,26300,"Hot Springs, AR Metro Area",2017,98658,1/1/17,2017,2018,0,Low Op-Ex
1783,26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",2017,6892427,2/1/14,2014,2015,1,High Op-Ex
1796,26580,"Huntington-Ashland, WV-KY-OH Metro Area",2017,356474,8/1/16,2016,2017,1,Low Op-Ex
1809,26620,"Huntsville, AL Metro Area",2017,455448,3/1/16,2016,2017,1,Low Op-Ex
1822,26820,"Idaho Falls, ID Metro Area",2017,145349,1/1/17,2017,2018,0,Low Op-Ex
3356,40380,"Rochester, NY Metro Area",2017,1077948,6/1/17,2017,2018,0,Mid Op-Ex
