,CBSA,MNAME_x,Year,TOT_POP,UBER_ARRIVAL,TNC_ARRIVAL_YEAR,TNC_FIRST_FULL_YEAR_OPERATION,TNC_FLAG,MNAME_y,TNC_CLUSTER,TNC_TRIPS_PER_PERSON,TOT_POP_CLUSTER,TOTAL_YEARLY_POPULATION,POP_SHARE,TNC_TRIPS_PER_CAPITA
558,31100,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2016,13310447,2/1/12,2012,2013,1,"Los Angeles-Long Beach-Anaheim, CA Metro Area",8,8.2,13310447,240308609,0.055388973,7.802645305
559,31100,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2017,13353907,2/1/12,2012,2013,1,"Los Angeles-Long Beach-Anaheim, CA Metro Area",8,8.2,13353907,253371069,0.05270494,8.2
626,,,2018,,,,,,,8,,13379096.75,243525115.5,0.064952473,10.10550967
560,33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",2015,6012331,6/1/14,2014,2015,1,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",9,7.6,6012331,213074972,0.028216974,6.547023805
561,33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",2016,6066387,6/1/14,2014,2015,1,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",9,7.6,6066387,240308609,0.025244152,7.318019784
562,33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",2017,6158824,6/1/14,2014,2015,1,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",9,7.6,6158824,253371069,0.024307527,7.6
627,,,2018,,,,,,,9,,6241665.75,243525115.5,0.030115125,9.415805918
590,41740,"San Diego-Carlsbad, CA Metro Area",2013,3211252,5/1/12,2012,2013,1,"San Diego-Carlsbad, CA Metro Area",10,7.2,3211252,95436888,0.033647912,2.818789865
591,41740,"San Diego-Carlsbad, CA Metro Area",2014,3263431,5/1/12,2012,2013,1,"San Diego-Carlsbad, CA Metro Area",10,7.2,3263431,119360751,0.027340905,3.469028978
592,41740,"San Diego-Carlsbad, CA Metro Area",2015,3299521,5/1/12,2012,2013,1,"San Diego-Carlsbad, CA Metro Area",10,7.2,3299521,213074972,0.015485258,6.124947392
593,41740,"San Diego-Carlsbad, CA Metro Area",2016,3317749,5/1/12,2012,2013,1,"San Diego-Carlsbad, CA Metro Area",10,7.2,3317749,240308609,0.013806201,6.869839998
594,41740,"San Diego-Carlsbad, CA Metro Area",2017,3337685,5/1/12,2012,2013,1,"San Diego-Carlsbad, CA Metro Area",10,7.2,3337685,253371069,0.01317311,7.2
628,,,2018,,,,,,,10,,3357194,243525115.5,0.016340623,8.931261117
607,42660,"Seattle-Tacoma-Bellevue, WA Metro Area",2012,3552157,8/1/11,2011,2012,1,"Seattle-Tacoma-Bellevue, WA Metro Area",11,7.5,3552157,47135322,0.07536083,1.518930502
608,42660,"Seattle-Tacoma-Bellevue, WA Metro Area",2013,3610105,8/1/11,2011,2012,1,"Seattle-Tacoma-Bellevue, WA Metro Area",11,7.5,3610105,95436888,0.037827145,3.026077272
609,42660,"Seattle-Tacoma-Bellevue, WA Metro Area",2014,3671478,8/1/11,2011,2012,1,"Seattle-Tacoma-Bellevue, WA Metro Area",11,7.5,3671478,119360751,0.030759508,3.721381466
610,42660,"Seattle-Tacoma-Bellevue, WA Metro Area",2015,3733580,8/1/11,2011,2012,1,"Seattle-Tacoma-Bellevue, WA Metro Area",11,7.5,3733580,213074972,0.017522377,6.532667536
611,42660,"Seattle-Tacoma-Bellevue, WA Metro Area",2016,3798902,8/1/11,2011,2012,1,"Seattle-Tacoma-Bellevue, WA Metro Area",11,7.5,3798902,240308609,0.015808431,7.240937805
612,42660,"Seattle-Tacoma-Bellevue, WA Metro Area",2017,3867046,8/1/11,2011,2012,1,"Seattle-Tacoma-Bellevue, WA Metro Area",11,7.5,3867046,253371069,0.015262382,7.5
629,,,2018,,,,,,,11,,3934484.5,243525115.5,0.018990253,9.331891875
587,38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2015,2390244,8/1/14,2014,2015,1,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",12,7.5,2390244,213074972,0.011217854,6.468997297
588,38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2016,2425325,8/1/14,2014,2015,1,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",12,7.5,2425325,240308609,0.010092543,7.19028579
589,38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2017,2451560,8/1/14,2014,2015,1,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",12,7.5,2451560,253371069,0.009675769,7.5
630,,,2018,,,,,,,12,,2480006.5,243525115.5,0.012014235,9.312619964
584,38300,"Pittsburgh, PA Metro Area",2015,2353045,2/1/14,2014,2015,1,"Pittsburgh, PA Metro Area",13,7,2353045,213074972,0.011043273,5.837491686
585,38300,"Pittsburgh, PA Metro Area",2016,2342299,2/1/14,2014,2015,1,"Pittsburgh, PA Metro Area",13,7,2342299,240308609,0.009747046,6.6138001
586,38300,"Pittsburgh, PA Metro Area",2017,2333367,2/1/14,2014,2015,1,"Pittsburgh, PA Metro Area",13,7,2333367,253371069,0.009209287,7
631,,,2018,,,,,,,13,,2323981.5,243525115.5,0.011238018,8.542042591
509,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2013,5524693,8/1/12,2012,2013,1,"Atlanta-Sandy Springs-Roswell, GA Metro Area",14,7,5524693,95436888,0.057888445,2.80741994
510,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2014,5611829,8/1/12,2012,2013,1,"Atlanta-Sandy Springs-Roswell, GA Metro Area",14,7,5611829,119360751,0.047015698,3.456657694
511,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2015,5709731,8/1/12,2012,2013,1,"Atlanta-Sandy Springs-Roswell, GA Metro Area",14,7,5709731,213074972,0.026796817,6.064793982
512,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2016,5790210,8/1/12,2012,2013,1,"Atlanta-Sandy Springs-Roswell, GA Metro Area",14,7,5790210,240308609,0.024094892,6.744880742
513,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2017,5882450,8/1/12,2012,2013,1,"Atlanta-Sandy Springs-Roswell, GA Metro Area",14,7,5882450,253371069,0.023216739,7
632,,,2018,,,,,,,14,,5971749.75,243525115.5,0.028887806,8.709864234
515,12580,"Baltimore-Columbia-Towson, MD Metro Area",2014,2785874,1/1/13,2013,2014,1,"Baltimore-Columbia-Towson, MD Metro Area",15,6.1,2785874,119360751,0.02333995,2.896656867
516,12580,"Baltimore-Columbia-Towson, MD Metro Area",2015,2797407,1/1/13,2013,2014,1,"Baltimore-Columbia-Towson, MD Metro Area",15,6.1,2797407,213074972,0.013128745,5.149603161
517,12580,"Baltimore-Columbia-Towson, MD Metro Area",2016,2798886,1/1/13,2013,2014,1,"Baltimore-Columbia-Towson, MD Metro Area",15,6.1,2798886,240308609,0.011647048,5.804717648
518,12580,"Baltimore-Columbia-Towson, MD Metro Area",2017,2808175,1/1/13,2013,2014,1,"Baltimore-Columbia-Towson, MD Metro Area",15,6.1,2808175,253371069,0.01108325,6.1
633,,,2018,,,,,,,15,,2815511.5,243525115.5,0.013615309,7.493594608
579,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",2013,4398762,11/1/12,2012,2013,1,"Phoenix-Mesa-Scottsdale, AZ Metro Area",16,4.6,4398762,95436888,0.046090795,1.866013368
580,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",2014,4489109,11/1/12,2012,2013,1,"Phoenix-Mesa-Scottsdale, AZ Metro Area",16,4.6,4489109,119360751,0.037609591,2.286811344
581,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",2015,4574531,11/1/12,2012,2013,1,"Phoenix-Mesa-Scottsdale, AZ Metro Area",16,4.6,4574531,213074972,0.021469115,4.006035661
582,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",2016,4661537,11/1/12,2012,2013,1,"Phoenix-Mesa-Scottsdale, AZ Metro Area",16,4.6,4661537,240308609,0.019398127,4.433728952
583,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",2017,4737270,11/1/12,2012,2013,1,"Phoenix-Mesa-Scottsdale, AZ Metro Area",16,4.6,4737270,253371069,0.018696965,4.6
634,,,2018,,,,,,,16,,4815821.25,243525115.5,0.023349757,5.744722929
542,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",2013,6812373,8/1/12,2012,2013,1,"Dallas-Fort Worth-Arlington, TX Metro Area",17,4.1,6812373,95436888,0.071380921,1.677662179
543,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",2014,6954003,8/1/12,2012,2013,1,"Dallas-Fort Worth-Arlington, TX Metro Area",17,4.1,6954003,119360751,0.058260382,2.055480365
544,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",2015,7102165,8/1/12,2012,2013,1,"Dallas-Fort Worth-Arlington, TX Metro Area",17,4.1,7102165,213074972,0.033331765,3.59276115
545,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",2016,7232599,8/1/12,2012,2013,1,"Dallas-Fort Worth-Arlington, TX Metro Area",17,4.1,7232599,240308609,0.030097128,3.978887007
546,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",2017,7400479,8/1/12,2012,2013,1,"Dallas-Fort Worth-Arlington, TX Metro Area",17,4.1,7400479,253371069,0.029208066,4.1
635,,,2018,,,,,,,17,,7558997.5,243525115.5,0.036457205,5.117577357
563,33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",2013,3459146,10/1/12,2012,2013,1,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",18,3.6,3459146,95436888,0.036245377,1.411464313
564,33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",2014,3495176,10/1/12,2012,2013,1,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",18,3.6,3495176,119360751,0.029282457,1.747088956
565,33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",2015,3524583,10/1/12,2012,2013,1,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",18,3.6,3524583,213074972,0.016541516,3.092767145
566,33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",2016,3551036,10/1/12,2012,2013,1,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",18,3.6,3551036,240308609,0.014776982,3.462077454
567,33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",2017,3600618,10/1/12,2012,2013,1,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",18,3.6,3600618,253371069,0.014210849,3.6
636,,,2018,,,,,,,18,,3644417.75,243525115.5,0.01754834,4.44547845
547,19740,"Denver-Aurora-Lakewood, CO Metro Area",2013,2697476,8/1/12,2012,2013,1,"Denver-Aurora-Lakewood, CO Metro Area",19,3.5,2697476,95436888,0.028264501,1.411565464
548,19740,"Denver-Aurora-Lakewood, CO Metro Area",2014,2754258,8/1/12,2012,2013,1,"Denver-Aurora-Lakewood, CO Metro Area",19,3.5,2754258,119360751,0.023075073,1.729017016
549,19740,"Denver-Aurora-Lakewood, CO Metro Area",2015,2814330,8/1/12,2012,2013,1,"Denver-Aurora-Lakewood, CO Metro Area",19,3.5,2814330,213074972,0.013208168,3.020645529
550,19740,"Denver-Aurora-Lakewood, CO Metro Area",2016,2853077,8/1/12,2012,2013,1,"Denver-Aurora-Lakewood, CO Metro Area",19,3.5,2853077,240308609,0.011872554,3.36045575
551,19740,"Denver-Aurora-Lakewood, CO Metro Area",2017,2888227,8/1/12,2012,2013,1,"Denver-Aurora-Lakewood, CO Metro Area",19,3.5,2888227,253371069,0.011399198,3.5
637,,,2018,,,,,,,19,,2924276.25,243525115.5,0.014248451,4.374832209
552,26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",2015,6656946,2/1/14,2014,2015,1,"Houston-The Woodlands-Sugar Land, TX Metro Area",20,2.9,6656946,213074972,0.031242271,2.525053331
553,26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",2016,6772470,2/1/14,2014,2015,1,"Houston-The Woodlands-Sugar Land, TX Metro Area",20,2.9,6772470,240308609,0.028182386,2.799209406
554,26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",2017,6892427,2/1/14,2014,2015,1,"Houston-The Woodlands-Sugar Land, TX Metro Area",20,2.9,6892427,253371069,0.027202897,2.9
638,,,2018,,,,,,,20,,7011275.75,243525115.5,0.033906342,3.614629512
260,10420,"Akron, OH Metro Area",2015,704243,12/1/14,2014,2015,1,"Akron, OH Metro Area",21,4.4,72929208,213074972,0.342270175,4.226337678
314,10420,"Akron, OH Metro Area",2016,702221,12/1/14,2014,2015,1,"Akron, OH Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
380,10420,"Akron, OH Metro Area",2017,703505,12/1/14,2014,2015,1,"Akron, OH Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
