Proposed TNC Groups,Year,SCHELLAR_CLUSTER,TRIP_SHARE_2017,TOT_POP,TNC_TRIPS_PER_PERSON,TOTAL_YEARLY_POPULATION,POP_SHARE,TNC_TRIPS_PER_CAPITA,TNC_TRIPS_SCALED,TOTAL_TNC_TRIPS_PER_CLUSTER,,Scale_2,TNC_TRIPS,TNC_TRIPS_PER_CAPITA
3,2017,Cluster_2,0.58,6216710,18.3,253371069,0.02453599,18.3,18.3,113.765793,113.765793,0.820035309,93.3,15.0
3,2018,,,6287895.75,18.3,549604549,0.011440764,39.24638506,39.69578408,246.7771778,249.602952,0.614032648,153.3,24.4
4,2012,Cluster_2,0.58,9522446,11.3,47135322,0.20202357,2.104697785,2.10217031,20.04187101,20.01780326,0.256365937,5.1,0.5
4,2013,Cluster_2,0.58,9537040,11.3,95436888,0.099930333,4.254949888,4.256353492,40.57962728,40.59301351,0.316136148,12.8,1.3
4,2014,Cluster_2,0.58,9553810,11.3,119360751,0.08004147,5.312228248,5.323324765,50.75201936,50.85803337,0.514568007,26.2,2.7
4,2015,Cluster_2,0.58,9550108,11.3,213074972,0.044820412,9.486716916,9.502849686,90.59917111,90.75324081,0.371544144,33.7,3.5
4,2016,Cluster_2,0.58,9512968,11.3,240308609,0.039586464,10.74100894,10.71743231,102.1788743,101.9545906,0.561718437,57.3,6.0
4,2017,Cluster_2,0.58,9533895,11.3,253371069,0.037628191,11.3,11.3,107.7330135,107.7330135,0.820035309,88.3,9.3
4,2018,,,9540305.25,11.3,549604549,0.01735849,24.49513472,24.51160438,233.6910624,233.8481879,0.614032648,143.6,15.1
5,2012,Cluster_2,0.58,4640802,9.1,47135322,0.098456992,1.764297355,1.692898214,8.187754692,7.856405418,0.256365937,2.0,0.4
5,2013,Cluster_2,0.58,4684299,9.1,95436888,0.049082688,3.539076948,3.427682901,16.57809461,16.05629159,0.316136148,5.1,1.1
5,2014,Cluster_2,0.58,4732161,9.1,119360751,0.039645872,4.381475373,4.286925253,20.73384688,20.28642049,0.514568007,10.4,2.2
5,2015,Cluster_2,0.58,4774321,9.1,213074972,0.022406766,7.752453483,7.652737358,37.01270147,36.53662468,0.371544144,13.6,2.8
5,2016,Cluster_2,0.58,4794447,9.1,240308609,0.019951208,8.706611213,8.630852569,41.74338601,41.38016521,0.561718437,23.2,4.8
5,2017,Cluster_2,0.58,4836531,9.1,253371069,0.019088726,9.1,9.1,44.0124321,44.0124321,0.820035309,36.1,7.5
5,2018,,,4873125.5,9.1,549604549,0.008866603,19.59120129,19.73943361,95.47038259,96.19273729,0.614032648,59.1,12.1
6,2013,Cluster_3,0.098,1919641,8,95436888,0.020114246,3.137078076,3.013347605,6.022063695,5.78454561,0.316136148,1.8,1.0
6,2014,Cluster_3,0.098,1952872,8,119360751,0.01636109,3.856708716,3.768725497,7.531658463,7.359838499,0.514568007,3.8,1.9
6,2015,Cluster_3,0.098,1976836,8,213074972,0.009277655,6.801283436,6.727681194,13.44502194,13.29952238,0.371544144,4.9,2.5
6,2016,Cluster_3,0.098,1978816,8,240308609,0.008234478,7.662897062,7.587562698,15.16346331,15.01439047,0.561718437,8.4,4.3
6,2017,Cluster_3,0.098,1998463,8,253371069,0.007887495,8,8,15.987704,15.987704,0.820035309,13.1,6.6
6,2018,,,2013693.25,8,549604549,0.003663895,17.22209893,17.35334823,34.68002437,34.9443202,0.614032648,21.5,10.7
7,2013,Cluster_2,0.58,6034678,6.2,95436888,0.063232133,2.359121674,2.335344394,14.23653967,14.09305144,0.316136148,4.5,0.7
7,2014,Cluster_2,0.58,6051170,6.2,119360751,0.050696481,2.942458604,2.92076226,17.80531723,17.67402897,0.514568007,9.1,1.5
7,2015,Cluster_2,0.58,6069875,6.2,213074972,0.028487039,5.236497079,5.213952925,31.78488271,31.64804251,0.371544144,11.8,1.9
7,2016,Cluster_2,0.58,6070500,6.2,240308609,0.025261267,5.905178627,5.880361091,35.84738686,35.696732,0.561718437,20.1,3.3
7,2017,Cluster_2,0.58,6096120,6.2,253371069,0.024060048,6.2,6.2,37.795944,37.795944,0.820035309,31.0,5.1
7,2018,,,6115491.25,6.2,549604549,0.011127075,13.40624471,13.44884488,81.98577224,82.24629318,0.614032648,50.5,8.3
8,2013,Cluster_2,0.58,13131431,8.2,95436888,0.137592825,3.141010509,3.088681295,41.24596277,40.55880531,0.316136148,12.8,1.0
8,2014,Cluster_2,0.58,13262220,8.2,119360751,0.111110393,3.8896497,3.862943635,51.58539004,51.23120833,0.514568007,26.4,2.0
8,2015,Cluster_2,0.58,13340068,8.2,213074972,0.062607391,6.90302701,6.895873224,92.08684971,91.99141772,0.371544144,34.2,2.6
8,2016,Cluster_2,0.58,13310447,8.2,240308609,0.055388973,7.802645305,7.777251766,103.8566968,103.5186974,0.561718437,58.1,4.4
8,2017,Cluster_2,0.58,13353907,8.2,253371069,0.05270494,8.2,8.2,109.5020374,109.5020374,0.820035309,89.8,6.7
8,2018,,,13379096.75,8.2,549604549,0.024343133,17.75369278,17.78718194,237.5283734,237.976428,0.614032648,146.1,10.9
9,2015,Cluster_2,0.58,6012331,7.6,213074972,0.028216974,6.547023805,6.391297134,39.36287418,38.42659389,0.371544144,14.3,2.4
9,2016,Cluster_2,0.58,6066387,7.6,240308609,0.025244152,7.318019784,7.208184563,44.39394009,43.72763713,0.561718437,24.6,4.0
9,2017,Cluster_2,0.58,6158824,7.6,253371069,0.024307527,7.6,7.6,46.8070624,46.8070624,0.820035309,38.4,6.2
9,2018,,,6241665.75,7.6,549604549,0.011356649,16.26687662,16.48568082,101.5324067,102.8981093,0.614032648,63.2,10.1
10,2013,Cluster_3,0.098,3211252,7.2,95436888,0.033647912,2.818789865,2.712012845,9.051844592,8.708956672,0.316136148,2.8,0.9
10,2014,Cluster_3,0.098,3263431,7.2,119360751,0.027340905,3.469028978,3.391852948,11.32093671,11.06907806,0.514568007,5.7,1.7
10,2015,Cluster_3,0.098,3299521,7.2,213074972,0.015485258,6.124947392,6.054913075,20.20939255,19.97831284,0.371544144,7.4,2.2
10,2016,Cluster_3,0.098,3317749,7.2,240308609,0.013806201,6.869839998,6.828806429,22.79240478,22.6562657,0.561718437,12.7,3.8
10,2017,Cluster_3,0.098,3337685,7.2,253371069,0.01317311,7.2,7.2,24.031332,24.031332,0.820035309,19.7,5.9
10,2018,,,3357194,7.2,549604549,0.006108381,15.52725552,15.61801341,52.12800908,52.4327009,0.614032648,32.2,9.6
11,2012,Cluster_2,0.58,3552157,7.5,47135322,0.07536083,1.518930502,1.395245781,5.395479616,4.956132067,0.256365937,1.3,0.4
11,2013,Cluster_2,0.58,3610105,7.5,95436888,0.037827145,3.026077272,2.82501338,10.92445669,10.19859493,0.316136148,3.2,0.9
11,2014,Cluster_2,0.58,3671478,7.5,119360751,0.030759508,3.721381466,3.533180154,13.66297018,12.9719932,0.514568007,6.7,1.8
11,2015,Cluster_2,0.58,3733580,7.5,213074972,0.017522377,6.532667536,6.307201119,24.39023686,23.54843996,0.371544144,8.7,2.3
11,2016,Cluster_2,0.58,3798902,7.5,240308609,0.015808431,7.240937805,7.11334003,27.50761311,27.02288167,0.561718437,15.2,4.0
11,2017,Cluster_2,0.58,3867046,7.5,253371069,0.015262382,7.5,7.5,29.002845,29.002845,0.820035309,23.8,6.2
11,2018,,,3934484.5,7.5,549604549,0.007158755,15.98991142,16.26876397,62.91205862,64.00919966,0.614032648,39.3,10.0
12,2015,Cluster_4,0.198,2390244,7.5,213074972,0.011217854,6.468997297,6.307201119,15.46248198,15.07574963,0.371544144,5.6,2.3
12,2016,Cluster_4,0.198,2425325,7.5,240308609,0.010092543,7.19028579,7.11334003,17.43877988,17.25216141,0.561718437,9.7,4.0
12,2017,Cluster_4,0.198,2451560,7.5,253371069,0.009675769,7.5,7.5,18.3867,18.3867,0.820035309,15.1,6.2
12,2018,,,2480006.5,7.5,549604549,0.004512347,16.08215583,16.26876397,39.88385099,40.34664038,0.614032648,24.8,10.0
13,2015,Cluster_4,0.198,2353045,7,213074972,0.011043273,5.837491686,5.886721045,13.73588062,13.85171952,0.371544144,5.1,2.2
13,2016,Cluster_4,0.198,2342299,7,240308609,0.009747046,6.6138001,6.639117361,15.49149736,15.55079796,0.561718437,8.7,3.7
13,2017,Cluster_4,0.198,2333367,7,253371069,0.009209287,7,7,16.333569,16.333569,0.820035309,13.4,5.7
13,2018,,,2323981.5,7,549604549,0.004228461,15.24550167,15.1841797,35.43026384,35.28775272,0.614032648,21.7,9.3
14,2013,Cluster_4,0.198,5524693,7,95436888,0.057888445,2.80741994,2.636679155,15.51013329,14.56684287,0.316136148,4.6,0.8
14,2014,Cluster_4,0.198,5611829,7,119360751,0.047015698,3.456657694,3.29763481,19.39817189,18.50576266,0.514568007,9.5,1.7
14,2015,Cluster_4,0.198,5709731,7,213074972,0.026796817,6.064793982,5.886721045,34.62834221,33.61159364,0.371544144,12.5,2.2
14,2016,Cluster_4,0.198,5790210,7,240308609,0.024094892,6.744880742,6.639117361,39.05427592,38.44188374,0.561718437,21.6,3.7
14,2017,Cluster_4,0.198,5882450,7,253371069,0.023216739,7,7,41.17715,41.17715,0.820035309,33.8,5.7
14,2018,,,5971749.75,7,549604549,0.010865539,14.95712004,15.1841797,89.32017789,90.67612134,0.614032648,55.7,9.3
15,2014,Cluster_3,0.098,2785874,6.1,119360751,0.02333995,2.896656867,2.873653192,8.069721051,8.005635712,0.514568007,4.1,1.5
15,2015,Cluster_3,0.098,2797407,6.1,213074972,0.013128745,5.149603161,5.12985691,14.40553593,14.35029763,0.371544144,5.3,1.9
15,2016,Cluster_3,0.098,2798886,6.1,240308609,0.011647048,5.804717648,5.785516558,16.24674296,16.1930013,0.561718437,9.1,3.2
15,2017,Cluster_3,0.098,2808175,6.1,253371069,0.01108325,6.1,6.1,17.1298675,17.1298675,0.820035309,14.0,5.0
15,2018,,,2815511.5,6.1,549604549,0.005122795,13.19744902,13.23192803,37.15756948,37.25464552,0.614032648,22.9,8.1
16,2013,Cluster_3,0.098,4398762,4.6,95436888,0.046090795,1.866013368,1.732674873,8.208148696,7.62162439,0.316136148,2.4,0.5
16,2014,Cluster_3,0.098,4489109,4.6,119360751,0.037609591,2.286811344,2.167017161,10.26574539,9.72797624,0.514568007,5.0,1.1
16,2015,Cluster_3,0.098,4574531,4.6,213074972,0.021469115,4.006035661,3.868416687,18.32573432,17.69619205,0.371544144,6.6,1.4
16,2016,Cluster_3,0.098,4661537,4.6,240308609,0.019398127,4.433728952,4.362848552,20.66799156,20.33757995,0.561718437,11.4,2.5
16,2017,Cluster_3,0.098,4737270,4.6,253371069,0.018696965,4.6,4.6,21.791442,21.791442,0.820035309,17.9,3.8
16,2018,,,4815821.25,4.6,549604549,0.008762339,9.815420409,9.978175233,47.26931019,48.05310832,0.614032648,29.5,6.1
17,2013,Cluster_3,0.098,6812373,4.1,95436888,0.071380921,1.677662179,1.544340648,11.42886053,10.52062453,0.316136148,3.3,0.5
17,2014,Cluster_3,0.098,6954003,4.1,119360751,0.058260382,2.055480365,1.931471817,14.29381662,13.43146081,0.514568007,6.9,1.0
17,2015,Cluster_3,0.098,7102165,4.1,213074972,0.033331765,3.59276115,3.447936612,25.51638249,24.48781473,0.371544144,9.1,1.3
17,2016,Cluster_3,0.098,7232599,4.1,240308609,0.030097128,3.978887007,3.888625883,28.77769419,28.12487167,0.561718437,15.8,2.2
17,2017,Cluster_3,0.098,7400479,4.1,253371069,0.029208066,4.1,4.1,30.3419639,30.3419639,0.820035309,24.9,3.4
17,2018,,,7558997.5,4.1,549604549,0.013753521,8.707084927,8.893590968,65.8168332,67.2266319,0.614032648,41.3,5.5
18,2013,Cluster_3,0.098,3459146,3.6,95436888,0.036245377,1.411464313,1.356006422,4.882461132,4.690624192,0.316136148,1.5,0.4
18,2014,Cluster_3,0.098,3495176,3.6,119360751,0.029282457,1.747088956,1.695926474,6.106383388,5.927561509,0.514568007,3.1,0.9
18,2015,Cluster_3,0.098,3524583,3.6,213074972,0.016541516,3.092767145,3.027456537,10.9007145,10.67052184,0.371544144,4.0,1.1
18,2016,Cluster_3,0.098,3551036,3.6,240308609,0.014776982,3.462077454,3.414403214,12.29396167,12.12466873,0.561718437,6.8,1.9
18,2017,Cluster_3,0.098,3600618,3.6,253371069,0.014210849,3.6,3.6,12.9622248,12.9622248,0.820035309,10.6,3.0
18,2018,,,3644417.75,3.6,549604549,0.006630982,7.715155624,7.809006704,28.1172501,28.45928264,0.614032648,17.5,4.8
19,2013,Cluster_3,0.098,2697476,3.5,95436888,0.028264501,1.411565464,1.318339577,3.807663962,3.55618937,0.316136148,1.1,0.4
19,2014,Cluster_3,0.098,2754258,3.5,119360751,0.023075073,1.729017016,1.648817405,4.762158947,4.541268528,0.514568007,2.3,0.8
19,2015,Cluster_3,0.098,2814330,3.5,213074972,0.013208168,3.020645529,2.943360522,8.501093331,8.283587819,0.371544144,3.1,1.1
19,2016,Cluster_3,0.098,2853077,3.5,240308609,0.011872554,3.36045575,3.319558681,9.587639009,9.470956522,0.561718437,5.3,1.9
19,2017,Cluster_3,0.098,2888227,3.5,253371069,0.011399198,3.5,3.5,10.1087945,10.1087945,0.820035309,8.3,2.9
19,2018,,,2924276.25,3.5,549604549,0.005320691,7.498497755,7.592089851,21.92767889,22.20136804,0.614032648,13.6,4.7
20,2015,Cluster_3,0.098,6656946,2.9,213074972,0.031242271,2.525053331,2.438784433,16.80914367,16.23485627,0.371544144,6.0,0.9
20,2016,Cluster_3,0.098,6772470,2.9,240308609,0.028182386,2.799209406,2.750491478,18.95756173,18.62762102,0.561718437,10.5,1.5
20,2017,Cluster_3,0.098,6892427,2.9,253371069,0.027202897,2.9,2.9,19.9880383,19.9880383,0.820035309,16.4,2.4
20,2018,,,7011275.75,2.9,549604549,0.012756946,6.183956413,6.290588734,43.35742363,44.10505224,0.614032648,27.1,3.9
21,2014,Cluster_3,0.098,20063673,4.4,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10.0,0.5
21,2015,Cluster_3,0.098,72929208,4.4,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
21,2016,Cluster_3,0.098,81851382,4.4,240308609,0.034537706,4.205089803,4.132032164,344.1924118,338.2125431,0.561718437,190.0,2.3
21,2017,Cluster_3,0.098,83298580,4.4,253371069,0.033007762,4.4,4.4,366.513752,366.513752,0.820035309,300.6,3.6
21,2018,,,80433710.25,4.4,549604549,0.146348334,4.556718208,4.4,366.513752,353.9083251,0.614032648,217.3,2.7
22,2015,Cluster_4,0.198,22529422,2.3,213074972,0.105734718,4.346757737,1.934208343,97.92993939,43.576596,0.371544144,16.2,0.7
22,2016,Cluster_4,0.198,40213220,2.3,240308609,0.167339906,2.746524803,2.181424276,110.4466062,87.72209432,0.561718437,49.3,1.2
22,2017,Cluster_4,0.198,50630502,2.3,253371069,0.199827479,2.3,2.3,116.4501546,116.4501546,0.820035309,95.5,1.9
22,2018,,,42594017,2.3,549604549,0.077499389,5.930410615,4.989087616,252.6000105,212.5052827,0.614032648,130.5,3.1
