,CBSA,MNAME,Year,TOT_POP,UBER_ARRIVAL,TNC_ARRIVAL_YEAR,TNC_FIRST_FULL_YEAR_OPERATION,TNC_FLAG,APTA_CLUSTER,Proposed TNC Groups
107,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",2017,535557,11/1/14,2014,2015,1,Low Op-Ex,22
108,22380,"Flagstaff, AZ Metro Area",2017,140776,1/1/15,2015,2016,1,Low Op-Ex,22
109,22420,"Flint, MI Metro Area",2017,407385,5/1/15,2015,2016,1,Low Op-Ex,22
110,22500,"Florence, SC Metro Area",2017,205831,1/1/18,2018,2019,0,Low Op-Ex,22
111,22540,"Fond du Lac, WI Metro Area",2017,102548,12/1/18,2018,2019,0,Low Op-Ex,22
112,22660,"Fort Collins, CO Metro Area",2017,343976,8/1/14,2014,2015,1,Low Op-Ex,22
113,22900,"Fort Smith, AR-OK Metro Area",2017,282086,5/1/16,2016,2017,1,Low Op-Ex,22
114,23020,"Crestview-Fort Walton Beach-Destin, FL Metro Area",2017,271346,5/1/15,2015,2016,1,Low Op-Ex,22
115,23060,"Fort Wayne, IN Metro Area",2017,434617,5/1/15,2015,2016,1,Low Op-Ex,22
116,25540,"Hartford-West Hartford-East Hartford, CT Metro Area",2017,1210259,7/1/14,2014,2015,1,Mid Op-Ex,21
117,23540,"Gainesville, FL Metro Area",2017,285374,9/1/14,2014,2015,1,Low Op-Ex,22
118,23580,"Gainesville, GA Metro Area",2017,199335,12/1/15,2015,2016,1,Low Op-Ex,22
119,23900,"Gettysburg, PA Metro Area",2017,102336,1/1/17,2017,2018,0,,
120,24020,"Glens Falls, NY Metro Area",2017,126152,7/1/17,2017,2018,0,Low Op-Ex,22
121,24140,"Goldsboro, NC Metro Area",2017,124172,1/1/17,2017,2018,0,Low Op-Ex,22
122,24220,"Grand Forks, ND-MN Metro Area",2017,102414,3/1/17,2017,2018,0,Low Op-Ex,22
123,24300,"Grand Junction, CO Metro Area",2017,151616,3/1/16,2016,2017,1,Low Op-Ex,22
124,41620,"Salt Lake City, UT Metro Area",2017,1203105,5/1/14,2014,2015,1,Mid Op-Ex,21
125,24500,"Great Falls, MT Metro Area",2017,81654,11/1/17,2017,2018,0,Low Op-Ex,22
126,24540,"Greeley, CO Metro Area",2017,304633,4/1/16,2016,2017,1,Low Op-Ex,22
127,24580,"Green Bay, WI Metro Area",2017,320050,3/1/15,2015,2016,1,Low Op-Ex,22
128,24660,"Greensboro-High Point, NC Metro Area",2017,761184,7/1/14,2014,2015,1,Low Op-Ex,22
129,24780,"Greenville, NC Metro Area",2017,179042,9/1/15,2015,2016,1,Low Op-Ex,22
130,24860,"Greenville-Anderson-Mauldin, SC Metro Area",2017,895923,7/1/14,2014,2015,1,Low Op-Ex,22
131,25060,"Gulfport-Biloxi-Pascagoula, MS Metro Area",2017,394232,7/1/16,2016,2017,1,Low Op-Ex,22
132,25180,"Hagerstown-Martinsburg, MD-WV Metro Area",2017,265498,10/1/15,2015,2016,1,Low Op-Ex,22
133,25220,"Hammond, LA Metro Area",2017,132497,5/1/17,2017,2018,0,,
134,25260,"Hanford-Corcoran, CA Metro Area",2017,150101,10/1/16,2016,2017,1,Low Op-Ex,22
135,13820,"Birmingham-Hoover, AL Metro Area",2017,1149807,12/1/15,2015,2016,1,Mid Op-Ex,21
136,25500,"Harrisonburg, VA Metro Area",2017,134442,10/1/15,2015,2016,1,Low Op-Ex,22
137,15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",2017,1136856,6/1/17,2017,2018,0,Mid Op-Ex,21
138,25620,"Hattiesburg, MS Metro Area",2017,146530,7/1/16,2016,2017,1,Low Op-Ex,22
139,25860,"Hickory-Lenoir-Morganton, NC Metro Area",2017,366534,2/1/17,2017,2018,0,Low Op-Ex,22
140,25940,"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",2017,215302,4/1/15,2015,2016,1,,
141,25980,"Hinesville, GA Metro Area",2017,81044,6/1/16,2016,2017,1,Low Op-Ex,22
142,26140,"Homosassa Springs, FL Metro Area",2017,145647,10/1/17,2017,2018,0,,
143,26300,"Hot Springs, AR Metro Area",2017,98658,1/1/17,2017,2018,0,Low Op-Ex,22
144,26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",2017,6892427,2/1/14,2014,2015,1,High Op-Ex,20
145,26580,"Huntington-Ashland, WV-KY-OH Metro Area",2017,356474,8/1/16,2016,2017,1,Low Op-Ex,22
146,26620,"Huntsville, AL Metro Area",2017,455448,3/1/16,2016,2017,1,Low Op-Ex,22
147,26820,"Idaho Falls, ID Metro Area",2017,145349,1/1/17,2017,2018,0,Low Op-Ex,22
148,40380,"Rochester, NY Metro Area",2017,1077948,6/1/17,2017,2018,0,Mid Op-Ex,21
149,26980,"Iowa City, IA Metro Area",2017,171491,4/1/16,2016,2017,1,Low Op-Ex,22
150,27060,"Ithaca, NY Metro Area",2017,104802,7/1/17,2017,2018,0,Low Op-Ex,22
151,27100,"Jackson, MI Metro Area",2017,158640,9/1/18,2018,2019,0,Low Op-Ex,22
152,27140,"Jackson, MS Metro Area",2017,578794,12/1/14,2014,2015,1,Low Op-Ex,22
153,27180,"Jackson, TN Metro Area",2017,129235,3/1/18,2018,2019,0,Low Op-Ex,22
154,24340,"Grand Rapids-Wyoming, MI Metro Area",2017,1059113,8/1/14,2014,2015,1,Mid Op-Ex,21
155,27340,"Jacksonville, NC Metro Area",2017,193893,10/1/15,2015,2016,1,Low Op-Ex,22
156,27500,"Janesville-Beloit, WI Metro Area",2017,162309,12/1/16,2016,2017,1,Low Op-Ex,22
157,27620,"Jefferson City, MO Metro Area",2017,147584,5/1/17,2017,2018,0,Low Op-Ex,22
158,27740,"Johnson City, TN Metro Area",2017,203462,8/1/16,2016,2017,1,Low Op-Ex,22
159,27780,"Johnstown, PA Metro Area",2017,133054,11/1/17,2017,2018,0,Low Op-Ex,22
160,27860,"Jonesboro, AR Metro Area",2017,131269,8/1/17,2017,2018,0,Low Op-Ex,22
161,27900,"Joplin, MO Metro Area",2017,178507,5/1/17,2017,2018,0,Low Op-Ex,22
162,27980,"Kahului-Wailuku-Lahaina, HI Metro Area",2017,166348,1/1/15,2015,2016,1,,
163,28020,"Kalamazoo-Portage, MI Metro Area",2017,338338,10/1/14,2014,2015,1,Low Op-Ex,22
164,28100,"Kankakee, IL Metro Area",2017,109605,7/1/17,2017,2018,0,Low Op-Ex,22
165,46060,"Tucson, AZ Metro Area",2017,1022769,10/1/13,2013,2014,1,Mid Op-Ex,21
166,23420,"Fresno, CA Metro Area",2017,989255,2/1/14,2014,2015,1,Mid Op-Ex,21
167,28660,"Killeen-Temple, TX Metro Area",2017,442693,7/1/15,2015,2016,1,Low Op-Ex,22
168,28700,"Kingsport-Bristol-Bristol, TN-VA Metro Area",2017,305914,9/1/16,2016,2017,1,Low Op-Ex,22
169,28740,"Kingston, NY Metro Area",2017,179417,7/1/17,2017,2018,0,Low Op-Ex,22
170,28940,"Knoxville, TN Metro Area",2017,877874,8/1/14,2014,2015,1,Low Op-Ex,22
171,29020,"Kokomo, IN Metro Area",2017,82363,6/1/18,2018,2019,0,,
172,29100,"La Crosse-Onalaska, WI-MN Metro Area",2017,136934,3/1/17,2017,2018,0,Low Op-Ex,22
173,29140,"Lafayette-West Lafayette, IN Metro Area",2017,218769,7/1/15,2015,2016,1,Low Op-Ex,22
174,29180,"Lafayette, LA Metro Area",2017,491558,2/1/15,2015,2016,1,Low Op-Ex,22
175,29420,"Lake Havasu City-Kingman, AZ Metro Area",2017,207200,3/1/16,2016,2017,1,,
176,29460,"Lakeland-Winter Haven, FL Metro Area",2017,686483,3/1/15,2015,2016,1,Low Op-Ex,22
177,46520,"Urban Honolulu, HI Metro Area",2017,988650,8/1/13,2013,2014,1,Mid Op-Ex,21
178,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",2017,949921,4/1/14,2014,2015,1,Mid Op-Ex,21
179,29700,"Laredo, TX Metro Area",2017,274794,7/1/17,2017,2018,0,Low Op-Ex,22
180,29740,"Las Cruces, NM Metro Area",2017,215579,9/1/15,2015,2016,1,Low Op-Ex,22
181,49340,"Worcester, MA-CT Metro Area",2017,942475,8/1/14,2014,2015,1,Mid Op-Ex,21
182,29940,"Lawrence, KS Metro Area",2017,120793,6/1/15,2015,2016,1,Low Op-Ex,22
183,30020,"Lawton, OK Metro Area",2017,127735,3/1/17,2017,2018,0,Low Op-Ex,22
184,30140,"Lebanon, PA Metro Area",2017,139754,6/1/16,2016,2017,1,Low Op-Ex,22
185,30340,"Lewiston-Auburn, ME Metro Area",2017,107651,9/1/17,2017,2018,0,Low Op-Ex,22
186,30460,"Lexington-Fayette, KY Metro Area",2017,512650,7/1/14,2014,2015,1,Low Op-Ex,22
187,30700,"Lincoln, NE Metro Area",2017,331592,1/1/15,2015,2016,1,Low Op-Ex,22
188,30780,"Little Rock-North Little Rock-Conway, AR Metro Area",2017,738082,11/1/14,2014,2015,1,Low Op-Ex,22
189,30860,"Logan, UT-ID Metro Area",2017,138219,11/1/18,2018,2019,0,Low Op-Ex,22
190,30980,"Longview, TX Metro Area",2017,217481,11/1/17,2017,2018,0,Low Op-Ex,22
191,31100,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2017,13353907,2/1/12,2012,2013,1,High Op-Ex,8
192,10740,"Albuquerque, NM Metro Area",2017,913113,5/1/14,2014,2015,1,Mid Op-Ex,21
193,31180,"Lubbock, TX Metro Area",2017,318011,7/1/14,2014,2015,1,Low Op-Ex,22
194,31340,"Lynchburg, VA Metro Area",2017,260116,12/1/15,2015,2016,1,Low Op-Ex,22
195,31420,"Macon-Bibb County, GA Metro Area",2017,229258,5/1/16,2016,2017,1,Low Op-Ex,22
196,31460,"Madera, CA Metro Area",2017,156890,11/1/18,2018,2019,0,Low Op-Ex,22
