,CBSA,MNAME_x,Year,TOT_POP,UBER_ARRIVAL,TNC_ARRIVAL_YEAR,TNC_FIRST_FULL_YEAR_OPERATION,TNC_FLAG,_merge,MNAME_y,Proposed TNC Groups,TNC_TRIPS_PER_PERSON,TRIP_SHARE_2017
29,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2016,5790210,8/1/12,2012,2013,1,both,"Atlanta-Sandy Springs-Roswell, GA Metro Area",14.0,7.0,0.198
30,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2017,5882450,8/1/12,2012,2013,1,both,"Atlanta-Sandy Springs-Roswell, GA Metro Area",14.0,7.0,0.198
31,12100,"Atlantic City-Hammonton, NJ Metro Area",2015,274219,5/1/14,2014,2015,1,both,"Atlantic City-Hammonton, NJ Metro Area",21.0,4.4,0.198
32,12100,"Atlantic City-Hammonton, NJ Metro Area",2016,270991,5/1/14,2014,2015,1,both,"Atlantic City-Hammonton, NJ Metro Area",21.0,4.4,0.198
33,12100,"Atlantic City-Hammonton, NJ Metro Area",2017,269918,5/1/14,2014,2015,1,both,"Atlantic City-Hammonton, NJ Metro Area",21.0,4.4,0.198
34,12220,"Auburn-Opelika, AL Metro Area",2017,161604,8/1/16,2016,2017,1,both,"Auburn-Opelika, AL Metro Area",22.0,2.3,0.198
35,12260,"Augusta-Richmond County, GA-SC Metro Area",2016,595147,4/1/15,2015,2016,1,both,"Augusta-Richmond County, GA-SC Metro Area",22.0,2.3,0.198
36,12260,"Augusta-Richmond County, GA-SC Metro Area",2017,600600,4/1/15,2015,2016,1,both,"Augusta-Richmond County, GA-SC Metro Area",22.0,2.3,0.198
37,12420,"Austin-Round Rock, TX Metro Area",2015,2000860,6/1/14,2014,2015,1,both,"Austin-Round Rock, TX Metro Area",21.0,4.4,0.198
38,12420,"Austin-Round Rock, TX Metro Area",2016,2056405,6/1/14,2014,2015,1,both,"Austin-Round Rock, TX Metro Area",21.0,4.4,0.198
39,12420,"Austin-Round Rock, TX Metro Area",2017,2115827,6/1/14,2014,2015,1,both,"Austin-Round Rock, TX Metro Area",21.0,4.4,0.198
40,12540,"Bakersfield, CA Metro Area",2015,882176,6/1/14,2014,2015,1,left_only,,,,
41,12540,"Bakersfield, CA Metro Area",2016,884788,6/1/14,2014,2015,1,left_only,,,,
42,12540,"Bakersfield, CA Metro Area",2017,893119,6/1/14,2014,2015,1,left_only,,,,
43,12580,"Baltimore-Columbia-Towson, MD Metro Area",2014,2785874,1/1/13,2013,2014,1,both,"Baltimore-Columbia-Towson, MD Metro Area",15.0,6.1,0.098
44,12580,"Baltimore-Columbia-Towson, MD Metro Area",2015,2797407,1/1/13,2013,2014,1,both,"Baltimore-Columbia-Towson, MD Metro Area",15.0,6.1,0.098
45,12580,"Baltimore-Columbia-Towson, MD Metro Area",2016,2798886,1/1/13,2013,2014,1,both,"Baltimore-Columbia-Towson, MD Metro Area",15.0,6.1,0.098
