Metropolitan Statistical Area,State,Month,Year,Link,,
Salt Lake City,UT,May,2014,https://newsroom.uber.com/us-utah/slc-your-uber-has-arrived-and-its-free/,,
Blacksburg-Christiansburg-Radford,VA,Aug,2014,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=2&cad=rja&uact=8&ved=2ahUKEwjmmP7c2MzkAhUMD60KHUf9ChkQFjABegQIChAF&url=https%3A%2F%2Fwww.roanoke.com%2Fnews%2Flocal%2Fuber-launches-ride-sharing-service-in-roanoke-blacksburg%2Farticle_55a6cafb-2c15-5b78-bf4e-438d6531a18b.html&usg=AOvVaw23cha40l1QJMTa3Bemar8C,,
Harrisonburg,VA,Oct,2015,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=2ahUKEwju8eHp2MzkAhUROK0KHRaLB4cQFjAAegQIABAB&url=https%3A%2F%2Fwww.uber.com%2Fblog%2Fvirginia%2Fuber-is-now-rolling-in-harrisonburg%2F&usg=AOvVaw0yiCs_UgDxdUFOS63ZrXbZ,,
Lynchburg,VA,Dec,2015,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=2ahUKEwiI3vL32MzkAhUD1qwKHWxNDWUQFjAAegQIAhAB&url=https%3A%2F%2Fwww.newsadvance.com%2Fbusiness%2Fall-hail-uber-car-service-comes-to-lynchburg%2Farticle_38bce018-8344-5db8-929a-0b13b13ecfaf.html&usg=AOvVaw25K0tDZTrNbSYChO1inZxY,,
Richmond,VA,Aug,2014,http://www.richmond.com/business/local/article_fdb57abd-13e5-5070-864d-0e67e522b527.html,,
Roanoke,VA,Aug,2014,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=2ahUKEwi19vCM2czkAhUFjq0KHe_UCkcQFjAAegQIBRAB&url=https%3A%2F%2Fwww.roanoke.com%2Fnews%2Flocal%2Fuber-launches-ride-sharing-service-in-roanoke-blacksburg%2Farticle_55a6cafb-2c15-5b78-bf4e-438d6531a18b.html&usg=AOvVaw23cha40l1QJMTa3Bemar8C,,
Burlington-South Burlington,VT,Oct,2014,http://www.burlingtonfreepress.com/story/news/local/2014/10/09/uber-officially-comes-burlington/16966319/,,
Spokane-Spokane Valley,WA,May,2014,https://newsroom.uber.com/us-washington/2014/05/08/spokane-your-uberx-is-arriving-now-and-its-free/,,
Yakima,WA,Dec,2016,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=3&cad=rja&uact=8&ved=2ahUKEwj5nK2j2czkAhVQgK0KHaCCARUQFjACegQICxAG&url=https%3A%2F%2Fwww.uber.com%2Fnewsroom%2Fyakima-your-uber-has-arrived%2F&usg=AOvVaw3llp2g6PFSTFajsktlkhwP,,
Bellingham,WA,Nov,2015,http://www.bellinghamherald.com/news/local/article45677118.html,,
Bremerton-Silverdale,WA,Sep,2015,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=2ahUKEwiamuq82czkAhUMOK0KHWX8ByEQFjAAegQIAhAB&url=http%3A%2F%2Farchive.kitsapsun.com%2Fnews%2Flocal%2Fuber-arrives-in-kitsap-ep-1297769390-354356631.html%2F&usg=AOvVaw2eo_FHXVBvyRUEQ9pP8WFt,,
Kennewick-Richland,WA,Dec,2016,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=3&cad=rja&uact=8&ved=2ahUKEwjeocPK2czkAhUJVK0KHWsWCj8QFjACegQIDBAG&url=https%3A%2F%2Fwww.uber.com%2Fblog%2Fwashington%2Ftri-cities-your-uber-has-arrived%2F&usg=AOvVaw1jZgSPS8EVlyxat5raaajG,,
Longview,WA,Mar,2017,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=24&cad=rja&uact=8&ved=2ahUKEwiS-N7h2czkAhUJXKwKHfOCBvYQFjAXegQICRAB&url=https%3A%2F%2Fbigislandnow.com%2F2017%2F03%2F22%2Fneed-a-lyft-new-rideshare-company-begins-service-on-big-island%2F&usg=AOvVaw14t2rndSMWNzE7xLCSrKTf,,
Mount Vernon-Anacortes,WA,,,,,
Olympia-Tumwater,WA,Jul,2016,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=3&cad=rja&uact=8&ved=2ahUKEwjc28WH28zkAhUHRK0KHQg2CkIQFjACegQIAxAB&url=https%3A%2F%2Fwww.uber.com%2Fblog%2Fseattle%2Fuber-arrives-in-thurston-county%2F&usg=AOvVaw3_MOc_7TSlaq_2Uitc6wmt,,
Wenatchee,WA,Sep,2016,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=2ahUKEwjiu-6d28zkAhVPRKwKHUcaDKEQFjAAegQIAhAB&url=https%3A%2F%2Fwww.wenatcheeworld.com%2Fbusiness%2Fride-hailing-service-uber-arrives-in-wenatchee%2Farticle_462db040-ff31-557e-8363-0494a9959492.html&usg=AOvVaw2wzvVHq6fX2v3a4Co1nyCn,,
Seattle-Tacoma-Bellevue,WA,Aug,2011,https://newsroom.uber.com/us-washington/2011/08/12/you-are-now-free-to-move-about-seattle/,,
Seattle-Tacoma-Bellevue,WA,April,2014,http://www.king5.com/story/news/local/tacoma/2014/08/05/13415722/,,
Milwaukee-Waukesha-West Allis,WI,Feb,2014,https://newsroom.uber.com/milwaukee/uber-rolls-into-brew-city-with-rider-zero-brandon-knight/,,
Appleton,WI,Sep,2015,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=10&cad=rja&uact=8&ved=2ahUKEwjKtseu28zkAhVQmK0KHRhPBkoQFjAJegQIAxAB&url=https%3A%2F%2Fwww.wearegreenbay.com%2Fnews%2Flocal-news%2Fuber-begins-service-in-appleton%2F228828991&usg=AOvVaw21-YV3631q_ag8WT9bf8Gl,,
Green Bay,WI,Oct,2014,https://newsroom.uber.com/green-bay/uber-launching-in-green-bay-with-free-rides/,,
Madison,WI,Mar,2014,https://newsroom.uber.com/madison/madison-your-uber-has-arrived/,,
Oshkosh-Neenah,WI,Nov,2015,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=3&cad=rja&uact=8&ved=2ahUKEwjR7uu728zkAhVPiqwKHcr3A18QFjACegQICxAH&url=https%3A%2F%2Fwww.thenorthwestern.com%2Fstory%2Fmoney%2F2015%2F12%2F18%2Fuber-enters-oshkosh-fdl-while-taxis-watch%2F77579688%2F&usg=AOvVaw1PAfBSYVfIa44DAJFsq7Y5,,
Eau Claire,WI,May,2017,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=2ahUKEwjo27_H28zkAhUFDKwKHY81BxcQFjAAegQIARAB&url=https%3A%2F%2Fchippewa.com%2Fuber-riding-into-area%2Farticle_4341cd9f-42ef-5590-b5c2-3bdb7f5062e5.html&usg=AOvVaw1OHUiu051TTGUhn2T2Dswa,,
Racine,WI,May,2015,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=3&cad=rja&uact=8&ved=2ahUKEwi9nM7S28zkAhUE26wKHXmSDfEQFjACegQIDBAH&url=https%3A%2F%2Fjournaltimes.com%2Fnews%2Flocal%2Fuber-to-launch-in-racine%2Farticle_b70a0779-d70e-5407-ac25-05fc9ed4e15a.html&usg=AOvVaw3bZuBGqZu2yc_vOBd3ov1U,,
Sheboygan,WI,May,2016,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=2&cad=rja&uact=8&ved=2ahUKEwiwnZf128zkAhVJcq0KHWRCBfEQFjABegQIAxAB&url=https%3A%2F%2Fwww.sheboyganpress.com%2Fstory%2Fnews%2F2016%2F05%2F06%2Fuber-comes-sheboygan-sort%2F84023130%2F&usg=AOvVaw0gZ90j1dcHnK5bz8GBkJbM,,
La Crosse-Onalaska,WI-MN,Feb,2017,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=8&cad=rja&uact=8&ved=2ahUKEwj6xZiA3MzkAhUBeKwKHY9aBtwQFjAHegQIARAB&url=https%3A%2F%2Flacrossetribune.com%2Fnews%2Flocal%2Fcolumn%2Fcatching-a-ride-ride-share-company-lyft-launches-in-la%2Farticle_707951fa-a12d-5087-94b0-958b4e6b5578.html&usg=AOvVaw14RFxO9XoAc4zipDeCPKCO,,
Charleston,WV,Jul,2014,https://newsroom.uber.com/us-south-carolina/south-carolina-your-uberx-is-arriving-now/,,
