CBSA,MNAME,Year,Tot_Pop,TNC_CLUSTER,TOT_POP_CLUSTER,TOTAL_YEARLY_POPULATION,POP_SHARE,TOTAL_TRIPS_PER_CAPITA,TNC_TRIPS_SCALED,TOTAL_TNC_TRIPS_PER_CLUSTER,TRIPS_SCALED,Scale_2,TNC_TRIPS,TNC_TRIPS_PER_CAPITA_CLUSTER
16580,"Champaign-Urbana, IL Metro Area",2015,239672,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",2015,2426363,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",2015,2159329,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
17460,"Cleveland-Elyria-Mentor, OH Metro Area",2015,2060810,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
18140,"Columbus, OH Metro Area",2015,2021632,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
19380,"Dayton, OH Metro Area",2015,800909,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",2015,623279,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
19820,"Detroit-Warren-Livonia, MI Metro Area",2015,4302043,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
20500,"Durham-Chapel Hill, NC Metro Area",2015,552493,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
21340,"El Paso, TX Metro Area",2015,838019,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
23420,"Fresno, CA Metro Area",2015,974861,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
24340,"Grand Rapids-Wyoming, MI Metro Area",2015,1038583,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
25420,"Harrisburg-Carlisle, PA Metro Area",2015,565006,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
25540,"Hartford-West Hartford-East Hartford, CT Metro Area",2015,1211324,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
26900,"Indianapolis-Carmel, IN Metro Area",2015,1988152,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
27260,"Jacksonville, FL Metro Area",2015,1449481,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
28140,"Kansas City, MO-KS Metro Area",2015,2088269,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
28420,"Kennewick-Pasco-Richland, WA Metro Area",2015,279116,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
29540,"Lancaster, PA Metro Area",2015,536624,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
29620,"Lansing-East Lansing, MI Metro Area",2015,472276,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
29820,"Las Vegas-Paradise, NV Metro Area",2015,2114801,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
31140,"Louisville, Jefferson County, KY-IN Metro Area",2015,1279335,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
31540,"Madison, WI Metro Area",2015,641385,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
32820,"Memphis, TN-MS-AR Metro Area",2015,1343572,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",2015,1575747,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",2015,1830298,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
35300,"New Haven-Milford, CT Metro Area",2015,859470,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
35380,"New Orleans-Metairie-Kenner, LA Metro Area",2015,1262888,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
35840,"North Port-Bradenton-Sarasota, FL Metro Area",2015,768918,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
36420,"Oklahoma City, OK Metro Area",2015,1358452,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
36500,"Olympia, WA Metro Area",2015,269536,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2015,2387138,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",2015,850536,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
38860,"Portland-South Portland-Biddeford, ME Metro Area",2015,526295,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
39300,"Providence-New Bedford-Fall River, RI-MA Metro Area",2015,1613070,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
39580,"Raleigh-Cary, NC Metro Area",2015,1273568,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
39900,"Reno-Sparks, NV Metro Area",2015,451138,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
40060,"Richmond, VA Metro Area",2015,1271142,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
40140,"Riverside-San Bernardino-Ontario, CA Metro Area",2015,4489159,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
40900,"Sacramento--Arden-Arcade--Roseville, CA Metro Area",2015,2274194,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
