CBSA,MNAME,Year,Tot_Pop,TNC_CLUSTER
11540,"Appleton, WI Metro Area",2010,225952,22
11540,"Appleton, WI Metro Area",2011,227403,22
11540,"Appleton, WI Metro Area",2012,228450,22
11540,"Appleton, WI Metro Area",2013,229962,22
11540,"Appleton, WI Metro Area",2014,231497,22
11540,"Appleton, WI Metro Area",2015,233007,22
11540,"Appleton, WI Metro Area",2016,234079,22
11540,"Appleton, WI Metro Area",2017,236126,22
11540,"Appleton, WI Metro Area",2018,237929.25,22
11700,"Asheville, NC Metro Area",2002,336918.1094,22
11700,"Asheville, NC Metro Area",2003,351316.5625,22
11700,"Asheville, NC Metro Area",2004,365867.75,22
11700,"Asheville, NC Metro Area",2005,379808,22
11700,"Asheville, NC Metro Area",2006,396192,22
11700,"Asheville, NC Metro Area",2007,402801,22
11700,"Asheville, NC Metro Area",2008,409092,22
11700,"Asheville, NC Metro Area",2009,412671,22
11700,"Asheville, NC Metro Area",2010,422752,22
11700,"Asheville, NC Metro Area",2011,428906,22
11700,"Asheville, NC Metro Area",2012,432406,22
11700,"Asheville, NC Metro Area",2013,437657,22
11700,"Asheville, NC Metro Area",2014,442316,22
11700,"Asheville, NC Metro Area",2015,446840,22
11700,"Asheville, NC Metro Area",2016,452319,22
11700,"Asheville, NC Metro Area",2017,456145,22
11700,"Asheville, NC Metro Area",2018,460384.25,22
12020,"Athens-Clarke County, GA Metro Area",2006,190851,22
12020,"Athens-Clarke County, GA Metro Area",2007,188589,22
12020,"Athens-Clarke County, GA Metro Area",2008,194988,22
12020,"Athens-Clarke County, GA Metro Area",2009,192222,22
12020,"Athens-Clarke County, GA Metro Area",2010,192738,22
12020,"Athens-Clarke County, GA Metro Area",2011,193317,22
12020,"Athens-Clarke County, GA Metro Area",2012,194337,22
12020,"Athens-Clarke County, GA Metro Area",2013,197357,22
12020,"Athens-Clarke County, GA Metro Area",2014,197268,22
12020,"Athens-Clarke County, GA Metro Area",2015,201813,22
12020,"Athens-Clarke County, GA Metro Area",2016,206360,22
12020,"Athens-Clarke County, GA Metro Area",2017,206937,22
12020,"Athens-Clarke County, GA Metro Area",2018,208506.5,22
12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2002,4019231.406,14
12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2003,4290864.375,14
12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2004,4565143.5,14
12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2005,4828838,14
12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2006,5134871,14
12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2007,5271550,14
12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2008,5368070,14
12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2009,5476664,14
12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2010,5288302,14
12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2011,5365726,14
12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2012,5442113,14
12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2013,5524693,14
12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2014,5611829,14
12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2015,5709731,14
12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2016,5790210,14
12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2017,5882450,14
12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2018,5971749.75,14
12260,"Augusta-Richmond County, GA-SC Metro Area",2006,523031,22
12260,"Augusta-Richmond County, GA-SC Metro Area",2007,534641,22
12260,"Augusta-Richmond County, GA-SC Metro Area",2008,537309,22
12260,"Augusta-Richmond County, GA-SC Metro Area",2009,539652,22
12260,"Augusta-Richmond County, GA-SC Metro Area",2010,560293,22
12260,"Augusta-Richmond County, GA-SC Metro Area",2011,560467,22
12260,"Augusta-Richmond County, GA-SC Metro Area",2012,568161,22
12260,"Augusta-Richmond County, GA-SC Metro Area",2013,581551,22
12260,"Augusta-Richmond County, GA-SC Metro Area",2014,583010,22
12260,"Augusta-Richmond County, GA-SC Metro Area",2015,590772,22
12260,"Augusta-Richmond County, GA-SC Metro Area",2016,595147,22
12260,"Augusta-Richmond County, GA-SC Metro Area",2017,600600,22
12260,"Augusta-Richmond County, GA-SC Metro Area",2018,605783.5,22
12420,"Austin-Round Rock-San Marcos, TX Metro Area",2002,1114564.219,21
12420,"Austin-Round Rock-San Marcos, TX Metro Area",2003,1211967.125,21
12420,"Austin-Round Rock-San Marcos, TX Metro Area",2004,1309574.5,21
12420,"Austin-Round Rock-San Marcos, TX Metro Area",2005,1406364,21
12420,"Austin-Round Rock-San Marcos, TX Metro Area",2006,1506425,21
12420,"Austin-Round Rock-San Marcos, TX Metro Area",2007,1593400,21
12420,"Austin-Round Rock-San Marcos, TX Metro Area",2008,1650887,21
12420,"Austin-Round Rock-San Marcos, TX Metro Area",2009,1705075,21
12420,"Austin-Round Rock-San Marcos, TX Metro Area",2010,1728307,21
12420,"Austin-Round Rock-San Marcos, TX Metro Area",2011,1783519,21
12420,"Austin-Round Rock-San Marcos, TX Metro Area",2012,1834303,21
12420,"Austin-Round Rock-San Marcos, TX Metro Area",2013,1883051,21
12420,"Austin-Round Rock-San Marcos, TX Metro Area",2014,1943299,21
12420,"Austin-Round Rock-San Marcos, TX Metro Area",2015,2000860,21
12420,"Austin-Round Rock-San Marcos, TX Metro Area",2016,2056405,21
12420,"Austin-Round Rock-San Marcos, TX Metro Area",2017,2115827,21
12420,"Austin-Round Rock-San Marcos, TX Metro Area",2018,2174279.75,21
12540,"Bakersfield-Delano, CA Metro Area",2004,679624.5,22
12540,"Bakersfield-Delano, CA Metro Area",2005,724206,22
12540,"Bakersfield-Delano, CA Metro Area",2006,780117,22
12540,"Bakersfield-Delano, CA Metro Area",2007,790710,22
12540,"Bakersfield-Delano, CA Metro Area",2008,800458,22
12540,"Bakersfield-Delano, CA Metro Area",2009,807407,22
12540,"Bakersfield-Delano, CA Metro Area",2010,842207,22
12540,"Bakersfield-Delano, CA Metro Area",2011,851710,22
12540,"Bakersfield-Delano, CA Metro Area",2012,856158,22
12540,"Bakersfield-Delano, CA Metro Area",2013,864124,22
12540,"Bakersfield-Delano, CA Metro Area",2014,874589,22
12540,"Bakersfield-Delano, CA Metro Area",2015,882176,22
12540,"Bakersfield-Delano, CA Metro Area",2016,884788,22
12540,"Bakersfield-Delano, CA Metro Area",2017,893119,22
12540,"Bakersfield-Delano, CA Metro Area",2018,900020.25,22
12580,"Baltimore-Towson, MD Metro Area",2002,2402009.359,15
12580,"Baltimore-Towson, MD Metro Area",2003,2463322.563,15
12580,"Baltimore-Towson, MD Metro Area",2004,2525648.75,15
12580,"Baltimore-Towson, MD Metro Area",2005,2583923,15
12580,"Baltimore-Towson, MD Metro Area",2006,2658405,15
12580,"Baltimore-Towson, MD Metro Area",2007,2668056,15
12580,"Baltimore-Towson, MD Metro Area",2008,2667117,15
12580,"Baltimore-Towson, MD Metro Area",2009,2690886,15
12580,"Baltimore-Towson, MD Metro Area",2010,2714183,15
12580,"Baltimore-Towson, MD Metro Area",2011,2729110,15
12580,"Baltimore-Towson, MD Metro Area",2012,2753149,15
12580,"Baltimore-Towson, MD Metro Area",2013,2770738,15
12580,"Baltimore-Towson, MD Metro Area",2014,2785874,15
12580,"Baltimore-Towson, MD Metro Area",2015,2797407,15
12580,"Baltimore-Towson, MD Metro Area",2016,2798886,15
12580,"Baltimore-Towson, MD Metro Area",2017,2808175,15
12580,"Baltimore-Towson, MD Metro Area",2018,2815511.5,15
12700,"Barnstable Town, MA Metro Area",2006,224816,21
12700,"Barnstable Town, MA Metro Area",2007,222175,21
12700,"Barnstable Town, MA Metro Area",2008,221049,21
12700,"Barnstable Town, MA Metro Area",2009,221151,21
12700,"Barnstable Town, MA Metro Area",2010,215937,21
12700,"Barnstable Town, MA Metro Area",2011,215769,21
12700,"Barnstable Town, MA Metro Area",2012,215423,21
12700,"Barnstable Town, MA Metro Area",2013,214990,21
12700,"Barnstable Town, MA Metro Area",2014,214914,21
12700,"Barnstable Town, MA Metro Area",2015,214333,21
12700,"Barnstable Town, MA Metro Area",2016,214276,21
12700,"Barnstable Town, MA Metro Area",2017,213444,21
12700,"Barnstable Town, MA Metro Area",2018,212805.75,21
12940,"Baton Rouge, LA Metro Area",2004,662061,22
12940,"Baton Rouge, LA Metro Area",2005,706909,22
12940,"Baton Rouge, LA Metro Area",2006,764824,22
12940,"Baton Rouge, LA Metro Area",2007,770471,22
12940,"Baton Rouge, LA Metro Area",2008,777650,22
12940,"Baton Rouge, LA Metro Area",2009,786947,22
12940,"Baton Rouge, LA Metro Area",2010,804406,22
12940,"Baton Rouge, LA Metro Area",2011,808242,22
12940,"Baton Rouge, LA Metro Area",2012,815298,22
12940,"Baton Rouge, LA Metro Area",2013,820159,22
12940,"Baton Rouge, LA Metro Area",2014,825478,22
12940,"Baton Rouge, LA Metro Area",2015,830480,22
12940,"Baton Rouge, LA Metro Area",2016,835175,22
12940,"Baton Rouge, LA Metro Area",2017,834159,22
12940,"Baton Rouge, LA Metro Area",2018,834570.75,22
13020,"Bay City, MI Metro Area",2006,108390,22
13020,"Bay City, MI Metro Area",2007,107517,22
13020,"Bay City, MI Metro Area",2008,107495,22
13020,"Bay City, MI Metro Area",2009,107434,22
13020,"Bay City, MI Metro Area",2010,107703,22
13020,"Bay City, MI Metro Area",2011,107110,22
13020,"Bay City, MI Metro Area",2012,106935,22
13020,"Bay City, MI Metro Area",2013,106832,22
13020,"Bay City, MI Metro Area",2014,106179,22
13020,"Bay City, MI Metro Area",2015,105659,22
13020,"Bay City, MI Metro Area",2016,104747,22
13020,"Bay City, MI Metro Area",2017,104239,22
13020,"Bay City, MI Metro Area",2018,103630,22
13140,"Beaumont-Port Arthur, TX Metro Area",2005,366855,22
13140,"Beaumont-Port Arthur, TX Metro Area",2006,378793,22
13140,"Beaumont-Port Arthur, TX Metro Area",2007,375644,22
13140,"Beaumont-Port Arthur, TX Metro Area",2008,380260,22
13140,"Beaumont-Port Arthur, TX Metro Area",2009,378477,22
13140,"Beaumont-Port Arthur, TX Metro Area",2010,389068,22
13140,"Beaumont-Port Arthur, TX Metro Area",2011,390535,22
13140,"Beaumont-Port Arthur, TX Metro Area",2012,389980,22
13140,"Beaumont-Port Arthur, TX Metro Area",2013,403622,22
13140,"Beaumont-Port Arthur, TX Metro Area",2014,403958,22
13140,"Beaumont-Port Arthur, TX Metro Area",2015,408216,22
13140,"Beaumont-Port Arthur, TX Metro Area",2016,409901,22
13140,"Beaumont-Port Arthur, TX Metro Area",2017,411339,22
13140,"Beaumont-Port Arthur, TX Metro Area",2018,412838.75,22
13380,"Bellingham, WA Metro Area",2002,156149.7813,22
13380,"Bellingham, WA Metro Area",2003,163579.875,22
13380,"Bellingham, WA Metro Area",2004,171017.5,22
13380,"Bellingham, WA Metro Area",2005,178425,22
13380,"Bellingham, WA Metro Area",2006,185953,22
13380,"Bellingham, WA Metro Area",2007,192999,22
13380,"Bellingham, WA Metro Area",2008,196529,22
13380,"Bellingham, WA Metro Area",2009,200434,22
13380,"Bellingham, WA Metro Area",2010,201628,22
13380,"Bellingham, WA Metro Area",2011,203663,22
13380,"Bellingham, WA Metro Area",2012,205262,22
13380,"Bellingham, WA Metro Area",2013,206353,22
13380,"Bellingham, WA Metro Area",2014,208351,22
13380,"Bellingham, WA Metro Area",2015,212284,22
13380,"Bellingham, WA Metro Area",2016,216800,22
13380,"Bellingham, WA Metro Area",2017,221404,22
13380,"Bellingham, WA Metro Area",2018,225986,22
13460,"Bend, OR Metro Area",2006,149140,22
13460,"Bend, OR Metro Area",2007,154028,22
13460,"Bend, OR Metro Area",2008,158456,22
13460,"Bend, OR Metro Area",2009,158629,22
13460,"Bend, OR Metro Area",2010,157894,22
13460,"Bend, OR Metro Area",2011,160338,22
13460,"Bend, OR Metro Area",2012,162277,22
13460,"Bend, OR Metro Area",2013,165954,22
13460,"Bend, OR Metro Area",2014,170388,22
13460,"Bend, OR Metro Area",2015,175268,22
13460,"Bend, OR Metro Area",2016,181307,22
13460,"Bend, OR Metro Area",2017,186875,22
13460,"Bend, OR Metro Area",2018,192560.75,22
13740,"Billings, MT Metro Area",2002,132627.5,22
13740,"Billings, MT Metro Area",2003,136435,22
13740,"Billings, MT Metro Area",2004,140279,22
13740,"Billings, MT Metro Area",2005,143977,22
13740,"Billings, MT Metro Area",2006,148259,22
13740,"Billings, MT Metro Area",2007,150205,22
13740,"Billings, MT Metro Area",2008,151975,22
13740,"Billings, MT Metro Area",2009,153854,22
13740,"Billings, MT Metro Area",2010,157365,22
13740,"Billings, MT Metro Area",2011,159712,22
13740,"Billings, MT Metro Area",2012,161487,22
13740,"Billings, MT Metro Area",2013,165730,22
13740,"Billings, MT Metro Area",2014,167521,22
13740,"Billings, MT Metro Area",2015,169329,22
13740,"Billings, MT Metro Area",2016,169736,22
13740,"Billings, MT Metro Area",2017,172081,22
13740,"Billings, MT Metro Area",2018,173941.5,22
13780,"Binghamton, NY Metro Area",2002,214924.75,22
13780,"Binghamton, NY Metro Area",2003,222607,22
13780,"Binghamton, NY Metro Area",2004,230462,22
13780,"Binghamton, NY Metro Area",2005,237626,22
13780,"Binghamton, NY Metro Area",2006,247554,22
13780,"Binghamton, NY Metro Area",2007,246426,22
13780,"Binghamton, NY Metro Area",2008,245189,22
13780,"Binghamton, NY Metro Area",2009,244694,22
13780,"Binghamton, NY Metro Area",2010,251321,22
13780,"Binghamton, NY Metro Area",2011,250074,22
13780,"Binghamton, NY Metro Area",2012,248538,22
13780,"Binghamton, NY Metro Area",2013,247777,22
13780,"Binghamton, NY Metro Area",2014,247219,22
13780,"Binghamton, NY Metro Area",2015,246020,22
13780,"Binghamton, NY Metro Area",2016,244094,22
13780,"Binghamton, NY Metro Area",2017,242217,22
13780,"Binghamton, NY Metro Area",2018,240327.75,22
13820,"Birmingham-Hoover, AL Metro Area",2002,1010587.109,21
13820,"Birmingham-Hoover, AL Metro Area",2003,1030260.563,21
13820,"Birmingham-Hoover, AL Metro Area",2004,1049988.75,21
13820,"Birmingham-Hoover, AL Metro Area",2005,1069498,21
13820,"Birmingham-Hoover, AL Metro Area",2006,1089883,21
13820,"Birmingham-Hoover, AL Metro Area",2007,1106765,21
13820,"Birmingham-Hoover, AL Metro Area",2008,1117348,21
13820,"Birmingham-Hoover, AL Metro Area",2009,1131070,21
13820,"Birmingham-Hoover, AL Metro Area",2010,1128978,21
13820,"Birmingham-Hoover, AL Metro Area",2011,1132264,21
13820,"Birmingham-Hoover, AL Metro Area",2012,1136650,21
13820,"Birmingham-Hoover, AL Metro Area",2013,1140300,21
13820,"Birmingham-Hoover, AL Metro Area",2014,1143772,21
13820,"Birmingham-Hoover, AL Metro Area",2015,1145647,21
13820,"Birmingham-Hoover, AL Metro Area",2016,1147417,21
13820,"Birmingham-Hoover, AL Metro Area",2017,1149807,21
13820,"Birmingham-Hoover, AL Metro Area",2018,1152042,21
13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",2006,149314,22
13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",2007,159022,22
13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",2008,158922,22
13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",2009,161615,22
13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",2010,161768,22
13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",2011,160866,22
13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",2012,165969,22
13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",2013,179738,22
13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",2014,181249,22
13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",2015,179904,22
13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",2016,183411,22
13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",2017,181986,22
13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",2018,181794,22
14020,"Bloomington, IN Metro Area",2002,121878.5,22
14020,"Bloomington, IN Metro Area",2003,135108,22
14020,"Bloomington, IN Metro Area",2004,148519,22
14020,"Bloomington, IN Metro Area",2005,161204,22
14020,"Bloomington, IN Metro Area",2006,176793,22
14020,"Bloomington, IN Metro Area",2007,180766,22
14020,"Bloomington, IN Metro Area",2008,183623,22
14020,"Bloomington, IN Metro Area",2009,185398,22
14020,"Bloomington, IN Metro Area",2010,192696,22
14020,"Bloomington, IN Metro Area",2011,194566,22
14020,"Bloomington, IN Metro Area",2012,195339,22
14020,"Bloomington, IN Metro Area",2013,163089,22
14020,"Bloomington, IN Metro Area",2014,164308,22
14020,"Bloomington, IN Metro Area",2015,165577,22
14020,"Bloomington, IN Metro Area",2016,166336,22
14020,"Bloomington, IN Metro Area",2017,167825,22
14020,"Bloomington, IN Metro Area",2018,169131.5,22
14060,"Bloomington-Normal, IL Metro Area",2006,161202,22
14060,"Bloomington-Normal, IL Metro Area",2007,164209,22
14060,"Bloomington-Normal, IL Metro Area",2008,165298,22
14060,"Bloomington-Normal, IL Metro Area",2009,167699,22
14060,"Bloomington-Normal, IL Metro Area",2010,169832,22
14060,"Bloomington-Normal, IL Metro Area",2011,170556,22
14060,"Bloomington-Normal, IL Metro Area",2012,172281,22
14060,"Bloomington-Normal, IL Metro Area",2013,192140,22
14060,"Bloomington-Normal, IL Metro Area",2014,188917,22
14060,"Bloomington-Normal, IL Metro Area",2015,188725,22
14060,"Bloomington-Normal, IL Metro Area",2016,187326,22
14060,"Bloomington-Normal, IL Metro Area",2017,186356,22
14060,"Bloomington-Normal, IL Metro Area",2018,185278.75,22
14260,"Boise City-Nampa, ID Metro Area",2003,463124.75,22
14260,"Boise City-Nampa, ID Metro Area",2004,497329,22
14260,"Boise City-Nampa, ID Metro Area",2005,530359,22
14260,"Boise City-Nampa, ID Metro Area",2006,568086,22
14260,"Boise City-Nampa, ID Metro Area",2007,587025,22
14260,"Boise City-Nampa, ID Metro Area",2008,596289,22
14260,"Boise City-Nampa, ID Metro Area",2009,600973,22
14260,"Boise City-Nampa, ID Metro Area",2010,619694,22
14260,"Boise City-Nampa, ID Metro Area",2011,627281,22
14260,"Boise City-Nampa, ID Metro Area",2012,635964,22
14260,"Boise City-Nampa, ID Metro Area",2013,649321,22
14260,"Boise City-Nampa, ID Metro Area",2014,666144,22
14260,"Boise City-Nampa, ID Metro Area",2015,675800,22
14260,"Boise City-Nampa, ID Metro Area",2016,690214,22
14260,"Boise City-Nampa, ID Metro Area",2017,710323,22
14260,"Boise City-Nampa, ID Metro Area",2018,729008.25,22
