,CBSA,MNAME,Year,Tot_Pop,TNC_CLUSTER,TOT_POP_CLUSTER,TOTAL_YEARLY_POPULATION,POP_SHARE,TNC_TRIPS_PER_CAPITA,TNC_TRIPS_SCALED,TOTAL_TNC_TRIPS_PER_CLUSTER,_merge
66,12420,"Austin-Round Rock-San Marcos, TX Metro Area",2015,2000860.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
67,12700,"Barnstable Town, MA Metro Area",2015,214333.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
68,13820,"Birmingham-Hoover, AL Metro Area",2015,1145647.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
69,14740,"Bremerton-Silverdale, WA Metro Area",2015,260131.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
70,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",2015,948053.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
71,16580,"Champaign-Urbana, IL Metro Area",2015,239672.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
72,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",2015,2426363.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
73,17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",2015,2159329.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
74,17460,"Cleveland-Elyria-Mentor, OH Metro Area",2015,2060810.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
75,18140,"Columbus, OH Metro Area",2015,2021632.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
76,19380,"Dayton, OH Metro Area",2015,800909.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
77,19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",2015,623279.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
78,19820,"Detroit-Warren-Livonia, MI Metro Area",2015,4302043.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
79,20500,"Durham-Chapel Hill, NC Metro Area",2015,552493.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
80,21340,"El Paso, TX Metro Area",2015,838019.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
81,23420,"Fresno, CA Metro Area",2015,974861.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
82,24340,"Grand Rapids-Wyoming, MI Metro Area",2015,1038583.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
83,25420,"Harrisburg-Carlisle, PA Metro Area",2015,565006.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
