CBSAFP,YearPlaceI,City,State,CityState,Year,AsOfDate,dockCt,dockNm,docklessCt,docklessNm,scooterCt,scooterNm,Type,Lat,Lon,,NAME
33460,2019MN00132,Minneapolis,MN,"Minneapolis, MN",2019,201912,171,Nice Ride Minnesota,0,-,3,"Lime, Lyft, Spin",Docked and scooters,44.977753000000000,-93.265011000000000,,"Minneapolis-St. Paul-Bloomington, MN-WI"
33460,2017MN00132,Minneapolis,MN,"Minneapolis, MN",2017,201712,201,Nice Ride Minnesota,0,-,0,-,Docked only,44.977753000000000,-93.265011000000000,,"Minneapolis-St. Paul-Bloomington, MN-WI"
33460,2016MN00132,Minneapolis,MN,"Minneapolis, MN",2016,201612,200,Nice Ride Minnesota,0,-,0,-,Docked only,44.977753000000000,-93.265011000000000,,"Minneapolis-St. Paul-Bloomington, MN-WI"
33460,2018MN00132,Minneapolis,MN,"Minneapolis, MN",2018,201812,171,Nice Ride Minnesota,0,-,0,-,Docked only,44.977753000000000,-93.265011000000000,,"Minneapolis-St. Paul-Bloomington, MN-WI"
33460,2015MN00132,Minneapolis,MN,"Minneapolis, MN",2015,201512,169,Nice Ride Minnesota,0,-,0,-,Docked only,44.977753000000000,-93.265011000000000,,"Minneapolis-St. Paul-Bloomington, MN-WI"
14010,2018IL0078,Bloomington,IL,"Bloomington, IL",2018,201812,12,Normal (Bikeshare 309),1,Pace,1,Spin,All micro,40.484203000000000,-88.993686999999900,,"Bloomington, IL"
14010,2019IL0078,Bloomington,IL,"Bloomington, IL",2019,201912,12,Normal (Bikeshare 309),0,-,1,Lime,Docked and scooters,40.484203000000000,-88.993686999999900,,"Bloomington, IL"
14010,2017IL0078,Bloomington,IL,"Bloomington, IL",2017,201712,9,Normal (Bikeshare 309),0,-,0,-,Docked only,40.484203000000000,-88.993686999999900,,"Bloomington, IL"
37900,2019IL0080,Peoria,IL,"Peoria, IL",2019,201912,6,Peoria,0,-,0,-,Docked only,40.693649000000000,-89.588986000000000,,"Peoria, IL"
37900,2018IL0080,Peoria,IL,"Peoria, IL",2018,201812,6,Peoria,0,-,0,-,Docked only,40.693649000000000,-89.588986000000000,,"Peoria, IL"
37900,2017IL0080,Peoria,IL,"Peoria, IL",2017,201712,6,Peoria,0,-,0,-,Docked only,40.693649000000000,-89.588986000000000,,"Peoria, IL"
14460,2019NH00148,Portsmouth,NH,"Portsmouth, NH",2019,201912,10,Portsmouth,0,-,0,-,Docked only,43.075555999999900,-70.760555999999900,,"Boston-Cambridge-Newton, MA-NH"
14460,2018NH00148,Portsmouth,NH,"Portsmouth, NH",2018,201812,10,Portsmouth,0,-,0,-,Docked only,43.075555999999900,-70.760555999999900,,"Boston-Cambridge-Newton, MA-NH"
14460,2017NH00148,Portsmouth,NH,"Portsmouth, NH",2017,201712,7,Portsmouth,0,-,0,-,Docked only,43.075555999999900,-70.760555999999900,,"Boston-Cambridge-Newton, MA-NH"
42660,2016WA00225,Seattle,WA,"Seattle, WA",2016,201612,48,Pronto,0,-,0,-,Docked only,47.606209999999900,-122.332070999999000,,"Seattle-Tacoma-Bellevue, WA"
42660,2015WA00225,Seattle,WA,"Seattle, WA",2015,201512,48,Pronto,0,-,0,-,Docked only,47.606209999999900,-122.332070999999000,,"Seattle-Tacoma-Bellevue, WA"
39660,2019SD00188,Rapid City,SD,"Rapid City, SD",2019,201912,2,Rapid City B-cycle,0,-,0,-,Docked only,44.080542999999900,-103.231014999999000,,"Rapid City, SD"
39660,2018SD00188,Rapid City,SD,"Rapid City, SD",2018,201812,2,Rapid City B-cycle,0,-,0,-,Docked only,44.080542999999900,-103.231014999999000,,"Rapid City, SD"
39660,2017SD00188,Rapid City,SD,"Rapid City, SD",2017,201712,2,Rapid City B-cycle,0,-,0,-,Docked only,44.080542999999900,-103.231014999999000,,"Rapid City, SD"
39660,2016SD00188,Rapid City,SD,"Rapid City, SD",2016,201612,2,Rapid City B-cycle,0,-,0,-,Docked only,44.080542999999900,-103.231014999999000,,"Rapid City, SD"
39660,2015SD00188,Rapid City,SD,"Rapid City, SD",2015,201512,2,Rapid City B-cycle,0,-,0,-,Docked only,44.080542999999900,-103.231014999999000,,"Rapid City, SD"
15380,2016NY00157,Buffalo,NY,"Buffalo, NY",2016,201612,67,Reddy Bikes,0,-,0,-,Docked only,42.886446999999900,-78.878369000000000,,"Buffalo-Cheektowaga-Niagara Falls, NY"
15380,2019NY00157,Buffalo,NY,"Buffalo, NY",2019,201912,57,Reddy Bikes,0,-,0,-,Docked only,42.886446999999900,-78.878369000000000,,"Buffalo-Cheektowaga-Niagara Falls, NY"
15380,2018NY00157,Buffalo,NY,"Buffalo, NY",2018,201812,57,Reddy Bikes,0,-,0,-,Docked only,42.886446999999900,-78.878369000000000,,"Buffalo-Cheektowaga-Niagara Falls, NY"
15380,2017NY00157,Buffalo,NY,"Buffalo, NY",2017,201712,54,Reddy Bikes,0,-,0,-,Docked only,42.886446999999900,-78.878369000000000,,"Buffalo-Cheektowaga-Niagara Falls, NY"
12060,2019GA0066,Atlanta,GA,"Atlanta, GA",2019,201912,113,Relay Bike Share,1,Jump,4,"Jump, Lime, Lyft, Wheels",All micro,33.748995000000000,-84.387981999999900,,"Atlanta-Sandy Springs-Roswell, GA"
12060,2018GA0066,Atlanta,GA,"Atlanta, GA",2018,201812,113,Relay Bike Share,0,-,4,"Bird, Jump, Lime, Lyft",Docked and scooters,33.748995000000000,-84.387981999999900,,"Atlanta-Sandy Springs-Roswell, GA"
12060,2017GA0066,Atlanta,GA,"Atlanta, GA",2017,201712,113,Relay Bike Share,0,-,0,-,Docked only,33.748995000000000,-84.387981999999900,,"Atlanta-Sandy Springs-Roswell, GA"
12060,2016GA0066,Atlanta,GA,"Atlanta, GA",2016,201612,77,Relay Bike Share,0,-,0,-,Docked only,33.748995000000000,-84.387981999999900,,"Atlanta-Sandy Springs-Roswell, GA"
13980,2019VA00215,Blacksburg,VA,"Blacksburg, VA",2019,201912,12,ROAM NRV,0,-,0,-,Docked only,37.229573000000000,-80.413938999999900,,"Blacksburg-Christiansburg-Radford, VA"
13980,2018VA00215,Blacksburg,VA,"Blacksburg, VA",2018,201812,12,ROAM NRV,0,-,0,-,Docked only,37.229573000000000,-80.413938999999900,,"Blacksburg-Christiansburg-Radford, VA"
40220,2019VA00221,Roanoke,VA,"Roanoke, VA",2019,201912,17,Roanoke,0,-,0,-,Docked only,37.270969999999900,-79.941427000000000,,"Roanoke, VA"
40220,2018VA00221,Roanoke,VA,"Roanoke, VA",2018,201812,17,Roanoke,0,-,0,-,Docked only,37.270969999999900,-79.941427000000000,,"Roanoke, VA"
40220,2017VA00221,Roanoke,VA,"Roanoke, VA",2017,201712,17,Roanoke,0,-,0,-,Docked only,37.270969999999900,-79.941427000000000,,"Roanoke, VA"
29820,2019NV00154,Las Vegas,NV,"Las Vegas, NV",2019,201912,21,RTC Bikeshare,0,-,0,-,Docked only,36.169941000000000,-115.139830000000000,,"Las Vegas-Henderson-Paradise, NV"
29820,2018NV00154,Las Vegas,NV,"Las Vegas, NV",2018,201812,21,RTC Bikeshare,0,-,0,-,Docked only,36.169941000000000,-115.139830000000000,,"Las Vegas-Henderson-Paradise, NV"
29820,2017NV00154,Las Vegas,NV,"Las Vegas, NV",2017,201712,21,RTC Bikeshare,0,-,0,-,Docked only,36.169941000000000,-115.139830000000000,,"Las Vegas-Henderson-Paradise, NV"
29820,2016NV00154,Las Vegas,NV,"Las Vegas, NV",2016,201612,21,RTC Bikeshare,0,-,0,-,Docked only,36.169941000000000,-115.139830000000000,,"Las Vegas-Henderson-Paradise, NV"
40060,2019VA00220,Richmond,VA,"Richmond, VA",2019,201912,17,RVA Bike Share,0,-,1,Bolt,Docked and scooters,37.540725000000000,-77.436048000000000,,"Richmond, VA"
40060,2018VA00220,Richmond,VA,"Richmond, VA",2018,201812,17,RVA Bike Share,0,-,0,-,Docked only,37.540725000000000,-77.436048000000000,,"Richmond, VA"
40060,2017VA00220,Richmond,VA,"Richmond, VA",2017,201712,17,RVA Bike Share,0,-,0,-,Docked only,37.540725000000000,-77.436048000000000,,"Richmond, VA"
14460,2019MA00111,Salem,MA,"Salem, MA",2019,201912,17,Salem,0,-,0,-,Docked only,42.519539999999900,-70.896715999999900,,"Boston-Cambridge-Newton, MA-NH"
14460,2018MA00111,Salem,MA,"Salem, MA",2018,201812,17,Salem,0,-,0,-,Docked only,42.519539999999900,-70.896715999999900,,"Boston-Cambridge-Newton, MA-NH"
14460,2017MA00111,Salem,MA,"Salem, MA",2017,201712,10,Salem,0,-,0,-,Docked only,42.519539999999900,-70.896715999999900,,"Boston-Cambridge-Newton, MA-NH"
41700,2019TX00205,San Antonio,TX,"San Antonio, TX",2019,201912,64,San Antonio B-cycle,0,-,3,"Lime, Lyft, Razor",Docked and scooters,29.424122000000000,-98.493628000000000,,"San Antonio-New Braunfels, TX"
41700,2018TX00205,San Antonio,TX,"San Antonio, TX",2018,201812,64,San Antonio B-cycle,0,-,3,"Bird, Lime, Razor",Docked and scooters,29.424122000000000,-98.493628000000000,,"San Antonio-New Braunfels, TX"
41700,2017TX00205,San Antonio,TX,"San Antonio, TX",2017,201712,61,San Antonio B-cycle,0,-,0,-,Docked only,29.424122000000000,-98.493628000000000,,"San Antonio-New Braunfels, TX"
41700,2016TX00205,San Antonio,TX,"San Antonio, TX",2016,201612,59,San Antonio B-cycle,0,-,0,-,Docked only,29.424122000000000,-98.493628000000000,,"San Antonio-New Braunfels, TX"
41700,2015TX00205,San Antonio,TX,"San Antonio, TX",2015,201512,54,San Antonio B-cycle,0,-,0,-,Docked only,29.424122000000000,-98.493628000000000,,"San Antonio-New Braunfels, TX"
33100,2017FL0065,West Palm Beach,FL,"West Palm Beach, FL",2017,201712,18,Sky Bike WPB,0,-,0,-,Docked only,26.715342000000000,-80.053375000000000,,"Miami-Fort Lauderdale-West Palm Beach, FL"
33100,2019FL0065,West Palm Beach,FL,"West Palm Beach, FL",2019,201912,15,Sky Bike WPB,0,-,0,-,Docked only,26.715342000000000,-80.053375000000000,,"Miami-Fort Lauderdale-West Palm Beach, FL"
33100,2018FL0065,West Palm Beach,FL,"West Palm Beach, FL",2018,201812,15,Sky Bike WPB,0,-,0,-,Docked only,26.715342000000000,-80.053375000000000,,"Miami-Fort Lauderdale-West Palm Beach, FL"
33100,2016FL0065,West Palm Beach,FL,"West Palm Beach, FL",2016,201612,14,Sky Bike WPB,0,-,0,-,Docked only,26.715342000000000,-80.053375000000000,,"Miami-Fort Lauderdale-West Palm Beach, FL"
33100,2015FL0065,West Palm Beach,FL,"West Palm Beach, FL",2015,201512,13,Sky Bike WPB,0,-,0,-,Docked only,26.715342000000000,-80.053375000000000,,"Miami-Fort Lauderdale-West Palm Beach, FL"
12060,2019GA0070,Smyrna,GA,"Smyrna, GA",2019,201912,5,Smyrna Bike Share,0,-,0,-,Docked only,33.883992999999900,-84.514375999999900,,"Atlanta-Sandy Springs-Roswell, GA"
12060,2018GA0070,Smyrna,GA,"Smyrna, GA",2018,201812,5,Smyrna Bike Share,0,-,0,-,Docked only,33.883992999999900,-84.514375999999900,,"Atlanta-Sandy Springs-Roswell, GA"
12060,2017GA0070,Smyrna,GA,"Smyrna, GA",2017,201712,5,Smyrna Bike Share,0,-,0,-,Docked only,33.883992999999900,-84.514375999999900,,"Atlanta-Sandy Springs-Roswell, GA"
12060,2016GA0070,Smyrna,GA,"Smyrna, GA",2016,201612,5,Smyrna Bike Share,0,-,0,-,Docked only,33.883992999999900,-84.514375999999900,,"Atlanta-Sandy Springs-Roswell, GA"
12060,2015GA0070,Smyrna,GA,"Smyrna, GA",2015,201512,3,Smyrna Bike Share,0,-,0,-,Docked only,33.883992999999900,-84.514375999999900,,"Atlanta-Sandy Springs-Roswell, GA"
35620,2019NY00159,Long Beach,NY,"Long Beach, NY",2019,201912,11,"Sobi Long Beach, NY",0,-,0,-,Docked only,40.588056000000000,-73.688056000000000,,"New York-Newark-Jersey City, NY-NJ-PA"
35620,2018NY00159,Long Beach,NY,"Long Beach, NY",2018,201812,11,"Sobi Long Beach, NY",0,-,0,-,Docked only,40.588056000000000,-73.688056000000000,,"New York-Newark-Jersey City, NY-NJ-PA"
35620,2017NY00159,Long Beach,NY,"Long Beach, NY",2017,201712,11,"Sobi Long Beach, NY",0,-,0,-,Docked only,40.588056000000000,-73.688056000000000,,"New York-Newark-Jersey City, NY-NJ-PA"
35620,2016NY00159,Long Beach,NY,"Long Beach, NY",2016,201612,10,"Sobi Long Beach, NY",0,-,0,-,Docked only,40.588056000000000,-73.688056000000000,,"New York-Newark-Jersey City, NY-NJ-PA"
43900,2019SC00187,Spartanburg,SC,"Spartanburg, SC",2019,201912,5,Spartanburg B-cycle,0,-,0,-,Docked only,34.949567000000000,-81.932047999999900,,"Spartanburg, SC"
43900,2018SC00187,Spartanburg,SC,"Spartanburg, SC",2018,201812,5,Spartanburg B-cycle,0,-,0,-,Docked only,34.949567000000000,-81.932047999999900,,"Spartanburg, SC"
43900,2017SC00187,Spartanburg,SC,"Spartanburg, SC",2017,201712,5,Spartanburg B-cycle,0,-,0,-,Docked only,34.949567000000000,-81.932047999999900,,"Spartanburg, SC"
43900,2016SC00187,Spartanburg,SC,"Spartanburg, SC",2016,201612,5,Spartanburg B-cycle,0,-,0,-,Docked only,34.949567000000000,-81.932047999999900,,"Spartanburg, SC"
43900,2015SC00187,Spartanburg,SC,"Spartanburg, SC",2015,201512,5,Spartanburg B-cycle,0,-,0,-,Docked only,34.949567000000000,-81.932047999999900,,"Spartanburg, SC"
36420,2019OK00173,Oklahoma City,OK,"Oklahoma City, OK",2019,201912,8,Spokies,0,-,1,Lime,Docked and scooters,35.467559999999900,-97.516428000000000,,"Oklahoma City, OK"
36420,2018OK00173,Oklahoma City,OK,"Oklahoma City, OK",2018,201812,8,Spokies,0,-,1,Lime,Docked and scooters,35.467559999999900,-97.516428000000000,,"Oklahoma City, OK"
36420,2017OK00173,Oklahoma City,OK,"Oklahoma City, OK",2017,201712,8,Spokies,0,-,0,-,Docked only,35.467559999999900,-97.516428000000000,,"Oklahoma City, OK"
36420,2016OK00173,Oklahoma City,OK,"Oklahoma City, OK",2016,201612,8,Spokies,0,-,0,-,Docked only,35.467559999999900,-97.516428000000000,,"Oklahoma City, OK"
36420,2015OK00173,Oklahoma City,OK,"Oklahoma City, OK",2015,201512,7,Spokies,0,-,0,-,Docked only,35.467559999999900,-97.516428000000000,,"Oklahoma City, OK"
27220,2019WY00231,Jackson,WY,"Jackson, WY",2019,201912,17,START,0,-,0,-,Docked only,43.475278000000000,-110.769166999999000,,"Jackson, WY-ID"
27220,2018WY00231,Jackson,WY,"Jackson, WY",2018,201812,17,START,0,-,0,-,Docked only,43.475278000000000,-110.769166999999000,,"Jackson, WY-ID"
20260,2019WI00230,Superior,WI,"Superior, WI",2019,201912,4,Superior,0,-,0,-,Docked only,46.706881000000000,-92.085256000000000,,"Duluth, MN-WI"
20260,2018WI00230,Superior,WI,"Superior, WI",2018,201812,4,Superior,0,-,0,-,Docked only,46.706881000000000,-92.085256000000000,,"Duluth, MN-WI"
29460,2017FL0054,Lakeland,FL,"Lakeland, FL",2017,201712,7,Swan City Cycle,0,-,0,-,Docked only,28.039465000000000,-81.949804000000000,,"Lakeland-Winter Haven, FL"
29460,2016FL0054,Lakeland,FL,"Lakeland, FL",2016,201612,7,Swan City Cycle,0,-,0,-,Docked only,28.039465000000000,-81.949804000000000,,"Lakeland-Winter Haven, FL"
29460,2015FL0054,Lakeland,FL,"Lakeland, FL",2015,201512,7,Swan City Cycle,0,-,0,-,Docked only,28.039465000000000,-81.949804000000000,,"Lakeland-Winter Haven, FL"
45780,2019OH00171,Toledo,OH,"Toledo, OH",2019,201912,17,ToleGo,0,-,0,-,Docked only,41.663938000000000,-83.555211999999900,,"Toledo, OH"
45780,2018OH00171,Toledo,OH,"Toledo, OH",2018,201812,17,ToleGo,0,-,0,-,Docked only,41.663938000000000,-83.555211999999900,,"Toledo, OH"
45820,2019KS0090,Topeka,KS,"Topeka, KS",2019,201912,204,Topeka Metro Bikes,0,-,0,-,Docked only,39.055824000000000,-95.689019000000000,,"Topeka, KS"
45820,2018KS0090,Topeka,KS,"Topeka, KS",2018,201812,204,Topeka Metro Bikes,0,-,0,-,Docked only,39.055824000000000,-95.689019000000000,,"Topeka, KS"
45820,2017KS0090,Topeka,KS,"Topeka, KS",2017,201712,155,Topeka Metro Bikes,0,-,0,-,Docked only,39.055824000000000,-95.689019000000000,,"Topeka, KS"
45820,2016KS0090,Topeka,KS,"Topeka, KS",2016,201612,142,Topeka Metro Bikes,0,-,0,-,Docked only,39.055824000000000,-95.689019000000000,,"Topeka, KS"
45820,2015KS0090,Topeka,KS,"Topeka, KS",2015,201512,105,Topeka Metro Bikes,0,-,0,-,Docked only,39.055824000000000,-95.689019000000000,,"Topeka, KS"
46140,2019OK00175,Tulsa,OK,"Tulsa, OK",2019,201912,3,Townies,0,-,1,Lime,Docked and scooters,36.153981999999900,-95.992774999999900,,"Tulsa, OK"
46140,2018OK00175,Tulsa,OK,"Tulsa, OK",2018,201812,3,Townies,0,-,2,"Bird, Lime",Docked and scooters,36.153981999999900,-95.992774999999900,,"Tulsa, OK"
46140,2017OK00175,Tulsa,OK,"Tulsa, OK",2017,201712,3,Townies,0,-,0,-,Docked only,36.153981999999900,-95.992774999999900,,"Tulsa, OK"
46140,2016OK00175,Tulsa,OK,"Tulsa, OK",2016,201612,3,Townies,0,-,0,-,Docked only,36.153981999999900,-95.992774999999900,,"Tulsa, OK"
46140,2015OK00175,Tulsa,OK,"Tulsa, OK",2015,201512,3,Townies,0,-,0,-,Docked only,36.153981999999900,-95.992774999999900,,"Tulsa, OK"
46060,2019AZ009,Tucson,AZ,"Tucson, AZ",2019,201912,36,tugo,0,-,0,-,Docked only,32.221742999999900,-110.926479000000000,,"Tucson, AZ"
46060,2018AZ009,Tucson,AZ,"Tucson, AZ",2018,201812,36,tugo,0,-,0,-,Docked only,32.221742999999900,-110.926479000000000,,"Tucson, AZ"
46060,2017AZ009,Tucson,AZ,"Tucson, AZ",2017,201712,36,tugo,0,-,0,-,Docked only,32.221742999999900,-110.926479000000000,,"Tucson, AZ"
17460,2019OH00165,Cleveland,OH,"Cleveland, OH",2019,201912,36,UH Bikes,0,-,4,"Bird, Lime, Spin, Veoride",Docked and scooters,41.499319999999900,-81.694361000000000,,"Cleveland-Elyria, OH"
17460,2018OH00165,Cleveland,OH,"Cleveland, OH",2018,201812,36,UH Bikes,0,-,0,-,Docked only,41.499319999999900,-81.694361000000000,,"Cleveland-Elyria, OH"
24060,2017CO0038,Aspen,CO,"Aspen, CO",2017,201712,50,WE-cycle,0,-,0,-,Docked only,39.194951000000000,-106.837001999999000,,"Glenwood Springs, CO"
24060,2019CO0038,Aspen,CO,"Aspen, CO",2019,201912,43,WE-cycle,0,-,0,-,Docked only,39.194951000000000,-106.837001999999000,,"Glenwood Springs, CO"
24060,2018CO0038,Aspen,CO,"Aspen, CO",2018,201812,43,WE-cycle,0,-,0,-,Docked only,39.194951000000000,-106.837001999999000,,"Glenwood Springs, CO"
24060,2016CO0038,Aspen,CO,"Aspen, CO",2016,201612,43,WE-cycle,0,-,0,-,Docked only,39.194951000000000,-106.837001999999000,,"Glenwood Springs, CO"
24060,2015CO0038,Aspen,CO,"Aspen, CO",2015,201512,14,WE-cycle,0,-,0,-,Docked only,39.194951000000000,-106.837001999999000,,"Glenwood Springs, CO"
31080,2019CA0037,West Hollywood,CA,"West Hollywood, CA",2019,201912,23,WeHo Pedals,0,-,0,-,Docked only,34.087980999999900,-118.370969000000000,,"Los Angeles-Long Beach-Anaheim, CA"
31080,2018CA0037,West Hollywood,CA,"West Hollywood, CA",2018,201812,23,WeHo Pedals,0,-,0,-,Docked only,34.087980999999900,-118.370969000000000,,"Los Angeles-Long Beach-Anaheim, CA"
31080,2017CA0037,West Hollywood,CA,"West Hollywood, CA",2017,201712,23,WeHo Pedals,0,-,0,-,Docked only,34.087980999999900,-118.370969000000000,,"Los Angeles-Long Beach-Anaheim, CA"
31080,2016CA0037,West Hollywood,CA,"West Hollywood, CA",2016,201612,18,WeHo Pedals,0,-,0,-,Docked only,34.087980999999900,-118.370969000000000,,"Los Angeles-Long Beach-Anaheim, CA"
19740,2017CO0041,Broomfield,CO,"Broomfield, CO",2017,201712,7,Westminster,0,-,0,-,Docked only,39.920541000000000,-105.086650000000000,,"Denver-Aurora-Lakewood, CO"
19740,2016CO0041,Broomfield,CO,"Broomfield, CO",2016,201612,6,Westminster,0,-,0,-,Docked only,39.920541000000000,-105.086650000000000,,"Denver-Aurora-Lakewood, CO"
48620,2019KS0091,Wichita,KS,"Wichita, KS",2019,201912,42,Wichita,0,-,3,"Bolt, Spin, Veoride",Docked and scooters,37.688889000000000,-97.336111000000000,,"Wichita, KS"
48620,2018KS0091,Wichita,KS,"Wichita, KS",2018,201812,42,Wichita,0,-,0,-,Docked only,37.688889000000000,-97.336111000000000,,"Wichita, KS"
48620,2017KS0091,Wichita,KS,"Wichita, KS",2017,201712,20,Wichita,0,-,0,-,Docked only,37.688889000000000,-97.336111000000000,,"Wichita, KS"
49180,2019NC00143,Winston-Salem,NC,"Winston-Salem, NC",2019,201912,12,Winston-Salem,1,Slidr,2,"Veoride, Zagster",All micro,36.099860000000000,-80.244215999999900,,"Winston-Salem, NC"
49180,2018NC00143,Winston-Salem,NC,"Winston-Salem, NC",2018,201812,12,Winston-Salem,0,-,0,-,Docked only,36.099860000000000,-80.244215999999900,,"Winston-Salem, NC"
49180,2017NC00143,Winston-Salem,NC,"Winston-Salem, NC",2017,201712,8,Winston-Salem,0,-,0,-,Docked only,36.099860000000000,-80.244215999999900,,"Winston-Salem, NC"
17460,2017OH00165,Cleveland,OH,"Cleveland, OH",2017,201712,5,Zagstar Cleveland,0,-,0,-,Docked only,41.499319999999900,-81.694361000000000,,"Cleveland-Elyria, OH"
17460,2016OH00165,Cleveland,OH,"Cleveland, OH",2016,201612,5,Zagstar Cleveland,0,-,0,-,Docked only,41.499319999999900,-81.694361000000000,,"Cleveland-Elyria, OH"
17460,2015OH00165,Cleveland,OH,"Cleveland, OH",2015,201512,5,Zagstar Cleveland,0,-,0,-,Docked only,41.499319999999900,-81.694361000000000,,"Cleveland-Elyria, OH"
33460,2017MN00131,Hastings,MN,"Hastings, MN",2017,201712,1,Zagstar Hastings,0,-,0,-,Docked only,44.733333000000000,-92.849999999999900,,"Minneapolis-St. Paul-Bloomington, MN-WI"
33460,2016MN00131,Hastings,MN,"Hastings, MN",2016,201612,1,Zagstar Hastings,0,-,0,-,Docked only,44.733333000000000,-92.849999999999900,,"Minneapolis-St. Paul-Bloomington, MN-WI"
33460,2015MN00131,Hastings,MN,"Hastings, MN",2015,201512,1,Zagstar Hastings,0,-,0,-,Docked only,44.733333000000000,-92.849999999999900,,"Minneapolis-St. Paul-Bloomington, MN-WI"
27540,2016IN0086,Huntingburg,IN,"Huntingburg, IN",2016,201612,1,Zagstar Huntingburg,0,-,0,-,Docked only,38.296944000000000,-86.954443999999900,,"Jasper, IN"
27540,2015IN0086,Huntingburg,IN,"Huntingburg, IN",2015,201512,1,Zagstar Huntingburg,0,-,0,-,Docked only,38.296944000000000,-86.954443999999900,,"Jasper, IN"
32780,2019OR00178,Medford,OR,"Medford, OR",2019,201912,11,Zagstar Jackson County,0,-,0,-,Docked only,42.326515000000000,-122.875595000000000,,"Medford, OR"
32780,2018OR00178,Medford,OR,"Medford, OR",2018,201812,11,Zagstar Jackson County,0,-,0,-,Docked only,42.326515000000000,-122.875595000000000,,"Medford, OR"
32780,2017OR00178,Medford,OR,"Medford, OR",2017,201712,10,Zagstar Jackson County,0,-,0,-,Docked only,42.326515000000000,-122.875595000000000,,"Medford, OR"
32780,2016OR00178,Medford,OR,"Medford, OR",2016,201612,6,Zagstar Jackson County,0,-,0,-,Docked only,42.326515000000000,-122.875595000000000,,"Medford, OR"
