,ID,Year,BUS_FLAG,RAIL_FLAG,CBSA, UPT ,VRM,UPT_ADJ,VRM_ADJ,VRH_ADJ,FARE_TOTAL,FARE_per_UPT,AREALANDPT,Tot_Pop,Tot_Instate_Pop,Tot_Outstate_Pop,Tot_NonUSA_POP,Total_Median_Income_Individual,Native_Instate_Med_Inc_Indiv,Native_Outstate_Med_Inc_Indiv,Total_Pop_Poverty,Pop_Below100_Poverty,Pop_Below150_Poverty,Pop_Above150_Poverty,Age_under18,Age_18to64,Age_over64,Total_HH,HH_0Veh,HH_1Veh,HH_2Veh,HH_3Veh,HH_4+Veh,PCT_HH_NO_VEH,HH_MED_INC,HH_MEAN_INC,INC_U35,INC_35_100,INC_100P,TOT_UNEMP_MSA,TOT_EMP_MSA,TOT_LABOR_MSA,UNEMP_RATE_PCT,EMP_RATE_PCT,GasPrice,Area_acre,POP_CENSUSTRACT,AVG_SPEED,2018_Dollar_Multiplier,TNC_ARRIVAL,TNC_FLAG,YEARS_SINCE_TNC,FARE_TOTAL_2018,TOTAL_MED_INC_INDIV_2018,NATIVE_INSTATE_MED_INC_2018,NATIVE_OUTSTATE_MED_INC_2018,HH_MED_INC_2018,HH_MEAN_INC_2018,GAS_PRICE_2018,FARE_per_UPT_2018,dockCt,docklessCt,scooterCt,PBS_Start,PBS_End,PBS_Flag,walkscore,transit,bike,Bus_UPT_ADJ,Bus_VRM_ADJ,Bus_VRH_ADJ,Bus_FARE_TOTAL,Bus_FARE_per_UPT_2018,Bus_AVG_SPEED,Rail_UPT_ADJ,Rail_VRM_ADJ,Rail_VRH_ADJ,Rail_FARE_TOTAL,Rail_FARE_per_UPT_2018,Rail_AVG_SPEED,CLUSTER_APTA,CLUSTER_GT,CLUSTER_APTA_HML
334,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area-Bus",2018,1,0,0," (176,633)",780945,-176633,780945,98818,-1754860.5,-0.160991699,0,149585.5,15788.25,108299,6797,5079,4921.75,5963,147312.5,-5,-1.7,6.7,-0.55,-0.1,0.65,55759,-7691.75,-9175.25,35358,21113.75,16154.25,-1.48,14742,18004.75,-9.47,1.43,8.05,-17600.88,134966.56,117365.68,-2.4,2.4,-0.64,,10335,-1.01,-0.06,0,0,4,-2469587.64,3442.32,3414.91,4079.9,11583.6,13547.47,-0.8416,-0.234415006,35,0,3,0,,0,96,74,72,-176633,780945,98818,-1754860.5,-0.234415006,-1.01,0,0,0,0,0,0,24,2,2
410,"Redding, CA Metro Area-Bus",2018,1,0,0," (184,802)",75506,-184802,75506,666,-23982.5,0.227616598,0,359,-3619.75,-2473.75,1325.75,5564.75,5341.5,8172,1157.5,3.53,-2.97,-0.65,-0.02,-1.1,1.13,3904.75,2062,-3300.25,-354.75,3410.5,2087.25,2.45,13027,21061.25,-8.97,-0.45,9.43,-3541.48,3256.17,-285.31,-4.7,4.7,-0.31,,130.75,1.5,-0.06,0,1,2,-67733.18,4185.95,3924.9,6831,10404.64,17474.87,-0.5326,0.17361488,0,0,0,,,0,71,30,85,-184802,75506,666,-23982.5,0.17361488,1.5,0,0,0,0,0,0,34,3,3
462,"Santa Fe, NM Metro Area-Bus",2018,1,0,0," (186,087)",12692,-186087,12692,6107,-57863,0.002234968,0,651.5,1129,2333.75,460,3823.25,10495.75,-2940.5,994,-3.95,1.95,2,-1.52,-2.67,4.2,808.5,-265,-406.75,-1327,1688,1119.25,-0.48,7277.25,8082,-4.32,1.75,2.58,-936.75,2491.65,1554.9,-1.37,1.37,-0.64,,164.25,-0.71,-0.06,0,0,4,-78907.22,2169.53,9068.89,-5158.16,4108.71,3612.6,-0.8332,-0.017073109,0,0,0,,,0,82,0,58,-186087,12692,6107,-57863,-0.017073109,-0.71,0,0,0,0,0,0,33,2,3
458,"San Luis Obispo-Paso Robles, CA Metro Area-Bus",2018,1,0,0," (190,216)",58236,-190216,58236,12548,-44236.75,0.073016658,0,5082,3275.75,3505.75,1063.75,7412.25,6555,12598,3610.25,-2.65,-3.77,6.43,-0.45,-1.95,2.4,961,-1938.25,-2808.75,555.25,2116.5,3036.25,-1.92,11372,12646.25,-5.5,-2.9,8.4,-3661.8,6034.6,2372.81,-2.66,2.66,-0.31,,-402.5,-2.08,-0.06,0,0,4,-178481.41,5873.79,5073.72,10878.04,7563.56,7609.85,-0.5326,0.012420011,0,0,0,,,0,95,40,93,-190216,58236,12548,-44236.75,0.012420011,-2.08,0,0,0,0,0,0,31,2,3
424,"Rockford, IL Metro Area-Bus",2018,1,0,0," (199,932)",-69771,-199932,-69771,-3890,-387340.5,-0.140739893,0,-5255.5,-8865.75,-566,920.5,5390.25,5121.25,6079,-5090.75,-4.35,-3.7,8,-0.7,-1.35,2.05,-1180.25,-336.25,-7661.25,4943.75,-1642,3515.5,-0.18,10791,12096.5,-9.32,3.1,6.23,-4955.12,3589.57,-1365.56,-2.91,2.91,-0.64,,-1823,-0.2,-0.06,0,1,3,-475925.4,3889.53,3617.23,4468.12,7887.9,8283.26,-0.8416,-0.191034987,0,1,0,0,0,0,88,0,70,-199932,-69771,-3890,-387340.5,-0.191034987,-0.2,0,0,0,0,0,0,32,3,3
402,"Pueblo, CO Metro Area-Bus",2018,1,0,0," (203,500)",4562,-203500,4562,-139,240381.25,0.443450189,0,5997,-2405.25,11282.25,-1467.25,807.5,2595.75,-2003.5,6519.5,-2.3,-1.1,3.38,-0.7,-0.17,0.88,3930,-377,-748.75,127,1691.75,3237,-1.07,2111,2847.5,-1.25,-1.35,2.6,-1815.98,5054.09,3238.11,-2.71,2.71,-0.51,,312.75,0.17,-0.06,0,1,2,205486.81,-581.68,1214.97,-3498.76,-351.82,-443.62,-0.714,0.408896175,0,0,0,,,0,25,0,42,-203500,4562,-139,240381.25,0.408896175,0.17,0,0,0,0,0,0,32,1,3
171,"Fayetteville, NC Metro Area-Bus",2018,1,0,0," (209,081)",318528.4333,-209080.887,318528.4333,18686.6911,-5189,0.108807011,0,14397.75,-8765.75,27205.5,7.25,-1039.5,44,-4300.5,8180.5,-0.5,-0.82,1.5,-1.75,0.25,1.5,5306,-26.5,1106.25,1663.25,-669.75,3232.75,-0.23,3017,694,-0.67,-0.42,1.1,-4381.4,5314.37,932.98,-3.01,3.01,-0.7,,314.75,0.87,-0.06,0,0,4,-73964.18,-2577.6,-1235.8,-6123.36,486.14,-2733.2,-0.9046,0.064917509,0,0,0,0,,1,60,0,59,-209080.887,318528.4333,18686.6911,-5189,0.064917509,0.87,0,0,0,0,0,0,34,3,3
142,"Des Moines-West Des Moines, IA Metro Area-Bus",2018,1,0,0," (209,783)",342089,-209783,342089,13357,520431.75,0.17447148,0,45708,23473.75,17446.5,600,4253.25,3782.25,1677.25,46731.5,-4.9,-0.2,5.2,-0.3,-0.62,0.93,19729,3605.25,833,2752.75,7424.25,5113.75,1.04,9331.75,11712.25,-4.27,-0.87,5.15,-5307.52,19487.23,14179.7,-1.66,1.66,-0.64,,2890.25,0.74,-0.06,0,0,4,258696.45,2306.25,1719.15,-309.05,5584.99,6719.47,-0.8416,0.114823767,22,0,0,0,,0,89,0,67,-209783,342089,13357,520431.75,0.114823767,0.74,0,0,0,0,0,0,31,2,3
468,"Scranton--Wilkes-Barre, PA Metro Area-Bus",2018,1,0,0," (210,334)",7741.702,-210333.795,7741.702,-628.0816,645.75,0.102639022,0,-4837.5,-18840.75,-3551.25,6331.25,2778.75,2407,3798,-3854.5,-1.95,-2.12,4.25,0.15,-1.15,1,5541.5,1261.75,-1904,3482,1344.25,1357.5,0.29,7673.75,10249.75,-6.37,1.55,4.83,-5592.97,4611.07,-981.9,-1.98,1.98,-0.62,,-971,0.11,-0.06,0,1,3,-144032.19,1316.61,903.58,2434.86,4958.33,6646.39,-0.8324,0.040648441,0,0,0,,,0,94,0,67,-210333.795,7741.702,-628.0816,645.75,0.040648441,0.11,0,0,0,0,0,0,32,1,3
250,"Killeen-Temple-Fort Hood, TX Metro Area-Bus",2018,1,0,0," (211,671)",-225911,-211671,-225911,-15204,-19717.25,0.224400139,0,23869.75,15770.25,7665.25,5095.5,2020.75,1150.75,3091.75,23759.5,-0.35,-1.65,2.03,-0.62,-0.22,0.85,2923,669.25,-6178.75,3035.75,5975,-578.25,0.35,4548.25,2453.5,-3.22,-1.57,4.8,-2634.78,12045.94,9411.16,-1.79,1.79,-0.64,,1356.75,0.15,-0.06,0,1,3,-41772.95,474.31,-223.37,1389.67,1519.57,-1406.18,-0.8332,0.190675621,0,0,0,,,0,81,0,62,-211671,-225911,-15204,-19717.25,0.190675621,0.15,0,0,0,0,0,0,32,2,3
302,"Medford, OR Metro Area-Bus",2018,1,0,0," (230,790)",174994,-230790,174994,11281,-16856.5,0.143837981,0,8896,2949.5,4174,213,6693,6335,7465.25,8465.5,-5.65,-2.4,8.1,-0.4,-1.47,1.88,9504.25,1407.25,990.75,2817,1972.75,2316.5,0.96,9779.25,14903.5,-6.57,2.78,3.8,-3209.81,12140.97,8931.16,-3.76,3.76,-0.31,,2668.75,0.17,-0.06,0,1,1,-84668.68,5347.8,5082.14,6033.47,7084.17,11304.82,-0.5326,0.09556044,11,0,0,0,,1,92,45,90,-230790,174994,11281,-16856.5,0.09556044,0.17,0,0,0,0,0,0,32,3,3
