CLUSTER_APTA,RAIL_FLAG,Year,CLUSTER_GT,CLUSTER_APTA_HML,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT,POP_EMP,GasPrice,PCT_HH_NO_VEH,TSD_POP_PCT,VRM_ADJ_log_FAC,FARE_per_UPT_log_FAC,POP_EMP_log_FAC,GasPrice_log_FAC,PCT_HH_NO_VEH_FAC,TSD_POP_PCT_FAC,Total_FAC,VRM_ADJ_log_FAC_scaled,FARE_per_UPT_log_FAC_scaled,POP_EMP_log_FAC_scaled,GasPrice_log_FAC_scaled,PCT_HH_NO_VEH_FAC_scaled,TSD_POP_PCT_FAC_scaled,Total_FAC_scaled
23,0,2018,35,36,243700426.92800003,239769078.9840001,-3931347.9439999135,272972346.95282596,14477815.823758122,12049568.806002982,0.9464998792070565,2120030.0407233397,2.844847869163106,7.322887163746282,0.1905062500899794,1924042.3935948855,228999.55406147928,3074436.832939391,7486869.301677523,-312675.0727715948,-84319.6113587432,12317353.398142774,2341166.2584630814,797388.5236511551,3600914.337676466,8046158.18012019,-204052.7459974552,-103758.73015510717,14348528.00034381
23,1,2002,3,4,0.0,15276557.478399986,0.0,15168849.996290615,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1,2003,3,4,15276557.478399986,14989856.077599978,-286701.40080000943,15806074.371464314,637224.3751736984,5302765.260994508,0.7295693493594815,3929657.0857908498,1.5519634111348977,6.307558180823086,0.18416209012856893,294426.59300173423,-329231.80013697426,227047.80893631408,424245.7049531893,64203.67768526318,-32638.810346985392,648053.1740925809,286886.10867474455,-330083.5585208711,227088.14945464025,422914.3544497366,63127.976077451065,-32708.654962042197,604277.4774333189
23,1,2004,3,4,14989856.077599978,15357761.982400022,367905.90480004455,16123734.497116022,317660.12565170793,4374697.765035943,0.6843836572550824,3971106.6266373703,1.8322621562747805,6.680467462248851,0.17827664097747828,-921331.0077027009,460697.6607440644,213885.27156022537,560097.525225815,64392.117934605034,-31050.83211987418,346690.73564212176,-834714.7106962472,417779.89030496794,195419.56790782887,509401.87291918666,58129.47598116741,-28355.970765183905,291721.6430650797
23,1,2005,3,4,15357761.982400022,16517568.047999993,1159806.0655999703,16726703.668552345,602969.171436324,4364280.565961369,0.739814419535469,4031619.5397263584,2.251812502941503,7.009258976055688,0.17272334110614937,-13166.298621808153,-464043.7974411017,273383.5026284447,765998.312526429,59083.87468060417,-29175.232487060017,592080.3612854797,-13617.684408075816,-472198.1239641505,278588.3055521592,779866.1872091065,60060.399976181674,-29729.91292886819,572671.539650171
23,1,2006,3,4,16517568.047999993,19155112.047999986,2637543.9999999925,18440563.947616592,1713860.279064246,4904325.080430596,0.7364767112594182,4120172.77875786,2.542759215832958,7.429030160907861,0.1663714505099667,653453.2463408133,29612.915971909133,402056.1948032335,506476.71199687454,81661.69039370454,-35324.72549192877,1637936.0340146234,683645.0312359111,30795.954124685974,420903.3797260376,530093.8214819289,85404.05505628661,-36981.962560621934,1675142.899548296
23,1,2007,6,6,19155112.047999986,24421889.214400038,5073547.166400053,20570173.197419744,1915056.7628880125,6456397.832388757,0.7667606083846229,4130685.384258588,2.820468352309165,7.487329035439115,0.16384194590090834,1846313.3793311669,-406182.43346055015,34938.198254749244,516701.68171806063,13232.415065995665,-15874.699176547958,1989128.5417328074,1772477.5698101763,-385573.54893686564,33839.42026647032,496596.52010985074,12979.213889513348,-15262.412251068126,1900378.4051468386
23,1,2008,6,6,24421889.214400038,23542934.439199988,-878954.7752000486,21223948.139044534,653774.9416247886,6675979.237755823,0.9234056630191512,4099787.075277006,3.2321863245993487,7.169477325894325,0.16036267081601469,382562.9704297696,-377162.8391292371,-88559.54517962778,896669.183440737,-86264.72852415973,-21186.883204686226,706058.1578328375,350407.0798818226,-274960.2626526761,-71740.5118154323,735307.3782840425,-68051.12349285706,-17187.618580144874,639850.1858306804
23,1,2009,6,6,23542934.439199988,18969553.35999998,-4573381.079200008,16728111.34756668,-4495836.791477853,6028011.464693929,1.3194966582977539,4031709.819579989,2.332630136056485,7.603673858442726,0.1573038512186031,-707755.5825916192,-2607201.569884245,-233219.49690422637,-1902805.38748259,119368.25427101206,-20728.336524735874,-5352342.119116425,-588307.8635818582,-2194894.608926924,-195197.11486017518,-1598275.2116139599,98141.51388332692,-17303.506378246217,-4510284.501999127
23,1,2010,6,6,18969553.35999998,16839786.39839998,-2129766.9616000005,17018747.51302846,290636.16546178213,5867940.356145627,1.3629389539475654,4047506.781036213,2.783514833877986,7.694698252421058,0.15587054179553833,-53214.25027260586,-681920.2299452182,173834.70045414867,866561.7206582788,20690.831068564556,-8936.592694542058,317016.17926859704,-233461.63452887957,-1739860.9416255613,379479.61624148703,1867255.2235341433,36252.35286363598,-19028.451022975485,249265.98987019825
