ID,Year,CBSA,POP_CENSUSTRACT_updated
"Los Angeles-Long Beach-Santa Ana, CA Metro Area-Rail",2012,31100,10684048
"Los Angeles-Long Beach-Santa Ana, CA Metro Area-Rail",2013,31100,10752006
"Los Angeles-Long Beach-Santa Ana, CA Metro Area-Rail",2014,31100,10849167
"Los Angeles-Long Beach-Santa Ana, CA Metro Area-Rail",2015,31100,10921327
"Los Angeles-Long Beach-Santa Ana, CA Metro Area-Rail",2016,31100,10944789
"Los Angeles-Long Beach-Santa Ana, CA Metro Area-Rail",2017,31100,11003240
"Los Angeles-Long Beach-Santa Ana, CA Metro Area-Rail",2018,31100,11061691
"North Port-Bradenton-Sarasota, FL Metro Area-Bus",2002,35840,48613
"North Port-Bradenton-Sarasota, FL Metro Area-Bus",2003,35840,48001
"North Port-Bradenton-Sarasota, FL Metro Area-Bus",2004,35840,47389
"North Port-Bradenton-Sarasota, FL Metro Area-Bus",2005,35840,46777
"North Port-Bradenton-Sarasota, FL Metro Area-Bus",2006,35840,46165
"North Port-Bradenton-Sarasota, FL Metro Area-Bus",2007,35840,45553
"North Port-Bradenton-Sarasota, FL Metro Area-Bus",2008,35840,44941
"North Port-Bradenton-Sarasota, FL Metro Area-Bus",2009,35840,44329
"Santa Barbara-Santa Maria-Goleta, CA Metro Area-Bus",2002,42060,190377
"Santa Barbara-Santa Maria-Goleta, CA Metro Area-Bus",2003,42060,188868
"Santa Barbara-Santa Maria-Goleta, CA Metro Area-Bus",2004,42060,187359
"Santa Barbara-Santa Maria-Goleta, CA Metro Area-Bus",2005,42060,185850
"Santa Barbara-Santa Maria-Goleta, CA Metro Area-Bus",2006,42060,184341
"Santa Barbara-Santa Maria-Goleta, CA Metro Area-Bus",2007,42060,182832
"Santa Barbara-Santa Maria-Goleta, CA Metro Area-Bus",2008,42060,181323
"Santa Barbara-Santa Maria-Goleta, CA Metro Area-Bus",2009,42060,179814
"Santa Barbara-Santa Maria-Goleta, CA Metro Area-Bus",2010,42060,178305
"Santa Barbara-Santa Maria-Goleta, CA Metro Area-Bus",2011,42060,176796
"Santa Barbara-Santa Maria-Goleta, CA Metro Area-Bus",2012,42060,179326
"Santa Barbara-Santa Maria-Goleta, CA Metro Area-Bus",2013,42060,182134
"Santa Barbara-Santa Maria-Goleta, CA Metro Area-Bus",2014,42060,184340
"Santa Barbara-Santa Maria-Goleta, CA Metro Area-Bus",2015,42060,185461
"Santa Barbara-Santa Maria-Goleta, CA Metro Area-Bus",2016,42060,186180
"Santa Barbara-Santa Maria-Goleta, CA Metro Area-Bus",2017,42060,186898
"Santa Barbara-Santa Maria-Goleta, CA Metro Area-Bus",2018,42060,187616
"Yuma, AZ Metro Area-Bus",2018,49740,36777
