GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01
Id,Id2,Geography,Total; Estimate; Total population
3100000US48620,48620,"Wichita, KS Metro Area",575506
3100000US48660,48660,"Wichita Falls, TX Metro Area",137103
3100000US48700,48700,"Williamsport, PA Metro Area",112735
3100000US48900,48900,"Wilmington, NC Metro Area",308470
3100000US49020,49020,"Winchester, VA-WV Metro Area",114482
3100000US49180,49180,"Winston-Salem, NC Metro Area",437100
3100000US49340,49340,"Worcester, MA Metro Area",759409
3100000US49420,49420,"Yakima, WA Metro Area",227809
3100000US49620,49620,"York-Hanover, PA Metro Area",400670
3100000US49660,49660,"Youngstown-Warren-Boardman, OH-PA Metro Area",569009
3100000US49700,49700,"Yuba City, CA Metro Area",153262
3100000US49740,49740,"Yuma, AZ Metro Area",175793
