UZA Name,RailBus,MonthYear,UPT,VRM
"Milwaukee, WI",Bus,12-May,3872591,1293511
"Milwaukee, WI",Bus,12-Jun,3269244,1240231
"Milwaukee, WI",Bus,12-Jul,3358995,1304827
"Milwaukee, WI",Bus,12-Aug,3557092,1307593
"Milwaukee, WI",Bus,12-Sep,3931145,1253378
"Milwaukee, WI",Bus,12-Oct,4279197,1367524
"Milwaukee, WI",Bus,12-Nov,3943774,1290333
"Milwaukee, WI",Bus,12-Dec,3616877,1267079
"Milwaukee, WI",Bus,13-Jan,3612865,1291427
"Milwaukee, WI",Bus,13-Feb,3281875,1206512
"Milwaukee, WI",Bus,13-Mar,3498685,1298094
"Milwaukee, WI",Bus,13-Apr,3489187,1296904
"Milwaukee, WI",Bus,13-May,3547627,1296297
"Milwaukee, WI",Bus,13-Jun,3431836,1227719
"Milwaukee, WI",Bus,13-Jul,3635336,1306984
"Milwaukee, WI",Bus,13-Aug,3658960,1287300
"Milwaukee, WI",Bus,13-Sep,3408429,1254193
"Milwaukee, WI",Bus,13-Oct,3702885,1346124
"Milwaukee, WI",Bus,13-Nov,3431838,1252168
"Milwaukee, WI",Bus,13-Dec,3436926,1273498
"Milwaukee, WI",Bus,14-Jan,3446828,1282074
"Milwaukee, WI",Bus,14-Feb,3132715,1200641
"Milwaukee, WI",Bus,14-Mar,3417110,1303254
"Milwaukee, WI",Bus,14-Apr,3428483,1300514
"Milwaukee, WI",Bus,14-May,3417151,1283404
"Milwaukee, WI",Bus,14-Jun,3383974,1257827
"Milwaukee, WI",Bus,14-Jul,3525854,1327136
"Milwaukee, WI",Bus,14-Aug,3472605,1290895
"Milwaukee, WI",Bus,14-Sep,3394881,1312539
"Milwaukee, WI",Bus,14-Oct,3615921,1345282
"Milwaukee, WI",Bus,14-Nov,3247554,1264034
"Milwaukee, WI",Bus,14-Dec,3531187,1280477
"Milwaukee, WI",Bus,15-Jan,3229640,1325606
"Milwaukee, WI",Bus,15-Feb,3068112,1299508
"Milwaukee, WI",Bus,15-Mar,3396109,1429744
"Milwaukee, WI",Bus,15-Apr,3391331,1411553
"Milwaukee, WI",Bus,15-May,3320350,1375654
"Milwaukee, WI",Bus,15-Jun,3343270,1374177
"Milwaukee, WI",Bus,15-Jul,3017994,1219935
"Milwaukee, WI",Bus,15-Aug,3327979,1370199
"Milwaukee, WI",Bus,15-Sep,3251849,1376700
"Milwaukee, WI",Bus,15-Oct,3412383,1441413
"Milwaukee, WI",Bus,15-Nov,3178133,1372005
"Milwaukee, WI",Bus,15-Dec,3375988,1406968
"Milwaukee, WI",Bus,16-Jan,3304273,1353821
"Milwaukee, WI",Bus,16-Feb,3241291,1353133
"Milwaukee, WI",Bus,16-Mar,3497460,1441214
"Milwaukee, WI",Bus,16-Apr,3315976,1382609
"Milwaukee, WI",Bus,16-May,3352447,1383750
"Milwaukee, WI",Bus,16-Jun,3368993,1338470
"Milwaukee, WI",Bus,16-Jul,3338866,1419006
"Milwaukee, WI",Bus,16-Aug,3496385,1417424
"Milwaukee, WI",Bus,16-Sep,3287711,1363122
"Milwaukee, WI",Bus,16-Oct,3366015,1399722
"Milwaukee, WI",Bus,16-Nov,3287711,1360357
"Milwaukee, WI",Bus,16-Dec,3399180,1383122
"Milwaukee, WI",Bus,17-Jan,2929178,1361566
"Milwaukee, WI",Bus,17-Feb,2707430,1288155
"Milwaukee, WI",Bus,17-Mar,3029382,1426676
"Milwaukee, WI",Bus,17-Apr,2800952,1345182
"Milwaukee, WI",Bus,17-May,2964269,1386916
"Milwaukee, WI",Bus,17-Jun,2921349,1312283
"Milwaukee, WI",Bus,17-Jul,2898955,1372123
"Milwaukee, WI",Bus,17-Aug,3027910,1391439
"Milwaukee, WI",Bus,17-Sep,2768350,1325340
"Milwaukee, WI",Bus,17-Oct,2928630,1392933
"Milwaukee, WI",Bus,17-Nov,2818703,1337481
"Milwaukee, WI",Bus,17-Dec,2810935,1357523
"Milwaukee, WI",Bus,18-Jan,2590565,1369387
"Milwaukee, WI",Bus,18-Feb,2352494,1272659
"Milwaukee, WI",Bus,18-Mar,2605747,1401923
"Milwaukee, WI",Bus,18-Apr,2494280,1360893
"Milwaukee, WI",Bus,18-May,2592804,1385704
"Milwaukee, WI",Bus,18-Jun,2550084,1325978
"Milwaukee, WI",Bus,18-Jul,2589524,1388678
"Milwaukee, WI",Bus,18-Aug,2682218,1409868
"Milwaukee, WI",Bus,18-Sep,2381543,1330614
"Milwaukee, WI",Bus,18-Oct,2632530,1426895
"Milwaukee, WI",Bus,18-Nov,2478966,1352023
"Milwaukee, WI",Bus,18-Dec,2479034,1356431
,,,30429789,16381053
