,Year,Mode,CLUSTER_APTA4,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_cumsum
71,2005,1,1.0,1404.388432999999,0.0,7897513.684584692,0.0,-3029852.5129537536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.189580973096085,-0.8183265599729825,-89.37027143353811,-20.04194616763795,-4.188370590377329,-20.871691930433066,-21.237008495011644,-49.44335333765312,7.398647737464054,63.65825947018396,-7.209362028633855,-265.3836425473277,1367.1988520269028,1405.206759559972,1493.758704433537,1424.4303791676368,1408.5768035903764,1425.260124930432,1425.6254414950106,1453.8317863376521,1396.989785262535,1340.730173529815,1411.5977950286328,1669.7720755473267
72,2006,1,1.0,1466.3139490000008,0.0,38487982.437890165,0.0,-6623356.332588972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.189580973096085,-0.8183265599729825,-89.37027143353811,-20.04194616763795,-4.188370590377329,-20.871691930433066,-21.237008495011644,-49.44335333765312,7.398647737464054,63.65825947018396,-7.209362028633855,-265.3836425473277,1429.1243680269047,1467.1322755599738,1555.684220433539,1486.3558951676387,1470.5023195903782,1487.185640930434,1487.5509574950124,1515.757302337654,1458.9153012625368,1402.6556895298168,1473.5233110286347,1731.6975915473286
73,2007,1,1.0,1490.3913790000001,0.0,66275237.44219579,0.0,-2623517.2869072515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.189580973096085,-0.8183265599729825,-89.37027143353811,-20.04194616763795,-4.188370590377329,-20.871691930433066,-21.237008495011644,-49.44335333765312,7.398647737464054,63.65825947018396,-7.209362028633855,-265.3836425473277,1453.201798026904,1491.2097055599731,1579.7616504335383,1510.433325167638,1494.5797495903776,1511.2630709304333,1511.6283874950118,1539.8347323376533,1482.9927312625362,1426.7331195298161,1497.600741028634,1755.775021547328
74,2008,1,1.0,1563.634307000001,0.0,28743799.177805662,0.0,-11093609.661896918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.189580973096085,-0.8183265599729825,-89.37027143353811,-20.04194616763795,-4.188370590377329,-20.871691930433066,-21.237008495011644,-49.44335333765312,7.398647737464054,63.65825947018396,-7.209362028633855,-265.3836425473277,1526.4447260269048,1564.452633559974,1653.004578433539,1583.6762531676388,1567.8226775903784,1584.505998930434,1584.8713154950126,1613.0776603376542,1556.235659262537,1499.976047529817,1570.8436690286348,1829.0179495473287
75,2009,1,1.0,1542.1664689999996,0.0,3863411.102575456,0.0,-23450327.45808749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.189580973096085,-0.8183265599729825,-89.37027143353811,-20.04194616763795,-4.188370590377329,-20.871691930433066,-21.237008495011644,-49.44335333765312,7.398647737464054,63.65825947018396,-7.209362028633855,-265.3836425473277,1504.9768880269035,1542.9847955599726,1631.5367404335377,1562.2084151676374,1546.354839590377,1563.0381609304327,1563.4034774950112,1591.6098223376528,1534.7678212625356,1478.5082095298155,1549.3758310286335,1807.5501115473273
76,2010,1,1.0,1584.2635330000003,0.0,-3614236.942445636,0.0,-130934.76552842488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.189580973096085,-0.8183265599729825,-89.37027143353811,-20.04194616763795,-4.188370590377329,-20.871691930433066,-21.237008495011644,-49.44335333765312,7.398647737464054,63.65825947018396,-7.209362028633855,-265.3836425473277,1547.0739520269042,1585.0818595599733,1673.6338044335384,1604.3054791676382,1588.4519035903777,1605.1352249304334,1605.500541495012,1633.7068863376535,1576.8648852625363,1520.6052735298163,1591.4728950286342,1849.647175547328
77,2011,1,1.0,1649.9664150000003,0.0,5120848.562024754,0.0,-3231817.5300683724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403017.3274781004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.189580973096085,-0.8183265599729825,-89.37027143353811,-20.04194616763795,-4.188370590377329,-20.871691930433066,-21.237008495011644,-49.44335333765312,7.398647737464054,63.65825947018396,-7.209362028633855,-265.3836425473277,1612.7768340269042,1650.7847415599733,1739.3366864335385,1670.0083611676382,1654.1547855903777,1670.8381069304335,1671.203423495012,1699.4097683376535,1642.5677672625363,1586.3081555298163,1657.1757770286342,1915.350057547328
78,2012,1,1.0,1684.3104710000002,0.0,33133268.30491256,0.0,-1998482.4610954265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1741558.223739345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.189580973096085,-0.8183265599729825,-89.37027143353811,-20.04194616763795,-4.188370590377329,-20.871691930433066,-21.237008495011644,-49.44335333765312,7.398647737464054,63.65825947018396,-7.209362028633855,-265.3836425473277,1647.1208900269041,1685.1287975599732,1773.6807424335384,1704.3524171676381,1688.4988415903777,1705.1821629304334,1705.5474794950119,1733.7538243376534,1676.9118232625362,1620.6522115298162,1691.5198330286341,1949.694113547328
79,2013,1,1.0,1692.9234280000007,0.0,30928332.90258251,0.0,-25418315.976911407,4089940.944223842,181375.6888374408,-7688488.747045109,-1032013.5227550416,-1125450.887288798,-37519.0516328416,0.0,0.0,3343956.593591822,0.0,0.0,0.0,5782392.476183767,30928332.90258251,-25418315.976911407,3343956.593591822,41.27952191731993,-0.6369508711355417,-97.05876018058322,-21.07395969039299,-5.313821477666127,-20.909210982065904,-21.237008495011644,-49.44335333765312,13.18104021364782,94.58659237276646,-32.62767800554526,-262.0396859537359,1651.6439060826808,1693.5603788711362,1789.982188180584,1713.9973876903937,1698.2372494776669,1713.8326389820666,1714.1604364950124,1742.366781337654,1679.742387786353,1598.3368356272342,1725.551106005546,1954.9631139537366
80,2014,1,1.0,1741.056553,0.0,42467872.44058588,0.0,4708428.975043936,4826180.06410545,-246296.95296733908,-10549663.55817304,-625573.7729086191,-127828.7788492933,-3144341.860316673,0.0,0.0,3476504.808115124,0.0,-4355750.756467314,0.0,11517510.134289876,42467872.44058588,4708428.975043936,3476504.808115124,46.10570198142538,-0.8832478241028808,-107.60842373875627,-21.69953346330161,-5.44165025651542,-24.053552842382576,-25.592759251478956,-49.44335333765312,24.698550347937697,137.05446481335235,-27.91924903050133,-258.5631811456208,1694.9508510185744,1741.9398008241028,1848.6649767387562,1762.7560864633015,1746.4982032565154,1765.1101058423824,1766.649312251479,1790.499906337653,1716.3580026520622,1604.0020881866476,1768.9758020305012,1999.6197341456207
81,2015,1,1.0,1722.9710639999996,0.0,21287278.17696376,0.0,-24779479.8675035,4469579.522389505,564069.6027511889,-56606695.62660856,-3622274.0100973495,-42533.618109505886,-414223.9294258535,0.0,0.0,3796379.62615917,0.0,-5575138.700110216,0.0,59687002.76411333,21287278.17696376,-24779479.8675035,3796379.62615917,50.57528150381489,-0.3191782213516919,-164.2151193653648,-25.321807473398962,-5.484183874624926,-24.46777677180843,-31.167897951589172,-49.44335333765312,84.38555311205103,158.3417429903161,-52.69872889800483,-254.7668015194616,1672.3957824961847,1723.2902422213513,1887.1861833653645,1748.2928714733985,1728.4552478746245,1747.4388407718081,1754.1389619515887,1772.4144173376528,1638.5855108879487,1564.6293210096835,1775.6697928980045,1977.7378655194611
82,2016,1,1.0,1698.078949999999,0.0,27078558.96723322,0.0,-7662114.356627218,3367002.852727024,-152596.8255966229,-20943595.36436805,-2643521.1162513825,-343072.7710096497,-6565759.151288446,0.0,0.0,3756944.1570180776,0.0,-2008756.5832966403,0.0,-2128931.8128334526,27078558.96723322,-7662114.356627218,3756944.1570180776,53.94228435654192,-0.47177504694831474,-185.15871472973288,-27.965328589650344,-5.827256645634575,-31.033535923096878,-33.17665453488581,-49.44335333765312,82.25662129921757,185.4203019575493,-60.36084325463205,-251.00985736244354,1644.136665643457,1698.5507250469473,1883.237664729732,1726.0442785896494,1703.9062066456336,1729.1124859230958,1731.2556045348847,1747.5223033376521,1615.8223287007813,1512.6586480424496,1758.439793254631,1949.0888073624424
83,2017,1,1.0,1666.6330980000002,0.0,34512551.22055632,0.0,6111718.002988497,4119662.550595572,-757988.056772813,14808840.901087942,-2674976.0365660787,-568861.3559949445,-1944410.6428077868,0.0,0.0,3702666.81934125,0.0,0.0,0.0,-89327590.34009033,34512551.22055632,6111718.002988497,3702666.81934125,58.06194690713749,-1.2297631037211278,-170.34987382864495,-30.640304626216423,-6.39611800162952,-32.97794656590466,-33.17665453488581,-49.44335333765312,-7.070969040872767,219.93285317810563,-54.249125251643555,-247.3071905431023,1608.5711510928627,1667.8628611037213,1836.982971828645,1697.2734026262167,1673.0292160016297,1699.6110445659049,1699.809752534886,1716.0764513376535,1673.704067040873,1446.7002448218946,1720.8822232516438,1913.9402885431025
84,2018,1,1.0,1636.1846329999996,0.0,12907421.522750102,0.0,1457531.6585596176,3594796.086679126,527495.5261918188,17716162.43497312,-2824762.9309299085,-487302.7384101142,-3021030.599947688,0.0,0.0,3634099.0340764313,0.0,-93322.35799192816,-41042204.800437264,-38624791.89755675,12907421.522750102,1457531.6585596176,3634099.0340764313,61.656742993816614,-0.7022675775293091,-152.6337113936718,-33.465067557146334,-6.883420740039634,-35.99897716585235,-33.269976892877736,-90.48555813809038,-45.69576093842952,232.84027470085573,-52.79159359308393,-243.67309150902588,1574.527890006183,1636.8869005775289,1788.8183443936714,1669.649700557146,1643.0680537400392,1672.1836101658519,1669.4546098928774,1726.67019113809,1681.880393938429,1403.344358299144,1688.9762265930835,1879.8577245090255
