CLUSTER_APTA4,RAIL_FLAG,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_2012,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_cleaned_2018,POP_EMP,TSD_WA_EMP_PCT_LEHD,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,JTW_HOME_PCT,YEARS_SINCE_TNC_BUS_POW,YEARS_SINCE_TNC_RAIL_POW,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,POP_EMP_log_FAC,TSD_WA_EMP_PCT_LEHD_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_POW_FAC,YEARS_SINCE_TNC_RAIL_POW_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change
1.0,1,2017,190,1348461645.9999993,1684310471.0,1698078949.999999,1666633098.0000002,-31445851.999998268,1676169575.8545794,56920176.40046966,66908995.53310968,2.124763901431831,9766946.324071702,53.992064988764305,2.6448248546655364,38434.438182861915,10.630065689936574,5.819167414272901,0.0,13.011215498265948,35539005.669335835,9674381.58065216,6907307.696628007,-624997.6287147545,19531685.933408514,-7347494.442142701,-2782833.230573425,-2348413.229948827,0.0,82002.14416276789,58630644.49280758,59141347.1678447,-90587199.16784297,0.0,-31445851.999998268
1.0,1,2018,190,1348461645.9999993,1684310471.0,1666633098.0000002,1636184632.9999995,-30448465.000000685,1711183049.5104976,35013473.65591772,67730287.3401063,2.1117986924347303,9850048.84434978,54.17577744670181,2.9166976773397972,39371.94747135081,10.47046408296584,6.059877641395667,0.0,16.670692845742913,13288026.322631776,2429248.080815603,6027086.066495997,428247.21686847415,23374411.30013409,-7761631.648368037,-2389531.0274175224,-3648721.6409694315,0.0,88398.062183957,31835532.7323749,32101895.045116626,-62550360.0451173,0.0,-30448465.000000685
2.0,0,2002,1093,692881970.0000001,791460778.0,0.0,692881970.0000001,0.0,653941724.1368864,0.0,13378352.20863712,0.9242591681285973,2412902.9857398923,39.69153857229913,1.9468195567767472,35715.45159949252,7.815646243403477,3.298935109539652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,692881970.0000001,692881970.0000001
2.0,0,2003,1232,757372407.0000001,869325834.0,692881970.0000001,770883561.0000001,13511153.999999965,737300575.4345641,19404133.629120354,13026932.796544729,0.8726761567930796,2374560.06403818,40.21931694648804,2.2027861871074212,35129.657977308365,7.603248713845739,3.3806762574596942,0.0,0.0,887331.6532362998,615221.1854781802,6402539.848083579,-42506.75260646641,11311305.645655444,2726588.9787526424,-253489.89268121455,0.0,0.0,0.0,21130309.767035708,21029368.974456236,-8200509.974456265,64490437.00000002,77319296.00000003
2.0,0,2004,1344,784947601.0000001,898816466.0,770883561.0000001,811791151.0,13332395.999999821,805809875.4764353,27796533.4336826,12498024.033456318,0.8578654345548248,2380930.337738726,40.58686811633101,2.525741959821213,34149.20774718695,7.517428873038875,3.409599719765243,0.0,0.0,-1368008.1768645279,4071317.4541455554,8126312.726099356,-586961.5542688363,13873451.861607457,4604393.0726862075,-272331.9655317174,0.0,0.0,0.0,27696320.435409695,28110156.417027015,-15153460.417027164,27575194.000000004,40531889.999999836
2.0,0,2005,1391,807867575.0000001,924924849.0,811791151.0,855440924.0,20729799.000000414,862779177.8289472,32317741.038888134,12247363.809401672,0.8701483600801563,2431976.7748505455,40.14229447777593,2.985415509479262,33180.000316565,7.492289932938576,3.4123453178573233,0.0,0.0,1931218.746595721,-1564378.2096600002,8423045.528876094,-379578.395265508,19087228.19309042,4474032.771960761,-214369.36870617306,0.0,0.0,0.0,31757199.26689131,32110251.450391524,-11380452.4503911,22919974.000000007,43649773.00000043
2.0,0,2006,1415,823614839.0000001,941394513.0,855440924.0,913931565.0000001,42743376.99999987,908364338.2930166,29046776.901066054,12189060.458303766,0.8745361144032591,2489143.4711173256,39.527745106509634,3.267890040711128,31707.039385882163,7.526042945032465,3.573585135223625,0.0,0.0,4002552.2835405674,-3438628.1562632583,10207915.86771866,-119499.28639031922,11197833.404865213,7402345.762596607,45637.67430741799,-1467817.114194697,0.0,0.0,27830340.436180178,28202002.191700805,14541374.808299059,15747264.000000026,58490640.9999999
2.0,0,2007,1436,832303107.0000001,958899929.0,913931565.0000001,924926555.0,2306721.9999998305,924874275.438357,7700021.905271165,12139213.002662905,0.895757297618231,2506046.0194194596,39.79711212191861,3.4551355017601795,31993.077300879882,7.428921805166348,3.7473472551869267,0.0,0.0,5079979.703007794,-4466406.114958063,4250327.521127119,133833.92906142768,7434661.414891354,-1990926.2944549944,-778342.1180081998,-1521529.700492015,0.0,0.0,8141598.34017442,7976970.376572741,-5670248.376572912,8688267.999999998,10994989.999999829
2.0,0,2008,1436,832303107.0000001,958899929.0,924926555.0,988529403.0000001,63602848.00000024,957958118.3762636,33083842.937905956,12290406.974323366,0.8949319157018631,2511974.2483535623,39.90553507890324,3.86519583198288,31801.15427399655,7.60595589291727,3.801241314722138,0.0,0.0,11035253.818128701,1438296.3663059003,1914396.3829804938,126472.72465395814,15627505.834522525,1242985.7402427709,1575450.4685391062,-333698.5981203134,0.0,0.0,32626662.737253144,33372856.121568367,30229991.878431853,0.0,63602848.00000024
2.0,0,2009,1436,832303107.0000001,958899929.0,988529403.0000001,908879793.0,-79649610.00000037,883898238.8528702,-74059879.52339318,11963645.855133768,1.0103714186644657,2493193.3027503705,40.36347322935657,2.8103374921298956,30173.234862315603,7.709680988226808,4.009220187255651,0.0,0.0,-10244069.53562691,-31408758.10953096,-1781624.5190469187,598050.166305182,-44580117.41361429,10050811.474994587,892371.1242059121,-1968102.3250066498,0.0,0.0,-78441439.13732003,-76463770.48358884,-3185839.5164115494,0.0,-79649610.00000037
