,CBSA,MNAME,Mode,Year,Tot_Pop,TNC_FLAG,YEARS_SINCE_TNC,UBER_NET_REVENUE
174,12020,"Athens-Clarke County, GA Metro Area",Bus,2015,201813.0,1,1,1690
384,12020,"Athens-Clarke County, GA Metro Area",Bus,2016,206360.0,1,2,4964
644,12020,"Athens-Clarke County, GA Metro Area",Bus,2017,206937.0,1,3,7932
931,12020,"Athens-Clarke County, GA Metro Area",Bus,2018,208506.5,1,4,11270
1209,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Bus,2012,5442113.0,1,0,15
1237,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Bus,2013,5524693.0,1,1,103
5,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Bus,2014,5611829.0,1,2,445
175,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Bus,2015,5709731.0,1,3,1690
385,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Bus,2016,5790210.0,1,4,4964
645,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Bus,2017,5882450.0,1,5,7932
932,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Bus,2018,5971749.75,1,6,11270
1210,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Rail,2012,5442113.0,1,0,15
1238,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Rail,2013,5524693.0,1,1,103
6,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Rail,2014,5611829.0,1,2,445
176,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Rail,2015,5709731.0,1,3,1690
386,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Rail,2016,5790210.0,1,4,4964
646,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Rail,2017,5882450.0,1,5,7932
933,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Rail,2018,5971749.75,1,6,11270
177,12260,"Augusta-Richmond County, GA-SC Metro Area",Bus,2015,590772.0,1,0,1690
387,12260,"Augusta-Richmond County, GA-SC Metro Area",Bus,2016,595147.0,1,1,4964
647,12260,"Augusta-Richmond County, GA-SC Metro Area",Bus,2017,600600.0,1,2,7932
934,12260,"Augusta-Richmond County, GA-SC Metro Area",Bus,2018,605783.5,1,3,11270
7,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Bus,2014,1943299.0,1,0,445
178,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Bus,2015,2000860.0,1,1,1690
388,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Bus,2016,2056405.0,1,2,4964
648,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Bus,2017,2115827.0,1,3,7932
935,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Bus,2018,2174279.75,1,4,11270
8,12540,"Bakersfield-Delano, CA Metro Area",Bus,2014,874589.0,1,0,445
179,12540,"Bakersfield-Delano, CA Metro Area",Bus,2015,882176.0,1,1,1690
389,12540,"Bakersfield-Delano, CA Metro Area",Bus,2016,884788.0,1,2,4964
649,12540,"Bakersfield-Delano, CA Metro Area",Bus,2017,893119.0,1,3,7932
936,12540,"Bakersfield-Delano, CA Metro Area",Bus,2018,900020.25,1,4,11270
1239,12580,"Baltimore-Towson, MD Metro Area",Bus,2013,2770738.0,1,0,103
9,12580,"Baltimore-Towson, MD Metro Area",Bus,2014,2785874.0,1,1,445
180,12580,"Baltimore-Towson, MD Metro Area",Bus,2015,2797407.0,1,2,1690
390,12580,"Baltimore-Towson, MD Metro Area",Bus,2016,2798886.0,1,3,4964
650,12580,"Baltimore-Towson, MD Metro Area",Bus,2017,2808175.0,1,4,7932
937,12580,"Baltimore-Towson, MD Metro Area",Bus,2018,2815511.5,1,5,11270
1240,12580,"Baltimore-Towson, MD Metro Area",Rail,2013,2770738.0,1,0,103
10,12580,"Baltimore-Towson, MD Metro Area",Rail,2014,2785874.0,1,1,445
181,12580,"Baltimore-Towson, MD Metro Area",Rail,2015,2797407.0,1,2,1690
391,12580,"Baltimore-Towson, MD Metro Area",Rail,2016,2798886.0,1,3,4964
651,12580,"Baltimore-Towson, MD Metro Area",Rail,2017,2808175.0,1,4,7932
938,12580,"Baltimore-Towson, MD Metro Area",Rail,2018,2815511.5,1,5,11270
392,12700,"Barnstable Town, MA Metro Area",Bus,2016,214276.0,1,0,4964
652,12700,"Barnstable Town, MA Metro Area",Bus,2017,213444.0,1,1,7932
939,12700,"Barnstable Town, MA Metro Area",Bus,2018,212805.75,1,2,11270
11,12940,"Baton Rouge, LA Metro Area",Bus,2014,825478.0,1,0,445
182,12940,"Baton Rouge, LA Metro Area",Bus,2015,830480.0,1,1,1690
393,12940,"Baton Rouge, LA Metro Area",Bus,2016,835175.0,1,2,4964
653,12940,"Baton Rouge, LA Metro Area",Bus,2017,834159.0,1,3,7932
940,12940,"Baton Rouge, LA Metro Area",Bus,2018,834570.75,1,4,11270
654,13020,"Bay City, MI Metro Area",Bus,2017,104239.0,1,0,7932
941,13020,"Bay City, MI Metro Area",Bus,2018,103630.0,1,1,11270
183,13140,"Beaumont-Port Arthur, TX Metro Area",Bus,2015,408216.0,1,0,1690
394,13140,"Beaumont-Port Arthur, TX Metro Area",Bus,2016,409901.0,1,1,4964
655,13140,"Beaumont-Port Arthur, TX Metro Area",Bus,2017,411339.0,1,2,7932
942,13140,"Beaumont-Port Arthur, TX Metro Area",Bus,2018,412838.75,1,3,11270
184,13380,"Bellingham, WA Metro Area",Bus,2015,212284.0,1,0,1690
395,13380,"Bellingham, WA Metro Area",Bus,2016,216800.0,1,1,4964
656,13380,"Bellingham, WA Metro Area",Bus,2017,221404.0,1,2,7932
943,13380,"Bellingham, WA Metro Area",Bus,2018,225986.0,1,3,11270
396,13460,"Bend, OR Metro Area",Bus,2016,181307.0,1,0,4964
657,13460,"Bend, OR Metro Area",Bus,2017,186875.0,1,1,7932
944,13460,"Bend, OR Metro Area",Bus,2018,192560.75,1,2,11270
397,13740,"Billings, MT Metro Area",Bus,2016,169736.0,1,0,4964
658,13740,"Billings, MT Metro Area",Bus,2017,172081.0,1,1,7932
945,13740,"Billings, MT Metro Area",Bus,2018,173941.5,1,2,11270
185,13780,"Binghamton, NY Metro Area",Bus,2015,246020.0,1,0,1690
398,13780,"Binghamton, NY Metro Area",Bus,2016,244094.0,1,1,4964
659,13780,"Binghamton, NY Metro Area",Bus,2017,242217.0,1,2,7932
946,13780,"Binghamton, NY Metro Area",Bus,2018,240327.75,1,3,11270
186,13820,"Birmingham-Hoover, AL Metro Area",Bus,2015,1145647.0,1,0,1690
399,13820,"Birmingham-Hoover, AL Metro Area",Bus,2016,1147417.0,1,1,4964
660,13820,"Birmingham-Hoover, AL Metro Area",Bus,2017,1149807.0,1,2,7932
947,13820,"Birmingham-Hoover, AL Metro Area",Bus,2018,1152042.0,1,3,11270
12,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",Bus,2014,181249.0,1,0,445
187,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",Bus,2015,179904.0,1,1,1690
400,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",Bus,2016,183411.0,1,2,4964
661,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",Bus,2017,181986.0,1,3,7932
948,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",Bus,2018,181794.0,1,4,11270
13,14020,"Bloomington, IN Metro Area",Bus,2014,164308.0,1,0,445
188,14020,"Bloomington, IN Metro Area",Bus,2015,165577.0,1,1,1690
401,14020,"Bloomington, IN Metro Area",Bus,2016,166336.0,1,2,4964
662,14020,"Bloomington, IN Metro Area",Bus,2017,167825.0,1,3,7932
949,14020,"Bloomington, IN Metro Area",Bus,2018,169131.5,1,4,11270
189,14060,"Bloomington-Normal, IL Metro Area",Bus,2015,188725.0,1,0,1690
402,14060,"Bloomington-Normal, IL Metro Area",Bus,2016,187326.0,1,1,4964
663,14060,"Bloomington-Normal, IL Metro Area",Bus,2017,186356.0,1,2,7932
950,14060,"Bloomington-Normal, IL Metro Area",Bus,2018,185278.75,1,3,11270
14,14260,"Boise City-Nampa, ID Metro Area",Bus,2014,666144.0,1,0,445
190,14260,"Boise City-Nampa, ID Metro Area",Bus,2015,675800.0,1,1,1690
403,14260,"Boise City-Nampa, ID Metro Area",Bus,2016,690214.0,1,2,4964
664,14260,"Boise City-Nampa, ID Metro Area",Bus,2017,710323.0,1,3,7932
951,14260,"Boise City-Nampa, ID Metro Area",Bus,2018,729008.25,1,4,11270
1211,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",Bus,2012,4640802.0,1,0,15
1241,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",Bus,2013,4684299.0,1,1,103
15,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",Bus,2014,4732161.0,1,2,445
191,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",Bus,2015,4774321.0,1,3,1690
404,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",Bus,2016,4794447.0,1,4,4964
665,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",Bus,2017,4836531.0,1,5,7932
952,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",Bus,2018,4873125.5,1,6,11270
1212,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",Rail,2012,4640802.0,1,0,15
1242,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",Rail,2013,4684299.0,1,1,103
16,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",Rail,2014,4732161.0,1,2,445
192,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",Rail,2015,4774321.0,1,3,1690
405,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",Rail,2016,4794447.0,1,4,4964
666,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",Rail,2017,4836531.0,1,5,7932
953,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",Rail,2018,4873125.5,1,6,11270
193,14740,"Bremerton-Silverdale, WA Metro Area",Bus,2015,260131.0,1,0,1690
406,14740,"Bremerton-Silverdale, WA Metro Area",Bus,2016,264811.0,1,1,4964
667,14740,"Bremerton-Silverdale, WA Metro Area",Bus,2017,266414.0,1,2,7932
954,14740,"Bremerton-Silverdale, WA Metro Area",Bus,2018,268786.25,1,3,11270
17,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",Bus,2014,945438.0,1,0,445
194,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",Bus,2015,948053.0,1,1,1690
407,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",Bus,2016,944177.0,1,2,4964
668,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",Bus,2017,949921.0,1,3,7932
955,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",Bus,2018,953260.0,1,4,11270
669,15180,"Brownsville-Harlingen, TX Metro Area",Bus,2017,423725.0,1,0,7932
956,15180,"Brownsville-Harlingen, TX Metro Area",Bus,2018,424912.25,1,1,11270
18,15380,"Buffalo-Niagara Falls, NY Metro Area",Bus,2014,1136360.0,1,0,445
195,15380,"Buffalo-Niagara Falls, NY Metro Area",Bus,2015,1135230.0,1,1,1690
408,15380,"Buffalo-Niagara Falls, NY Metro Area",Bus,2016,1132804.0,1,2,4964
670,15380,"Buffalo-Niagara Falls, NY Metro Area",Bus,2017,1136856.0,1,3,7932
957,15380,"Buffalo-Niagara Falls, NY Metro Area",Bus,2018,1139288.5,1,4,11270
19,15380,"Buffalo-Niagara Falls, NY Metro Area",Rail,2014,1136360.0,1,0,445
196,15380,"Buffalo-Niagara Falls, NY Metro Area",Rail,2015,1135230.0,1,1,1690
409,15380,"Buffalo-Niagara Falls, NY Metro Area",Rail,2016,1132804.0,1,2,4964
671,15380,"Buffalo-Niagara Falls, NY Metro Area",Rail,2017,1136856.0,1,3,7932
958,15380,"Buffalo-Niagara Falls, NY Metro Area",Rail,2018,1139288.5,1,4,11270
20,15540,"Burlington-South Burlington, VT Metro Area",Bus,2014,215824.0,1,0,445
197,15540,"Burlington-South Burlington, VT Metro Area",Bus,2015,216661.0,1,1,1690
410,15540,"Burlington-South Burlington, VT Metro Area",Bus,2016,217411.0,1,2,4964
672,15540,"Burlington-South Burlington, VT Metro Area",Bus,2017,218341.0,1,3,7932
959,15540,"Burlington-South Burlington, VT Metro Area",Bus,2018,219226.0,1,4,11270
21,15940,"Canton-Massillon, OH Metro Area",Bus,2014,403923.0,1,0,445
198,15940,"Canton-Massillon, OH Metro Area",Bus,2015,402976.0,1,1,1690
411,15940,"Canton-Massillon, OH Metro Area",Bus,2016,401281.0,1,2,4964
673,15940,"Canton-Massillon, OH Metro Area",Bus,2017,399927.0,1,3,7932
960,15940,"Canton-Massillon, OH Metro Area",Bus,2018,398487.75,1,4,11270
22,15980,"Cape Coral-Fort Myers, FL Metro Area",Bus,2014,679513.0,1,0,445
199,15980,"Cape Coral-Fort Myers, FL Metro Area",Bus,2015,701982.0,1,1,1690
412,15980,"Cape Coral-Fort Myers, FL Metro Area",Bus,2016,722336.0,1,2,4964
674,15980,"Cape Coral-Fort Myers, FL Metro Area",Bus,2017,739224.0,1,3,7932
961,15980,"Cape Coral-Fort Myers, FL Metro Area",Bus,2018,756978.5,1,4,11270
23,16300,"Cedar Rapids, IA Metro Area",Bus,2014,263885.0,1,0,445
200,16300,"Cedar Rapids, IA Metro Area",Bus,2015,266040.0,1,1,1690
413,16300,"Cedar Rapids, IA Metro Area",Bus,2016,267799.0,1,2,4964
675,16300,"Cedar Rapids, IA Metro Area",Bus,2017,270293.0,1,3,7932
962,16300,"Cedar Rapids, IA Metro Area",Bus,2018,272603.25,1,4,11270
201,16580,"Champaign-Urbana, IL Metro Area",Bus,2015,239672.0,1,0,1690
414,16580,"Champaign-Urbana, IL Metro Area",Bus,2016,239872.0,1,1,4964
676,16580,"Champaign-Urbana, IL Metro Area",Bus,2017,241000.0,1,2,7932
963,16580,"Champaign-Urbana, IL Metro Area",Bus,2018,241896.0,1,3,11270
24,16620,"Charleston, WV Metro Area",Bus,2014,223371.0,1,0,445
202,16620,"Charleston, WV Metro Area",Bus,2015,219236.0,1,1,1690
415,16620,"Charleston, WV Metro Area",Bus,2016,219579.0,1,2,4964
677,16620,"Charleston, WV Metro Area",Bus,2017,215089.0,1,3,7932
964,16620,"Charleston, WV Metro Area",Bus,2018,211807.25,1,4,11270
25,16700,"Charleston-North Charleston-Summerville, SC Metro Area",Bus,2014,727689.0,1,0,445
203,16700,"Charleston-North Charleston-Summerville, SC Metro Area",Bus,2015,744526.0,1,1,1690
416,16700,"Charleston-North Charleston-Summerville, SC Metro Area",Bus,2016,761155.0,1,2,4964
678,16700,"Charleston-North Charleston-Summerville, SC Metro Area",Bus,2017,775831.0,1,3,7932
965,16700,"Charleston-North Charleston-Summerville, SC Metro Area",Bus,2018,790995.25,1,4,11270
1243,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",Bus,2013,2335358.0,1,0,103
26,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",Bus,2014,2380314.0,1,1,445
204,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",Bus,2015,2426363.0,1,2,1690
417,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",Bus,2016,2474314.0,1,3,4964
679,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",Bus,2017,2525305.0,1,4,7932
966,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",Bus,2018,2575536.0,1,5,11270
1244,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",Rail,2013,2335358.0,1,0,103
27,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",Rail,2014,2380314.0,1,1,445
205,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",Rail,2015,2426363.0,1,2,1690
418,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",Rail,2016,2474314.0,1,3,4964
680,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",Rail,2017,2525305.0,1,4,7932
967,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",Rail,2018,2575536.0,1,5,11270
28,16860,"Chattanooga, TN-GA Metro Area",Bus,2014,543153.0,1,0,445
206,16860,"Chattanooga, TN-GA Metro Area",Bus,2015,546351.0,1,1,1690
419,16860,"Chattanooga, TN-GA Metro Area",Bus,2016,551200.0,1,2,4964
681,16860,"Chattanooga, TN-GA Metro Area",Bus,2017,554876.0,1,3,7932
968,16860,"Chattanooga, TN-GA Metro Area",Bus,2018,558845.25,1,4,11270
29,16860,"Chattanooga, TN-GA Metro Area",Rail,2014,543153.0,1,0,445
207,16860,"Chattanooga, TN-GA Metro Area",Rail,2015,546351.0,1,1,1690
420,16860,"Chattanooga, TN-GA Metro Area",Rail,2016,551200.0,1,2,4964
682,16860,"Chattanooga, TN-GA Metro Area",Rail,2017,554876.0,1,3,7932
969,16860,"Chattanooga, TN-GA Metro Area",Rail,2018,558845.25,1,4,11270
1213,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",Bus,2012,9522446.0,1,1,15
1245,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",Bus,2013,9537040.0,1,2,103
30,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",Bus,2014,9553810.0,1,3,445
208,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",Bus,2015,9550108.0,1,4,1690
421,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",Bus,2016,9512968.0,1,5,4964
683,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",Bus,2017,9533895.0,1,6,7932
970,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",Bus,2018,9540305.25,1,7,11270
1214,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",Rail,2012,9522446.0,1,1,15
1246,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",Rail,2013,9537040.0,1,2,103
31,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",Rail,2014,9553810.0,1,3,445
209,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",Rail,2015,9550108.0,1,4,1690
422,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",Rail,2016,9512968.0,1,5,4964
684,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",Rail,2017,9533895.0,1,6,7932
971,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",Rail,2018,9540305.25,1,7,11270
210,17020,"Chico, CA Metro Area",Bus,2015,225411.0,1,0,1690
423,17020,"Chico, CA Metro Area",Bus,2016,226864.0,1,1,4964
685,17020,"Chico, CA Metro Area",Bus,2017,229294.0,1,2,7932
972,17020,"Chico, CA Metro Area",Bus,2018,231479.75,1,3,11270
32,17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",Bus,2014,2149971.0,1,0,445
211,17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",Bus,2015,2159329.0,1,1,1690
424,17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",Bus,2016,2161441.0,1,2,4964
686,17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",Bus,2017,2180746.0,1,3,7932
973,17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",Bus,2018,2195752.75,1,4,11270
425,17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",Rail,2016,2161441.0,1,2,4964
687,17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",Rail,2017,2180746.0,1,3,7932
974,17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",Rail,2018,2195752.75,1,4,11270
33,17460,"Cleveland-Elyria-Mentor, OH Metro Area",Bus,2014,2063598.0,1,0,445
212,17460,"Cleveland-Elyria-Mentor, OH Metro Area",Bus,2015,2060810.0,1,1,1690
426,17460,"Cleveland-Elyria-Mentor, OH Metro Area",Bus,2016,2055612.0,1,2,4964
688,17460,"Cleveland-Elyria-Mentor, OH Metro Area",Bus,2017,2058844.0,1,3,7932
975,17460,"Cleveland-Elyria-Mentor, OH Metro Area",Bus,2018,2059968.5,1,4,11270
34,17460,"Cleveland-Elyria-Mentor, OH Metro Area",Rail,2014,2063598.0,1,0,445
213,17460,"Cleveland-Elyria-Mentor, OH Metro Area",Rail,2015,2060810.0,1,1,1690
427,17460,"Cleveland-Elyria-Mentor, OH Metro Area",Rail,2016,2055612.0,1,2,4964
689,17460,"Cleveland-Elyria-Mentor, OH Metro Area",Rail,2017,2058844.0,1,3,7932
976,17460,"Cleveland-Elyria-Mentor, OH Metro Area",Rail,2018,2059968.5,1,4,11270
35,17780,"College Station-Bryan, TX Metro Area",Bus,2014,239953.0,1,0,445
214,17780,"College Station-Bryan, TX Metro Area",Bus,2015,250145.0,1,1,1690
428,17780,"College Station-Bryan, TX Metro Area",Bus,2016,254716.0,1,2,4964
690,17780,"College Station-Bryan, TX Metro Area",Bus,2017,258860.0,1,3,7932
977,17780,"College Station-Bryan, TX Metro Area",Bus,2018,263110.75,1,4,11270
36,17820,"Colorado Springs, CO Metro Area",Bus,2014,686908.0,1,0,445
215,17820,"Colorado Springs, CO Metro Area",Bus,2015,697856.0,1,1,1690
429,17820,"Colorado Springs, CO Metro Area",Bus,2016,712327.0,1,2,4964
691,17820,"Colorado Springs, CO Metro Area",Bus,2017,723878.0,1,3,7932
978,17820,"Colorado Springs, CO Metro Area",Bus,2018,736159.0,1,4,11270
37,17860,"Columbia, MO Metro Area",Bus,2014,172717.0,1,0,445
216,17860,"Columbia, MO Metro Area",Bus,2015,174974.0,1,1,1690
430,17860,"Columbia, MO Metro Area",Bus,2016,176594.0,1,2,4964
692,17860,"Columbia, MO Metro Area",Bus,2017,178271.0,1,3,7932
979,17860,"Columbia, MO Metro Area",Bus,2018,179933.75,1,4,11270
38,17900,"Columbia, SC Metro Area",Bus,2014,800752.0,1,0,445
217,17900,"Columbia, SC Metro Area",Bus,2015,810574.0,1,1,1690
431,17900,"Columbia, SC Metro Area",Bus,2016,816450.0,1,2,4964
693,17900,"Columbia, SC Metro Area",Bus,2017,825004.0,1,3,7932
980,17900,"Columbia, SC Metro Area",Bus,2018,832888.5,1,4,11270
1247,18140,"Columbus, OH Metro Area",Bus,2013,1967066.0,1,0,103
39,18140,"Columbus, OH Metro Area",Bus,2014,1994536.0,1,1,445
218,18140,"Columbus, OH Metro Area",Bus,2015,2021632.0,1,2,1690
432,18140,"Columbus, OH Metro Area",Bus,2016,2041520.0,1,3,4964
694,18140,"Columbus, OH Metro Area",Bus,2017,2078725.0,1,4,7932
981,18140,"Columbus, OH Metro Area",Bus,2018,2111600.75,1,5,11270
40,18580,"Corpus Christi, TX Metro Area",Bus,2014,443480.0,1,0,445
219,18580,"Corpus Christi, TX Metro Area",Bus,2015,450436.0,1,1,1690
433,18580,"Corpus Christi, TX Metro Area",Bus,2016,452790.0,1,2,4964
695,18580,"Corpus Christi, TX Metro Area",Bus,2017,449830.0,1,3,7932
982,18580,"Corpus Christi, TX Metro Area",Bus,2018,448198.5,1,4,11270
696,18700,"Corvallis, OR Metro Area",Bus,2017,90951.0,1,0,7932
983,18700,"Corvallis, OR Metro Area",Bus,2018,92578.75,1,1,11270
434,18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",Bus,2016,267059.0,1,0,4964
697,18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",Bus,2017,271346.0,1,1,7932
984,18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",Bus,2018,275783.0,1,2,11270
1215,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",Bus,2012,6647496.0,1,0,15
1248,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",Bus,2013,6812373.0,1,1,103
41,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",Bus,2014,6954003.0,1,2,445
220,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",Bus,2015,7102165.0,1,3,1690
