RAIL_FLAG,CLUSTER_APTA4,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_2012,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_cleaned_2018,POP_EMP,TSD_POP_EMP_PCT,GAS_PRICE_2018,PCT_HH_NO_VEH,JTW_HOME_PCT,MAINTENANCE_WMATA,RESTRUCTURE,YEARS_SINCE_TNC_BUS_NY,YEARS_SINCE_TNC_BUS_HI,YEARS_SINCE_TNC_BUS_MID,YEARS_SINCE_TNC_BUS_LOW,YEARS_SINCE_TNC_RAIL_NY,YEARS_SINCE_TNC_RAIL_HI,YEARS_SINCE_TNC_RAIL_MID,BIKE_SHARE,scooter_flag,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,MAINTENANCE_WMATA_FAC,RESTRUCTURE_FAC,YEARS_SINCE_TNC_BUS_NY_FAC,YEARS_SINCE_TNC_BUS_HI_FAC,YEARS_SINCE_TNC_BUS_MID_FAC,YEARS_SINCE_TNC_BUS_LOW_FAC,YEARS_SINCE_TNC_RAIL_NY_FAC,YEARS_SINCE_TNC_RAIL_HI_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change
0,10.0,2016,100,1201007994.0000014,1032661299.0,997331165.9999996,999255570.0000013,1924404.000001669,969608789.1762193,-20798327.19341743,232107588.99999964,1.68756526155,29437697.49999995,0.7142650075002228,2.4255,29.879999999999995,4.5,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1536154.6850284284,-1048355.7452555546,464154.856399848,1057719.1918907105,-2991036.3694481566,-3368073.4752503806,-4641661.235692002,0.0,0.0,-9038717.17208097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21102124.634464934,-20943730.681877468,22868134.681879137,0.0,1924404.000001669
0,10.0,2017,100,1201007994.0000014,1032661299.0,999255570.0000013,942661585.999999,-56593984.000002265,958513856.345077,-11094932.831142306,230935446.9999999,1.7337943710600001,29668394.669999976,0.7155507514900755,2.6928000000000005,30.000000000000004,4.5,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2771170.1678743483,-7473877.184062573,1799117.8581676825,1784659.3100706318,2899230.665297391,1399717.3476571487,0.0,0.0,0.0,-9056157.861867692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11418480.032611761,-11434171.754686808,-45159812.245315455,0.0,-56593984.000002265
0,10.0,2018,100,1201007994.0000014,1032661299.0,942661585.999999,935808062.9999993,-6853522.999999762,951534027.088796,-6979829.256281018,230662402.0000001,1.7232403280000002,29807700.83999996,0.7144049260778089,2.9199999999999995,30.010000000000005,4.6,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-611526.2749089962,1606456.8278891149,1018120.2358144969,-1497840.957956686,2172694.7524002306,109966.31382211305,-1098725.5773325535,0.0,0.0,-8543251.986210642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6844106.666482923,-6864394.1589158075,10871.158916045912,0.0,-6853522.999999762
1,1.0,2002,150,1292016171.9999993,1615530131.0,0.0,1292016171.9999993,0.0,1172616959.6439939,0.0,49814785.82760192,1.6449755572275602,8445944.209983494,0.44361978439460165,1.9566243795576885,11.080959921196712,3.903983803230599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1292016171.9999993,1292016171.9999993
1,1.0,2003,150,1292016171.9999993,1615530131.0,1292016171.9999993,1278422089.9999995,-13594081.99999951,1476187940.3624744,41280391.25643152,53476957.51965334,1.6347740643854307,8588747.439730044,0.4476318255022279,2.234740756442172,10.99289217665458,3.903983803230599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43924184.013791755,1340092.885547186,5425089.548914507,-9693700.4286034,4454800.329288698,-1322165.9151725194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40073988.499619454,39737809.70788696,-49569947.70788683,0.0,-9832137.999999871
1,1.0,2004,160,1299712058.9999993,1626917221.0,1278422089.9999995,1357509238.0000007,71391261.00000082,1520718409.7617006,35792984.83907564,53624570.06095655,1.603999765257398,8759934.671476807,0.4461696202749582,2.5567289224811294,10.884847513136755,3.898038989649783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16446527.708363228,8313530.741037529,6505171.097377645,-2654087.1379957227,4720097.295196768,-1306865.3802181398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32024374.3237613,32767185.29937085,38624075.700629964,7695887.0000000065,79087148.00000083
1,1.0,2005,170,1307613726.9999993,1638115735.0,1357509238.0000007,1408403510.999999,42992604.99999858,1546164198.5036008,14889065.470915066,53761949.449261285,1.6174486989549746,8923104.812141366,0.44459389519170467,3.015798909870116,10.763717372852264,3.8998636842086314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6802424.6597345825,-3882155.91978412,7059820.39583112,-1899276.7843839955,6384542.348344646,-1456461.7917825785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13008892.907959653,12886691.001968365,30105913.998030216,7901667.999999994,50894272.99999857
1,1.0,2006,170,1307613726.9999993,1638115735.0,1408403510.999999,1469130430.0000007,60726919.00000182,1576478478.521992,30314280.018391218,55473498.63377548,1.6598973475673562,9174149.74755593,0.4445286803743289,3.307445202756731,10.693748670955944,4.16677204054772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31206227.543837048,-8761267.094367677,9317728.716657022,-11803.380011474248,3815411.576800847,-1176647.1370761609,-4411174.777390165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29978475.44844944,29646899.87867611,31080019.121325713,0.0,60726919.00000182
1,1.0,2007,170,1307613726.9999993,1638115735.0,1469130430.0000007,1495052844.0000002,25922413.999999456,1609093022.400191,32614543.878199294,59233535.89410471,1.6705105768762236,9238295.083126336,0.4366069840514481,3.472144844724852,10.55285663823564,4.381753284393289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54786605.029626146,-3262101.3633631393,2674234.326826881,-15733150.059263773,2118672.5785935135,-2329143.321916967,-3688154.435424507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34566962.75507817,33296655.733309984,-7374241.733310524,0.0,25922413.999999456
1,1.0,2008,170,1307613726.9999993,1638115735.0,1495052844.0000002,1569203376.000001,74150532.00000069,1637258609.6412144,28165587.241023242,60581042.589064464,1.7239372857732649,9282061.638698101,0.44021721953809034,3.905201949835374,10.69754050976707,4.477509349517557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18901792394536435,0.0,24559815.611260056,-14010901.25279956,2264453.8620086443,7083965.981346432,5344065.018687169,2525887.4463014286,-1564389.3275588863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-471692.1406149285,0.0,25731205.198630366,25414521.265437506,48736010.73456317,0.0,74150532.00000069
