RAIL_FLAG,CLUSTER_APTA4,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_2012,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_cleaned_2018_HINY,FARE_per_UPT_cleaned_2018_MIDLOW,POP_EMP,TSD_POP_EMP_PCT,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,JTW_HOME_PCT,MAINTENANCE_WMATA,TTI_CONG_PER_COMMUTER_RAIL,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_HINY,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_MID_OPEX,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_LOW_OPEX,TNC_TRIPS_PER_CAPITA_CLUSTER_RAIL_HINY,TNC_TRIPS_PER_CAPITA_CLUSTER_RAIL_MID_OPEX,BIKE_SHARE,scooter_flag,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_HINY_log_FAC,FARE_per_UPT_cleaned_2018_MIDLOW_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,MAINTENANCE_WMATA_FAC,TTI_CONG_PER_COMMUTER_RAIL_log_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_HINY_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_MID_OPEX_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_LOW_OPEX_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_RAIL_HINY_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_RAIL_MID_OPEX_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change
0,2.0,2017,1460,834611629.0000001,961216518.0,871357915.0,831552342.0000001,-39805573.00000009,827545788.7366589,-20600879.598018445,12281198.976827214,0.0,1.0133404202490515,2723302.8340536105,0.32283668878671495,2.5871111280765544,31229.15029256711,7.447846200594936,5.1713650493599825,0.0,0.0,0.0,3.4755910363669273,0.0,0.0,0.0,0.73091161422099,0.0,5830026.037494384,0.0,2871287.3049121858,5131704.932465469,-515296.78548987175,7596990.758528555,-876575.4215376631,-2409807.3405940975,-901213.2851739245,0.0,0.0,0.0,-34889048.37104166,0.0,0.0,0.0,-1939504.6693585122,0.0,-20301714.488892417,-20829151.98633722,-18767767.01366288,0.0,-39596919.00000009
0,2.0,2018,1460,834611629.0000001,961216518.0,831552342.0000001,809531783.0000001,-22020558.999999903,856638760.5794713,24982530.717072632,12605880.249967996,0.0,1.0085579264681765,2755043.820597202,0.3266516078332754,2.8661268903790953,31624.666409858393,7.199429888269627,5.46755028277949,0.0,0.0,0.0,2.7292726973254298,0.0,0.0,0.0,0.8247575867409823,0.41079761662415076,10787648.29326853,0.0,3863249.383004497,4454716.967778578,718929.2338824493,8823442.782924019,-2083030.6086193775,-1955641.450632117,-1119086.2314687765,0.0,0.0,0.0,20074039.877109025,0.0,0.0,0.0,-1855261.2413532853,-16722138.325346593,24601659.378771387,24467506.454423614,-46473958.454423524,0.0,-22006451.999999903
0,3.0,2002,1590,93361892.0,126415320.0,0.0,93361892.0,0.0,90114040.19015126,0.0,2436593.4779696306,0.0,0.9032781122438395,625427.9987299526,0.24101167174693017,1.9327110653241693,34213.9259747588,6.686646296435381,3.3043487636261704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03037252072826459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93361892.0,93361892.0
0,3.0,2003,1881,107017640.0,144172399.0,93361892.0,106709732.00000003,-307907.99999998417,106862791.89314272,4358079.146288959,2233198.8911159504,0.0,0.858391245666022,606473.7860828445,0.23853130071381315,2.175428902625773,33123.494929623936,6.827657074011349,3.1964995583905607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026496902753602117,0.0,412321.87236603536,0.0,786183.3426384964,1240271.2521234036,-158524.7510879672,1091260.8225100117,678116.0430075914,130883.37960897169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4245532.173510755,4437050.441402413,-4744357.441402396,13655748.0,13348441.000000015
0,3.0,2004,2467,151968379.0,195328644.0,106709732.00000003,152484264.0,823792.9999999804,156752561.2267322,6280869.267686108,2306245.577937355,0.0,0.8526077429221257,611693.8400438278,0.24408513500852574,2.4979813251360663,30558.561992459043,7.066984276182877,3.1096136229761324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018659381765202616,0.0,1778984.7015723465,0.0,271705.5041862756,1640697.3229624701,-12349.062085456924,1476913.818423609,1039202.7043548973,108304.58561210884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6296980.043443256,6501378.056893647,-5680592.056893664,44950739.0,45771524.999999985
0,3.0,2005,3019,179482597.0,231594576.0,152484264.0,183906927.0,3908444.9999999935,189594727.38688254,4906685.403538921,2099012.6453733784,0.0,0.832919993749873,623605.4970942934,0.23106518352019925,2.963679865403886,29296.88526487322,7.045178511596865,3.1541646759211988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01579894679148196,0.0,-2101278.8349948544,0.0,506933.9634561601,2565007.6811928977,-391684.15914509166,2789024.4566348833,1302248.623643159,153073.85435083456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4743669.063659176,4816087.687191162,-985838.6871911683,27514218.0,31344466.999999993
0,3.0,2006,3637,205950695.0,264702125.0,183906927.0,223127262.00000003,12752237.000000034,230634036.49639022,13266472.039238278,1996582.2992606508,0.0,0.8587490219638221,625346.506410734,0.22820859414647335,3.25527416816923,27812.987350267256,7.024741965886544,3.5884451611100414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013768518722405865,0.0,4630692.984438576,0.0,-273165.4307266299,3295735.0031746207,-37122.340702482776,1824308.1233463038,2187231.66282996,226049.41502244922,-280322.0555537071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11646469.714218019,12105320.127585977,683653.8724140581,26468097.999999993,39257072.00000003
0,3.0,2007,3929,218134244.0,278272739.0,223127262.00000003,244013701.0,8702889.999999989,250808074.65214723,7142901.730491498,2003873.1521186286,0.0,0.8553307482958121,623133.823903214,0.22073030793252674,3.433478254874552,28098.797510458066,7.174146498245368,3.719708442017935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01299949951920433,0.0,4701463.423893548,0.0,324213.38855526387,1287090.5082234568,-359417.19581496,1321226.2108478674,-525749.5951360698,211095.73982852855,-146414.24764765982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6722822.860685479,6736709.164204938,1888027.8357950486,12183549.000000002,20808285.99999998
0,3.0,2008,3961,222149843.0,283132628.0,244013701.0,265912325.0,17883025.00000001,262585285.59778285,7150772.52354146,2045451.3560733872,0.0,0.8367588098993162,631406.7649657473,0.2142332512508587,3.8553356378928423,28303.270758760606,7.135702416409093,3.721821454539583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012764519486966282,0.0,2600326.4253892275,0.0,1189797.6832689466,459966.91466802853,-451910.37137477135,3178333.292104691,-337985.4827657762,-53280.3493131712,31831.41666040377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6578169.200443418,6674629.617301091,11232641.382698921,4015598.999999997,21922870.0
0,3.0,2009,4061,235398184.0,298120651.0,265912325.0,271144146.99999994,-8016519.000000027,267145009.20461026,-7815650.654757428,2019529.288407386,0.0,0.8788058380979518,609605.2800536654,0.2208146492497639,2.786362418891047,26722.04127340166,7.178415948952266,3.718743516729932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012046125215647373,0.0,2186060.132036287,0.0,-4140926.469225693,-454791.5452862554,744539.7409877158,-9266753.819742028,2786484.207659027,233670.2017959222,45163.73241844032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7796825.094825713,-7866086.985916115,-113445.01408391568,13248340.999999993,5268808.999999962
