RAIL_FLAG,CLUSTER_APTA4,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_2012,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_cleaned_2018_HINY,FARE_per_UPT_cleaned_2018_MIDLOW,POP_EMP,TSD_POP_EMP_PCT,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,JTW_HOME_PCT,MAINTENANCE_WMATA,TTI_CONG_PER_COMMUTER_RAIL,YEARS_SINCE_TNC_BUS_NY,YEARS_SINCE_TNC_BUS_HI,YEARS_SINCE_TNC_BUS_MID,YEARS_SINCE_TNC_BUS_LOW,YEARS_SINCE_TNC_RAIL_NY,YEARS_SINCE_TNC_RAIL_HI,YEARS_SINCE_TNC_RAIL_MID,BIKE_SHARE,scooter_flag,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_HINY_log_FAC,FARE_per_UPT_cleaned_2018_MIDLOW_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,MAINTENANCE_WMATA_FAC,TTI_CONG_PER_COMMUTER_RAIL_log_FAC,YEARS_SINCE_TNC_BUS_NY_FAC,YEARS_SINCE_TNC_BUS_HI_FAC,YEARS_SINCE_TNC_BUS_MID_FAC,YEARS_SINCE_TNC_BUS_LOW_FAC,YEARS_SINCE_TNC_RAIL_NY_FAC,YEARS_SINCE_TNC_RAIL_HI_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change
0,3.0,2005,3019,179482597.0,231594576.0,152484264.0,183906927.0,3908444.9999999935,189644443.75625098,5190348.752546568,2099012.6453733784,0.0,0.832919993749873,623605.4970942934,0.23106518352019925,2.963679865403886,29296.88526487322,7.045178511596865,3.1541646759211988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01579894679148196,0.0,-2070647.9363461316,0.0,511635.8457601409,2488212.590442572,-443696.8048099352,3154768.809289391,1302646.8233181587,144892.67568098637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5006751.008597553,5080019.906149132,-1249770.9061491394,27514218.0,31344466.999999993
0,3.0,2006,3637,205950695.0,264702125.0,183906927.0,223127262.00000003,12752237.000000034,230566240.90829274,13204323.785772834,1996582.2992606508,0.0,0.8587490219638221,625346.506410734,0.22820859414647335,3.25527416816923,27812.987350267256,7.024741965886544,3.5884451611100414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013768518722405865,0.0,4539318.766910093,0.0,-273614.04149599693,3197041.1149180382,-41883.90694710345,2062420.9283602708,2187902.723309342,213695.67646626878,-383811.00869779603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11571146.922540382,12027045.319220383,761928.6807796513,26468097.999999993,39257072.00000003
0,3.0,2007,3929,218134244.0,278272739.0,223127262.00000003,244013701.0,8702889.999999989,250646909.90967095,7090225.349390952,2003873.1521186286,0.0,0.8553307482958121,623133.823903214,0.22073030793252674,3.433478254874552,28098.797510458066,7.174146498245368,3.719708442017935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01299949951920433,0.0,4619217.877501591,0.0,327978.6393375731,1248683.356557433,-406948.42745230615,1493333.897854544,-525907.5779695541,199378.67606979437,-199851.9713366151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6667218.486500539,6678264.340221705,1946472.6597782797,12183549.000000002,20808285.99999998
0,3.0,2008,3961,222149843.0,283132628.0,244013701.0,265912325.0,17883025.00000001,262771943.45807484,7472716.012944006,2045451.3560733872,0.0,0.8367588098993162,631406.7649657473,0.2142332512508587,3.8553356378928423,28303.270758760606,7.135702416409093,3.721821454539583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012764519486966282,0.0,2554036.106772271,0.0,1200451.4353023847,446264.7678583209,-511048.86362230376,3593928.773943332,-338085.4102961049,-51045.91465571889,45568.49790038953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6899835.9947635075,6995646.993046019,10911624.006954001,4015598.999999997,21922870.0
0,3.0,2009,4061,235398184.0,298120651.0,265912325.0,271144146.99999994,-8016519.000000027,266235651.63419604,-8938652.477603374,2019529.288407386,0.0,0.8788058380979518,609605.2800536654,0.2208146492497639,2.786362418891047,26722.04127340166,7.178415948952266,3.718743516729932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012046125215647373,0.0,2147465.7683657496,0.0,-4173421.4624605677,-441397.7209790968,844971.2583327305,-10445562.83205936,2787340.1032436714,220786.8674978904,63342.277030742815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8921791.334164213,-8998510.493572187,1018978.4935721577,13248340.999999993,5268808.999999962
0,3.0,2010,4125,237168721.0,301099961.0,271144146.99999994,275991775.00000006,3077091.000000014,277019756.6024629,8635265.656221095,1978915.2493904748,0.0,0.8611925140160182,612874.2069129604,0.22330040009627147,3.2463067363760847,26688.25603915409,7.435073328493428,4.076624109719761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028423094628907665,0.0,974611.4687192154,0.0,1493668.4838449792,970277.8594023233,336572.454514311,5047202.777250654,-161278.03399093205,668741.921173338,-512448.8649403354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-62374.78125092508,0.0,8712639.142837167,8880253.483700147,-5775183.483700137,1770537.0000000014,4875607.000000015
0,3.0,2011,4190,238441735.0,302346992.0,275991775.00000006,293951540.0,16686751.00000002,287836592.0739623,10133646.099699862,1946387.8468207,0.0,0.826897736791989,614648.4643480967,0.21560801705150962,3.989888700422348,26432.95466378652,7.489976490692788,3.942773775740224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02827134687641826,0.0,-344119.623490134,0.0,2624257.5136007844,736675.7300104012,-877490.0519701543,7294327.178732458,330783.3884797225,248799.78877944528,153841.0416920525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10090259.943113854,10163706.172030881,6440523.82796914,1273013.9999999995,17877244.000000022
0,3.0,2012,4289,244651063.0,308556320.0,293951540.0,308556319.99999994,8395451.999999909,295123500.8786673,456589.5352848633,1935564.754765754,0.0,0.8282175769253152,608223.9675215333,0.20287939749310768,3.9967645859037226,25928.146323228397,7.330939047953371,3.796474549141856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038681875663871546,0.0,725998.5050767648,0.0,-336210.1530846718,974328.2203142392,-1436282.9411100517,76911.88197939424,978301.9400956297,-294550.40386014816,218294.54766314442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40496.26047083836,0.0,936862.9508205265,1075214.0320801192,7288351.967919791,6209327.999999999,14572893.999999912
0,3.0,2013,4289,244651063.0,308556320.0,308556319.99999994,305701207.0,-2855112.999999877,290902676.6294028,-4220824.249264388,1946060.6725757904,0.0,0.886742509388547,617901.4056732748,0.20234804564720724,3.846750424908639,25948.276808231323,7.338880297896927,3.7100248896118644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038681875663871546,0.0,1603502.8574460607,0.0,-6339534.55436518,1722182.929332283,-60100.37720182458,-1510037.8879283734,-20511.56642117242,87424.19506806825,184363.9143268262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4288096.797907857,-4308969.076289499,1517249.0762896223,0.0,-2791719.999999877
0,3.0,2014,4289,244651063.0,308556320.0,305701207.0,305480098.0,-221109.00000005407,293435966.87349164,2533290.244088674,1979471.6415816392,0.0,0.8755863848710329,622817.909209027,0.19973660886183878,3.633806426952659,26285.55047723222,7.44553066439346,3.876277225903572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05645668500528855,0.0,4798132.43151366,0.0,468743.1305786652,1021133.6310918733,-334908.3071857151,-2217236.2750039566,-847510.8392044746,106671.75078756957,-323764.0922347312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-93483.13870287956,0.0,2578493.7364732404,2699072.999369888,-2867823.999369941,0.0,-168751.00000005338
