,CBSA,MNAME,Mode,Year,Mecha_Failures,Other_Failures,Total_Failures,MDBF_Exclude,MDBF_Notes
259,12020,"Athens-Clarke County, GA Metro Area",Bus,2006,25,108,133,0,
260,12020,"Athens-Clarke County, GA Metro Area",Bus,2007,20,103,123,0,
261,12020,"Athens-Clarke County, GA Metro Area",Bus,2008,23,136,159,0,
262,12020,"Athens-Clarke County, GA Metro Area",Bus,2009,42,625,667,0,
263,12020,"Athens-Clarke County, GA Metro Area",Bus,2010,55,629,684,0,
264,12020,"Athens-Clarke County, GA Metro Area",Bus,2011,36,639,675,0,
265,12020,"Athens-Clarke County, GA Metro Area",Bus,2012,53,619,672,0,
266,12020,"Athens-Clarke County, GA Metro Area",Bus,2013,28,598,626,0,
267,12020,"Athens-Clarke County, GA Metro Area",Bus,2014,26,564,590,0,
268,12020,"Athens-Clarke County, GA Metro Area",Bus,2015,36,588,624,0,
269,12020,"Athens-Clarke County, GA Metro Area",Bus,2016,35,282,317,0,
270,12020,"Athens-Clarke County, GA Metro Area",Bus,2017,106,221,327,0,
271,12020,"Athens-Clarke County, GA Metro Area",Bus,2018,105,259,364,0,
272,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Bus,2002,10544,504,11048,0,
273,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Bus,2003,10030,519,10549,0,
274,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Bus,2004,8215,570,8785,0,
275,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Bus,2005,5755,1181,6936,0,
276,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Bus,2006,5846,1299,7145,0,
277,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Bus,2007,8304,2200,10504,0,
278,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Bus,2008,9364,1834,11198,0,
279,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Bus,2009,10991,2705,13696,0,
280,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Bus,2010,9605,2365,11970,0,
281,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Bus,2011,6174,2654,8828,0,
282,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Bus,2012,5929,2877,8806,0,
283,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Bus,2013,6634,2969,9603,0,
284,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Bus,2014,7232,2427,9659,0,
285,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Bus,2015,4882,1714,6596,0,
286,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Bus,2016,4460,1620,6080,0,
287,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Bus,2017,7010,2017,9027,0,
288,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Bus,2018,8177,3339,11516,0,
289,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Rail,2002,1130,392,1522,0,
290,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Rail,2003,1107,364,1471,0,
291,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Rail,2004,10072,892,10964,1,Wacky
292,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Rail,2005,13476,1278,14754,1,Wacky
293,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Rail,2006,13425,1150,14575,1,Wacky
294,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Rail,2007,1964,98,2062,0,
295,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Rail,2008,1966,97,2063,0,
296,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Rail,2009,1222,60,1282,0,
297,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Rail,2010,919,74,993,0,
298,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Rail,2011,422,160,582,0,
299,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Rail,2012,736,182,918,0,
300,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Rail,2013,768,146,914,0,
301,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Rail,2014,822,160,982,0,
302,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Rail,2015,743,232,975,0,
303,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Rail,2016,797,250,1047,0,
304,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Rail,2017,788,168,956,0,
305,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Rail,2018,798,179,977,0,
306,12260,"Augusta-Richmond County, GA-SC Metro Area",Bus,2002,89,110,199,0,
307,12260,"Augusta-Richmond County, GA-SC Metro Area",Bus,2003,94,138,232,0,
308,12260,"Augusta-Richmond County, GA-SC Metro Area",Bus,2004,119,112,231,0,
309,12260,"Augusta-Richmond County, GA-SC Metro Area",Bus,2005,130,78,208,0,
310,12260,"Augusta-Richmond County, GA-SC Metro Area",Bus,2006,123,76,199,0,
311,12260,"Augusta-Richmond County, GA-SC Metro Area",Bus,2007,95,132,227,0,
312,12260,"Augusta-Richmond County, GA-SC Metro Area",Bus,2008,84,169,253,0,
313,12260,"Augusta-Richmond County, GA-SC Metro Area",Bus,2009,81,162,243,0,
314,12260,"Augusta-Richmond County, GA-SC Metro Area",Bus,2010,152,108,260,0,
315,12260,"Augusta-Richmond County, GA-SC Metro Area",Bus,2011,88,132,220,0,
316,12260,"Augusta-Richmond County, GA-SC Metro Area",Bus,2012,92,127,219,0,
317,12260,"Augusta-Richmond County, GA-SC Metro Area",Bus,2013,117,124,241,0,
318,12260,"Augusta-Richmond County, GA-SC Metro Area",Bus,2014,288,118,406,0,
319,12260,"Augusta-Richmond County, GA-SC Metro Area",Bus,2015,103,183,286,0,
320,12260,"Augusta-Richmond County, GA-SC Metro Area",Bus,2016,268,124,392,0,
321,12260,"Augusta-Richmond County, GA-SC Metro Area",Bus,2017,305,143,448,0,
322,12260,"Augusta-Richmond County, GA-SC Metro Area",Bus,2018,202,143,345,0,
323,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Bus,2002,1377,243,1620,0,
324,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Bus,2003,2085,424,2509,0,
325,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Bus,2004,4704,305,5009,0,
326,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Bus,2005,3210,173,3383,0,
327,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Bus,2006,2475,203,2678,0,
328,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Bus,2007,1699,110,1809,0,
329,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Bus,2008,1884,128,2012,0,
330,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Bus,2009,2355,625,2980,0,
331,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Bus,2010,2875,905,3780,0,
332,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Bus,2011,2899,962,3861,0,
333,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Bus,2012,3011,1201,4212,0,
334,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Bus,2013,2229,1549,3778,0,
335,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Bus,2014,512,234,746,1,Under-reported
336,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Bus,2015,5001,440,5441,0,
337,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Bus,2016,4177,932,5109,0,
338,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Bus,2017,3081,514,3595,0,
339,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Bus,2018,3469,501,3970,0,
340,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Rail,2002,0,0,0,1,Not reported
341,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Rail,2003,0,0,0,1,Not reported
342,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Rail,2004,0,0,0,1,Not reported
343,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Rail,2005,0,0,0,1,Not reported
344,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Rail,2006,0,0,0,1,Not reported
345,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Rail,2007,0,0,0,1,Not reported
346,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Rail,2008,0,0,0,1,Not reported
347,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Rail,2009,0,0,0,1,Not reported
348,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Rail,2010,0,0,0,1,Not reported
349,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Rail,2011,6,1,7,0,
350,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Rail,2012,6,6,12,0,
351,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Rail,2013,7,7,14,0,
352,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Rail,2014,4,16,20,0,
353,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Rail,2015,15,16,31,0,
354,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Rail,2016,3,0,3,0,
355,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Rail,2017,4,0,4,0,
356,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Rail,2018,6,0,6,0,
357,12540,"Bakersfield-Delano, CA Metro Area",Bus,2002,468,325,793,0,
358,12540,"Bakersfield-Delano, CA Metro Area",Bus,2003,571,335,906,0,
359,12540,"Bakersfield-Delano, CA Metro Area",Bus,2004,448,457,905,0,
360,12540,"Bakersfield-Delano, CA Metro Area",Bus,2005,417,440,857,0,
361,12540,"Bakersfield-Delano, CA Metro Area",Bus,2006,427,344,771,0,
362,12540,"Bakersfield-Delano, CA Metro Area",Bus,2007,330,299,629,0,
