CLUSTER_APTA4,RAIL_FLAG,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_2012,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_cleaned_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,JTW_HOME_PCT,YEARS_SINCE_TNC_BUS_NY,YEARS_SINCE_TNC_BUS_HI,YEARS_SINCE_TNC_BUS_MID,YEARS_SINCE_TNC_BUS_LOW,YEARS_SINCE_TNC_RAIL_NY,YEARS_SINCE_TNC_RAIL_HI,YEARS_SINCE_TNC_RAIL_MID,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_NY_FAC,YEARS_SINCE_TNC_BUS_HI_FAC,YEARS_SINCE_TNC_BUS_MID_FAC,YEARS_SINCE_TNC_BUS_LOW_FAC,YEARS_SINCE_TNC_RAIL_NY_FAC,YEARS_SINCE_TNC_RAIL_HI_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change
1.0,1,2015,190,1684310471.0000002,1684310471.0,1741056553.0,1722971063.9999995,-18085489.000000395,1653317345.6753664,-64642590.90340734,62638594.56753685,2.0972943393999315,9681963.609196477,2.7520770592363077,36535.86256472738,10.804477647601107,5.1761491335524665,0.0,0.0,0.0,0.0,0.0,3.457858281046095,0.0,16949229.920511357,-35279658.85953814,2403764.7281740312,-54921845.182264075,-1836501.3016949375,-20553.447234058418,-431648.2769732939,0.0,0.0,0.0,0.0,0.0,6824246.689513307,0.0,-66312965.72950581,-66129535.82008887,48044046.82008847,0.0,-18085489.000000395
1.0,1,2016,190,1684310471.0000002,1684310471.0,1722971063.9999995,1698078949.999999,-24892114.000000734,1644343964.1913643,-8973381.48400233,63221890.99012344,2.145688951679036,9755602.901874054,2.4442424006004404,37356.652983121436,10.707331331682967,5.67671611803451,0.0,0.0,0.0,0.0,0.0,4.457858281046096,0.0,21599906.581858438,-11250309.488374403,1810892.1310038508,-20313605.15974716,-1340118.1523986976,-165226.4988565209,-6843055.994035027,0.0,0.0,0.0,0.0,0.0,6753358.792032996,0.0,-9748157.788516527,-10129252.750576515,-14762861.24942422,0.0,-24892114.000000734
1.0,1,2017,190,1684310471.0000002,1684310471.0,1698078949.999999,1666633098.0000002,-31445851.999998268,1698858784.7353444,54514820.54398008,65140807.726970084,2.1067936492943975,9852293.115387442,2.659185185036589,38224.84485640178,10.532336190629783,5.830202254379975,0.0,0.0,0.0,0.0,0.0,5.457858281046095,0.0,27675934.087891847,8395105.842889283,2215537.9871059447,14358749.28143737,-1356116.3779787153,-274027.1170798908,-2026615.9515207652,0.0,0.0,0.0,0.0,0.0,6655791.641634125,0.0,55644359.3943792,56264454.67112681,-87710306.67112507,0.0,-31445851.999998268
1.0,1,2018,190,1684310471.0000002,1684310471.0,1666633098.0000002,1636184632.9999995,-30448465.000000685,1732605380.0084543,33746595.27311021,65942328.535834946,2.100653558417689,9934413.563218959,2.937202870628,39176.010574384185,10.38207233132495,6.070458602759586,0.0,0.0,0.0,0.0,0.0,6.457858281046096,0.0,10367599.995495912,422822.1658435529,1933309.6030926886,17177132.55047888,-1431912.0765943704,-234665.84426671025,-3148751.6200663513,0.0,0.0,0.0,0.0,0.0,6532536.454408788,0.0,31618071.228392396,31889786.464747008,-62338251.46474769,0.0,-30448465.000000685
2.0,0,2012,1460,961216517.9999998,961216518.0,0.0,961216517.9999998,0.0,949269571.3993013,0.0,10960122.029907044,0.9614137738005171,2473037.8764797435,4.029024375761923,28763.873964236827,8.132592248440739,4.173604868180177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,961216517.9999998,961216517.9999998
2.0,0,2013,1460,961216517.9999998,961216518.0,961216517.9999998,943429917.9999999,-17786599.999999642,943065477.3998464,-6204093.999454593,10984879.71063209,0.9897071651655857,2513596.821893146,3.8712342584861816,28886.028884812356,7.951519003005729,4.241051381099965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3415802.2252820055,-6684152.713473925,1912156.6281155976,-4233116.827826668,-155758.23288535292,-167594.34052441778,-509464.0948336535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6422127.356146414,-6420076.334722807,-11366523.665276842,0.0,-17786599.999999642
2.0,0,2014,1460,961216517.9999998,961216518.0,943429917.9999999,939315734.0,-4114183.9999997607,942865485.6983318,-199991.70151469973,11149382.706791982,0.9753901846437054,2548819.6761408723,3.6533257391109455,28992.10735529605,7.985054418738149,4.3246698207489604,0.0,0.0,0.15011351167812528,0.0,0.0,0.0,0.0,7741102.628530901,2954434.0992959486,1453508.1527298475,-5992633.532770292,-118877.93991479202,32725.258303994622,-639433.5330425585,0.0,0.0,-5516065.118583359,0.0,0.0,0.0,0.0,-85239.98545031121,-141033.55869923765,-3973150.441300524,0.0,-4114183.9999997607
2.0,0,2015,1460,961216517.9999998,961216518.0,939315734.0,913699509.0000002,-25616225.000000145,895088202.7100254,-47777282.988306336,11498679.791133929,0.9821714076820237,2584569.0982635366,2.6850023275326187,30146.445106019564,7.786666082854393,4.487915986271055,0.0,0.0,0.9683413888232828,0.0,0.0,0.0,0.0,15157572.308940722,-1683769.2181904519,1424288.6884636842,-30139977.14367332,-1315109.562129674,-189041.95147355905,-1110603.67443694,0.0,0.0,-29832536.930350084,0.0,0.0,0.0,0.0,-47689177.48284964,-47484248.50636978,21868023.506369613,0.0,-25616225.000000145
2.0,0,2016,1460,961216517.9999998,961216518.0,913699509.0000002,871357915.0,-42341593.999999925,860437959.2297745,-34650243.48025073,11874962.04772361,0.9970509905336413,2618970.2481768047,2.380990893402437,30903.486560284797,7.635232841504291,4.99012188927032,0.0,0.0,1.8923385833866828,0.0,0.0,0.0,0.0,14637866.996365704,-3085710.5845921305,1326585.2196449314,-10800474.190298922,-805405.154983568,-118913.29516900082,-3687661.8605454643,0.0,0.0,-32945258.95261455,0.0,0.0,0.0,0.0,-35478971.82219301,-35528787.5265451,-6812806.47345485,0.0,-42341593.999999925
2.0,0,2017,1460,961216517.9999998,961216518.0,871357915.0,831552342.0000001,-39805573.00000009,842445566.8810486,-17992392.348726563,12004962.178058522,0.9876864143728596,2657071.2867494156,2.5924879865335395,31047.843334094643,7.3537699605782265,5.20902002653683,0.0,0.0,2.824203555769523,0.0,0.0,0.0,0.0,4480328.246508958,2368958.7605159474,1345065.694842333,7390635.082695958,-158867.1085421677,-245055.97910717226,-1565496.168985803,0.0,0.0,-31606218.817840848,0.0,0.0,0.0,0.0,-17990650.289912783,-18396049.356157716,-21409523.643842373,0.0,-39805573.00000009
