CLUSTER_APTA4,RAIL_FLAG,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_2012,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_cleaned_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,JTW_HOME_PCT,MAINTENANCE_WMATA,YEARS_SINCE_TNC_BUS_HINY,YEARS_SINCE_TNC_BUS_MIDLOW,YEARS_SINCE_TNC_RAIL_HINY,YEARS_SINCE_TNC_RAIL_MID,BIKE_SHARE,scooter_flag,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,MAINTENANCE_WMATA_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change
1.0,1,2017,190,1348461645.9999993,1684310471.0,1698078949.999999,1666633098.0000002,-31445851.999998268,1683613633.3324761,56669122.13632541,66908995.53310968,2.1253750250760346,9766946.324071702,2.6448248546655364,38434.438182861915,10.630065689936574,5.819167414272901,0.1832921483033418,0.0,0.0,5.493076787146529,0.0,0.9948920482681641,0.0,32017622.109053545,5946578.094440357,5863010.909012732,11341505.285200017,-4188649.146027955,-7358842.69875219,-1596360.9530858204,0.0,0.0,0.0,18527802.619538814,0.0,0.0,0.0,60552666.2193795,61113600.595123224,-92559452.5951215,0.0,-31445851.999998268
1.0,1,2018,190,1348461645.9999993,1684310471.0,1666633098.0000002,1636184632.9999995,-30448465.000000685,1703661733.6567197,20048100.324243087,67730287.3401063,2.1135110726799597,9850048.84434978,2.9166976773397972,39371.94747135081,10.47046408296584,6.059877641395667,0.0916460741516709,0.0,0.0,6.49307678714653,0.0,1.0,0.6413485415513257,11981522.812549748,222614.10117478017,5115929.429817453,13564609.284231218,-4423694.931535393,-6350906.117012106,-2480270.3716201666,39983536.745557204,0.0,0.0,18184695.758070916,0.0,-77454.73177853535,-54693529.103471614,21027052.875983506,19934067.854119055,-50382532.85411974,0.0,-30448465.000000685
2.0,0,2002,1093,692881970.0000001,791460778.0,0.0,692881970.0000001,0.0,698702398.4291954,0.0,13378352.20863712,0.9242591681285973,2412902.9857398923,1.9468195567767472,35715.45159949252,7.815646243403477,3.298935109539652,0.0,0.0,0.0,0.0,0.0,0.04739470995326952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,692881970.0000001,692881970.0000001
2.0,0,2003,1232,757372407.0000001,869325834.0,692881970.0000001,770883561.0000001,13511153.999999965,777247571.2535765,13027316.609329857,13026932.796544729,0.8726761567930796,2374560.06403818,2.2027861871074212,35129.657977308365,7.603248713845739,3.3806762574596942,0.0,0.0,0.0,0.0,0.0,0.04335903935301408,0.0,701471.640936356,294879.13999322907,5431797.223446633,6560680.547185999,1549042.6683857446,-651087.5787959063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13886783.641152056,13710526.6984916,-199372.69849163236,64490437.00000002,78001591.00000001
2.0,0,2004,1344,784947601.0000001,898816466.0,770883561.0000001,811791151.0,13332395.999999821,821632132.3242743,18746592.938523404,12498024.033456318,0.8578654345548248,2380930.337738726,2.525741959821213,34149.20774718695,7.517428873038875,3.409599719765243,0.0,0.0,0.0,0.0,0.0,0.04183583714143996,0.0,-1282470.8257498604,2582756.5629424066,6893351.748625885,8045045.9359885305,2615720.7019079006,-692004.7456541025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18162399.378060758,18332643.4837742,-5000247.483774381,27575194.000000004,40907589.999999814
2.0,0,2005,1391,807867575.0000001,924924849.0,811791151.0,855440924.0,20729799.000000414,867960608.5537257,21635188.424983192,12247363.809401672,0.8701483600801563,2431976.7748505455,2.985415509479262,33180.000316565,7.492289932938576,3.4123453178573233,0.0,0.0,0.0,0.0,0.0,0.04064891452042743,0.0,1687525.1073695817,-1158001.7868774806,7145271.483090238,11055649.802779725,2542038.5091377823,-539813.799290603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20732669.316209253,20888482.702873193,-158683.70287277602,22919974.000000007,43649773.00000043
2.0,0,2006,1415,823614839.0000001,941394513.0,855440924.0,913931565.0000001,42743376.99999987,905017900.0389705,20762396.450532496,12189060.458303766,0.8745361144032591,2489143.4711173256,3.267890040711128,31707.039385882163,7.526042945032465,3.573585135223625,0.0,0.0,0.0,0.0,0.0,0.03987171969833826,0.0,3584256.1631625737,-2336432.558450125,8658719.667855972,6500245.6240733275,4202621.096561484,183552.9107841024,-1000240.1321324809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19792722.771854863,19928590.87985455,22814786.12014531,15747264.000000026,58490640.9999999
2.0,0,2007,1436,832303107.0000001,958899929.0,913931565.0000001,924926555.0,2306721.9999998305,919319179.0514249,5219344.973098286,12139213.002662905,0.895757297618231,2506046.0194194596,3.4551355017601795,31993.077300879882,7.428921805166348,3.7473472551869267,0.0,0.0,0.0,0.0,0.0,0.03945550572118674,0.0,4528874.251150939,-2991625.830762971,3606374.820271666,4319758.014398161,-1135872.0611770474,-2025884.1376236072,-1035965.7911320591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5265659.265125081,5175055.687165276,-2868333.6871654466,8688267.999999998,10994989.999999827
2.0,0,2008,1436,832303107.0000001,958899929.0,924926555.0,988529403.0000001,63602848.00000024,945959543.496488,26640364.445063084,12290406.974323366,0.8949319157018631,2511974.2483535623,3.86519583198288,31801.15427399655,7.60595589291727,3.801241314722138,0.0,0.0,0.0,0.0,0.0,0.03945550572118674,0.0,9901593.931084814,841178.5023442343,1623963.5271935493,9064197.997751834,704517.6761749774,4312752.846547629,-229101.44513115752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26219103.035965886,26768862.97694112,36833985.02305911,0.0,63602848.00000024
2.0,0,2009,1436,832303107.0000001,958899929.0,988529403.0000001,908879793.0,-79649610.00000037,898267551.5999037,-47691991.8965842,11963645.855133768,1.0103714186644657,2493193.3027503705,2.8103374921298956,30173.234862315603,7.709680988226808,4.009220187255651,0.0,0.0,0.0,0.0,0.0,0.03945550572118674,0.0,-9311933.00371512,-20814286.92006181,-1514153.519818115,-26199795.247142833,5704313.993612627,2493119.098491745,-1339666.0158366654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50982401.614470184,-50139300.3697205,-29510309.63027988,0.0,-79649610.00000037
2.0,0,2010,1460,834611629.0000001,961216518.0,908879793.0,898704146.9999999,-12484167.99999988,914462818.0057871,13834606.862805068,11662173.301157078,1.0147581535574084,2506860.1969974237,3.269849533510993,29669.122375049657,7.925990832461792,4.027879329848159,0.0,0.0,0.0,0.0,0.0,0.03934637244312827,0.0,-8279253.304997296,323956.90036951867,2702838.29892829,11410163.54145596,1635430.620723968,6172348.958494755,-7389.784678650783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13958095.230296537,14416341.445132716,-26900509.44513259,2308521.999999999,-10175645.999999883
2.0,0,2011,1460,834611629.0000001,961216518.0,898704146.9999999,936058350.9999999,37354203.999999985,935504776.6482184,21041958.64243126,11462779.635000493,0.9974284523821851,2526455.2832451183,4.0111020093807,29100.830016762302,8.21325535454527,4.1277261650759955,0.0,0.0,0.0,0.0,0.0,0.052275766936384235,0.0,-7965652.279504307,2424607.391828105,2199835.147938557,15933964.74055508,2002768.8078039635,6343332.666216887,-679807.8658380178,0.0,0.0,0.0,0.0,0.0,-121573.31647741713,0.0,20137475.29252285,20122189.596284177,17232014.40371581,0.0,37354203.999999985
2.0,0,2012,1460,834611629.0000001,961216518.0,936058350.9999999,961216517.9999998,25158166.999999605,935679091.9827546,174315.3345363033,11264859.97852807,0.992574394229256,2552570.2182420236,4.025635842023475,28874.30950212684,8.25691541066462,4.125146976115281,0.0,0.0,0.0,0.0,0.0,0.08932640213667568,0.0,-4579352.6170331,-46542.51877351228,2971321.19770355,306233.6725645063,1005749.0851608288,776835.7057626187,13795.928524237208,0.0,0.0,0.0,0.0,0.0,-349068.16182455095,0.0,98972.29208457752,-68928.81461665631,25227095.814616263,0.0,25158166.999999605
2.0,0,2013,1460,834611629.0000001,961216518.0,961216517.9999998,943429917.9999999,-17786599.999999646,930226635.6368054,-5452456.345949126,11263611.05969423,1.02084820166258,2586254.4538100096,3.8688140678341774,29012.009098915678,8.061410663150488,4.209983574408115,0.0,0.0,0.0,0.0,0.0,0.14992332918955767,0.0,3967860.408836206,-4809943.728256674,5097789.668504654,-3348172.322162207,-478186.4874246894,-4435776.301607783,-402430.1109224342,0.0,0.0,0.0,0.0,0.0,-538647.8736779846,0.0,-4947506.746710913,-4916379.6515046535,-12870220.348494997,0.0,-17786599.999999646
2.0,0,2014,1460,834611629.0000001,961216518.0,943429917.9999999,939315734.0,-4114183.9999997607,934804621.5280576,4577985.8912521815,11419119.683224887,1.0016930398073778,2619700.4193235864,3.648912589689066,29100.59214070388,8.10393323624538,4.286909931253786,0.0,0.0,0.16161767259535742,0.0,0.0,0.27427024863560834,0.0,8945586.467788398,2089821.8149838727,3848022.10025373,-4740805.050476474,-365611.4072064377,1000357.5190466436,-504494.97544342757,0.0,0.0,-4751710.327296551,0.0,0.0,-826241.563391644,0.0,4694924.578258114,4682184.986300245,-8796368.986300007,0.0,-4114183.9999997607
2.0,0,2015,1460,834611629.0000001,961216518.0,939315734.0,913699509.0000002,-25616225.000000145,893535327.4144723,-41269294.11358511,11782498.880544942,1.0041721746130894,2653957.930823444,2.6811130935646244,30303.426469331953,7.89858692563221,4.435976714625912,0.0,0.0,1.0007329349109753,0.0,0.0,0.4943164397245658,0.0,17587593.198874306,-1229250.9307170175,3770568.621283947,-23911490.42962237,-4058377.5459149876,-5004140.039334131,-876396.6016129619,0.0,0.0,-25698676.642491497,0.0,0.0,-1801953.161030638,0.0,-41222123.53056536,-41257645.0745572,15641420.074557042,0.0,-25616225.000000145
2.0,0,2016,1460,834611629.0000001,961216518.0,913699509.0000002,871357915.0,-42341593.999999925,865910279.9935752,-27625047.420897294,12159503.951854233,1.0184609172565577,2686779.490681187,2.375580169433513,31096.219490803018,7.7279764475579835,4.946688749888003,0.0,0.0,1.9321347378446365,0.0,0.0,0.6363086872349343,0.0,16930653.56461041,-2239103.542034021,3512352.762944209,-8549411.77920253,-2485854.580109387,-3081145.795756683,-2906126.414173343,0.0,0.0,-28380072.35868205,0.0,0.0,-1163446.9983784137,0.0,-28362155.140781797,-28528204.225014847,-13813389.774985097,0.0,-42341593.999999925
2.0,0,2017,1460,834611629.0000001,961216518.0,871357915.0,831552342.0000001,-39805573.00000009,845610643.0690387,-20299636.924536757,12281198.976827214,1.0133404202490515,2723302.8340536105,2.5871111280765544,31229.15029256711,7.447846200594936,5.1713650493599825,0.0,0.0,2.8696980053701124,0.0,0.0,0.73091161422099,0.0,5188016.640356221,1673173.118450587,3561235.0821055067,5837619.356481924,-488653.61418982205,-6578725.94552713,-1233965.6390168683,0.0,0.0,-27226581.473370865,0.0,0.0,-839652.9675417364,0.0,-20107535.44225218,-20402702.011767983,-19402870.988232106,0.0,-39805573.00000009
