RAIL_FLAG,Year,CLUSTER_APTA,CLUSTER_APTA4,UPT_ADJ_first_year,UPT_ADJ_2012,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ_BUS,VRM_ADJ_RAIL,FARE_per_UPT_cleaned_2018_BUS,FARE_per_UPT_cleaned_2018_RAIL,POP_EMP,TSD_POP_EMP_PCT,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,JTW_HOME_PCT,MAINTENANCE_WMATA,RESTRUCTURE,YEARS_SINCE_TNC_BUS_HINY,YEARS_SINCE_TNC_BUS_MIDLOW,YEARS_SINCE_TNC_RAIL_HINY,YEARS_SINCE_TNC_RAIL_MID,BIKE_SHARE,scooter_flag,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,MAINTENANCE_WMATA_FAC,RESTRUCTURE_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change,YEARS_SINCE_TNC_BUS,YEARS_SINCE_TNC_RAIL,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC
1,2002,371,36,3364501074,4595382308,0,3364501074,0,3936204346,0,0,305289634.8,0,1.708776313,18770904.68,0.599260018,1.966997198,42819.01499,23.47188024,3.654923291,0,0,0,0,0,0,0.004441458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3364501074,3364501074,0,0,0,0
1,2003,395,38,3364961038,4595683824,3364501074,3322349016,-42612022,4350175049,169336377.9,0,324126408.6,0,1.802429489,19031976.13,0.599998318,2.241633657,41641.81586,23.22613365,3.655025137,0,0,0,0,0,0,0.004440851,0,0,134803120.6,0,-38211197.94,11193593.48,-3829968.638,42854510.2,6699619.411,-1640929.436,0,0,0,0,0,0,0,0,0,146105486.5,146124162.8,-184974240.8,459964,-38390114,0,0,0,0
1,2004,405,39,3372656925,4607070914,3322349016,3522066582,192021679,4550377823,193178430.1,0,334575285.2,0,1.77310744,19388301.99,0.596886822,2.562277446,40115.5234,22.94122425,3.653302286,0,0,0,0,0,0,0.004430717,0,0,68910355.02,0,13345599.81,14983711.54,-3682151.514,45357750.52,8755695.838,-1657605.885,0,0,0,0,0,0,0,0,0,146013355.3,148580012.6,43441666.36,7695887,199717566,0,0,0,0
1,2005,415,40,3380558593,4618269428,3522066582,3970291069,440322819,4817569592,258100426.2,0,337656987.6,0,1.60121192,19737634.62,0.594463154,3.024660281,38796.7034,22.67494851,3.654580129,0,0,0,0,0,0,0.004420361,0,0,26415135.86,0,76771447.99,15815970.34,-2609556.061,62212709.9,8455525.601,-1600310.849,0,0,0,0,0,0,0,0,0,185460922.8,188763709,251559110,7901668,448224487,0,0,0,0
1,2006,415,40,3380558593,4618269428,3970291069,4134386669,164095600,5000992992,183423400.1,0,345501416.5,0,1.604098168,20179862.67,0.597286484,3.332328596,36835.7261,22.34980311,3.877741599,0,0,0,0,0,0,0.004420361,0,0,78584714.8,0,679675.0268,20586334.35,4751022.153,42259281.03,14827846.26,-2693362.439,-6736050.147,0,0,0,0,0,0,0,0,152259461,153665067.4,10430532.61,0,164095600,0,0,0,0
1,2007,459,44,3382234079,4626052176,4134386669,4311432363,175370208,5123308391,119340326.5,0,348676781.5,0,1.572124867,20230925.17,0.593439945,3.465013464,37421.60817,22.4173046,3.90643231,0,0,0,0,0,0,0.004418171,0,0,79972345.3,0,19079160.04,3833989.947,-5785386.118,17699776.75,-4681864.486,712202.4244,-618131.2067,0,0,0,0,0,0,0,0,110212092.6,110168603.6,65201604.36,1675486,177045694,0,0,0,0
1,2008,483,46,3386720718,4630525262,4311432363,4465847607,149928605,5280575784,153632785.1,0,357906650.6,0,1.606113522,20369663.8,0.59350181,3.912927236,37424.92421,22.46482113,4.003487764,0,0,0,0,0,0,0.077392186,0,0,87409318.89,0,-20813485.63,7388943.808,738223.1905,59640405.92,-180831.1436,560268.4852,-3103219.979,0,0,0,0,0,0,-3064394.866,0,128575228.7,128921673.5,21006931.55,4486639,154415244,0,0,0,0
1,2009,493,47,3398069059,4644567270,4465847607,4333108748,-144087200,5082866815,-214223849.1,0,358972536.2,0,1.700700188,20173161.44,0.598625614,2.843648461,36041.92608,22.58205867,4.188844541,0,0,0,0,0,0,0.077133724,0,0,16891773.74,0,-57316218.15,-5699253.508,10308379.87,-154613933.3,11917596.72,1513039.741,-6349512.669,0,0,0,0,0,0,0,0,-183348127.5,-182623851.2,38536651.2,11348341,-132738859,0,0,0,0
1,2010,535,51,3441270282,4693232025,4333108748,4467939758,91629787,5183520893,52335074.98,0,348802871.3,0,1.710347818,19868122.58,0.605084895,3.294925587,35546.23986,22.72261905,4.282531255,0,0,0,0,0,0,0.081490461,0,0,-35690015.45,0,-926247.427,-2911241.259,14426802.03,69344968.67,4333031.311,2627067.078,-2670257.786,0,0,0,0,0,0,-320113.3603,0,48213993.8,47570063.32,44059723.68,43201223,134831010,0,0,0,0
1,2011,558,53,3441739610,4693833779,4467939758,4600718267,132309181,5238953814,55432921,0,343102461.6,0,1.779695591,19975219.49,0.603068655,4.060707657,34671.70494,23.06247247,4.268768585,0,0,0,0,0.047679435,0,0.145972263,0,0,-24192267.83,0,-41337246.23,6523730.079,-3158546.68,106386257.7,8135021.019,3099919.036,416445.465,0,0,0,0,403017.3275,0,-2558655.718,0,53717674.12,52612518.3,79696662.7,469328,132778509,0,0.047679435,0,403017.3275
1,2012,580,55,3443390920,4695485089,4600718267,4695485089,93115512,5304405569,63732986.57,0,343288947.2,0,1.759169729,20142336.73,0.598402012,4.097996621,34422.1615,23.13486057,4.415299257,0,0,0,0,0.833584696,0,0.149440205,0,0,35548509.61,0,13953611.83,9780953.012,-8394263.134,4939307.381,2248895.073,834232.5989,-5322584.442,0,0,0,0,8011548.577,0,-162864.5124,0,61410126.17,61625611.81,31357474.19,1651310,94634396,0,0.833584696,0,8011548.577
1,2013,580,55,3443390920,4695485089,4695485089,4807423040,111937951,5303716017,-689551.8002,0,350939031.2,0,1.84820057,20715840.53,0.599198224,3.934416256,34393.705,22.06966402,4.474098234,0,0,0,0,1.786902189,0,0.741330154,0,0,81385253.34,0,-49030580.86,24851778.03,1492140.915,-21991232.97,462752.0293,-10404691.91,-2282884.221,0,0,0,0,9731743.153,0,-31791614.94,0,2408542.884,1096043.312,110628630.7,0,111724674,0,1.786902189,0,9731743.153
1,2014,580,55,3443390920,4695485089,4807423040,4962558593,155135553,5375523567,71807550.26,0,355764063.4,0,1.83163868,20932647.63,0.600275476,3.736275989,34376.44418,22.2176045,4.574885957,0,0,0,0,2.751813745,0.00388952,0.833789297,0,0,69092257.48,0,8244871.538,11698354.75,2272783.702,-28015046.89,122897.4853,1508164.909,-3200899.446,0,0,0,0,10080663.84,-404015.309,-4358949.749,0,67030585.15,67168751.63,88003938.37,0,155172690,0,2.755703265,0,9676648.528
1,2015,580,55,3443390920,4695485089,4962558593,4855713034,-106845559,5133050931,-242472636.4,0,356730821.5,0,1.968053386,21129479.39,0.602503819,2.715508261,35153.45293,22.19698054,4.527716336,0.035889395,0,0,0,3.73525683,0.020015971,0.955611175,0,0,26488316.89,0,-77011128.97,10950798.1,4518591.044,-169647717.7,-7823600.344,-270256.218,1874687.538,-17663190.02,0,0,0,10637456.03,-1735430.525,-5685943.311,0,-225402102.6,-223674257,116768843,0,-106905414,0,3.755272801,0,8902025.505
1,2016,580,55,3443390920,4695485089,4855713034,4852082775,-3630259,5057452313,-75598617.48,0,356623376.6,0,1.992427011,21193874.08,0.602803845,2.427671935,36154.41923,21.98622208,4.974310765,0.071778789,0,0,0,4.718699916,0.036572885,0.994350208,0,0,27148437.23,0,-10505731.24,4888363.285,658189.2297,-55821827.6,-9780290.003,-2163726.634,-16310657.09,-16979244.27,0,0,0,10407437.89,-1873490.376,-2065016.131,0,-72405820.84,-71947596.93,68344519.93,0,-3603077,0,4.755272801,0,8533947.518
1,2017,580,55,3443390920,4695485089,4852082775,4838473750,-13609025,5169932352,112480038.4,0,359289107.6,0,1.978614106,21368195.31,0.603109478,2.673082297,36864.3415,21.97925926,5.038263368,0.071778789,0,0,0,5.702143002,0.0531298,0.994780672,0,0,46386735.81,0,4394432.979,9534270.692,727819.1899,48820232.73,-6583452.845,133236.5322,-2156493.232,0,0,0,0,10401939.89,-1848389.614,-87037.44174,0,109708946.5,110528162.5,-124152153.5,0,-13623991,0,5.755272801,0,8553550.274
1,2018,580,55,3443390920,4695485089,4838473750,4741717591,-96756159,5166339456,-3592896,0,356899733,0,2.007351204,21483516.66,0.602772677,2.919154514,37740.34591,21.91919303,5.197876427,0.035889395,0,0,0,6.685586087,0.069686714,0.997357335,0.262965611,0,-1570409.113,0,-19432497.45,6918070.892,-792308.3907,45194696.71,-8010394.358,-462264.0827,-5645253.26,16179783.72,0,0,0,10379129.73,-1777125.675,-116740.3476,-42790342.02,-1937189.823,-2510196.304,-94228298.7,0,-96738495,0,6.755272801,0,8602004.06
