,CBSA,MNAME,Mode,Year,TNC_FLAG,YEARS_SINCE_TNC,UBER_NET_REVENUE,UBER_REV_SCALED
52,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Bus,2015,1,3,1690,112.66666666666667
53,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Bus,2016,1,4,4964,330.93333333333334
54,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Bus,2017,1,5,7932,528.8
55,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Bus,2018,1,6,11270,751.3333333333334
56,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Rail,2012,1,0,15,1.0
57,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Rail,2013,1,1,103,6.866666666666666
58,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Rail,2014,1,2,445,29.666666666666668
59,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Rail,2015,1,3,1690,112.66666666666667
60,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Rail,2016,1,4,4964,330.93333333333334
61,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Rail,2017,1,5,7932,528.8
62,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Rail,2018,1,6,11270,751.3333333333334
63,12260,"Augusta-Richmond County, GA-SC Metro Area",Bus,2015,1,0,1690,1.0
64,12260,"Augusta-Richmond County, GA-SC Metro Area",Bus,2016,1,1,4964,2.9372781065088756
65,12260,"Augusta-Richmond County, GA-SC Metro Area",Bus,2017,1,2,7932,4.693491124260355
66,12260,"Augusta-Richmond County, GA-SC Metro Area",Bus,2018,1,3,11270,6.668639053254438
67,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Bus,2014,1,0,445,1.0
68,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Bus,2015,1,1,1690,3.797752808988764
69,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Bus,2016,1,2,4964,11.155056179775281
70,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Bus,2017,1,3,7932,17.824719101123595
71,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Bus,2018,1,4,11270,25.325842696629213
72,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Rail,2014,1,0,445,1.0
73,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Rail,2015,1,1,1690,3.797752808988764
74,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Rail,2016,1,2,4964,11.155056179775281
75,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Rail,2017,1,3,7932,17.824719101123595
76,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Rail,2018,1,4,11270,25.325842696629213
77,12540,"Bakersfield-Delano, CA Metro Area",Bus,2014,1,0,445,1.0
78,12540,"Bakersfield-Delano, CA Metro Area",Bus,2015,1,1,1690,3.797752808988764
79,12540,"Bakersfield-Delano, CA Metro Area",Bus,2016,1,2,4964,11.155056179775281
80,12540,"Bakersfield-Delano, CA Metro Area",Bus,2017,1,3,7932,17.824719101123595
81,12540,"Bakersfield-Delano, CA Metro Area",Bus,2018,1,4,11270,25.325842696629213
82,12580,"Baltimore-Towson, MD Metro Area",Bus,2013,1,0,103,1.0
83,12580,"Baltimore-Towson, MD Metro Area",Bus,2014,1,1,445,4.320388349514563
84,12580,"Baltimore-Towson, MD Metro Area",Bus,2015,1,2,1690,16.40776699029126
85,12580,"Baltimore-Towson, MD Metro Area",Bus,2016,1,3,4964,48.19417475728155
86,12580,"Baltimore-Towson, MD Metro Area",Bus,2017,1,4,7932,77.00970873786407
87,12580,"Baltimore-Towson, MD Metro Area",Bus,2018,1,5,11270,109.41747572815534
88,12580,"Baltimore-Towson, MD Metro Area",Rail,2013,1,0,103,1.0
89,12580,"Baltimore-Towson, MD Metro Area",Rail,2014,1,1,445,4.320388349514563
90,12580,"Baltimore-Towson, MD Metro Area",Rail,2015,1,2,1690,16.40776699029126
91,12580,"Baltimore-Towson, MD Metro Area",Rail,2016,1,3,4964,48.19417475728155
92,12580,"Baltimore-Towson, MD Metro Area",Rail,2017,1,4,7932,77.00970873786407
93,12580,"Baltimore-Towson, MD Metro Area",Rail,2018,1,5,11270,109.41747572815534
94,12940,"Baton Rouge, LA Metro Area",Bus,2014,1,0,445,1.0
95,12940,"Baton Rouge, LA Metro Area",Bus,2015,1,1,1690,3.797752808988764
96,12940,"Baton Rouge, LA Metro Area",Bus,2016,1,2,4964,11.155056179775281
97,12940,"Baton Rouge, LA Metro Area",Bus,2017,1,3,7932,17.824719101123595
