CLUSTER_APTA4,RAIL_FLAG,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,JTW_HOME_PCT,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_NEW_YORK,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_HI_OPEX_FAV_EXT,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_MID_OPEX_FAV_EXT,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_LOW_OPEX_FAV_EXT,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_HI_OPEX_UNFAV_EXT,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_MID_OPEX_UNFAV_EXT,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_LOW_OPEX_UNFAV_EXT,TNC_TRIPS_PER_CAPITA_CLUSTER_RAIL_NEW_YORK,TNC_TRIPS_PER_CAPITA_CLUSTER_RAIL_HI_OPEX,TNC_TRIPS_PER_CAPITA_CLUSTER_RAIL_MID_OPEX,BIKE_SHARE,scooter_flag_BUS,scooter_flag_RAIL,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_NEW_YORK_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_HI_OPEX_FAV_EXT_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_MID_OPEX_FAV_EXT_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_LOW_OPEX_FAV_EXT_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_HI_OPEX_UNFAV_EXT_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_MID_OPEX_UNFAV_EXT_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_LOW_OPEX_UNFAV_EXT_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_RAIL_NEW_YORK_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_RAIL_HI_OPEX_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_RAIL_MID_OPEX_FAC,BIKE_SHARE_FAC,scooter_flag_BUS_FAC,scooter_flag_RAIL_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change
2.0,1,2008,291,54402213.73839998,73228318.37140007,86665209.44920002,8950252.484799935,77677140.94110295,9374584.403713506,3853125.224903552,0.9962659575969636,2880700.3997722156,3.8661371819019927,31976.599704053464,7.6325647008758315,3.978949832687936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2746816346823074,0.0,0.0,7959338.0973109165,-416812.8709333414,29967.508819905543,989539.1316786347,184367.27932031438,125524.49490098462,3591.8228808565445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8875515.463978272,8924182.820684528,26069.66411540586,4486638.5929999985,13436891.077799933
2.0,1,2009,313,55753300.73839998,86665209.44920002,78047144.00700001,-9969152.442199994,74402725.61432509,-4028143.3417253788,3745933.3881009785,1.2319343301235886,2819079.653615653,2.8002629584386116,30659.16864688513,7.8948707398241815,4.061452327485971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2680251895778401,0.0,0.0,461465.805777812,-3071374.365561931,-159985.8929860604,-3366955.679205692,863913.0095858934,309769.0401579014,-21510.69380430369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4984678.776036379,-4874443.305939496,-5094709.136260497,1351087.0,-8618065.442199994
2.0,1,2010,313,55753300.73839998,78047144.00700001,73994753.89839998,-4052390.108600044,76010701.55411188,1607975.9397868046,3607222.7706852513,1.234150661402426,2831384.6703998097,3.2686216047881897,29919.448609587307,7.908270994817325,4.013773385206073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2680251895778401,0.0,0.0,506118.17451352905,-336179.90214164654,62108.28956719424,1472539.9451661087,498156.0750206965,37446.86760191865,21637.275900223693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2261826.725628024,2414883.3754733675,-6467273.484073413,0.0,-4052390.108600044
2.0,1,2011,336,56222628.73839998,73994753.89839998,78590940.59859999,4126858.700200018,83263205.00568673,6582272.778680467,3832466.2446029545,1.2562266012301222,2844276.086156447,3.9951032143778304,29380.209129056642,8.340989474750407,4.071260982146563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2657878035111108,0.0,0.0,3963617.380988544,-501153.4282511963,140321.4197584806,1886927.6560020682,400935.6081036034,374204.8751092123,-24249.031670741268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6240604.480039971,6360707.667033688,-2233848.96683367,469328.00000000006,4596186.700200018
2.0,1,2012,358,57873938.73839998,78590940.59859999,85082647.23140004,4840396.632800052,90710922.34166415,5691584.795363188,4096197.643429007,1.2170697271077393,2853386.618307615,4.006850740844655,29034.51154511043,8.345894678516148,4.403836935573432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3357284473211086,0.0,0.0,4738713.615071324,223667.53110187163,224546.06940262124,31885.004502775253,266951.68037750834,1458.6280926062536,-76643.78438709852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6512.249210472797,0.0,0.0,5404066.494951135,5358485.744797831,-518089.1119977795,1651310.0000000002,6491706.632800052
2.0,1,2013,358,57873938.73839998,85082647.23140004,89235248.02039999,4152600.788999946,97167644.61701526,6456722.275351105,4807944.976190271,1.3088528299884872,2896677.132542293,3.8570740558323324,29661.407587213274,8.1782051648507,4.3643269919178636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5049326930743454,0.0,0.0,7867907.12317581,-1231225.8174595952,335249.5286001116,-415795.5783375183,-443345.32929884,-145164.03451040774,-4092.956301423783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29657.33790457508,0.0,0.0,5933875.597963562,5702138.283199997,-1549537.4942000506,0.0,4152600.788999946
2.0,1,2014,358,57873938.73839998,89235248.02039999,87881510.08079997,-1353737.9396000227,97073008.20834528,-94636.40866998385,4849260.304169098,1.320891216405385,2923729.8086590273,3.6477574977821567,29628.579943926292,8.185910375194615,4.417027783638063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.450717869525138,0.5062294425549575,0.0,0.0,1745540.2410375962,66095.05062566407,282339.21566123806,-620009.6710712028,-57388.647598774885,-11048.435509480498,-19968.982949795623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1250446.6247194347,-447.4157677316766,0.0,0.0,134664.72970807896,86599.4751478344,-1440337.414747857,0.0,-1353737.9396000227
2.0,1,2015,405,59829539.892599985,87881510.08079997,88649529.18659997,-1187582.048399997,92818097.73526432,-6125321.529590738,4774727.39437538,1.3495851473365366,2939215.0171948927,2.682137311535547,31002.367966660368,7.933723016968137,4.576470324967446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1523287157962454,0.662826142607607,0.0,0.0,862997.9694601509,-452236.8271027973,310850.39329592185,-3284049.6299752872,-1141976.4577048426,-199856.21349006545,-57786.408435105164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1822225.7072736197,-15497.293676826688,0.0,0.0,-5799780.174902473,-5676066.156425443,4488484.108025446,1955601.1541999993,768019.1058000023
2.0,1,2016,429,60160277.892599985,88649529.18659997,87510522.03900002,-1469745.1475999411,90983298.31681532,-2104082.496316242,4817895.946050051,1.3011721840032888,2963657.0597378872,2.3770832298587017,31764.619517120685,7.4541800250748675,5.251199850063506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19569974707893,0.7640570386503155,0.0,0.0,2093698.7902415122,812371.0684493475,269841.94198756973,-1219871.6313737396,-440443.45301401283,-300838.60771857254,-198975.66985756395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2779852.693704381,-11493.146919414261,0.0,0.0,-1775563.401909255,-1810914.706413216,341169.55881327525,330737.99999999977,-1139007.1475999411
2.0,1,2017,453,62217600.892599985,87510522.03900002,87595005.0852,-1972839.9538000228,90991469.0804763,-1987934.3955384763,4654993.225538275,1.2812114444669882,2995739.842504058,2.5881753828031946,31626.367296606593,7.300327213445618,5.466533680277478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4441387443283213,0.8114828873159746,0.0,0.0,919168.417790745,-108768.08778681341,281716.12089292565,887848.6057920502,82255.65827965798,-229180.43196822234,-94328.87241137291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3254469.7042639498,-13534.148938806455,0.0,0.0,-1529292.4426137859,-1547676.821976763,-425163.13182325946,2057323.000000001,84483.0461999785
