CLUSTER_APTA4,RAIL_FLAG,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,TSD_POP_PCT_LEHD,JTW_HOME_PCT,PER_CAPITA_TNC_TRIPS_HIMIDNY_BUS,PER_CAPITA_TNC_TRIPS_LOW_OPEX_BUS,PER_CAPITA_TNC_TRIPS_RAIL,BIKE_SHARE,scooter_flag,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,TSD_POP_PCT_LEHD_FAC,JTW_HOME_PCT_FAC,PER_CAPITA_TNC_TRIPS_HIMIDNY_BUS_FAC,PER_CAPITA_TNC_TRIPS_LOW_OPEX_BUS_FAC,PER_CAPITA_TNC_TRIPS_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change
2.0,1,2017,453,62012126.892599985,88374005.03900002,87984651.0852,-2446676.9538000217,98680764.96522002,1636594.1143151291,4670677.424958636,1.2843094815982945,2992316.83995862,2.58893744114846,31621.21727782736,7.295272980155293,24.861989386498653,5.470317263476096,0.0,0.0,2.0364129055626283,0.8104013187813588,0.0,569440.6137805027,-178456.5711955269,198122.0481021438,1358702.5818193038,137178.00154812203,-167200.16282161494,-43374.030479591784,-93686.35196352101,0.0,0.0,320633.5367470335,-211473.9003275275,0.0,1889885.7652093237,1940954.136710908,-4387631.090510929,2057323.000000001,-389353.95380002056
2.0,1,2018,475,62079679.87739998,87984651.0852,86796528.46819998,-1255675.6018000199,102094061.2282779,3345743.278257896,4711448.764938389,1.2658660751748978,3015744.4941639886,2.8728320563110707,31758.584871932067,7.09497160591043,24.96989418502257,5.799033503385353,0.0,0.0,2.8790566557786756,0.8425758795905489,0.5424426389199085,2992873.9460365386,660628.2264630051,176860.5480908078,1692183.7817602407,-201665.49116632895,-177467.51000965925,45972.7599466689,-117695.69427734968,0.0,0.0,375421.7151601524,-45167.45658327883,-2785473.23531193,2616471.590108867,2890639.2453161525,-4146314.8471161746,67552.98479999996,-1188122.61700002
3.0,0,2002,2044,102096123.9011,0.0,102096123.9011,0.0,95179040.85318105,0.0,2348829.1506419135,0.8902581781064114,606352.197286853,1.9276307177453522,33597.73755668909,6.29927834655003,15.180583798631437,3.341599539598135,0.0,0.0,0.0,0.02777417879984226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102096123.9011,102096123.9011
3.0,0,2003,2467,122110685.4121,102096123.9011,126465494.80180003,4354809.389700018,121443940.10454535,7931706.637184591,2133746.090209377,0.8242005660242278,573831.0629962279,2.1680348697914154,32811.39799007528,6.321643076797528,14.637349732939338,3.2526141583553287,0.0,0.0,0.0,0.023221849835911374,0.0,1835366.114880114,2232402.4562796187,636913.1201505654,2031796.0700561993,1251403.9830785221,130220.91263832354,-101862.8006233152,0.0,0.0,0.0,0.0,0.0,0.0,8016239.856460028,8581148.045522578,-4226338.655822559,20014561.510999996,24369370.900700007
3.0,0,2004,2890,158023343.7193,126465494.80180003,165941440.666,2755898.657599981,165618318.89396328,9694987.004969332,2224597.760665231,0.8460603339502341,593365.9051765652,2.4949947265849284,30505.828385457695,6.774226517650915,15.955270786064363,3.1387905395795737,0.0,0.0,0.0,0.01794441209291835,0.0,2108767.5132590206,-815287.0897704655,947278.2480228803,3015183.948809091,2171968.9860158795,151843.7298885467,-116484.5283542982,0.0,0.0,0.0,0.0,0.0,0.0,7463270.807870657,7927229.5362876635,-5171330.8786876835,35912658.30720001,38668556.96479997
3.0,0,2005,3377,180731374.27350003,165941440.666,191530956.93330002,2881485.7131000115,197873077.4322695,9060106.064083483,2060765.271860627,0.8107877110339827,612106.2882864119,2.964633773610234,29217.340588649706,6.936421301343959,14.946302177291146,3.1449044302016897,0.0,0.0,0.0,0.01568978275852008,0.0,-850687.690123868,415261.34102988354,1300474.56252412,5231041.544091816,2696410.8525053835,252284.14934774034,-92226.16575629504,0.0,0.0,0.0,0.0,0.0,0.0,8952558.593618784,9646187.87194391,-6764702.158843901,22708030.554199994,25589516.26730001
3.0,0,2006,4129,209867241.5442,191530956.93330002,235706232.02290002,15039407.818900019,246607745.05923727,18505453.522966977,1958081.1576859187,0.8368119171776801,611867.9204720316,3.255991439691726,27712.787313345147,6.9599208623583895,14.96586171574894,3.5928622145569364,0.0,0.0,0.0,0.013511570358172305,0.0,7133550.353866702,-109069.69859056541,1597718.8416606016,3251101.7961185947,4470059.703366084,242371.52501631028,-42938.39558294234,-224342.47837975927,0.0,0.0,0.0,0.0,0.0,16318451.647475028,17037838.773009457,-1998430.9541094392,29135867.27069999,44175275.089600004
3.0,0,2007,4421,222050791.2975,235706232.02290002,257452907.74940005,9563125.973199986,269134626.1942008,9475639.48871244,1975076.6476497676,0.8370771938747427,610618.5081088651,3.4354089729660098,27964.140105004877,7.101064548760447,14.43237165478448,3.6709370321726356,0.0,0.0,0.0,0.012770213442747256,0.0,6834829.03301239,201371.12290664666,667406.001547652,2391773.839701139,-970429.2895178112,143335.42058846026,-261947.94654183218,-82851.60859006694,0.0,0.0,0.0,0.0,0.0,8923486.573106578,8940824.901067663,622301.0721323254,12183549.7533,21746675.726499975
3.0,0,2008,4421,222050791.2975,257452907.74940005,277118623.8503,19665716.10089999,279738480.52338004,10603854.329179222,1996408.604445204,0.8211420594493523,613243.4905354729,3.8563513017785596,28155.981014692206,7.082449619904125,14.149249465769278,3.7094399456062357,0.0,0.0,0.0,0.012770213442747256,0.0,3008562.060183766,1741708.1006457522,252570.29870720307,5757861.819876757,-625946.6449749988,-841.4083303836178,-268711.37918200187,2166.7520988722185,0.0,0.0,0.0,0.0,0.0,9867369.599024964,10185979.400220752,9479736.700679254,0.0,19665716.10089999
3.0,0,2009,4488,233195479.15750003,277118623.8503,282138351.6146,-6124960.095700018,278430807.231151,-11115290.176940372,1983827.24626711,0.8680853327398937,595386.1080545214,2.7891381876959076,26533.10118753961,7.155946871318827,14.458664759361954,3.704411678428573,0.0,0.0,0.0,0.012159909832920963,0.0,4805279.848681994,-5175621.564756801,-201810.42716441656,-16274626.02190687,5793452.1505575385,156227.2623817198,673177.1723698989,41526.21011229977,0.0,0.0,0.0,0.0,0.0,-10182395.369724644,-10242194.154043887,4117234.0583438748,11144687.860000001,5019727.764299985
