CLUSTER_APTA4,RAIL_FLAG,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,TSD_POP_PCT_LEHD,JTW_HOME_PCT,PER_CAPITA_TNC_TRIPS_HI_OPEX_RAIL,PER_CAPITA_TNC_TRIPS_MIDLOW_RAIL,PER_CAPITA_TNC_TRIPS_NEW_YORK_RAIL,BIKE_SHARE,scooter_flag,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,TSD_POP_PCT_LEHD_FAC,JTW_HOME_PCT_FAC,PER_CAPITA_TNC_TRIPS_HI_OPEX_RAIL_FAC,PER_CAPITA_TNC_TRIPS_MIDLOW_RAIL_FAC,PER_CAPITA_TNC_TRIPS_NEW_YORK_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change
1.0,1,2012,190,1130478954.6549995,1649966415.230001,1684310468.9199998,34344053.68999935,1726581491.146379,48768876.145380825,62544163.99594269,1.9432487627184813,9731480.262162069,4.075496151370587,35229.19588477933,10.8607153020986,57.04474645834095,4.989958317132702,0.47939053826718037,0.0,0.0,0.24165270793861907,0.0,25984659.79828254,-3898301.096721336,12641178.793195598,1698068.284389871,11000306.285079103,-3439956.119840371,-565265.5451355316,988751.1487151991,7331903.220963052,0.0,0.0,-83350.8952601567,0.0,51657993.87366797,52702094.33574981,-18358040.64575047,0.0,34344053.68999935
1.0,1,2013,190,1130478954.6549995,1684310468.9199998,1692923428.0300004,8612959.110000275,1693507491.6450257,-33073999.501353353,64149944.8983579,2.047111686412293,9831671.86094711,3.914481509920982,35423.164633613036,10.495174327331243,57.14379899862264,4.971745753716531,1.5644317104608099,0.0,0.0,0.24165270793861907,0.0,24302789.374059867,-51953087.698759206,11453806.467600163,-9529535.86343389,-10360799.05132299,-10376402.256878037,-464272.2033262306,52523.629425749124,17045230.171117853,0.0,0.0,0.0,0.0,-29829747.4315167,-30607305.656010028,39220264.76601031,0.0,8612959.110000273
1.0,1,2014,190,1130478954.6549995,1692923428.0300004,1741056553.210001,48133125.180000454,1749079539.1712766,55572047.52625119,66334626.90435627,2.009804757242879,9944286.104605619,3.7062733072537286,35472.47246979451,10.415881677278271,57.03241265728552,5.1626358429116515,2.717632114134308,0.0,0.0,0.5145053012380086,0.0,33206202.956825003,10409818.80976142,13516454.355625186,-13073318.676906474,-6243774.258834545,-1159304.9930248912,436431.4559655634,4080223.330674871,18212668.690928802,0.0,0.0,-3121653.8181973062,0.0,56263747.85281764,56817069.0139277,-8683943.83392724,0.0,48133125.180000454
1.0,1,2015,190,1130478954.6549995,1741056553.210001,1722971062.7099998,-18085490.50000111,1646041661.5004723,-103037877.67080466,67341929.9462265,2.148008534321956,10044532.471716082,2.752270756030396,36492.93496008474,10.408388655963272,57.39026666870296,5.2243917667142385,4.545996945073912,0.0,0.0,0.8840597136927688,0.0,16601764.943723999,-50847220.25494735,12515020.366599768,-69914532.57706718,-36157101.86841174,-369848.9587208596,-2123826.531301068,542446.310448639,29604226.3177106,0.0,0.0,-3995557.5956040383,0.0,-104144629.84756923,-103888092.49148229,85802601.99148118,0.0,-18085490.500001106
1.0,1,2016,190,1130478954.6549995,1722971062.7099998,1698078950.2549999,-24892112.455000028,1665933462.9542317,19891801.453759454,67431393.70482679,2.1979585764538503,10119272.318804469,2.44468026069309,37241.745014053624,10.322024178268455,57.32372494049556,5.771091100105375,8.136046888646948,0.0,0.0,0.9939071163433537,0.0,21160082.81001246,-16209948.826485697,9425752.809776828,-25934195.39372471,-26442611.88910177,-3153242.8180882917,422401.2319491946,8523904.514283031,57671002.21351421,0.0,0.0,-1439623.8489463886,0.0,24023520.80318886,22239110.52205405,-47131222.977054074,0.0,-24892112.455000024
1.0,1,2017,190,1130478954.6549995,1698078950.2549999,1666633095.772,-31445854.482999638,1775614547.8391879,109681084.88495627,69637255.9026267,2.122189070717875,10218716.437680818,2.659700612011849,38015.12624524307,10.167529453104075,57.26975473949379,5.931123528949761,12.590584836242892,0.0,0.0,0.9939071163433537,0.0,27124025.935145043,12379801.737456445,11536035.977095444,18384642.603278574,-26738042.3782492,-5210272.341658528,284788.96695458103,2518535.786911385,70693837.65185407,0.0,0.0,0.0,0.0,110973353.93878779,112347803.2714018,-143793657.75440142,0.0,-31445854.482999638
1.0,1,2018,190,1130478954.6549995,1666633095.772,1636184633.7979994,-30448461.974000704,1832551945.3378546,56937397.49866626,70621306.11045395,2.0770714924310716,10291699.890126606,2.932987369950005,38881.04174727562,10.033631511663454,57.32359880881227,6.1878226839308335,17.801302336627796,0.0,0.0,1.0,0.5721921811736921,10162196.141390277,871186.1290065404,10065420.901014293,21999821.423591904,-28286413.583434,-4485821.931690976,-295911.5615941616,3913141.2878061603,81295782.56939974,0.0,0.0,-66881.7189843057,-44241455.65825348,50931063.99825199,48988907.48143282,-79437369.45543352,0.0,-30448461.974000707
2.0,0,2002,1277,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0,2003,1300,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0,2004,1412,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0,2005,1436,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0,2006,1460,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0,2007,1481,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0,2008,1481,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0,2009,1481,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0,2010,1481,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0,2011,1481,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0,2012,1481,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0,2013,1481,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0,2014,1481,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0,2015,1481,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0,2016,1481,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0,2017,1481,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0,2018,1481,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1,2002,201,47549753.65639998,0.0,47549753.65639998,0.0,40268033.40898655,0.0,2962620.500087268,1.222581388515236,2768260.2377233375,1.9579725613818946,35534.37869641477,7.673255781850791,29.395644441065137,3.545075284782501,0.0,0.0,0.0,0.31426638102022403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47549753.65639998,47549753.65639998
2.0,1,2003,201,47549753.65639998,47549753.65639998,47844293.070099965,294539.41369997925,45234235.72970709,4966202.320720543,3069353.140649307,0.9557803670348208,2812675.2337543448,2.225024537957592,34842.31732651696,7.716691766543552,29.11219192595691,3.545075284782501,0.0,0.0,0.0,0.31426638102022403,0.0,604576.0995090446,4394814.204135499,529740.2839728734,731637.8066266937,663102.3288730612,38939.36103502517,48857.397571764224,0.0,0.0,0.0,0.0,0.0,0.0,7011667.481723962,7404293.518624402,-7109754.104924423,0.0,294539.41369997925
2.0,1,2004,201,47549753.65639998,47844293.070099965,53311258.55789999,5466965.4878000235,49457262.336837605,4223026.607130508,2965571.8303362145,0.886580362503479,2858440.030140535,2.5315490838163157,33861.27356754455,7.763855150630868,28.95883166919544,3.545075284782501,0.0,0.0,0.0,0.31426638102022403,0.0,700011.5615194396,1240552.694410657,574421.5406796606,779161.3619603742,955863.932795733,41297.91872708081,25510.751669819958,0.0,0.0,0.0,0.0,0.0,0.0,4316819.761762765,4456076.51374059,1010888.9740594339,0.0,5466965.4878000235
2.0,1,2005,201,47549753.65639998,53311258.55789999,60584375.92299997,7273117.365099977,55197801.54928374,5740539.212446141,3115605.899751638,0.8430277804746522,2911574.7844292494,2.9875062627911007,32998.760173915885,7.786114961541614,28.490996882034203,3.545075284782501,0.0,0.0,0.0,0.31426638102022403,0.0,2050632.771338189,793690.1863712075,726373.7415944098,1156762.9541493494,933904.0726198171,22315.66856935641,86442.60899855345,0.0,0.0,0.0,0.0,0.0,0.0,5770122.003640884,5984152.025603134,1288965.3394968424,0.0,7273117.365099977
2.0,1,2006,223,48222862.65639998,60584375.92299997,67601348.81599995,6343863.892999992,61426389.173408866,5809230.878516676,3332052.559270405,0.9329552839113114,2950352.495489417,3.276444635288689,31639.586665481038,7.864203537673248,29.01867733304584,3.592566592456484,0.0,0.0,0.0,0.30987975779195603,0.0,2187398.0116952257,531774.1073827525,944645.4159954507,747609.5295060029,1781213.6354551825,124984.33104409599,-36346.92863591426,41748.17406571085,0.0,0.0,0.0,0.0,0.0,6323026.276508507,6554826.858968154,-210962.96596816086,673108.9999999994,7016972.892999991
2.0,1,2007,291,50040839.14539998,67601348.81599995,73316847.37140007,3897522.06640012,65641320.76124881,1192303.5436992203,3688771.5562192425,1.0440432220022693,2910074.403018272,3.474539778209914,31981.679489931626,7.649168084740646,28.779762879613266,3.9449465481141273,0.0,0.0,0.0,0.2986218707600081,0.0,2927101.468416707,-1509283.5772021206,292909.29673672497,569429.5580414166,-728685.9482451131,-323892.78385643347,126856.98088730736,230852.13853778434,0.0,0.0,0.0,0.0,0.0,1585287.133316273,1602297.3359931798,2295224.73040694,1817976.4890000005,5715498.55540012
2.0,1,2008,315,54527477.73839998,73316847.37140007,87176871.44920002,9373385.484799935,77229764.883567,7917590.484725366,3844795.964356122,0.9984873882784927,2878055.1955216597,3.8662530575266914,31978.221566709675,7.629975244320223,26.586487094826623,3.9786946315963214,0.0,0.0,0.0,0.27405061851002227,0.0,5520192.895249256,-598380.8181950595,63056.83600255613,1094040.651834706,521615.48210551654,219772.85336492324,44898.00268376841,-9466.171589205478,0.0,0.0,0.0,0.0,0.0,6855729.73145646,6849674.233570293,2523711.2512296406,4486638.5929999985,13860024.077799933
2.0,1,2009,337,55878564.73839998,87176871.44920002,78474456.00700001,-10053502.442199994,72885731.97704726,-5121578.298363248,3737945.6825557007,1.2345932732828953,2816597.3206021353,2.800347443126009,30658.125813502847,7.891399292064894,26.816729388130806,4.061314568680134,0.0,0.0,0.0,0.2674243526110272,0.0,226737.59874730723,-5362499.699528968,-330302.2250262546,-3729506.976069576,2497183.2254306925,542287.935505846,-39230.3898415148,63665.70712314784,0.0,0.0,0.0,0.0,0.0,-6131664.82365932,-6115215.910903485,-3938286.531296508,1351087.0,-8702415.442199994
2.0,1,2010,337,55878564.73839998,78474456.00700001,74495052.89839998,-3979403.108600043,75525134.91002694,2639402.9329796634,3599620.5089564314,1.235674596373878,2828939.492030946,3.268655940849018,29918.112165179133,7.905276842074176,25.761860816199356,4.015218325516432,0.0,0.0,0.0,0.2674243526110272,0.0,231860.4254334358,-513595.6099559319,132513.38190561143,1634635.3655196638,1419626.5251727796,66498.15749630085,330149.90533470595,-59515.15500303562,0.0,0.0,0.0,0.0,0.0,3242172.9959035297,3457928.240149448,-7437331.34874949,0.0,-3979403.108600043
2.0,1,2011,360,56347892.73839998,74495052.89839998,79082697.59859999,4118316.700200017,82953141.4246144,6707564.422300443,3824630.4857204217,1.257362723213648,2841861.0807875316,3.9951573831001355,29378.86967531039,8.337755687527677,25.289450774368543,4.072701021168237,0.0,0.0,0.0,0.26519694479748357,0.0,2832603.977508828,-822663.8547684341,291340.59817267914,2099003.9473199304,1143642.3896422877,652771.4349387711,127679.46437074119,72592.87492744636,0.0,0.0,0.0,0.0,0.0,6396970.832112251,6551976.934042374,-2433660.233842356,469328.00000000006,4587644.700200017
