CBSA Code,Year,POP_CENSUSTRACT,WAC_TOTAL,WAC_RETAIL
12260,2004,7921.6,11661,311
12260,2005,7842.5,4571,274
12260,2006,7763.4,8836,302
12260,2007,7684.3,4429,505
12260,2008,7605.2,6355,464
12260,2009,7526.1,6987,208
12260,2010,7447.0,10190,257
12260,2011,7367.9,7201,221
12260,2012,7288.8,7997,196
12260,2013,7209.7,11862,200
12260,2014,7130.6,12228,217
12260,2015,7051.5,12501,186
12420,2002,325451.6000000001,380050,25550
12420,2003,327217.8999999999,370374,24721
12420,2004,328984.19999999995,371054,24775
12420,2005,330750.5,365966,24890
12420,2006,332516.80000000005,386380,25366
12420,2007,334283.1000000001,389434,25635
12420,2008,336049.3999999999,400451,26229
12420,2009,337815.69999999995,399654,24651
12420,2010,339582.0,430896,25866
12420,2011,341348.3,444861,27324
12420,2012,343114.6000000001,399863,28285
12420,2013,344880.8999999999,415461,28047
12420,2014,346647.2,415549,28578
12420,2015,348413.5,443646,30770
12540,2002,231698.59999999998,77322,9265
12540,2003,233061.90000000002,77478,9351
12540,2004,234425.1999999999,78735,9746
12540,2005,235788.5,81206,10175
12540,2006,237151.8000000001,82272,10367
12540,2007,238515.09999999998,83626,9994
12540,2008,239878.40000000002,84182,9576
12540,2009,241241.6999999999,82874,8546
12540,2010,242605.0,81229,8073
12540,2011,243968.3000000001,81752,8548
12540,2012,245331.59999999998,80205,8783
12540,2013,246694.90000000002,81772,9409
12540,2014,248058.1999999999,77702,9276
12540,2015,249421.5,76041,9471
12580,2002,665196.1999999998,390984,40179
12580,2003,665146.8000000002,384705,39195
12580,2004,665097.4,384163,39068
12580,2005,665048.0,381187,39568
12580,2006,664998.6,388894,40527
12580,2007,664949.1999999998,390756,39358
12580,2008,664899.8000000002,393193,38358
12580,2009,664850.4000000001,369805,35106
12580,2010,664801.0,394508,35464
12580,2011,664751.5999999999,384190,37246
12580,2012,664702.2,379494,35126
12580,2013,664652.8,384367,35113
12580,2014,664603.4,377288,34624
12580,2015,664554.0,388398,34587
12620,2002,8315.8,11842,674
12620,2003,8286.2,11428,654
12620,2004,8256.6,11763,619
12620,2005,8227.0,11678,615
12620,2006,8197.4,11974,608
12620,2007,8167.8,11608,549
12620,2008,8138.2,11079,514
12620,2009,8108.6,10953,447
12620,2010,8079.0,11295,507
12620,2011,8049.4,10956,506
12620,2012,8019.8,11144,509
12620,2013,7990.2,11512,510
12620,2014,7960.6,11728,477
12620,2015,7931.0,12181,455
12940,2002,52199.6,72016,3606
12940,2003,52424.4,71055,3574
12940,2004,52649.2,71395,3445
12940,2005,52874.0,67611,3367
12940,2006,53098.8,71909,3710
12940,2007,53323.6,71181,3623
12940,2008,53548.4,67979,4140
12940,2009,53773.2,71897,3656
12940,2010,53998.0,65673,3833
12940,2011,54222.8,62253,3988
12940,2012,54447.6,58601,4085
12940,2013,54672.4,63046,4375
12940,2014,54897.2,66232,4265
12940,2015,55122.0,66992,4475
12980,2002,2737.8,10315,1134
12980,2003,2729.2,10744,1129
12980,2004,2720.6,11054,1120
12980,2005,2712.0,10616,1027
12980,2006,2703.4,10015,1059
12980,2007,2694.8,10991,1094
12980,2008,2686.2,9505,949
12980,2009,2677.6,8789,758
12980,2010,2669.0,7941,804
12980,2011,2660.4,10415,898
12980,2012,2651.8,1216,107
12980,2013,2643.2,1271,118
12980,2014,2634.6,1299,61
12980,2015,2626.0,1256,104
13020,2002,7537.200000000001,1631,543
13020,2003,7481.299999999999,1395,460
13020,2004,7425.400000000001,1398,471
13020,2005,7369.5,1702,502
13020,2006,7313.599999999999,1607,503
13020,2007,7257.700000000001,1412,440
13020,2008,7201.799999999999,1412,430
13020,2009,7145.900000000001,2139,479
13020,2010,7090.0,2080,497
13020,2011,7034.099999999999,2185,513
13020,2012,6978.200000000001,1803,233
13020,2013,6922.299999999999,1712,219
13020,2014,6866.400000000001,1546,115
13020,2015,6810.5,1015,183
13140,2002,5299.200000000001,13781,671
13140,2003,5276.799999999999,14688,579
13140,2004,5254.4,14766,603
13140,2005,5232.0,14571,656
13140,2006,5209.6,14080,725
13140,2007,5187.200000000001,15773,727
13140,2008,5164.799999999999,15406,678
13140,2009,5142.4,14978,612
13140,2010,5120.0,14828,623
13140,2011,5097.6,15525,669
13140,2012,5075.200000000001,13625,562
13140,2013,5052.799999999999,13683,598
13140,2014,5030.4,13420,620
13140,2015,5008.0,12168,789
13380,2002,20369.199999999997,18144,1542
13380,2003,20524.800000000003,18222,1574
13380,2004,20680.4,18345,1548
13380,2005,20836.0,18612,1584
13380,2006,20991.6,18879,1628
13380,2007,21147.199999999997,16959,1577
13380,2008,21302.800000000003,16992,1563
13380,2009,21458.4,17465,1466
13380,2010,21614.0,18417,1444
13380,2011,21769.6,19214,1446
13380,2012,21925.199999999997,19084,1505
13380,2013,22080.800000000003,19432,1565
13380,2014,22236.4,19731,1604
13380,2015,22392.0,19842,1722
13740,2002,9927.8,4514,976
13740,2003,9947.7,4605,1077
13740,2004,9967.6,4517,1052
13740,2005,9987.5,4984,1008
13740,2006,10007.4,4849,1072
13740,2007,10027.3,4947,840
13740,2008,10047.2,4890,802
13740,2009,10067.1,5711,1107
13740,2010,10087.0,5523,847
13740,2011,10106.9,5622,776
13740,2012,10126.8,5065,693
13740,2013,10146.7,5277,706
13740,2014,10166.6,5349,743
13740,2015,10186.5,5389,805
13780,2002,34016.99999999999,35412,1952
13780,2003,34136.50000000001,35609,1969
13780,2004,34256.0,33654,1822
13780,2005,34375.5,33870,1789
13780,2006,34495.0,34216,1824
13780,2007,34614.49999999999,33015,1769
13780,2008,34734.00000000001,34357,1762
13780,2009,34853.5,32658,1666
13780,2010,34973.0,32073,1439
13780,2011,35092.5,32264,1404
13780,2012,35211.99999999999,28837,1338
13780,2013,35331.50000000001,28240,1192
13780,2014,35451.0,32008,1270
13780,2015,35570.5,31550,1187
13820,2002,44621.799999999996,119490,7225
13820,2003,44677.700000000004,116685,7059
13820,2004,44733.6,117843,6962
13820,2005,44789.5,110576,7070
13820,2006,44845.4,114227,6651
13820,2007,44901.3,113443,6885
13820,2008,44957.2,108850,6935
13820,2009,45013.100000000006,108665,6176
13820,2010,45069.0,111867,6081
13820,2011,45124.9,112562,6294
13820,2012,45180.8,109658,5560
13820,2013,45236.7,113404,5332
13820,2014,45292.6,112292,5319
13820,2015,45348.5,113632,5482
13900,2002,23206.6,24860,3230
13900,2003,23046.4,25164,3046
13900,2004,22886.199999999997,25183,3466
13900,2005,22726.0,25347,3356
13900,2006,22565.800000000003,25053,2747
13900,2007,22405.6,25479,2981
13900,2008,22245.4,25837,2787
13900,2009,22085.199999999997,25841,2727
13900,2010,21925.0,26597,2845
13900,2011,21764.800000000003,24613,2943
13900,2012,21604.6,25172,3004
13900,2013,21444.4,25498,3041
13900,2014,21284.199999999997,25765,3163
13900,2015,21124.0,26911,3095
13980,2002,16015.8,690,134
13980,2003,16046.2,768,128
13980,2004,16076.599999999999,683,112
13980,2005,16107.0,1274,121
13980,2006,16137.400000000001,1170,103
13980,2007,16167.8,1339,102
13980,2008,16198.2,1529,107
13980,2009,16228.599999999999,1721,94
13980,2010,16259.0,10134,244
13980,2011,16289.400000000001,10384,276
13980,2012,16319.8,10584,306
13980,2013,16350.2,10261,401
13980,2014,16380.599999999999,10053,335
13980,2015,16411.0,10107,409
14010,2002,37160.0,33932,2454
14010,2003,36989.5,31698,2298
14010,2004,36819.0,31039,2120
14010,2005,36648.5,31619,2011
14010,2006,36478.0,31887,2058
14010,2007,36307.5,33192,1922
14010,2008,36137.0,33362,1845
14010,2009,35966.5,33044,1846
14010,2010,35796.0,35304,1879
14010,2011,35625.5,37503,1829
14010,2012,35455.0,40672,1790
14010,2013,35284.5,39574,1840
14010,2014,35114.0,40877,1735
14010,2015,34943.5,39917,1606
14020,2002,29598.6,26980,1213
14020,2003,29995.9,27271,1187
14020,2004,30393.199999999997,29513,1151
14020,2005,30790.5,29951,1041
14020,2006,31187.800000000003,28750,1012
14020,2007,31585.1,28047,987
14020,2008,31982.4,28212,1001
14020,2009,32379.699999999997,28105,1034
14020,2010,32777.0,29046,1060
14020,2011,33174.3,31183,1042
14020,2012,33571.6,30177,1115
14020,2013,33968.9,29657,1105
14020,2014,34366.2,29772,1138
14020,2015,34763.5,28015,1113
14100,2002,6412.0,1135,57
14100,2003,6632.5,1178,59
14100,2004,6853.0,1133,54
14100,2005,7073.5,2147,51
14100,2006,7294.0,2091,53
14100,2007,7514.5,2173,54
14100,2008,7735.0,2214,48
14100,2009,7955.5,2255,47
14100,2010,8176.0,2389,43
14100,2011,8396.5,2578,46
14100,2012,8617.0,2174,46
14100,2013,8837.5,2028,45
14100,2014,9058.0,2138,45
14100,2015,9278.5,2051,75
14260,2002,55187.2,80071,10783
14260,2003,55336.8,78232,10583
14260,2004,55486.399999999994,77143,10704
14260,2005,55636.0,78504,11166
14260,2006,55785.600000000006,79371,11514
14260,2007,55935.2,80636,12319
14260,2008,56084.8,80601,11432
14260,2009,56234.399999999994,77139,10354
14260,2010,56384.0,76331,9653
14260,2011,56533.600000000006,77551,10066
14260,2012,56683.200000000004,75172,9881
14260,2013,56832.799999999996,77790,10504
14260,2014,56982.399999999994,78859,10279
14260,2015,57132.0,82816,11029
14460,2003,8081.1,8473,1665
14460,2004,8120.8,10371,2268
14460,2005,8160.5,9974,1981
14460,2006,8200.2,9225,1550
14460,2007,8239.9,9422,1639
14460,2008,8279.6,8040,1453
14460,2009,8319.3,7369,1382
14460,2010,8359.0,7168,1277
14460,2011,8398.7,7132,1281
14460,2012,8438.4,5732,942
14460,2013,8478.1,5969,970
14460,2014,8517.8,6030,922
14460,2015,8557.5,6436,988
14500,2002,71879.59999999999,62589,7289
14500,2003,72071.40000000001,58752,7285
14500,2004,72263.19999999998,57769,6841
14500,2005,72455.0,58587,7329
14500,2006,72646.80000000002,58882,7072
14500,2007,72838.59999999999,60283,6786
14500,2008,73030.40000000001,62492,7597
14500,2009,73222.19999999998,58045,6150
14500,2010,73414.0,59924,6043
14500,2011,73605.80000000002,62148,5719
14500,2012,73797.59999999999,55193,6092
14500,2013,73989.40000000001,51838,6138
14500,2014,74181.19999999998,60957,6518
14500,2015,74373.0,62271,6838
14540,2002,6770.0,6467,145
14540,2003,6823.0,6512,130
14540,2004,6876.0,6648,111
14540,2005,6929.0,6470,148
14540,2006,6982.0,6872,135
14540,2007,7035.0,4058,118
14540,2008,7088.0,3997,111
14540,2009,7141.0,3954,83
14540,2010,7194.0,3868,92
14540,2011,7247.0,3951,116
14540,2012,7300.0,7393,73
14540,2013,7353.0,7332,121
14540,2014,7406.0,7364,81
14540,2015,7459.0,7352,57
14740,2002,8865.4,5321,342
14740,2003,8890.1,5491,340
14740,2004,8914.8,5524,370
14740,2005,8939.5,5666,303
14740,2006,8964.2,6035,292
14740,2007,8988.9,5894,310
14740,2008,9013.6,5861,308
14740,2009,9038.3,6330,358
14740,2010,9063.0,6258,249
14740,2011,9087.7,6272,247
14740,2012,9112.4,4302,210
14740,2013,9137.1,5876,203
14740,2014,9161.8,5955,226
14740,2015,9186.5,5865,258
14860,2002,300172.39999999997,186229,17965
14860,2003,301384.60000000003,180435,17790
14860,2004,302596.80000000005,179949,17461
14860,2005,303809.0,180281,17784
14860,2006,305021.19999999995,183464,17286
14860,2007,306233.39999999997,180188,16812
14860,2008,307445.60000000003,184291,17242
14860,2009,308657.80000000005,172553,15506
14860,2010,309870.0,171121,15584
14860,2011,311082.19999999995,177251,15670
14860,2012,312294.39999999997,175544,15861
14860,2013,313506.60000000003,178251,16063
14860,2014,314718.80000000005,176856,16480
14860,2015,315931.0,180631,16343
15180,2002,83480.6,41334,5003
15180,2003,83230.9,41870,5072
15180,2004,82981.20000000001,42420,5193
15180,2005,82731.5,41931,5115
15180,2006,82481.79999999999,41088,5151
15180,2007,82232.1,41644,4864
15180,2008,81982.40000000001,42554,4769
15180,2009,81732.7,43515,4560
15180,2010,81483.0,48803,4463
15180,2011,81233.3,49833,4200
15180,2012,80983.59999999999,38940,3941
15180,2013,80733.90000000001,39845,3972
15180,2014,80484.2,40322,4055
15180,2015,80234.5,41674,4315
15380,2002,349585.4000000001,160953,19463
15380,2003,347176.6,159994,18419
15380,2004,344767.8,154591,18559
15380,2005,342359.0,158374,18644
15380,2006,339950.2,154519,19298
15380,2007,337541.4,149290,17848
15380,2008,335132.6,148335,15901
15380,2009,332723.8,151438,16725
15380,2010,330315.0,156880,18599
15380,2011,327906.2,154876,16948
15380,2012,325497.4,158689,17900
15380,2013,323088.6,166358,17718
15380,2014,320679.8,158456,17971
15380,2015,318271.0,150812,16937
15540,2002,25622.2,20966,2314
15540,2003,25851.8,21035,2326
15540,2004,26081.399999999998,21580,2237
15540,2005,26311.0,22016,2261
15540,2006,26540.600000000002,21461,2209
15540,2007,26770.2,21547,2103
15540,2008,26999.8,21169,2057
15540,2009,27229.399999999998,19842,1990
15540,2010,27459.0,22737,2097
15540,2011,27688.600000000006,20793,2134
15540,2012,27918.2,21539,2209
15540,2013,28147.8,21379,2276
15540,2014,28377.399999999994,20875,2202
15540,2015,28607.0,23078,2290
15940,2002,33702.399999999994,24017,1668
15940,2003,33271.600000000006,23057,1613
15940,2004,32840.799999999996,23718,1521
15940,2005,32410.0,22786,1556
15940,2006,31979.2,23937,1523
15940,2007,31548.399999999998,23865,1416
15940,2008,31117.600000000002,24069,1502
15940,2009,30686.8,22211,1527
15940,2010,30256.0,22417,1479
15940,2011,29825.2,20678,1838
15940,2012,29394.399999999998,20474,1550
15940,2013,28963.600000000002,22565,1449
15940,2014,28532.8,22074,1391
15940,2015,28102.0,21119,1466
15980,2002,8813.8,15041,597
15980,2003,8706.2,15266,485
15980,2004,8598.6,15417,513
15980,2005,8491.0,15872,572
15980,2006,8383.4,15786,654
15980,2007,8275.8,16641,736
15980,2008,8168.2,16253,477
15980,2009,8060.6,14996,420
15980,2010,7953.0,14829,444
15980,2011,7845.4,15719,686
15980,2012,7737.8,15559,382
15980,2013,7630.2,16041,414
15980,2014,7522.6,16593,461
15980,2015,7415.0,16638,454
16060,2002,3274.6,1728,158
16060,2003,3262.4,1805,177
16060,2004,3250.2,1774,217
16060,2005,3238.0,1650,209
16060,2006,3225.8,1644,200
16060,2007,3213.6,1709,183
16060,2008,3201.4,1719,186
16060,2009,3189.2,1830,182
16060,2010,3177.0,1640,163
16060,2011,3164.8,1663,147
16060,2012,3152.6,1494,125
16060,2013,3140.4,1412,110
16060,2014,3128.2,1325,41
16060,2015,3116.0,1423,37
16180,2002,3146.8,8200,307
16180,2003,3132.7,8288,303
16180,2004,3118.6,8128,320
16180,2005,3104.5,8417,335
16180,2006,3090.4,8345,301
16180,2007,3076.3,8394,298
16180,2008,3062.2,8333,302
16180,2009,3048.1,8171,279
16180,2010,3034.0,5973,211
16180,2011,3019.9,6122,184
16180,2012,3005.8,5628,179
16180,2013,2991.7,5721,190
16180,2014,2977.6,5454,247
16180,2015,2963.5,5759,257
16220,2002,7863.799999999999,12193,852
16220,2003,7922.200000000001,12312,891
16220,2004,7980.6,12504,818
16220,2005,8039.0,12778,788
16220,2006,8097.4,12956,758
16220,2007,8155.8,12951,735
16220,2008,8214.2,13025,705
16220,2009,8272.6,12230,691
16220,2010,8331.0,11947,630
16220,2011,8389.4,11835,602
16220,2012,8447.8,11094,550
16220,2013,8506.2,11015,544
16300,2002,31114.600000000006,39554,3740
16300,2003,30993.899999999994,38665,3502
16300,2004,30873.2,38784,3600
16300,2005,30752.5,40776,3808
16300,2006,30631.8,41312,3711
16300,2007,30511.100000000006,45738,3556
16300,2008,30390.399999999994,49767,3637
16300,2009,30269.7,48943,3480
16300,2010,30149.0,49861,3502
16300,2011,30028.3,49082,3455
16300,2012,29907.600000000006,36590,3499
16300,2013,29786.899999999994,35976,3439
16300,2014,29666.2,36617,3596
16300,2015,29545.5,36256,3573
16580,2002,28661.199999999997,19378,1818
16580,2003,28804.800000000003,19572,1822
16580,2004,28948.4,19714,1958
16580,2005,29092.0,20007,1355
16580,2006,29235.6,19465,991
16580,2007,29379.199999999997,20550,1055
16580,2008,29522.800000000003,21104,1001
16580,2009,29666.4,21290,953
16580,2010,29810.0,19571,854
16580,2011,29953.6,18826,813
16580,2012,30097.199999999997,19074,675
16580,2013,30240.800000000003,19641,675
16580,2014,30384.4,19600,671
16580,2015,30528.0,19814,529
16620,2002,17651.0,43373,3428
16620,2003,17527.0,40567,3356
16620,2004,17403.0,41648,3018
16620,2005,17279.0,40174,2894
16620,2006,17155.0,40629,3118
16620,2007,17031.0,40724,2979
16620,2008,16907.0,39741,3018
16620,2009,16783.0,39611,2764
16620,2010,16659.0,39596,2907
16620,2011,16535.0,39761,2954
16620,2012,16411.0,39372,2605
16620,2013,16287.000000000002,39643,2578
16620,2014,16163.0,39204,2502
16620,2015,16039.0,39104,2393
16700,2002,18879.000000000004,25051,2157
16700,2003,18892.499999999996,25725,2162
16700,2004,18906.0,26633,2151
16700,2005,18919.5,23815,2040
16700,2006,18933.0,21072,2117
16700,2007,18946.500000000004,28746,2840
16700,2008,18959.999999999996,28458,2440
16700,2009,18973.5,28312,2339
16700,2010,18987.0,31510,2508
16700,2011,19000.5,33814,2339
16700,2012,19014.000000000004,32917,2082
16700,2013,19027.499999999996,33586,2278
16700,2014,19041.0,34641,2285
16700,2015,19054.5,35366,2466
16740,2002,34428.799999999996,114491,3785
16740,2003,35162.700000000004,115528,4043
16740,2004,35896.6,113463,3940
16740,2005,36630.5,118637,3966
16740,2006,37364.4,124176,4246
16740,2007,38098.299999999996,129035,4045
16740,2008,38832.200000000004,136333,4020
16740,2009,39566.1,134711,3558
16740,2010,40300.0,129379,3663
16740,2011,41033.9,147456,4067
16740,2012,41767.799999999996,137079,4804
16740,2013,42501.700000000004,141498,4994
16740,2014,43235.6,143459,4948
16740,2015,43969.5,148406,4959
16820,2002,24945.800000000003,11512,1716
16820,2003,25428.199999999997,11789,1652
16820,2004,25910.6,14080,1832
16820,2005,26393.0,15060,1871
16820,2006,26875.4,15384,1822
16820,2007,27357.800000000003,15126,1450
16820,2008,27840.199999999997,15283,1219
16820,2009,28322.600000000002,15461,1019
16820,2010,28805.0,18414,1023
16820,2011,29287.399999999998,18581,949
16820,2012,29769.800000000003,27077,723
16820,2013,30252.199999999997,28143,828
16820,2014,30734.600000000006,28540,823
16820,2015,31217.0,29119,752
16860,2002,8236.0,32992,431
16860,2003,8252.0,32350,391
16860,2004,8268.0,36956,381
16860,2005,8284.0,37783,395
16860,2006,8300.0,41705,397
16860,2007,8316.0,41202,425
16860,2008,8332.0,41948,479
16860,2009,8348.0,41899,441
16860,2010,8364.0,41206,557
16860,2011,8380.0,39707,578
16860,2012,8396.0,34547,570
16860,2013,8412.0,33666,605
16860,2014,8428.0,34355,651
16860,2015,8444.0,33959,761
16940,2002,13479.2,18537,1753
16940,2003,13460.8,18721,1656
16940,2004,13442.400000000001,19065,1573
16940,2005,13424.0,18824,1592
16940,2006,13405.599999999999,18716,1427
16940,2007,13387.2,19509,1546
16940,2008,13368.8,19979,1552
16940,2009,13350.400000000001,19327,1388
16940,2010,13332.0,19587,1312
16940,2011,13313.599999999999,19586,1339
16940,2012,13295.2,19976,1448
16940,2013,13276.8,20320,1480
16980,2002,3453941.000000004,1498206,169794
16980,2003,3443638.2999999956,1450334,164661
