,Id,Id2,Geography,JTW_DA,JTW_CARPOOL,JTW_TRANSIT,MEAN_TT,Year
4,3100000US10740,10740,"Albuquerque, NM Metro Area",285261,49616,4618,23.5,2005
362,3100000US10740,10740,"Albuquerque, NM Metro Area",307006,45292,5386,23.0,2006
721,3100000US10740,10740,"Albuquerque, NM Metro Area",298497,45497,6301,23.8,2007
1082,3100000US10740,10740,"Albuquerque, NM Metro Area",304071,49451,7948,24.1,2008
1443,3100000US10740,10740,"Albuquerque, NM Metro Area",311831,43070,6193,23.3,2009
1809,310M100US10740,10740,"Albuquerque, NM Metro Area",320017,37436,8257,23.8,2010
2175,310M100US10740,10740,"Albuquerque, NM Metro Area",309002,34516,6341,23.5,2011
2541,310M100US10740,10740,"Albuquerque, NM Metro Area",316808,39623,6692,23.0,2012
2908,310M200US10740,10740,"Albuquerque, NM Metro Area",317712,37137,6143,22.8,2013
3289,310M200US10740,10740,"Albuquerque, NM Metro Area",318978,35275,8716,23.6,2014
3670,310M200US10740,10740,"Albuquerque, NM Metro Area",331467,31189,5194,23.3,2015
4051,310M300US10740,10740,"Albuquerque, NM Metro Area",330185,38428,7604,23.7,2016
4433,310M300US10740,10740,"Albuquerque, NM Metro Area",322707,40855,5685,23.7,2017
5,3100000US10780,10780,"Alexandria, LA Metro Area",51159,5778,474,21.3,2005
363,3100000US10780,10780,"Alexandria, LA Metro Area",52049,6789,354,20.2,2006
722,3100000US10780,10780,"Alexandria, LA Metro Area",50590,6557,685,24.5,2007
1083,3100000US10780,10780,"Alexandria, LA Metro Area",50965,7969,479,23.4,2008
1444,3100000US10780,10780,"Alexandria, LA Metro Area",54582,7035,685,21.4,2009
1810,310M100US10780,10780,"Alexandria, LA Metro Area",49994,4241,403,N,2010
2176,310M100US10780,10780,"Alexandria, LA Metro Area",46004,5989,1309,22.9,2011
2542,310M100US10780,10780,"Alexandria, LA Metro Area",48789,6069,489,26.1,2012
2909,310M200US10780,10780,"Alexandria, LA Metro Area",49084,5636,1333,25.2,2013
3290,310M200US10780,10780,"Alexandria, LA Metro Area",47778,5171,1225,23.8,2014
3671,310M200US10780,10780,"Alexandria, LA Metro Area",49761,5969,726,21.3,2015
4052,310M300US10780,10780,"Alexandria, LA Metro Area",50742,6429,797,26.0,2016
4434,310M300US10780,10780,"Alexandria, LA Metro Area",48576,5559,613,21.9,2017
6,3100000US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",301392,33225,6340,26.7,2005
364,3100000US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",311211,37425,5491,26.4,2006
723,3100000US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",314555,34995,8329,27.5,2007
1084,3100000US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",319979,39310,8579,27.9,2008
1445,3100000US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",310403,34481,5028,26.7,2009
1811,310M100US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",305690,31350,5360,27.4,2010
2177,310M100US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",303079,37986,5654,26.9,2011
2543,310M100US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",316343,34291,6549,27.6,2012
2910,310M200US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",313824,33506,6863,27.0,2013
3291,310M200US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",323269,32365,7447,27.7,2014
3672,310M200US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",326011,33360,7376,28.3,2015
4053,310M300US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",328657,34427,7956,27.9,2016
4435,310M300US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",335273,34840,5813,27.2,2017
7,3100000US11020,11020,"Altoona, PA Metro Area",N,N,N,N,2005
365,3100000US11020,11020,"Altoona, PA Metro Area",47358,5873,308,17.8,2006
724,3100000US11020,11020,"Altoona, PA Metro Area",43227,7084,708,22.6,2007
1085,3100000US11020,11020,"Altoona, PA Metro Area",46727,6957,26,19.0,2008
1446,3100000US11020,11020,"Altoona, PA Metro Area",46208,4939,170,19.0,2009
1812,310M100US11020,11020,"Altoona, PA Metro Area",47169,6059,63,N,2010
2178,310M100US11020,11020,"Altoona, PA Metro Area",47416,5016,117,18.4,2011
2544,310M100US11020,11020,"Altoona, PA Metro Area",45296,5870,418,19.2,2012
2911,310M200US11020,11020,"Altoona, PA Metro Area",47070,4443,121,18.8,2013
3292,310M200US11020,11020,"Altoona, PA Metro Area",47690,4950,317,19.8,2014
3673,310M200US11020,11020,"Altoona, PA Metro Area",46907,5184,430,20.8,2015
4054,310M300US11020,11020,"Altoona, PA Metro Area",44823,5202,449,19.1,2016
4436,310M300US11020,11020,"Altoona, PA Metro Area",43724,5363,992,22.2,2017
8,3100000US11100,11100,"Amarillo, TX Metro Area",87006,16996,138,17.0,2005
366,3100000US11100,11100,"Amarillo, TX Metro Area",93980,12083,457,16.7,2006
725,3100000US11100,11100,"Amarillo, TX Metro Area",93461,13901,127,17.1,2007
1086,3100000US11100,11100,"Amarillo, TX Metro Area",98507,12668,1020,16.7,2008
1447,3100000US11100,11100,"Amarillo, TX Metro Area",94606,14842,1644,17.8,2009
1813,310M100US11100,11100,"Amarillo, TX Metro Area",97851,14622,247,18.2,2010
2179,310M100US11100,11100,"Amarillo, TX Metro Area",91745,17284,779,19.5,2011
2545,310M100US11100,11100,"Amarillo, TX Metro Area",93206,16186,1068,19.0,2012
2912,310M200US11100,11100,"Amarillo, TX Metro Area",101552,15213,884,18.4,2013
3293,310M200US11100,11100,"Amarillo, TX Metro Area",103100,13099,1082,18.5,2014
3674,310M200US11100,11100,"Amarillo, TX Metro Area",104137,14653,551,17.8,2015
4055,310M300US11100,11100,"Amarillo, TX Metro Area",101294,17261,629,19.1,2016
4437,310M300US11100,11100,"Amarillo, TX Metro Area",104439,13726,171,19.5,2017
9,3100000US11180,11180,"Ames, IA Metro Area",31176,2474,2661,15.5,2005
367,3100000US11180,11180,"Ames, IA Metro Area",31601,4056,2191,17.0,2006
726,3100000US11180,11180,"Ames, IA Metro Area",34211,4472,2757,16.8,2007
1087,3100000US11180,11180,"Ames, IA Metro Area",34674,5198,3021,16.8,2008
1448,3100000US11180,11180,"Ames, IA Metro Area",33302,4285,2888,17.5,2009
1814,310M100US11180,11180,"Ames, IA Metro Area",33611,4934,2708,20.6,2010
2180,310M100US11180,11180,"Ames, IA Metro Area",34515,3524,3450,16.7,2011
2546,310M100US11180,11180,"Ames, IA Metro Area",33931,4704,2255,17.2,2012
2913,310M200US11180,11180,"Ames, IA Metro Area",35622,3356,3060,16.7,2013
3294,310M200US11180,11180,"Ames, IA Metro Area",35558,2819,3652,18.1,2014
3675,310M200US11180,11180,"Ames, IA Metro Area",36594,3224,3146,18.2,2015
4056,310M300US11180,11180,"Ames, IA Metro Area",38231,3489,2638,17.6,2016
4438,310M300US11180,11180,"Ames, IA Metro Area",35302,2488,1905,18.4,2017
10,3100000US11260,11260,"Anchorage, AK Metro Area",118907,23462,1888,21.6,2005
368,3100000US11260,11260,"Anchorage, AK Metro Area",130950,22480,1841,20.4,2006
727,3100000US11260,11260,"Anchorage, AK Metro Area",132047,23872,2159,21.3,2007
1088,3100000US11260,11260,"Anchorage, AK Metro Area",136353,26128,2805,21.6,2008
1449,3100000US11260,11260,"Anchorage, AK Metro Area",138139,24083,2159,20.5,2009
1815,310M100US11260,11260,"Anchorage, AK Metro Area",140701,26542,2368,22.0,2010
2181,310M100US11260,11260,"Anchorage, AK Metro Area",144215,22621,3682,21.5,2011
2547,310M100US11260,11260,"Anchorage, AK Metro Area",142197,26005,4032,22.8,2012
2914,310M200US11260,11260,"Anchorage, AK Metro Area",144751,24269,3778,22.8,2013
3295,310M200US11260,11260,"Anchorage, AK Metro Area",152788,21191,2322,21.6,2014
3676,310M200US11260,11260,"Anchorage, AK Metro Area",148738,24533,3026,22.7,2015
4057,310M300US11260,11260,"Anchorage, AK Metro Area",151696,24542,2749,20.8,2016
4439,310M300US11260,11260,"Anchorage, AK Metro Area",149926,20639,3240,22.6,2017
11,3100000US11300,11300,"Anderson, IN Metro Area",N,N,N,N,2005
369,3100000US11300,11300,"Anderson, IN Metro Area",43927,6256,94,24.0,2006
728,3100000US11300,11300,"Anderson, IN Metro Area",47796,6159,95,25.0,2007
1089,3100000US11300,11300,"Anderson, IN Metro Area",44858,7701,357,26.0,2008
1450,3100000US11300,11300,"Anderson, IN Metro Area",45112,5744,328,N,2009
1816,310M100US11300,11300,"Anderson, IN Metro Area",45506,5112,466,27.5,2010
2182,310M100US11300,11300,"Anderson, IN Metro Area",43493,3757,30,N,2011
2548,310M100US11300,11300,"Anderson, IN Metro Area",43225,5193,123,25.3,2012
12,3100000US11340,11340,"Anderson, SC Metro Area",N,N,N,N,2005
370,3100000US11340,11340,"Anderson, SC Metro Area",66227,9193,549,23.6,2006
729,3100000US11340,11340,"Anderson, SC Metro Area",63083,8144,297,N,2007
1090,3100000US11340,11340,"Anderson, SC Metro Area",69093,7453,255,21.4,2008
1451,3100000US11340,11340,"Anderson, SC Metro Area",68048,7050,155,22.7,2009
1817,310M100US11340,11340,"Anderson, SC Metro Area",64045,6179,644,23.2,2010
2183,310M100US11340,11340,"Anderson, SC Metro Area",65157,6286,262,25.1,2011
2549,310M100US11340,11340,"Anderson, SC Metro Area",67446,5729,345,N,2012
13,3100000US11460,11460,"Ann Arbor, MI Metro Area",123890,13356,5191,22.5,2005
371,3100000US11460,11460,"Ann Arbor, MI Metro Area",126547,12393,5926,22.1,2006
730,3100000US11460,11460,"Ann Arbor, MI Metro Area",130393,13348,5956,21.9,2007
1091,3100000US11460,11460,"Ann Arbor, MI Metro Area",119779,13710,6818,23.3,2008
1452,3100000US11460,11460,"Ann Arbor, MI Metro Area",120601,13543,6884,23.7,2009
1818,310M100US11460,11460,"Ann Arbor, MI Metro Area",122253,13505,6411,22.6,2010
2184,310M100US11460,11460,"Ann Arbor, MI Metro Area",118081,13190,10702,23.1,2011
2550,310M100US11460,11460,"Ann Arbor, MI Metro Area",123132,13891,7328,22.5,2012
2915,310M200US11460,11460,"Ann Arbor, MI Metro Area",125530,11336,8511,22.9,2013
3296,310M200US11460,11460,"Ann Arbor, MI Metro Area",127856,12572,9809,23.6,2014
3677,310M200US11460,11460,"Ann Arbor, MI Metro Area",125833,16268,10620,23.5,2015
4058,310M300US11460,11460,"Ann Arbor, MI Metro Area",131353,15242,8756,24.2,2016
4440,310M300US11460,11460,"Ann Arbor, MI Metro Area",134836,13353,9485,24.0,2017
14,3100000US11500,11500,"Anniston-Oxford, AL Metro Area",N,N,N,N,2005
372,3100000US11500,11500,"Anniston-Oxford, AL Metro Area",41211,3306,152,N,2006
731,3100000US11500,11500,"Anniston-Oxford, AL Metro Area",40344,4316,0,N,2007
1092,3100000US11500,11500,"Anniston-Oxford, AL Metro Area",39076,6803,297,22.1,2008
1453,3100000US11500,11500,"Anniston-Oxford, AL Metro Area",39076,3281,88,N,2009
1819,310M100US11500,11500,"Anniston-Oxford, AL Metro Area",35947,3724,136,20.6,2010
2185,310M100US11500,11500,"Anniston-Oxford, AL Metro Area",39787,5016,0,N,2011
2551,310M100US11500,11500,"Anniston-Oxford, AL Metro Area",38059,5318,108,N,2012
2916,310M200US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",35539,3541,213,N,2013
3297,310M200US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",40512,3722,133,N,2014
3678,310M200US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",39262,4536,0,N,2015
4059,310M300US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",38106,5157,27,N,2016
4441,310M300US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",40952,4508,215,N,2017
15,3100000US11540,11540,"Appleton, WI Metro Area",96775,6690,595,18.5,2005
373,3100000US11540,11540,"Appleton, WI Metro Area",99290,7733,498,18.2,2006
732,3100000US11540,11540,"Appleton, WI Metro Area",96715,7955,633,19.4,2007
1093,3100000US11540,11540,"Appleton, WI Metro Area",98933,9723,750,20.3,2008
1454,3100000US11540,11540,"Appleton, WI Metro Area",100619,8331,1412,19.6,2009
1820,310M100US11540,11540,"Appleton, WI Metro Area",98350,6805,767,20.0,2010
2186,310M100US11540,11540,"Appleton, WI Metro Area",96448,10491,483,19.5,2011
2552,310M100US11540,11540,"Appleton, WI Metro Area",101022,7764,410,19.4,2012
2917,310M200US11540,11540,"Appleton, WI Metro Area",103646,9050,1077,20.0,2013
3298,310M200US11540,11540,"Appleton, WI Metro Area",106811,6865,804,20.1,2014
3679,310M200US11540,11540,"Appleton, WI Metro Area",108871,7320,580,19.2,2015
4060,310M300US11540,11540,"Appleton, WI Metro Area",107695,8897,725,19.5,2016
4442,310M300US11540,11540,"Appleton, WI Metro Area",108278,8429,682,20.3,2017
16,3100000US11700,11700,"Asheville, NC Metro Area",143567,22539,334,21.5,2005
374,3100000US11700,11700,"Asheville, NC Metro Area",146337,20799,1303,20.7,2006
733,3100000US11700,11700,"Asheville, NC Metro Area",143315,24681,1373,21.8,2007
1094,3100000US11700,11700,"Asheville, NC Metro Area",146402,21368,789,21.9,2008
1455,3100000US11700,11700,"Asheville, NC Metro Area",143438,20977,646,20.8,2009
1821,310M100US11700,11700,"Asheville, NC Metro Area",146162,18043,1277,21.4,2010
2187,310M100US11700,11700,"Asheville, NC Metro Area",148717,17727,815,21.5,2011
2553,310M100US11700,11700,"Asheville, NC Metro Area",150943,20341,920,21.5,2012
2918,310M200US11700,11700,"Asheville, NC Metro Area",159944,15989,1236,21.2,2013
3299,310M200US11700,11700,"Asheville, NC Metro Area",161108,17709,993,20.6,2014
3680,310M200US11700,11700,"Asheville, NC Metro Area",158345,17081,807,21.0,2015
4061,310M300US11700,11700,"Asheville, NC Metro Area",164976,17709,924,21.6,2016
4443,310M300US11700,11700,"Asheville, NC Metro Area",170522,21135,1156,21.4,2017
17,3100000US12020,12020,"Athens-Clarke County, GA Metro Area",60283,8861,2339,21.9,2005
375,3100000US12020,12020,"Athens-Clarke County, GA Metro Area",73110,8235,1195,20.1,2006
734,3100000US12020,12020,"Athens-Clarke County, GA Metro Area",65137,11211,2078,21.0,2007
1095,3100000US12020,12020,"Athens-Clarke County, GA Metro Area",69592,11986,2173,20.8,2008
1456,3100000US12020,12020,"Athens-Clarke County, GA Metro Area",63111,6723,2263,20.1,2009
1822,310M100US12020,12020,"Athens-Clarke County, GA Metro Area",58995,8088,850,20.4,2010
2188,310M100US12020,12020,"Athens-Clarke County, GA Metro Area",61094,7553,2401,20.2,2011
2554,310M100US12020,12020,"Athens-Clarke County, GA Metro Area",67515,7580,1594,22.8,2012
2919,310M200US12020,12020,"Athens-Clarke County, GA Metro Area",72363,8101,1231,22.7,2013
3300,310M200US12020,12020,"Athens-Clarke County, GA Metro Area",65896,8656,2835,22.2,2014
3681,310M200US12020,12020,"Athens-Clarke County, GA Metro Area",68848,10407,3914,20.2,2015
4062,310M300US12020,12020,"Athens-Clarke County, GA Metro Area",75507,8614,1817,22.7,2016
4444,310M300US12020,12020,"Athens-Clarke County, GA Metro Area",72815,9205,2197,21.2,2017
18,3100000US12060,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",1878050,254184,78728,31.1,2005
376,3100000US12060,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",1913445,279987,90787,31.2,2006
735,3100000US12060,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",1978834,264922,83672,30.7,2007
1096,3100000US12060,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2018955,299215,94372,30.4,2008
1457,3100000US12060,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",1946431,265885,92326,30.1,2009
1823,310M100US12060,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",1837800,243241,80239,30.3,2010
2189,310M100US12060,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",1871616,247817,73817,30.6,2011
2555,310M100US12060,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",1904421,257471,71132,30.0,2012
2920,310M200US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",1958050,261745,77644,30.0,2013
3301,310M200US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2021550,267114,79662,31.0,2014
3682,310M200US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2107957,261073,84725,31.3,2015
4063,310M300US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2168807,257493,85905,32.1,2016
4445,310M300US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2199593,278388,89192,32.3,2017
19,3100000US12100,12100,"Atlantic City, NJ Metro Area",93516,13124,10059,23.0,2005
377,3100000US12100,12100,"Atlantic City, NJ Metro Area",93245,15640,11332,22.9,2006
736,3100000US12100,12100,"Atlantic City, NJ Metro Area",93172,8930,11750,22.9,2007
1097,3100000US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",99337,12070,7529,23.8,2008
1458,3100000US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",97237,9255,10252,24.2,2009
1824,310M100US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",97106,10623,8282,23.5,2010
2190,310M100US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",88521,11731,10826,23.8,2011
2556,310M100US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",91615,10059,8849,22.7,2012
2921,310M200US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",92222,8572,9280,24.7,2013
3302,310M200US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",98838,9406,8434,23.7,2014
3683,310M200US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",97406,8585,9324,24.6,2015
4064,310M300US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",94205,8513,6985,24.3,2016
4446,310M300US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",95946,9442,7563,24.4,2017
20,3100000US12220,12220,"Auburn-Opelika, AL Metro Area",46196,6472,611,19.5,2005
378,3100000US12220,12220,"Auburn-Opelika, AL Metro Area",47196,7572,728,20.0,2006
737,3100000US12220,12220,"Auburn-Opelika, AL Metro Area",48582,7095,427,20.5,2007
1098,3100000US12220,12220,"Auburn-Opelika, AL Metro Area",49586,6380,559,20.2,2008
1459,3100000US12220,12220,"Auburn-Opelika, AL Metro Area",48704,6266,280,18.9,2009
1825,310M100US12220,12220,"Auburn-Opelika, AL Metro Area",49822,6897,478,21.8,2010
2191,310M100US12220,12220,"Auburn-Opelika, AL Metro Area",51676,6242,625,N,2011
2557,310M100US12220,12220,"Auburn-Opelika, AL Metro Area",56226,4982,617,23.3,2012
2922,310M200US12220,12220,"Auburn-Opelika, AL Metro Area",59526,5713,879,21.7,2013
3303,310M200US12220,12220,"Auburn-Opelika, AL Metro Area",60630,2911,513,N,2014
3684,310M200US12220,12220,"Auburn-Opelika, AL Metro Area",61357,5883,715,22.3,2015
4065,310M300US12220,12220,"Auburn-Opelika, AL Metro Area",61170,6050,268,23.8,2016
4447,310M300US12220,12220,"Auburn-Opelika, AL Metro Area",58849,8394,98,N,2017
21,3100000US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",180522,26014,614,22.1,2005
379,3100000US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",178318,26973,1521,22.3,2006
738,3100000US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",185359,25480,1934,22.2,2007
1099,3100000US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",185423,31587,2007,22.9,2008
1460,3100000US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",191122,21810,1067,23.0,2009
1826,310M100US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",192305,23326,2154,23.4,2010
2192,310M100US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",197135,22257,2813,23.4,2011
2558,310M100US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",199144,23609,846,23.2,2012
2923,310M200US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",196685,22084,1620,23.4,2013
3304,310M200US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",201748,26590,446,23.2,2014
3685,310M200US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",208170,23438,3381,23.9,2015
4066,310M300US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",214811,20784,2355,24.0,2016
4448,310M300US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",211462,23894,1466,23.8,2017
22,3100000US12420,12420,"Austin-Round Rock, TX Metro Area",550839,82482,19750,25.1,2005
380,3100000US12420,12420,"Austin-Round Rock, TX Metro Area",577573,99387,17642,25.3,2006
739,3100000US12420,12420,"Austin-Round Rock, TX Metro Area",600730,111621,24238,25.7,2007
1100,3100000US12420,12420,"Austin-Round Rock, TX Metro Area",620680,112235,25643,25.2,2008
1461,3100000US12420,12420,"Austin-Round Rock, TX Metro Area",653517,90110,24113,24.9,2009
2924,310M200US12420,12420,"Austin-Round Rock, TX Metro Area",739772,94250,22777,26.4,2013
3305,310M200US12420,12420,"Austin-Round Rock, TX Metro Area",755647,99287,24629,26.5,2014
3686,310M200US12420,12420,"Austin-Round Rock, TX Metro Area",795865,96104,24249,26.5,2015
4067,310M300US12420,12420,"Austin-Round Rock, TX Metro Area",821859,101417,23581,27.1,2016
4449,310M300US12420,12420,"Austin-Round Rock, TX Metro Area",852415,102927,20371,27.0,2017
1827,310M100US12420,12420,"Austin-Round Rock-San Marcos, TX Metro Area",640749,88776,19488,25.0,2010
2193,310M100US12420,12420,"Austin-Round Rock-San Marcos, TX Metro Area",654407,97357,21589,25.8,2011
2559,310M100US12420,12420,"Austin-Round Rock-San Marcos, TX Metro Area",692686,100233,21104,25.5,2012
23,3100000US12540,12540,"Bakersfield, CA Metro Area",214786,45462,4686,21.8,2005
381,3100000US12540,12540,"Bakersfield, CA Metro Area",223837,59140,3511,23.2,2006
740,3100000US12540,12540,"Bakersfield, CA Metro Area",225762,50163,4176,22.4,2007
1101,3100000US12540,12540,"Bakersfield, CA Metro Area",237730,53519,2875,22.8,2008
1462,3100000US12540,12540,"Bakersfield, CA Metro Area",219773,50205,2697,23.6,2009
2925,310M200US12540,12540,"Bakersfield, CA Metro Area",245623,46314,3093,23.2,2013
3306,310M200US12540,12540,"Bakersfield, CA Metro Area",250879,41951,3429,23.8,2014
3687,310M200US12540,12540,"Bakersfield, CA Metro Area",270434,39562,2973,22.8,2015
4068,310M300US12540,12540,"Bakersfield, CA Metro Area",268902,37241,2377,22.6,2016
