,CBSA Title,CBSA Code,Area_acre,Year,POP_CENSUSTRACT,CBSA
148,"Janesville-Beloit, WI",27500.0,1753.6,2005,12546.0,"Janesville-Beloit, WI Metro Area"
149,"Jefferson City, MO",27620.0,953.6,2005,-1.0,"Jefferson City, MO Metro Area"
150,"Johnson City, TN",27740.0,3001.6,2005,17412.0,"Johnson City, TN Metro Area"
151,"Johnstown, PA",27780.0,1382.4,2005,10617.0,"Johnstown, PA Metro Area"
152,"Jonesboro, AR",27860.0,736.0,2005,5022.0,"Jonesboro, AR Metro Area"
153,"Kahului-Wailuku-Lahaina, HI",27980.0,1081.6,2005,11593.0,"Kahului-Wailuku-Lahaina, HI Metro Area"
154,"Kalamazoo-Portage, MI",28020.0,3590.4,2005,34170.0,"Kalamazoo-Portage, MI Metro Area"
155,"Kankakee, IL",28100.0,1516.8,2005,10964.0,"Kankakee, IL Metro Area"
156,"Kansas City, MO-KS",28140.0,34751.999999999985,2005,243804.0,"Kansas City, MO-KS Metro Area"
157,"Kennewick-Richland, WA",28420.0,5215.999999999999,2005,49027.0,"Kennewick-Richland, WA Metro Area"
158,"Killeen-Temple, TX",28660.0,3001.6,2005,18124.0,"Killeen-Temple, TX Metro Area"
159,"Kingston, NY",28740.0,1689.6,2005,12837.0,"Kingston, NY Metro Area"
160,"Knoxville, TN",28940.0,3251.2,2005,21412.0,"Knoxville, TN Metro Area"
161,"Kokomo, IN",29020.0,1030.4,2005,4021.0,"Kokomo, IN Metro Area"
162,"La Crosse-Onalaska, WI-MN",29100.0,1478.4,2005,12058.0,"La Crosse-Onalaska, WI-MN Metro Area"
163,"Lafayette, LA",29180.0,5465.5999999999985,2005,46381.0,"Lafayette, LA Metro Area"
164,"Lafayette-West Lafayette, IN",29200.0,3724.8,2005,40488.0,"Lafayette-West Lafayette, IN Metro Area"
165,"Lake Charles, LA",29340.0,1318.4,2005,7054.0,"Lake Charles, LA Metro Area"
166,"Lakeland-Winter Haven, FL",29460.0,3590.4,2005,18702.0,"Lakeland-Winter Haven, FL Metro Area"
167,"Lancaster, PA",29540.0,4179.2,2005,61414.0,"Lancaster, PA Metro Area"
168,"Lansing-East Lansing, MI",29620.0,7833.6,2005,67943.0,"Lansing-East Lansing, MI Metro Area"
169,"Laredo, TX",29700.0,9977.6,2005,114822.0,"Laredo, TX Metro Area"
170,"Las Vegas-Henderson-Paradise, NV",29820.0,108985.6,2005,1249302.0,"Las Vegas-Henderson-Paradise, NV Metro Area"
171,"Lawrence, KS",29940.0,2528.0,2005,27560.0,"Lawrence, KS Metro Area"
172,"Lawton, OK",30020.0,992.0000000000003,2005,8916.0,"Lawton, OK Metro Area"
173,"Lebanon, PA",30140.0,2182.4,2005,21337.0,"Lebanon, PA Metro Area"
174,"Lewiston-Auburn, ME",30340.0,1753.6,2005,22697.0,"Lewiston-Auburn, ME Metro Area"
175,"Lexington-Fayette, KY",30460.0,11865.6,2005,103350.0,"Lexington-Fayette, KY Metro Area"
176,"Lima, OH",30620.0,902.4,2005,2902.0,"Lima, OH Metro Area"
177,"Lincoln, NE",30700.0,11571.2,2005,99560.0,"Lincoln, NE Metro Area"
178,"Little Rock-North Little Rock-Conway, AR",30780.0,7436.800000000001,2005,32050.0,"Little Rock-North Little Rock-Conway, AR Metro Area"
179,"Logan, UT-ID",30860.0,2124.8,2005,23205.0,"Logan, UT-ID Metro Area"
180,"Longview, TX",30980.0,569.6,2005,3022.0,"Longview, TX Metro Area"
181,"Longview, WA",31020.0,2694.4000000000005,2005,20387.0,"Longview, WA Metro Area"
182,"Los Angeles-Long Beach-Anaheim, CA",31080.0,711955.2000000009,2005,10825958.0,"Los Angeles-Long Beach-Anaheim, CA Metro Area"
183,"Louisville/Jefferson County, KY-IN",31140.0,27020.8,2005,215533.0,"Louisville/Jefferson County, KY-IN Metro Area"
184,"Lubbock, TX",31180.0,11296.0,2005,80697.0,"Lubbock, TX Metro Area"
185,"Lynchburg, VA",31340.0,345.6,2005,2295.0,"Lynchburg, VA Metro Area"
186,"Macon-Bibb County, GA",31420.0,1504.0,2005,8027.0,"Macon-Bibb County, GA Metro Area"
187,"Madera, CA",31460.0,2732.8,2005,39412.0,"Madera, CA Metro Area"
188,"Madison, WI",31540.0,12774.399999999998,2005,130950.0,"Madison, WI Metro Area"
189,"Manchester-Nashua, NH",31700.0,6892.799999999998,2005,82119.0,"Manchester-Nashua, NH Metro Area"
190,"Manhattan, KS",31740.0,1587.2000000000005,2005,11025.0,"Manhattan, KS Metro Area"
191,"Mankato, MN",31860.0,2220.8,2005,20278.0,"Mankato, MN Metro Area"
192,"Mansfield, OH",31900.0,448.0,2005,1591.0,"Mansfield, OH Metro Area"
193,"McAllen-Edinburg-Mission, TX",32580.0,10220.8,2005,62050.0,"McAllen-Edinburg-Mission, TX Metro Area"
194,"Medford, OR",32780.0,5286.4,2005,41437.0,"Medford, OR Metro Area"
195,"Memphis, TN-MS-AR",32820.0,14342.400000000005,2005,99968.0,"Memphis, TN-MS-AR Metro Area"
196,"Merced, CA",32900.0,3705.6,2005,40209.0,"Merced, CA Metro Area"
197,"Miami-Fort Lauderdale-Pompano Beach, FL",33100.0,277043.1999999999,2005,3273735.0,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area"
198,"Michigan City-La Porte, IN",33140.0,998.4,2005,8790.0,"Michigan City-La Porte, IN Metro Area"
199,"Midland, MI",33220.0,627.2,2005,3231.0,"Midland, MI Metro Area"
200,"Midland, TX",33260.0,3385.5999999999995,2005,19174.0,"Midland, TX Metro Area"
201,"Milwaukee-Waukesha, WI",33340.0,49958.4,2005,617053.0,"Milwaukee-Waukesha, WI Metro Area"
202,"Minneapolis-St. Paul-Bloomington, MN-WI",33460.0,87001.59999999996,2005,787913.0,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area"
203,"Missoula, MT",33540.0,3014.4,2005,21732.0,"Missoula, MT Metro Area"
204,"Mobile, AL",33660.0,6041.6,2005,40482.0,"Mobile, AL Metro Area"
205,"Modesto, CA",33700.0,22873.60000000001,2005,235812.0,"Modesto, CA Metro Area"
206,"Monroe, LA",33740.0,1414.4,2005,4682.0,"Monroe, LA Metro Area"
207,"Monroe, MI",33780.0,1728.0,2005,8025.0,"Monroe, MI Metro Area"
208,"Montgomery, AL",33860.0,2182.4,2005,7051.0,"Montgomery, AL Metro Area"
209,"Morgantown, WV",34060.0,2880.0000000000005,2005,34843.0,"Morgantown, WV Metro Area"
210,"Mount Vernon-Anacortes, WA",34580.0,1292.8,2005,10518.0,"Mount Vernon-Anacortes, WA Metro Area"
211,"Muncie, IN",34620.0,1728.0,2005,19752.0,"Muncie, IN Metro Area"
212,"Muskegon, MI",34740.0,1209.6,2005,8605.0,"Muskegon, MI Metro Area"
213,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",34820.0,1472.0,2005,6140.0,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area"
214,"Napa, CA",34900.0,4198.4,2005,42345.0,"Napa, CA Metro Area"
215,"Naples-Marco Island, FL",34940.0,3379.2,2005,15161.0,"Naples-Marco Island, FL Metro Area"
216,"Nashville-Davidson--Murfreesboro--Franklin, TN",34980.0,20492.8,2005,152515.0,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area"
217,"New Haven-Milford, CT",35300.0,17996.8,2005,227086.0,"New Haven-Milford, CT Metro Area"
218,"New Orleans-Metairie, LA",35380.0,42624.000000000015,2005,469635.0,"New Orleans-Metairie, LA Metro Area"
219,"New York-Newark-Jersey City, NY-NJ-PA",35620.0,542944.0000000012,2005,13554860.0,"New York-Newark-Jersey City, NY-NJ-PA Metro Area"
220,"North Port-Sarasota-Bradenton, FL",35840.0,6182.399999999999,2005,46777.0,"North Port-Sarasota-Bradenton, FL Metro Area"
221,"Norwich-New London, CT",35980.0,1856.0,2005,14069.0,"Norwich-New London, CT Metro Area"
222,"Ocala, FL",36100.0,1344.0,2005,2453.0,"Ocala, FL Metro Area"
223,"Odessa, TX",36220.0,1427.1999999999996,2005,12347.0,"Odessa, TX Metro Area"
224,"Ogden-Clearfield, UT",36260.0,11014.4,2005,80069.0,"Ogden-Clearfield, UT Metro Area"
225,"Oklahoma City, OK",36420.0,26688.000000000004,2005,190301.0,"Oklahoma City, OK Metro Area"
226,"Olympia-Lacey-Tumwater, WA",36500.0,3532.8,2005,19211.0,"Olympia-Lacey-Tumwater, WA Metro Area"
227,"Omaha-Council Bluffs, NE-IA",36540.0,26406.400000000005,2005,224822.0,"Omaha-Council Bluffs, NE-IA Metro Area"
228,"Orlando-Kissimmee-Sanford, FL",36740.0,34297.60000000001,2005,317275.0,"Orlando-Kissimmee-Sanford, FL Metro Area"
229,"Oshkosh-Neenah, WI",36780.0,4371.2,2005,29866.0,"Oshkosh-Neenah, WI Metro Area"
230,"Owensboro, KY",36980.0,953.6,2005,2848.0,"Owensboro, KY Metro Area"
231,"Oxnard-Thousand Oaks-Ventura, CA",37100.0,33715.200000000004,2005,432282.0,"Oxnard-Thousand Oaks-Ventura, CA Metro Area"
232,"Parkersburg-Vienna, WV",37620.0,851.2,2005,8557.0,"Parkersburg-Vienna, WV Metro Area"
233,"Pensacola-Ferry Pass-Brent, FL",37860.0,4972.8,2005,5761.0,"Pensacola-Ferry Pass-Brent, FL Metro Area"
