UA,UANAME,CBSA,MNAME,UAPOP,MPOP,metro_micro
96778,"Winterset, IA Urban Cluster",19780,"Des Moines-West Des Moines, IA Metro Area",5043,569633,FALSE
96724,"Winters, CA Urban Cluster",40900,"Sacramento--Arden-Arcade--Roseville, CA Metro Area",7082,2149127,FALSE
96697,"Winter Haven, FL Urbanized Area",29460,"Lakeland-Winter Haven, FL Metro Area",201289,602095,FALSE
96508,"Winnsboro, SC Urban Cluster",17900,"Columbia, SC Metro Area",5141,767598,FALSE
96454,"Winnie, TX Urban Cluster",26420,"Houston-Sugar Land-Baytown, TX Metro Area",3901,5946800,FALSE
96350,"Winneconne, WI Urban Cluster",36780,"Oshkosh-Neenah, WI Metro Area",3654,166994,FALSE
96130,"Winder, GA Urban Cluster",12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",37831,5268860,FALSE
96103,"Winchester, VA Urbanized Area",49020,"Winchester, VA-WV Metro Area",69449,128472,FALSE
96049,"Winchester, KY Urban Cluster",30460,"Lexington-Fayette, KY Metro Area",25831,472099,FALSE
95887,"Wilmore, KY Urban Cluster",30460,"Lexington-Fayette, KY Metro Area",5508,472099,FALSE
95833,"Wilmington, NC Urbanized Area",48900,"Wilmington, NC Metro Area",219957,362315,FALSE
95553,"Williamstown, KY Urban Cluster",17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",4491,2130151,FALSE
95482,"Williamston, MI Urban Cluster",29620,"Lansing-East Lansing, MI Metro Area",6317,464036,FALSE
95455,"Williamsport, PA Urbanized Area",48700,"Williamsport, PA Metro Area",56142,116111,FALSE
95411,"Williamsburg, VA Urbanized Area",47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",75689,1671683,FALSE
95364,"Williams, AZ Urban Cluster",22380,"Flagstaff, AZ Metro Area",2639,134421,FALSE
95310,"Willard, MO Urban Cluster",44180,"Springfield, MO Metro Area",5531,436712,FALSE
95185,"Wiggins, MS Urban Cluster",25060,"Gulfport-Biloxi, MS Metro Area",3768,248820,FALSE
95158,"Wickenburg, AZ Urban Cluster",38060,"Phoenix-Mesa-Glendale, AZ Metro Area",3624,4192887,FALSE
95077,"Wichita, KS Urbanized Area",48620,"Wichita, KS Metro Area",472870,623061,FALSE
95104,"Wichita Falls, TX Urbanized Area",48660,"Wichita Falls, TX Metro Area",99437,151306,FALSE
94942,"Whitesboro, TX Urban Cluster",43300,"Sherman-Denison, TX Metro Area",3959,120877,FALSE
94879,"White Pine, TN Urban Cluster",34100,"Morristown, TN Metro Area",3061,136608,FALSE
94685,"Wheatland, CA Urban Cluster",49700,"Yuba City, CA Metro Area",3434,166892,FALSE
94618,"Wetumpka, AL Urban Cluster",33860,"Montgomery, AL Metro Area",6659,374536,FALSE
94564,"Westville, IN Urban Cluster",33140,"Michigan City-La Porte, IN Metro Area",5931,111467,FALSE
94345,"Weston Lakes, TX Urban Cluster",26420,"Houston-Sugar Land-Baytown, TX Metro Area",2928,5946800,FALSE
94294,"Westminster--Eldersburg, MD Urbanized Area",12580,"Baltimore-Towson, MD Metro Area",72714,2710489,FALSE
93889,"West, TX Urban Cluster",47380,"Waco, TX Metro Area",2780,234906,FALSE
94456,"West Point, VA Urban Cluster",40060,"Richmond, VA Metro Area",2675,1258251,FALSE
94442,"West Point, NY Urban Cluster",39100,"Poughkeepsie-Newburgh-Middletown, NY Metro Area",12141,670301,FALSE
94132,"West Jefferson, OH Urban Cluster",18140,"Columbus, OH Metro Area",4572,1836536,FALSE
93970,"West Columbia, TX Urban Cluster",26420,"Houston-Sugar Land-Baytown, TX Metro Area",4976,5946800,FALSE
93916,"West Bend, WI Urbanized Area",33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",68444,1555908,FALSE
93880,"Wendell--Zebulon, NC Urban Cluster",39580,"Raleigh-Cary, NC Metro Area",13209,1130490,FALSE
93862,"Wenatchee, WA Urbanized Area",48300,"Wenatchee-East Wenatchee, WA Metro Area",67227,110884,FALSE
93727,"Wellington, OH Urban Cluster",17460,"Cleveland-Elyria-Mentor, OH Metro Area",4845,2077240,FALSE
93700,"Wellington, KS Urban Cluster",48620,"Wichita, KS Metro Area",7783,623061,FALSE
93673,"Wellington, CO Urban Cluster",22660,"Fort Collins-Loveland, CO Metro Area",6224,299630,FALSE
93525,"Wedgefield, FL Urban Cluster",36740,"Orlando-Kissimmee-Sanford, FL Metro Area",4505,2134411,FALSE
93484,"Weatherford, TX Urban Cluster",19100,"Dallas-Fort Worth-Arlington, TX Metro Area",34824,6371773,FALSE
93268,"Waynesboro, GA Urban Cluster",12260,"Augusta-Richmond County, GA-SC Metro Area",5830,556877,FALSE
93092,"Waverly, NE Urban Cluster",30700,"Lincoln, NE Metro Area",3133,302157,FALSE
93079,"Waverly, IA Urban Cluster",47940,"Waterloo-Cedar Falls, IA Metro Area",8621,167819,FALSE
93052,"Wauseon, OH Urban Cluster",45780,"Toledo, OH Metro Area",7193,651429,FALSE
93025,"Wausau, WI Urbanized Area",48140,"Wausau, WI Metro Area",74632,134063,FALSE
92647,"Watertown, MN Urban Cluster",33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",4185,3279833,FALSE
92566,"Waterloo, IL Urban Cluster",41180,"St. Louis, MO-IL Metro Area",9604,2812896,FALSE
92593,"Waterloo, IA Urbanized Area",47940,"Waterloo-Cedar Falls, IA Metro Area",113418,167819,FALSE
92539,"Waterford, CA Urban Cluster",33700,"Modesto, CA Metro Area",9104,514453,FALSE
92445,"Washoe Valley, NV Urban Cluster",39900,"Reno-Sparks, NV Metro Area",2645,425417,FALSE
92350,"Washington, MO Urban Cluster",41180,"St. Louis, MO-IL Metro Area",14316,2812896,FALSE
92323,"Washington, IA Urban Cluster",26980,"Iowa City, IA Metro Area",6628,152586,FALSE
92161,"Wasco, CA Urban Cluster",12540,"Bakersfield-Delano, CA Metro Area",25489,839631,FALSE
92134,"Warwick, NY Urban Cluster",39100,"Poughkeepsie-Newburgh-Middletown, NY Metro Area",12080,670301,FALSE
91918,"Warrenton, MO Urban Cluster",41180,"St. Louis, MO-IL Metro Area",9079,2812896,FALSE
91891,"Warrensburg, NY Urban Cluster",24020,"Glens Falls, NY Metro Area",2648,128923,FALSE
91702,"Wapato, WA Urban Cluster",49420,"Yakima, WA Metro Area",7607,243231,FALSE
91648,"Wamego, KS Urban Cluster",31740,"Manhattan, KS Metro Area",4418,127081,FALSE
91584,"Walworth, NY Urban Cluster",40380,"Rochester, NY Metro Area",3089,1054323,FALSE
91261,"Waldorf, MD Urbanized Area",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",109919,5582170,FALSE
91252,"Walden, NY Urban Cluster",39100,"Poughkeepsie-Newburgh-Middletown, NY Metro Area",11565,670301,FALSE
91162,"Wahoo, NE Urban Cluster",36540,"Omaha-Council Bluffs, NE-IA Metro Area",4450,865350,FALSE
91135,"Wagoner, OK Urban Cluster",46140,"Tulsa, OK Metro Area",8043,937478,FALSE
91108,"Wadesboro, NC Urban Cluster",16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",5791,1758038,FALSE
91054,"Waconia, MN Urban Cluster",33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",10748,3279833,FALSE
91027,"Waco, TX Urbanized Area",47380,"Waco, TX Metro Area",172378,234906,FALSE
90973,"Vivian, LA Urban Cluster",43340,"Shreveport-Bossier City, LA Metro Area",2980,398604,FALSE
90959,"Vistancia, AZ Urban Cluster",38060,"Phoenix-Mesa-Glendale, AZ Metro Area",6615,4192887,FALSE
90946,"Visalia, CA Urbanized Area",47300,"Visalia-Porterville, CA Metro Area",219454,442179,FALSE
90865,"Virginia, MN Urban Cluster",20260,"Duluth, MN-WI Metro Area",12883,279771,FALSE
90892,"Virginia Beach, VA Urbanized Area",47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",1439666,1671683,FALSE
90838,"Vinton, LA Urban Cluster",29340,"Lake Charles, LA Metro Area",2752,199607,FALSE
90811,"Vinton, IA Urban Cluster",16300,"Cedar Rapids, IA Metro Area",5044,257940,FALSE
90658,"Villas, NJ Urbanized Area",36140,"Ocean City, NJ Metro Area",51291,97265,FALSE
90640,"Village of Oak Creek (Big Park), AZ Urban Cluster",39140,"Prescott, AZ Metro Area",5309,211033,FALSE
90541,"Victorville--Hesperia, CA Urbanized Area",40140,"Riverside-San Bernardino-Ontario, CA Metro Area",328454,4224851,FALSE
90514,"Victoria, TX Urbanized Area",47020,"Victoria, TX Metro Area",63683,115384,FALSE
90433,"Versailles, KY Urban Cluster",30460,"Lexington-Fayette, KY Metro Area",15907,472099,FALSE
90282,"Venus, TX Urban Cluster",19100,"Dallas-Fort Worth-Arlington, TX Metro Area",3559,6371773,FALSE
90271,"Veneta, OR Urban Cluster",21660,"Eugene-Springfield, OR Metro Area",5979,351715,FALSE
90182,"Vandenberg AFB, CA Urban Cluster",42060,"Santa Barbara-Santa Maria-Goleta, CA Metro Area",3047,423895,FALSE
89974,"Valdosta, GA Urbanized Area",46660,"Valdosta, GA Metro Area",77085,139588,FALSE
89910,"Vail, AZ Urban Cluster",46060,"Tucson, AZ Metro Area",9164,980263,FALSE
89893,"Vado, NM Urban Cluster",29740,"Las Cruces, NM Metro Area",4497,209233,FALSE
89866,"Vacaville, CA Urbanized Area",46700,"Vallejo-Fairfield, CA Metro Area",93141,413344,FALSE
89785,"Utica, NY Urbanized Area",46540,"Utica-Rome, NY Metro Area",117328,299397,FALSE
89770,"Urban Honolulu, HI Urbanized Area",26180,"Honolulu, HI Metro Area",802459,953207,FALSE
89719,"Upper Greenwood Lake, NJ Urban Cluster",35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",3879,18897109,FALSE
89650,"Uniontown--Connellsville, PA Urbanized Area",38300,"Pittsburgh, PA Metro Area",51370,2356285,FALSE
89461,"Union, MO Urban Cluster",41180,"St. Louis, MO-IL Metro Area",8658,2812896,FALSE
89596,"Union Grove, WI Urban Cluster",39540,"Racine, WI Metro Area",6973,195408,FALSE
89542,"Union City, PA Urban Cluster",21500,"Erie, PA Metro Area",3381,280566,FALSE
89299,"Tybee Island, GA Urban Cluster",42340,"Savannah, GA Metro Area",3202,347611,FALSE
89254,"Twin Lakes, VA Urban Cluster",16820,"Charlottesville, VA Metro Area",3191,201559,FALSE
89191,"Twentynine Palms, CA Urban Cluster",40140,"Riverside-San Bernardino-Ontario, CA Metro Area",12895,4224851,FALSE
89218,"Twentynine Palms Base, CA Urban Cluster",40140,"Riverside-San Bernardino-Ontario, CA Metro Area",8384,4224851,FALSE
89177,"Tuttle, OK Urban Cluster",36420,"Oklahoma City, OK Metro Area",2517,1252987,FALSE
89110,"Tuscaloosa, AL Urbanized Area",46220,"Tuscaloosa, AL Metro Area",139114,219461,FALSE
89002,"Tunkhannock, PA Urban Cluster",42540,"Scranton--Wilkes-Barre, PA Metro Area",3426,563631,FALSE
88975,"Tunica, MS Urban Cluster",32820,"Memphis, TN-MS-AR Metro Area",3662,1316100,FALSE
88948,"Tulsa, OK Urbanized Area",46140,"Tulsa, OK Metro Area",655479,937478,FALSE
88705,"Tuba City, AZ Urban Cluster",22380,"Flagstaff, AZ Metro Area",8858,134421,FALSE
88651,"Trumann, AR Urban Cluster",27860,"Jonesboro, AR Metro Area",7095,121026,FALSE
88570,"Troy, MO Urban Cluster",41180,"St. Louis, MO-IL Metro Area",13231,2812896,FALSE
88408,"Trenton, IL Urban Cluster",41180,"St. Louis, MO-IL Metro Area",2736,2812896,FALSE
88381,"Trenton, GA Urban Cluster",16860,"Chattanooga, TN-GA Metro Area",2850,528143,FALSE
88371,"Trenton, FL Urban Cluster",23540,"Gainesville, FL Metro Area",2724,264275,FALSE
88273,"Tracy, CA Urbanized Area",44700,"Stockton, CA Metro Area",87569,685306,FALSE
88165,"Tornillo, TX Urban Cluster",21340,"El Paso, TX Metro Area",2822,800647,FALSE
88111,"Toppenish, WA Urban Cluster",49420,"Yakima, WA Metro Area",14512,243231,FALSE
88084,"Topeka, KS Urbanized Area",45820,"Topeka, KS Metro Area",150003,233870,FALSE
88057,"Tooele, UT Urban Cluster",41620,"Salt Lake City, UT Metro Area",31058,1124197,FALSE
88003,"Tonganoxie, KS Urban Cluster",28140,"Kansas City, MO-KS Metro Area",4941,2035334,FALSE
87787,"Titusville, FL Urbanized Area",37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",54386,543376,FALSE
87733,"Tipton, MO Urban Cluster",27620,"Jefferson City, MO Metro Area",3201,149807,FALSE
87669,"Tipton, CA Urban Cluster",47300,"Visalia-Porterville, CA Metro Area",2543,442179,FALSE
87544,"Thurmont, MD Urban Cluster",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",6854,5582170,FALSE
87463,"Thomson, GA Urban Cluster",12260,"Augusta-Richmond County, GA-SC Metro Area",8540,556877,FALSE
87220,"Texas City, TX Urbanized Area",26420,"Houston-Sugar Land-Baytown, TX Metro Area",106383,5946800,FALSE
87193,"Texarkana--Texarkana, TX--AR Urbanized Area",45500,"Texarkana, TX-Texarkana, AR Metro Area",78162,136027,FALSE
87166,"Terrell, TX Urban Cluster",19100,"Dallas-Fort Worth-Arlington, TX Metro Area",14834,6371773,FALSE
87139,"Terre Haute, IN Urbanized Area",45460,"Terre Haute, IN Metro Area",92742,172425,FALSE
87112,"Terra Bella, CA Urban Cluster",47300,"Visalia-Porterville, CA Metro Area",3119,442179,FALSE
87058,"Temple, TX Urbanized Area",28660,"Killeen-Temple-Fort Hood, TX Metro Area",90390,405300,FALSE
86869,"Tehachapi--Golden Hills, CA Urban Cluster",12540,"Bakersfield-Delano, CA Metro Area",16540,839631,FALSE
86830,"Tea, SD Urban Cluster",43620,"Sioux Falls, SD Metro Area",3784,228261,FALSE
86761,"Taylorsville, NC Urban Cluster",25860,"Hickory-Lenoir-Morganton, NC Metro Area",5388,365497,FALSE
86734,"Taylor, TX Urban Cluster",12420,"Austin-Round Rock-San Marcos, TX Metro Area",14436,1716289,FALSE
86707,"Tarboro, NC Urban Cluster",40580,"Rocky Mount, NC Metro Area",13581,152392,FALSE
86626,"Taneytown, MD Urban Cluster",12580,"Baltimore-Towson, MD Metro Area",6599,2710489,FALSE
86599,"Tampa--St. Petersburg, FL Urbanized Area",45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2441770,2783243,FALSE
86464,"Tallahassee, FL Urbanized Area",45220,"Tallahassee, FL Metro Area",240223,367413,FALSE
86356,"Taft, TX Urban Cluster",18580,"Corpus Christi, TX Metro Area",4401,428185,FALSE
86329,"Taft, CA Urban Cluster",12540,"Bakersfield-Delano, CA Metro Area",14985,839631,FALSE
86302,"Syracuse, NY Urbanized Area",45060,"Syracuse, NY Metro Area",412317,662577,FALSE
86248,"Sylvester, GA Urban Cluster",10500,"Albany, GA Metro Area",6685,157308,FALSE
86086,"Sweeny, TX Urban Cluster",26420,"Houston-Sugar Land-Baytown, TX Metro Area",3584,5946800,FALSE
86059,"Swanton, VT Urban Cluster",15540,"Burlington-South Burlington, VT Metro Area",3055,211261,FALSE
86024,"Swansboro, NC Urban Cluster",27340,"Jacksonville, NC Metro Area",16335,177772,FALSE
85843,"Superior, AZ Urban Cluster",38060,"Phoenix-Mesa-Glendale, AZ Metro Area",2844,4192887,FALSE
85789,"Sunnyside, WA Urban Cluster",49420,"Yakima, WA Metro Area",17327,243231,FALSE
85708,"Sumter, SC Urbanized Area",44940,"Sumter, SC Metro Area",73107,107456,FALSE
85681,"Summit Park, UT Urban Cluster",41620,"Salt Lake City, UT Metro Area",6088,1124197,FALSE
85600,"Sumiton, AL Urban Cluster",13820,"Birmingham-Hoover, AL Metro Area",4043,1128047,FALSE
85573,"Sultan, WA Urban Cluster",42660,"Seattle-Tacoma-Bellevue, WA Metro Area",7982,3439809,FALSE
85438,"Sullivan, IN Urban Cluster",45460,"Terre Haute, IN Metro Area",4518,172425,FALSE
85330,"Sturgis, SD Urban Cluster",39660,"Rapid City, SD Metro Area",6583,126382,FALSE
85168,"Story City, IA Urban Cluster",11180,"Ames, IA Metro Area",3311,89542,FALSE
85087,"Stockton, CA Urbanized Area",44700,"Stockton, CA Metro Area",370583,685306,FALSE
84952,"Stewartville, MN Urban Cluster",40340,"Rochester, MN Metro Area",5877,186011,FALSE
84925,"Stewartstown, PA Urban Cluster",49620,"York-Hanover, PA Metro Area",4663,434972,FALSE
84655,"Stayton, OR Urban Cluster",41420,"Salem, OR Metro Area",10291,390738,FALSE
84601,"Staunton, IL Urban Cluster",41180,"St. Louis, MO-IL Metro Area",6134,2812896,FALSE
84493,"State College, PA Urbanized Area",44300,"State College, PA Metro Area",87454,153990,FALSE
84429,"Star, ID Urban Cluster",14260,"Boise City-Nampa, ID Metro Area",5751,616561,FALSE
84385,"Stanwood, WA Urban Cluster",42660,"Seattle-Tacoma-Bellevue, WA Metro Area",6289,3439809,FALSE
84304,"Stansbury Park, UT Urban Cluster",41620,"Salt Lake City, UT Metro Area",9061,1124197,FALSE
84223,"Stamford, TX Urban Cluster",10180,"Abilene, TX Metro Area",3000,165252,FALSE
84169,"Stafford Springs, CT Urban Cluster",25540,"Hartford-West Hartford-East Hartford, CT Metro Area",5581,1212381,FALSE
78026,"St. Simons, GA Urban Cluster",15260,"Brunswick, GA Metro Area",12226,112370,FALSE
77905,"St. Marys, WV--OH Urban Cluster",37620,"Parkersburg-Marietta-Vienna, WV-OH Metro Area",4315,162056,FALSE
77841,"St. Marys, KS Urban Cluster",31740,"Manhattan, KS Metro Area",2669,127081,FALSE
77824,"St. Martinville, LA Urban Cluster",29180,"Lafayette, LA Metro Area",7220,273738,FALSE
77770,"St. Louis, MO--IL Urbanized Area",41180,"St. Louis, MO-IL Metro Area",2150706,2812896,FALSE
77743,"St. Joseph, MO--KS Urbanized Area",41140,"St. Joseph, MO-KS Metro Area",81176,127329,FALSE
77716,"St. Joseph, IL Urban Cluster",16580,"Champaign-Urbana, IL Metro Area",5047,231891,FALSE
77662,"St. Johns, MI Urban Cluster",29620,"Lansing-East Lansing, MI Metro Area",8425,464036,FALSE
77618,"St. James, NC Urban Cluster",48900,"Wilmington, NC Metro Area",2604,362315,FALSE
77527,"St. Helens, OR Urban Cluster",38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",25650,2226009,FALSE
77500,"St. Helena, CA Urban Cluster",34900,"Napa, CA Metro Area",6727,136484,FALSE
77446,"St. George, UT Urbanized Area",41100,"St. George, UT Metro Area",98370,138115,FALSE
77392,"St. Francis, MN Urban Cluster",33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",6212,3279833,FALSE
77311,"St. Clair, MO Urban Cluster",41180,"St. Louis, MO-IL Metro Area",5971,2812896,FALSE
77230,"St. Augustine, FL Urbanized Area",27260,"Jacksonville, FL Metro Area",69173,1345596,FALSE
77176,"St. Albans, VT Urban Cluster",15540,"Burlington-South Burlington, VT Metro Area",9054,211261,FALSE
84142,"Springville, NY Urban Cluster",15380,"Buffalo-Niagara Falls, NY Metro Area",3897,1135509,FALSE
84132,"Springville, AL Urban Cluster",13820,"Birmingham-Hoover, AL Metro Area",2775,1128047,FALSE
84124,"Springtown, TX Urban Cluster",19100,"Dallas-Fort Worth-Arlington, TX Metro Area",2623,6371773,FALSE
84115,"Springs, NY Urban Cluster",35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",12604,18897109,FALSE
83993,"Springfield, TN Urban Cluster",34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",17357,1589934,FALSE
83980,"Springfield, OH Urbanized Area",44220,"Springfield, OH Metro Area",85256,138333,FALSE
83953,"Springfield, MO Urbanized Area",44180,"Springfield, MO Metro Area",273724,436712,FALSE
83899,"Springfield, IL Urbanized Area",44100,"Springfield, IL Metro Area",161316,210170,FALSE
83872,"Springfield, GA Urban Cluster",42340,"Savannah, GA Metro Area",3649,347611,FALSE
84034,"Spring Hill, KS Urban Cluster",28140,"Kansas City, MO-KS Metro Area",5452,2035334,FALSE
84024,"Spring Hill, FL Urbanized Area",45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",148220,2783243,FALSE
83764,"Spokane, WA Urbanized Area",44060,"Spokane, WA Metro Area",387847,471221,FALSE
83548,"Spartanburg, SC Urbanized Area",43900,"Spartanburg, SC Metro Area",180786,284307,FALSE
83480,"Sparta, MI Urban Cluster",24340,"Grand Rapids-Wyoming, MI Metro Area",4041,774160,FALSE
83359,"Southold, NY Urban Cluster",35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",9810,18897109,FALSE
83156,"South Deerfield, MA Urban Cluster",44140,"Springfield, MA Metro Area",5028,692942,FALSE
83008,"Sonoma, CA Urban Cluster",42220,"Santa Rosa-Petaluma, CA Metro Area",32678,483878,FALSE
82981,"Somerton, AZ Urban Cluster",49740,"Yuma, AZ Metro Area",16988,195751,FALSE
82937,"Somerset, WI Urban Cluster",33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",2604,3279833,FALSE
82873,"Solvang--Buellton--Santa Ynez, CA Urban Cluster",42060,"Santa Barbara-Santa Maria-Goleta, CA Metro Area",14862,423895,FALSE
82846,"Soledad, CA Urban Cluster",41500,"Salinas, CA Metro Area",25943,415057,FALSE
82792,"Sodus, NY Urban Cluster",40380,"Rochester, NY Metro Area",2865,1054323,FALSE
82724,"Social Circle, GA Urban Cluster",12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",3328,5268860,FALSE
82675,"Snoqualmie, WA Urban Cluster",42660,"Seattle-Tacoma-Bellevue, WA Metro Area",20592,3439809,FALSE
82665,"Sneads Ferry, NC Urban Cluster",27340,"Jacksonville, NC Metro Area",3899,177772,FALSE
82630,"Smithville, TX Urban Cluster",12420,"Austin-Round Rock-San Marcos, TX Metro Area",3750,1716289,FALSE
82641,"Smithville North, MO Urban Cluster",28140,"Kansas City, MO-KS Metro Area",2751,2035334,FALSE
82562,"Smithton, IL Urban Cluster",41180,"St. Louis, MO-IL Metro Area",3720,2812896,FALSE
82549,"Smithfield, VA Urban Cluster",47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",10215,1671683,FALSE
82522,"Smithfield, NC Urban Cluster",39580,"Raleigh-Cary, NC Metro Area",27155,1130490,FALSE
82495,"Slippery Rock, PA Urban Cluster",38300,"Pittsburgh, PA Metro Area",6716,2356285,FALSE
82468,"Slidell, LA Urbanized Area",35380,"New Orleans-Metairie-Kenner, LA Metro Area",91151,1167764,FALSE
82414,"Slaton, TX Urban Cluster",31180,"Lubbock, TX Metro Area",5938,284890,FALSE
82360,"Skiatook, OK Urban Cluster",46140,"Tulsa, OK Metro Area",6768,937478,FALSE
82333,"Skaneateles, NY Urban Cluster",45060,"Syracuse, NY Metro Area",3524,662577,FALSE
82279,"Sissonville, WV Urban Cluster",16620,"Charleston, WV Metro Area",2888,304284,FALSE
82252,"Sioux Falls, SD Urbanized Area",43620,"Sioux Falls, SD Metro Area",156777,228261,FALSE
82171,"Sinton, TX Urban Cluster",18580,"Corpus Christi, TX Metro Area",6071,428185,FALSE
82144,"Simi Valley, CA Urbanized Area",37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",125206,823318,FALSE
82117,"Silverton, OR Urban Cluster",41420,"Salem, OR Metro Area",9614,390738,FALSE
82076,"Silver Lakes, CA Urban Cluster",40140,"Riverside-San Bernardino-Ontario, CA Metro Area",5394,4224851,FALSE
82009,"Silsbee, TX Urban Cluster",13140,"Beaumont-Port Arthur, TX Metro Area",9531,388745,FALSE
81955,"Siler City, NC Urban Cluster",20500,"Durham-Chapel Hill, NC Metro Area",9076,504357,FALSE
81739,"Shreveport, LA Urbanized Area",43340,"Shreveport-Bossier City, LA Metro Area",298317,398604,FALSE
81701,"Shorewood Forest, IN Urban Cluster",16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",3079,9461105,FALSE
81685,"Shiprock, NM Urban Cluster",22140,"Farmington, NM Metro Area",6669,130044,FALSE
81631,"Sherman, TX Urbanized Area",43300,"Sherman-Denison, TX Metro Area",61900,120877,FALSE
81550,"Sheridan, IN Urban Cluster",26900,"Indianapolis-Carmel, IN Metro Area",2745,1756241,FALSE
81523,"Sheridan, AR Urban Cluster",30780,"Little Rock-North Little Rock-Conway, AR Metro Area",4458,699757,FALSE
81307,"Shelbyville, KY Urban Cluster",31140,"Louisville/Jefferson County, KY-IN Metro Area",20621,1283566,FALSE
81280,"Shelbyville, IN Urban Cluster",26900,"Indianapolis-Carmel, IN Metro Area",20795,1756241,FALSE
81226,"Shelby, OH Urban Cluster",31900,"Mansfield, OH Metro Area",9305,124475,FALSE
81118,"Sheboygan, WI Urbanized Area",43100,"Sheboygan, WI Metro Area",71313,115507,FALSE
