,Trs_Id,mode_cd,service_cd,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,MODE
75,1069,DR,DO,15.0,16.0,16.0,15.0,15.0,11.0,12,10,8,6,17.0,12.0,,,,,,DemandResponse
76,1088,FB,DO,5.0,18.0,13.0,18.0,19.0,6.0,1,0,2,4,3.0,3.0,3.0,1.0,1.0,4.0,3.0,Other
77,1095,DR,DO,26.0,17.0,21.0,25.0,25.0,39.0,31,24,24,,,,,,,,,DemandResponse
78,1095,MB,DO,49.0,50.0,28.0,28.0,29.0,55.0,61,61,63,,,,,,,,,Bus
79,1096,MB,DO,11.0,6.0,12.0,16.0,36.0,24.0,27,57,51,,,,,,,,,Bus
80,1098,DR,DO,45.0,64.0,13.0,12.0,13.0,56.0,,,45,,,,,,117.0,10.0,3.0,DemandResponse
81,1098,MB,DO,55.0,26.0,6.0,23.0,12.0,17.0,,,25,,,,,,53.0,13.0,17.0,Bus
82,1107,DR,DO,0.0,0.0,0.0,0.0,0.0,0.0,0,8,9,12,13.0,6.0,7.0,6.0,8.0,3.0,3.0,DemandResponse
83,1107,MB,DO,0.0,0.0,0.0,0.0,0.0,0.0,0,17,15,16,17.0,16.0,17.0,18.0,14.0,16.0,12.0,Bus
84,1108,VP,DO,0.0,,0.0,,13.0,14.0,13,13,13,14,1116.0,1174.0,126.0,16.0,,,,DemandResponse
85,2002,DR,DO,10.0,60.0,59.0,59.0,46.0,2.0,4,1,2,3,55.0,21.0,25.0,29.0,24.0,39.0,16.0,DemandResponse
86,2002,MB,DO,1016.0,1095.0,12.0,12.0,353.0,176.0,118,77,73,71,219.0,284.0,439.0,427.0,357.0,449.0,513.0,Bus
87,2003,DR,DO,6.0,10.0,11.0,20.0,10.0,5.0,18,18,24,11,7.0,14.0,10.0,4.0,6.0,9.0,2.0,DemandResponse
88,2003,MB,DO,227.0,294.0,213.0,300.0,183.0,208.0,221,271,235,169,111.0,134.0,155.0,210.0,193.0,208.0,174.0,Bus
89,2004,DR,DO,14.0,13.0,36.0,56.0,38.0,49.0,66,197,36,49,42.0,44.0,46.0,37.0,13.0,28.0,29.0,DemandResponse
90,2004,LR,DO,3.0,3.0,3.0,18.0,3.0,4.0,3,3,3,4,2.0,1.0,3.0,7.0,5.0,7.0,54.0,Rail
91,2004,MB,DO,1385.0,1978.0,1711.0,1722.0,1810.0,1732.0,1686,1453,1606,1434,1078.0,904.0,951.0,880.0,985.0,786.0,726.0,Bus
92,2006,DR,DO,2.0,2.0,3.0,1.0,1.0,1.0,0,15,12,15,1.0,3.0,0.0,0.0,0.0,2.0,1.0,DemandResponse
93,2006,MB,DO,12.0,13.0,6.0,,1.0,1.0,1,104,66,27,4.0,11.0,2.0,8.0,1.0,3.0,3.0,Bus
94,2007,DR,DO,168.0,230.0,242.0,331.0,542.0,786.0,603,581,287,476,,,,,,,,DemandResponse
95,2007,MB,DO,2759.0,3123.0,2953.0,3705.0,3449.0,3339.0,3260,4737,3319,2190,,,,,,,,Bus
96,2008,HR,DO,2886.0,2363.0,2167.0,1895.0,2173.0,2260.0,2547,2250,2038,1997,2112.0,2260.0,2443.0,2631.0,3097.0,2888.0,2881.0,Rail
97,2008,MB,DO,16568.0,16957.0,16458.0,15533.0,14398.0,14428.0,14398,14647,15891,17959,13522.0,10890.0,14973.0,11845.0,9035.0,8756.0,8871.0,Bus
98,2009,MB,DO,58.0,15.0,18.0,6.0,5.0,2.0,,4,8,4,4.0,7.0,,,,,,Bus
99,2010,DR,DO,25.0,25.0,9.0,14.0,13.0,1.0,11,28,26,9,8.0,47.0,31.0,19.0,13.0,15.0,14.0,DemandResponse
100,2010,MB,DO,66.0,67.0,24.0,39.0,36.0,44.0,25,63,54,16,8.0,54.0,34.0,20.0,19.0,23.0,40.0,Bus
101,2018,DR,DO,79.0,55.0,48.0,55.0,40.0,45.0,52,47,44,48,54.0,62.0,16.0,6.0,1.0,63.0,49.0,DemandResponse
102,2018,MB,DO,528.0,588.0,751.0,717.0,362.0,402.0,399,285,276,288,276.0,285.0,183.0,303.0,490.0,564.0,350.0,Bus
103,2021,DR,DO,1.0,0.0,1.0,,,,,,,,,,,,,,,DemandResponse
104,2021,MB,DO,7.0,5.0,8.0,,,,,,,,,,,,,,,Bus
105,2040,MB,DO,118.0,145.0,157.0,87.0,,,,,,,,,,,,,,Bus
106,2071,DR,DO,1.0,2.0,0.0,1.0,2.0,1.0,0,0,0,3,3.0,3.0,2.0,6.0,5.0,8.0,9.0,DemandResponse
107,2071,MB,DO,14.0,6.0,5.0,1.0,6.0,7.0,3,3,2,4,9.0,23.0,23.0,17.0,26.0,43.0,76.0,Bus
108,2075,HR,DO,135.0,143.0,138.0,142.0,116.0,94.0,96,121,107,104,123.0,141.0,209.0,230.0,215.0,275.0,225.0,Rail
109,2078,CR,DO,108.0,154.0,141.0,116.0,120.0,117.0,119,123,140,123,123.0,139.0,169.0,98.0,89.0,86.0,116.0,Rail
110,2079,MB,DO,300.0,324.0,507.0,,,,,,,,,,,,,,,Bus
111,2080,CR,DO,174.0,154.0,185.0,171.0,182.0,194.0,217,243,238,206,167.0,179.0,213.0,240.0,236.0,255.0,285.0,Rail
112,2080,LR,DO,24.0,49.0,37.0,38.0,50.0,57.0,19,42,51,87,38.0,38.0,59.0,23.0,72.0,84.0,134.0,Rail
113,2080,MB,DO,4598.0,10017.0,11563.0,11366.0,11235.0,10166.0,11659,11623,11140,10076,9114.0,8582.0,8582.0,6370.0,6483.0,6539.0,6378.0,Bus
114,2082,FB,DO,34.0,26.0,34.0,23.0,33.0,29.0,35,43,43,54,36.0,25.0,14.0,11.0,20.0,12.0,9.0,Other
115,2085,MB,DO,14.0,13.0,1.0,2.0,2.0,1.0,1,1,8,,,,,,,,,Bus
116,2086,DR,DO,22.0,18.0,18.0,12.0,8.0,8.0,5,5,1,,,,,,,,,DemandResponse
117,2089,MB,DO,3.0,,2.0,3.0,5.0,8.0,0,2,4,,,,,,,,,Bus
118,2098,HR,DO,1240.0,330.0,292.0,221.0,254.0,324.0,424,651,545,277,73.0,123.0,164.0,168.0,187.0,165.0,193.0,Rail
119,2099,HR,DO,10.0,10.0,9.0,6.0,15.0,9.0,15,18,5,10,32.0,32.0,35.0,48.0,45.0,44.0,37.0,Rail
120,2100,CR,DO,298.0,426.0,487.0,504.0,182.0,138.0,110,130,106,107,78.0,90.0,89.0,94.0,95.0,161.0,162.0,Rail
121,2113,DR,DO,295.0,428.0,271.0,213.0,300.0,181.0,193,184,123,90,131.0,120.0,111.0,74.0,127.0,106.0,119.0,DemandResponse
