,Geography,Population_Estimate,DateTime,Year
35,"Bridgeport-Stamford-Norwalk, CT Metro Area",882567.0,2000-07-01,2000
36,"Brownsville-Harlingen, TX Metro Area",335227.0,2000-07-01,2000
37,"Brunswick, GA Metro Area",93044.0,2000-07-01,2000
38,"Burlington, NC Metro Area",130800.0,2000-07-01,2000
39,"Burlington-South Burlington, VT Metro Area",198889.0,2000-07-01,2000
40,"Canton-Massillon, OH Metro Area",406934.0,2000-07-01,2000
41,"Cape Coral-Fort Myers, FL Metro Area",440888.0,2000-07-01,2000
42,"Carson City, NV Metro Area",52457.0,2000-07-01,2000
43,"Casper, WY Metro Area",66533.0,2000-07-01,2000
44,"Cedar Rapids, IA Metro Area",237230.0,2000-07-01,2000
45,"Champaign-Urbana, IL Metro Area",210275.0,2000-07-01,2000
46,"Charleston, WV Metro Area",309635.0,2000-07-01,2000
47,"Charlottesville, VA Metro Area",174021.0,2000-07-01,2000
48,"Chattanooga, TN-GA Metro Area",476531.0,2000-07-01,2000
49,"Cheyenne, WY Metro Area",81607.0,2000-07-01,2000
50,"Chico, CA Metro Area",203171.0,2000-07-01,2000
51,"Clarksville, TN-KY Metro Area",232000.0,2000-07-01,2000
52,"Cleveland, TN Metro Area",104015.0,2000-07-01,2000
53,"Coeur d'Alene, ID Metro Area",108685.0,2000-07-01,2000
54,"College Station-Bryan, TX Metro Area",184885.0,2000-07-01,2000
55,"Colorado Springs, CO Metro Area",537484.0,2000-07-01,2000
56,"Columbia, MO Metro Area",145666.0,2000-07-01,2000
57,"Columbia, SC Metro Area",647158.0,2000-07-01,2000
58,"Columbus, GA-AL Metro Area",281768.0,2000-07-01,2000
59,"Columbus, IN Metro Area",71435.0,2000-07-01,2000
60,"Columbus, OH Metro Area",1612694.0,2000-07-01,2000
61,"Corpus Christi, TX Metro Area",403280.0,2000-07-01,2000
62,"Corvallis, OR Metro Area",78153.0,2000-07-01,2000
63,"Cumberland, MD-WV Metro Area",102008.0,2000-07-01,2000
64,"Dallas-Fort Worth-Arlington, TX Metro Area",5161544.0,2000-07-01,2000
65,"Dalton, GA Metro Area",120031.0,2000-07-01,2000
66,"Danville, IL Metro Area",83919.0,2000-07-01,2000
67,"Davenport-Moline-Rock Island, IA-IL Metro Area",376019.0,2000-07-01,2000
68,"Dayton, OH Metro Area",848153.0,2000-07-01,2000
69,"Decatur, AL Metro Area",145867.0,2000-07-01,2000
70,"Decatur, IL Metro Area",114706.0,2000-07-01,2000
71,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",443343.0,2000-07-01,2000
72,"Des Moines-West Des Moines, IA Metro Area",481394.0,2000-07-01,2000
73,"Dothan, AL Metro Area",130861.0,2000-07-01,2000
74,"Dover, DE Metro Area",126697.0,2000-07-01,2000
75,"Dubuque, IA Metro Area",89143.0,2000-07-01,2000
76,"Duluth, MN-WI Metro Area",275486.0,2000-07-01,2000
77,"Durham-Chapel Hill, NC Metro Area",426493.0,2000-07-01,2000
78,"Eau Claire, WI Metro Area",148337.0,2000-07-01,2000
79,"El Centro, CA Metro Area",142361.0,2000-07-01,2000
80,"Elkhart-Goshen, IN Metro Area",182791.0,2000-07-01,2000
81,"Elmira, NY Metro Area",91070.0,2000-07-01,2000
82,"El Paso, TX Metro Area",679622.0,2000-07-01,2000
83,"Erie, PA Metro Area",280843.0,2000-07-01,2000
84,"Evansville, IN-KY Metro Area",342815.0,2000-07-01,2000
85,"Fairbanks, AK Metro Area",82840.0,2000-07-01,2000
86,"Fargo, ND-MN Metro Area",174367.0,2000-07-01,2000
87,"Farmington, NM Metro Area",113801.0,2000-07-01,2000
88,"Fayetteville, NC Metro Area",336609.0,2000-07-01,2000
89,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",347045.0,2000-07-01,2000
90,"Flagstaff, AZ Metro Area",116320.0,2000-07-01,2000
91,"Flint, MI Metro Area",436141.0,2000-07-01,2000
92,"Florence, SC Metro Area",193155.0,2000-07-01,2000
93,"Florence-Muscle Shoals, AL Metro Area",142950.0,2000-07-01,2000
94,"Fond du Lac, WI Metro Area",97296.0,2000-07-01,2000
95,"Fort Smith, AR-OK Metro Area",273170.0,2000-07-01,2000
96,"Fort Wayne, IN Metro Area",390156.0,2000-07-01,2000
97,"Fresno, CA Metro Area",799407.0,2000-07-01,2000
98,"Gadsden, AL Metro Area",103459.0,2000-07-01,2000
99,"Gainesville, FL Metro Area",232392.0,2000-07-01,2000
100,"Gainesville, GA Metro Area",139277.0,2000-07-01,2000
101,"Glens Falls, NY Metro Area",124345.0,2000-07-01,2000
102,"Goldsboro, NC Metro Area",113329.0,2000-07-01,2000
103,"Grand Forks, ND-MN Metro Area",97478.0,2000-07-01,2000
104,"Grand Junction, CO Metro Area",116255.0,2000-07-01,2000
105,"Grand Rapids-Wyoming, MI Metro Area",740482.0,2000-07-01,2000
106,"Great Falls, MT Metro Area",80357.0,2000-07-01,2000
107,"Green Bay, WI Metro Area",282599.0,2000-07-01,2000
108,"Greensboro-High Point, NC Metro Area",643430.0,2000-07-01,2000
109,"Greenville, NC Metro Area",152772.0,2000-07-01,2000
110,"Hagerstown-Martinsburg, MD-WV Metro Area",222771.0,2000-07-01,2000
111,"Hanford-Corcoran, CA Metro Area",129461.0,2000-07-01,2000
112,"Harrisburg-Carlisle, PA Metro Area",509074.0,2000-07-01,2000
113,"Harrisonburg, VA Metro Area",108193.0,2000-07-01,2000
114,"Hartford-West Hartford-East Hartford, CT Metro Area",1148618.0,2000-07-01,2000
115,"Hattiesburg, MS Metro Area",123812.0,2000-07-01,2000
116,"Hickory-Lenoir-Morganton, NC Metro Area",341851.0,2000-07-01,2000
117,"Hot Springs, AR Metro Area",88068.0,2000-07-01,2000
118,"Huntington-Ashland, WV-KY-OH Metro Area",288649.0,2000-07-01,2000
119,"Huntsville, AL Metro Area",342376.0,2000-07-01,2000
120,"Idaho Falls, ID Metro Area",101677.0,2000-07-01,2000
121,"Iowa City, IA Metro Area",131676.0,2000-07-01,2000
122,"Ithaca, NY Metro Area",96501.0,2000-07-01,2000
123,"Jackson, MI Metro Area",158422.0,2000-07-01,2000
124,"Jackson, MS Metro Area",497197.0,2000-07-01,2000
125,"Jackson, TN Metro Area",107377.0,2000-07-01,2000
126,"Jacksonville, FL Metro Area",1122750.0,2000-07-01,2000
127,"Jacksonville, NC Metro Area",150355.0,2000-07-01,2000
128,"Jefferson City, MO Metro Area",140052.0,2000-07-01,2000
129,"Johnson City, TN Metro Area",181607.0,2000-07-01,2000
130,"Johnstown, PA Metro Area",152598.0,2000-07-01,2000
131,"Jonesboro, AR Metro Area",107762.0,2000-07-01,2000
132,"Joplin, MO Metro Area",157322.0,2000-07-01,2000
133,"Kalamazoo-Portage, MI Metro Area",314866.0,2000-07-01,2000
134,"Kansas City, MO-KS Metro Area",1836038.0,2000-07-01,2000
135,"Kingsport-Bristol-Bristol, TN-VA Metro Area",298484.0,2000-07-01,2000
136,"Kingston, NY Metro Area",177749.0,2000-07-01,2000
137,"Knoxville, TN Metro Area",616079.0,2000-07-01,2000
138,"Kokomo, IN Metro Area",101541.0,2000-07-01,2000
139,"Lafayette, LA Metro Area",239086.0,2000-07-01,2000
140,"Lake Charles, LA Metro Area",193568.0,2000-07-01,2000
141,"Lake Havasu City-Kingman, AZ Metro Area",155032.0,2000-07-01,2000
142,"Lakeland-Winter Haven, FL Metro Area",483924.0,2000-07-01,2000
143,"Lancaster, PA Metro Area",470658.0,2000-07-01,2000
144,"Lansing-East Lansing, MI Metro Area",447728.0,2000-07-01,2000
145,"Laredo, TX Metro Area",193117.0,2000-07-01,2000
146,"Las Cruces, NM Metro Area",174682.0,2000-07-01,2000
147,"Lawrence, KS Metro Area",99962.0,2000-07-01,2000
148,"Lawton, OK Metro Area",114996.0,2000-07-01,2000
149,"Lebanon, PA Metro Area",120327.0,2000-07-01,2000
150,"Lewiston, ID-WA Metro Area",57961.0,2000-07-01,2000
151,"Lewiston-Auburn, ME Metro Area",103793.0,2000-07-01,2000
152,"Lexington-Fayette, KY Metro Area",408326.0,2000-07-01,2000
153,"Lima, OH Metro Area",108473.0,2000-07-01,2000
154,"Lincoln, NE Metro Area",266787.0,2000-07-01,2000
155,"Little Rock-North Little Rock-Conway, AR Metro Area",610518.0,2000-07-01,2000
156,"Logan, UT-ID Metro Area",102720.0,2000-07-01,2000
157,"Longview, TX Metro Area",194042.0,2000-07-01,2000
158,"Longview, WA Metro Area",92948.0,2000-07-01,2000
159,"Louisville/Jefferson County, KY-IN Metro Area",1161975.0,2000-07-01,2000
160,"Lubbock, TX Metro Area",249700.0,2000-07-01,2000
161,"Lynchburg, VA Metro Area",228616.0,2000-07-01,2000
162,"Madison, WI Metro Area",501774.0,2000-07-01,2000
163,"Manchester-Nashua, NH Metro Area",380841.0,2000-07-01,2000
164,"Manhattan, KS Metro Area",108999.0,2000-07-01,2000
165,"Mankato-North Mankato, MN Metro Area",85712.0,2000-07-01,2000
166,"Mansfield, OH Metro Area",128852.0,2000-07-01,2000
167,"McAllen-Edinburg-Mission, TX Metro Area",569463.0,2000-07-01,2000
168,"Medford, OR Metro Area",181269.0,2000-07-01,2000
169,"Memphis, TN-MS-AR Metro Area",1205204.0,2000-07-01,2000
170,"Merced, CA Metro Area",210554.0,2000-07-01,2000
171,"Michigan City-La Porte, IN Metro Area",110106.0,2000-07-01,2000
172,"Midland, TX Metro Area",116009.0,2000-07-01,2000
173,"Milwaukee-Waukesha-West Allis, WI Metro Area",1500741.0,2000-07-01,2000
174,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",2968806.0,2000-07-01,2000
175,"Missoula, MT Metro Area",95802.0,2000-07-01,2000
176,"Mobile, AL Metro Area",399843.0,2000-07-01,2000
177,"Modesto, CA Metro Area",446997.0,2000-07-01,2000
178,"Monroe, LA Metro Area",170053.0,2000-07-01,2000
179,"Monroe, MI Metro Area",145945.0,2000-07-01,2000
180,"Montgomery, AL Metro Area",346528.0,2000-07-01,2000
181,"Morgantown, WV Metro Area",111200.0,2000-07-01,2000
182,"Morristown, TN Metro Area",123081.0,2000-07-01,2000
183,"Mount Vernon-Anacortes, WA Metro Area",102979.0,2000-07-01,2000
184,"Muncie, IN Metro Area",118769.0,2000-07-01,2000
185,"Napa, CA Metro Area",124279.0,2000-07-01,2000
186,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1311789.0,2000-07-01,2000
187,"New Haven-Milford, CT Metro Area",824008.0,2000-07-01,2000
188,"Niles-Benton Harbor, MI Metro Area",162453.0,2000-07-01,2000
189,"Norwich-New London, CT Metro Area",259088.0,2000-07-01,2000
190,"Ocala, FL Metro Area",258916.0,2000-07-01,2000
191,"Ocean City, NJ Metro Area",102326.0,2000-07-01,2000
192,"Odessa, TX Metro Area",121123.0,2000-07-01,2000
193,"Ogden-Clearfield, UT Metro Area",442656.0,2000-07-01,2000
194,"Oklahoma City, OK Metro Area",1095421.0,2000-07-01,2000
195,"Omaha-Council Bluffs, NE-IA Metro Area",767041.0,2000-07-01,2000
196,"Oshkosh-Neenah, WI Metro Area",156763.0,2000-07-01,2000
197,"Owensboro, KY Metro Area",109875.0,2000-07-01,2000
198,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",753197.0,2000-07-01,2000
199,"Palm Bay-Melbourne-Titusville, FL Metro Area",476230.0,2000-07-01,2000
200,"Pensacola-Ferry Pass-Brent, FL Metro Area",412153.0,2000-07-01,2000
201,"Peoria, IL Metro Area",366899.0,2000-07-01,2000
202,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",5687147.0,2000-07-01,2000
203,"Phoenix-Mesa-Scottsdale, AZ Metro Area",3251876.0,2000-07-01,2000
204,"Pine Bluff, AR Metro Area",107341.0,2000-07-01,2000
205,"Pittsburgh, PA Metro Area",2431087.0,2000-07-01,2000
206,"Pittsfield, MA Metro Area",134953.0,2000-07-01,2000
207,"Pocatello, ID Metro Area",83103.0,2000-07-01,2000
208,"Port St. Lucie, FL Metro Area",319426.0,2000-07-01,2000
209,"Prescott, AZ Metro Area",167517.0,2000-07-01,2000
210,"Provo-Orem, UT Metro Area",376774.0,2000-07-01,2000
211,"Pueblo, CO Metro Area",141472.0,2000-07-01,2000
212,"Punta Gorda, FL Metro Area",141627.0,2000-07-01,2000
213,"Racine, WI Metro Area",188831.0,2000-07-01,2000
214,"Rapid City, SD Metro Area",112818.0,2000-07-01,2000
215,"Reading, PA Metro Area",373638.0,2000-07-01,2000
216,"Redding, CA Metro Area",163256.0,2000-07-01,2000
217,"Richmond, VA Metro Area",1096957.0,2000-07-01,2000
218,"Riverside-San Bernardino-Ontario, CA Metro Area",3254821.0,2000-07-01,2000
219,"Roanoke, VA Metro Area",288309.0,2000-07-01,2000
220,"Rochester, MN Metro Area",163618.0,2000-07-01,2000
221,"Rochester, NY Metro Area",1037831.0,2000-07-01,2000
222,"Rockford, IL Metro Area",320204.0,2000-07-01,2000
223,"Rocky Mount, NC Metro Area",143026.0,2000-07-01,2000
224,"Rome, GA Metro Area",90565.0,2000-07-01,2000
225,"St. Cloud, MN Metro Area",167392.0,2000-07-01,2000
226,"St. George, UT Metro Area",90354.0,2000-07-01,2000
227,"St. Joseph, MO-KS Metro Area",122336.0,2000-07-01,2000
228,"St. Louis, MO-IL Metro Area",2698687.0,2000-07-01,2000
229,"Salem, OR Metro Area",347214.0,2000-07-01,2000
230,"Salinas, CA Metro Area",401762.0,2000-07-01,2000
231,"Salt Lake City, UT Metro Area",968858.0,2000-07-01,2000
232,"San Angelo, TX Metro Area",105781.0,2000-07-01,2000
233,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",1735819.0,2000-07-01,2000
234,"Santa Cruz-Watsonville, CA Metro Area",255602.0,2000-07-01,2000
235,"Santa Fe, NM Metro Area",129292.0,2000-07-01,2000
236,"Savannah, GA Metro Area",293000.0,2000-07-01,2000
237,"Seattle-Tacoma-Bellevue, WA Metro Area",3043878.0,2000-07-01,2000
238,"Sebastian-Vero Beach, FL Metro Area",112947.0,2000-07-01,2000
239,"Sheboygan, WI Metro Area",112646.0,2000-07-01,2000
240,"Sherman-Denison, TX Metro Area",110595.0,2000-07-01,2000
241,"Shreveport-Bossier City, LA Metro Area",375965.0,2000-07-01,2000
242,"Sioux City, IA-NE-SD Metro Area",143053.0,2000-07-01,2000
243,"Sioux Falls, SD Metro Area",187093.0,2000-07-01,2000
244,"South Bend-Mishawaka, IN-MI Metro Area",316663.0,2000-07-01,2000
245,"Spartanburg, SC Metro Area",253791.0,2000-07-01,2000
246,"Springfield, IL Metro Area",201437.0,2000-07-01,2000
247,"Springfield, MA Metro Area",680014.0,2000-07-01,2000
248,"Springfield, MO Metro Area",368374.0,2000-07-01,2000
249,"Springfield, OH Metro Area",144742.0,2000-07-01,2000
250,"State College, PA Metro Area",135758.0,2000-07-01,2000
251,"Sumter, SC Metro Area",104646.0,2000-07-01,2000
252,"Syracuse, NY Metro Area",650154.0,2000-07-01,2000
253,"Tallahassee, FL Metro Area",320304.0,2000-07-01,2000
254,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2395997.0,2000-07-01,2000
255,"Terre Haute, IN Metro Area",170943.0,2000-07-01,2000
256,"Toledo, OH Metro Area",659188.0,2000-07-01,2000
257,"Topeka, KS Metro Area",224551.0,2000-07-01,2000
258,"Tucson, AZ Metro Area",843746.0,2000-07-01,2000
259,"Tulsa, OK Metro Area",859532.0,2000-07-01,2000
260,"Tuscaloosa, AL Metro Area",192034.0,2000-07-01,2000
261,"Tyler, TX Metro Area",174706.0,2000-07-01,2000
262,"Utica-Rome, NY Metro Area",299896.0,2000-07-01,2000
263,"Valdosta, GA Metro Area",119560.0,2000-07-01,2000
264,"Vallejo-Fairfield, CA Metro Area",394542.0,2000-07-01,2000
265,"Victoria, TX Metro Area",111663.0,2000-07-01,2000
266,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",1576370.0,2000-07-01,2000
267,"Visalia-Porterville, CA Metro Area",368021.0,2000-07-01,2000
268,"Waco, TX Metro Area",213517.0,2000-07-01,2000
269,"Warner Robins, GA Metro Area",110765.0,2000-07-01,2000
270,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",4796183.0,2000-07-01,2000
271,"Waterloo-Cedar Falls, IA Metro Area",163706.0,2000-07-01,2000
272,"Wausau, WI Metro Area",125834.0,2000-07-01,2000
273,"Weirton-Steubenville, WV-OH Metro Area",132008.0,2000-07-01,2000
274,"Wheeling, WV-OH Metro Area",153172.0,2000-07-01,2000
275,"Wichita, KS Metro Area",571166.0,2000-07-01,2000
276,"Wichita Falls, TX Metro Area",151524.0,2000-07-01,2000
277,"Williamsport, PA Metro Area",120044.0,2000-07-01,2000
278,"Wilmington, NC Metro Area",274532.0,2000-07-01,2000
279,"Winchester, VA-WV Metro Area",102997.0,2000-07-01,2000
280,"Winston-Salem, NC Metro Area",421961.0,2000-07-01,2000
281,"Yakima, WA Metro Area",222581.0,2000-07-01,2000
282,"York-Hanover, PA Metro Area",381751.0,2000-07-01,2000
283,"Youngstown-Warren-Boardman, OH-PA Metro Area",602964.0,2000-07-01,2000
284,"Yuba City, CA Metro Area",139149.0,2000-07-01,2000
285,"Yuma, AZ Metro Area",160026.0,2000-07-01,2000
286,"Abilene, TX Metro Area",158291.0,2001-07-01,2001
287,"Akron, OH Metro Area",698288.0,2001-07-01,2001
288,"Albany, GA Metro Area",159833.0,2001-07-01,2001
289,"Albany-Schenectady-Troy, NY Metro Area",829490.0,2001-07-01,2001
290,"Albuquerque, NM Metro Area",739531.0,2001-07-01,2001
291,"Alexandria, LA Metro Area",144918.0,2001-07-01,2001
292,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",748739.0,2001-07-01,2001
293,"Altoona, PA Metro Area",128336.0,2001-07-01,2001
294,"Amarillo, TX Metro Area",228333.0,2001-07-01,2001
295,"Ames, IA Metro Area",80057.0,2001-07-01,2001
296,"Anchorage, AK Metro Area",325839.0,2001-07-01,2001
297,"Ann Arbor, MI Metro Area",329234.0,2001-07-01,2001
298,"Appleton, WI Metro Area",205340.0,2001-07-01,2001
299,"Asheville, NC Metro Area",373870.0,2001-07-01,2001
300,"Athens-Clarke County, GA Metro Area",169135.0,2001-07-01,2001
301,"Atlantic City-Hammonton, NJ Metro Area",254890.0,2001-07-01,2001
302,"Auburn-Opelika, AL Metro Area",116759.0,2001-07-01,2001
303,"Augusta-Richmond County, GA-SC Metro Area",502964.0,2001-07-01,2001
304,"Austin-Round Rock, TX Metro Area",1324426.0,2001-07-01,2001
305,"Bakersfield, CA Metro Area",674028.0,2001-07-01,2001
306,"Bangor, ME Metro Area",145589.0,2001-07-01,2001
307,"Barnstable Town, MA Metro Area",224928.0,2001-07-01,2001
308,"Baton Rouge, LA Metro Area",709848.0,2001-07-01,2001
309,"Battle Creek, MI Metro Area",138052.0,2001-07-01,2001
310,"Bay City, MI Metro Area",109654.0,2001-07-01,2001
311,"Beaumont-Port Arthur, TX Metro Area",381705.0,2001-07-01,2001
312,"Bellingham, WA Metro Area",171250.0,2001-07-01,2001
313,"Billings, MT Metro Area",140245.0,2001-07-01,2001
314,"Binghamton, NY Metro Area",251448.0,2001-07-01,2001
315,"Birmingham-Hoover, AL Metro Area",1060335.0,2001-07-01,2001
316,"Bismarck, ND Metro Area",95165.0,2001-07-01,2001
317,"Blacksburg-Christiansburg-Radford, VA Metro Area",153029.0,2001-07-01,2001
318,"Bloomington, IN Metro Area",176193.0,2001-07-01,2001
319,"Bowling Green, KY Metro Area",105524.0,2001-07-01,2001
320,"Bremerton-Silverdale, WA Metro Area",233348.0,2001-07-01,2001
321,"Bridgeport-Stamford-Norwalk, CT Metro Area",888036.0,2001-07-01,2001
322,"Brownsville-Harlingen, TX Metro Area",342262.0,2001-07-01,2001
323,"Brunswick, GA Metro Area",94298.0,2001-07-01,2001
324,"Burlington, NC Metro Area",133497.0,2001-07-01,2001
325,"Burlington-South Burlington, VT Metro Area",201094.0,2001-07-01,2001
326,"Canton-Massillon, OH Metro Area",407339.0,2001-07-01,2001
327,"Cape Coral-Fort Myers, FL Metro Area",458557.0,2001-07-01,2001
328,"Carson City, NV Metro Area",53426.0,2001-07-01,2001
329,"Casper, WY Metro Area",66873.0,2001-07-01,2001
330,"Cedar Rapids, IA Metro Area",240100.0,2001-07-01,2001
331,"Champaign-Urbana, IL Metro Area",211813.0,2001-07-01,2001
332,"Charleston, WV Metro Area",307023.0,2001-07-01,2001
333,"Charlottesville, VA Metro Area",177884.0,2001-07-01,2001
334,"Chattanooga, TN-GA Metro Area",482729.0,2001-07-01,2001
335,"Cheyenne, WY Metro Area",82392.0,2001-07-01,2001
336,"Chico, CA Metro Area",206384.0,2001-07-01,2001
337,"Clarksville, TN-KY Metro Area",235713.0,2001-07-01,2001
338,"Cleveland, TN Metro Area",105077.0,2001-07-01,2001
339,"Coeur d'Alene, ID Metro Area",111707.0,2001-07-01,2001
340,"College Station-Bryan, TX Metro Area",186851.0,2001-07-01,2001
341,"Colorado Springs, CO Metro Area",556604.0,2001-07-01,2001
342,"Columbia, MO Metro Area",147802.0,2001-07-01,2001
343,"Columbia, SC Metro Area",657598.0,2001-07-01,2001
344,"Columbus, GA-AL Metro Area",283457.0,2001-07-01,2001
345,"Columbus, IN Metro Area",72009.0,2001-07-01,2001
346,"Columbus, OH Metro Area",1642112.0,2001-07-01,2001
347,"Corpus Christi, TX Metro Area",401280.0,2001-07-01,2001
348,"Corvallis, OR Metro Area",78175.0,2001-07-01,2001
349,"Cumberland, MD-WV Metro Area",101308.0,2001-07-01,2001
350,"Dallas-Fort Worth-Arlington, TX Metro Area",5354623.0,2001-07-01,2001
351,"Dalton, GA Metro Area",123239.0,2001-07-01,2001
352,"Danville, IL Metro Area",83447.0,2001-07-01,2001
353,"Davenport-Moline-Rock Island, IA-IL Metro Area",374642.0,2001-07-01,2001
354,"Dayton, OH Metro Area",846089.0,2001-07-01,2001
355,"Decatur, AL Metro Area",146330.0,2001-07-01,2001
356,"Decatur, IL Metro Area",113307.0,2001-07-01,2001
357,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",451291.0,2001-07-01,2001
358,"Des Moines-West Des Moines, IA Metro Area",490191.0,2001-07-01,2001
359,"Dothan, AL Metro Area",131266.0,2001-07-01,2001
360,"Dover, DE Metro Area",128821.0,2001-07-01,2001
361,"Dubuque, IA Metro Area",88998.0,2001-07-01,2001
362,"Duluth, MN-WI Metro Area",276392.0,2001-07-01,2001
363,"Durham-Chapel Hill, NC Metro Area",435352.0,2001-07-01,2001
364,"Eau Claire, WI Metro Area",149703.0,2001-07-01,2001
365,"El Centro, CA Metro Area",143152.0,2001-07-01,2001
366,"Elkhart-Goshen, IN Metro Area",185090.0,2001-07-01,2001
367,"Elmira, NY Metro Area",90673.0,2001-07-01,2001
368,"El Paso, TX Metro Area",684780.0,2001-07-01,2001
369,"Erie, PA Metro Area",281524.0,2001-07-01,2001
370,"Evansville, IN-KY Metro Area",342977.0,2001-07-01,2001
371,"Fairbanks, AK Metro Area",85233.0,2001-07-01,2001
372,"Fargo, ND-MN Metro Area",176297.0,2001-07-01,2001
373,"Farmington, NM Metro Area",115133.0,2001-07-01,2001
374,"Fayetteville, NC Metro Area",338125.0,2001-07-01,2001
375,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",359646.0,2001-07-01,2001
376,"Flagstaff, AZ Metro Area",117803.0,2001-07-01,2001
377,"Flint, MI Metro Area",437901.0,2001-07-01,2001
378,"Florence, SC Metro Area",193798.0,2001-07-01,2001
379,"Florence-Muscle Shoals, AL Metro Area",142234.0,2001-07-01,2001
380,"Fond du Lac, WI Metro Area",97753.0,2001-07-01,2001
381,"Fort Smith, AR-OK Metro Area",275457.0,2001-07-01,2001
382,"Fort Wayne, IN Metro Area",393586.0,2001-07-01,2001
383,"Fresno, CA Metro Area",812426.0,2001-07-01,2001
384,"Gadsden, AL Metro Area",102914.0,2001-07-01,2001
385,"Gainesville, FL Metro Area",235950.0,2001-07-01,2001
386,"Gainesville, GA Metro Area",146870.0,2001-07-01,2001
387,"Glens Falls, NY Metro Area",124657.0,2001-07-01,2001
388,"Goldsboro, NC Metro Area",112952.0,2001-07-01,2001
389,"Grand Forks, ND-MN Metro Area",96436.0,2001-07-01,2001
390,"Grand Junction, CO Metro Area",119287.0,2001-07-01,2001
391,"Grand Rapids-Wyoming, MI Metro Area",750083.0,2001-07-01,2001
392,"Great Falls, MT Metro Area",80387.0,2001-07-01,2001
393,"Green Bay, WI Metro Area",285858.0,2001-07-01,2001
394,"Greensboro-High Point, NC Metro Area",652373.0,2001-07-01,2001
395,"Greenville, NC Metro Area",155006.0,2001-07-01,2001
396,"Hagerstown-Martinsburg, MD-WV Metro Area",226726.0,2001-07-01,2001
397,"Hanford-Corcoran, CA Metro Area",132453.0,2001-07-01,2001
398,"Harrisburg-Carlisle, PA Metro Area",510511.0,2001-07-01,2001
399,"Harrisonburg, VA Metro Area",109901.0,2001-07-01,2001
400,"Hartford-West Hartford-East Hartford, CT Metro Area",1156981.0,2001-07-01,2001
401,"Hattiesburg, MS Metro Area",125363.0,2001-07-01,2001
402,"Hickory-Lenoir-Morganton, NC Metro Area",346821.0,2001-07-01,2001
403,"Hot Springs, AR Metro Area",89311.0,2001-07-01,2001
