,CBSA,MNAME,TOTAL_EMPLOYMENT,JTW_DA_PCT,JTW_CARPOOLED_PCT,JTW_TRANSIT_PCT,JTW_WALK_PCT,JTW_BICYCLE_PCT,JTW_OTHER_PCT,JTW_HOME_PCT,Year
2910,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",381841,82.2,8.8,1.8,2.4,0.3,1.1,3.5,2013
3291,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",395393,81.8,8.2,1.9,2.7,0.3,1.3,3.9,2014
3672,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",399635,81.6,8.3,1.8,2.8,0.3,1.1,4.0,2015
4053,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",405953,81.0,8.5,2.0,2.5,0.1,1.0,4.9,2016
4435,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",407683,82.2,8.5,1.4,2.0,0.2,0.6,5.0,2017
7,11020,"Altoona, PA Metro Area",55148,80.8,13.2,0.4,2.4,0.1,0.7,2.5,2005
365,11020,"Altoona, PA Metro Area",56929,83.2,10.3,0.5,3.4,0.1,0.7,1.7,2006
724,11020,"Altoona, PA Metro Area",54462,79.4,13.0,1.3,2.6,0.2,1.3,2.2,2007
1085,11020,"Altoona, PA Metro Area",57642,81.1,12.1,0.0,3.2,0.2,1.2,2.3,2008
1446,11020,"Altoona, PA Metro Area",56183,82.2,8.8,0.3,3.7,0.0,1.9,3.1,2009
1812,11020,"Altoona, PA Metro Area",57419,82.1,10.6,0.1,2.4,0.0,1.4,3.3,2010
2178,11020,"Altoona, PA Metro Area",56310,84.2,8.9,0.2,2.6,0.0,1.5,2.6,2011
2544,11020,"Altoona, PA Metro Area",55631,81.4,10.6,0.8,3.7,0.3,1.5,1.8,2012
2911,11020,"Altoona, PA Metro Area",57241,82.2,7.8,0.2,5.2,0.2,1.4,3.1,2013
3292,11020,"Altoona, PA Metro Area",57565,82.8,8.6,0.6,4.4,0.1,0.9,2.7,2014
3673,11020,"Altoona, PA Metro Area",54886,85.5,9.4,0.8,2.0,0.3,0.3,1.7,2015
4054,11020,"Altoona, PA Metro Area",54250,82.6,9.6,0.8,2.9,0.2,1.1,2.7,2016
4436,11020,"Altoona, PA Metro Area",54362,80.4,9.9,1.8,3.1,0.3,0.9,3.5,2017
8,11100,"Amarillo, TX Metro Area",108822,80.0,15.6,0.1,0.9,0.1,1.5,1.7,2005
366,11100,"Amarillo, TX Metro Area",112617,83.5,10.7,0.4,1.6,0.2,1.2,2.4,2006
725,11100,"Amarillo, TX Metro Area",113943,82.0,12.2,0.1,1.6,0.2,1.9,2.0,2007
1086,11100,"Amarillo, TX Metro Area",119830,82.2,10.6,0.9,1.9,0.2,0.9,3.4,2008
1447,11100,"Amarillo, TX Metro Area",117310,80.6,12.7,1.4,2.1,0.4,0.7,2.2,2009
1813,11100,"Amarillo, TX Metro Area",120318,81.3,12.2,0.2,1.8,0.1,1.1,3.3,2010
2179,11100,"Amarillo, TX Metro Area",117586,78.0,14.7,0.7,1.6,0.3,0.9,3.7,2011
2545,11100,"Amarillo, TX Metro Area",117167,79.5,13.8,0.9,1.7,0.2,1.0,2.8,2012
2912,11100,"Amarillo, TX Metro Area",123165,82.5,12.4,0.7,1.6,0.1,0.6,2.2,2013
3293,11100,"Amarillo, TX Metro Area",123957,83.2,10.6,0.9,1.5,0.6,0.8,2.5,2014
3674,11100,"Amarillo, TX Metro Area",125455,83.0,11.7,0.4,1.2,0.3,0.8,2.6,2015
4055,11100,"Amarillo, TX Metro Area",125128,81.0,13.8,0.5,1.6,0.1,0.6,2.4,2016
4437,11100,"Amarillo, TX Metro Area",126274,82.7,10.9,0.1,1.3,0.3,0.7,4.0,2017
9,11180,"Ames, IA Metro Area",40308,77.3,6.1,6.6,5.3,0.9,0.7,3.0,2005
367,11180,"Ames, IA Metro Area",43211,73.1,9.4,5.1,7.2,1.2,0.5,3.5,2006
726,11180,"Ames, IA Metro Area",46948,72.9,9.5,5.9,7.7,2.0,0.3,1.7,2007
1087,11180,"Ames, IA Metro Area",50037,69.3,10.4,6.0,8.8,2.3,1.0,2.2,2008
1448,11180,"Ames, IA Metro Area",47156,70.6,9.1,6.1,10.2,0.8,0.6,2.6,2009
1814,11180,"Ames, IA Metro Area",46934,71.6,10.5,5.8,6.5,1.8,0.9,2.9,2010
2180,11180,"Ames, IA Metro Area",47032,73.4,7.5,7.3,7.2,1.7,0.1,2.8,2011
2546,11180,"Ames, IA Metro Area",47848,70.9,9.8,4.7,7.8,2.1,1.2,3.5,2012
2913,11180,"Ames, IA Metro Area",49096,72.6,6.8,6.2,7.4,3.6,0.5,2.9,2013
3294,11180,"Ames, IA Metro Area",48796,72.9,5.8,7.5,6.8,0.9,0.8,5.4,2014
3675,11180,"Ames, IA Metro Area",50220,72.9,6.4,6.3,7.8,2.2,0.5,4.0,2015
4056,11180,"Ames, IA Metro Area",53288,71.7,6.5,5.0,7.3,1.8,0.2,7.5,2016
4438,11180,"Ames, IA Metro Area",49095,71.9,5.1,3.9,7.1,4.4,1.4,6.3,2017
10,11260,"Anchorage, AK Metro Area",159851,74.4,14.7,1.2,2.2,0.9,2.4,4.2,2005
368,11260,"Anchorage, AK Metro Area",173800,75.3,12.9,1.1,3.1,0.9,2.2,4.5,2006
727,11260,"Anchorage, AK Metro Area",177611,74.3,13.4,1.2,2.8,1.1,2.4,4.7,2007
1088,11260,"Anchorage, AK Metro Area",183370,74.4,14.2,1.5,3.0,0.9,2.1,3.9,2008
1449,11260,"Anchorage, AK Metro Area",182428,75.7,13.2,1.2,2.8,0.6,2.9,3.7,2009
1815,11260,"Anchorage, AK Metro Area",188833,74.5,14.1,1.3,1.8,1.3,2.9,4.1,2010
2181,11260,"Anchorage, AK Metro Area",190358,75.8,11.9,1.9,2.8,1.0,2.9,3.8,2011
2547,11260,"Anchorage, AK Metro Area",196275,72.4,13.2,2.1,2.6,0.9,3.8,4.9,2012
2914,11260,"Anchorage, AK Metro Area",197592,73.3,12.3,1.9,3.5,1.0,3.6,4.4,2013
3295,11260,"Anchorage, AK Metro Area",199686,76.5,10.6,1.2,3.5,1.1,3.5,3.7,2014
3676,11260,"Anchorage, AK Metro Area",199248,74.6,12.3,1.5,2.8,1.1,3.4,4.1,2015
4057,11260,"Anchorage, AK Metro Area",201427,75.3,12.2,1.4,2.4,1.2,2.5,5.0,2016
4439,11260,"Anchorage, AK Metro Area",196157,76.4,10.5,1.7,3.1,0.9,3.1,4.3,2017
11,11300,"Anderson, IN Metro Area",53836,87.4,8.2,0.1,1.1,0.1,0.6,2.5,2005
369,11300,"Anderson, IN Metro Area",52984,82.9,11.8,0.2,1.6,0.3,1.0,2.1,2006
728,11300,"Anderson, IN Metro Area",58243,82.1,10.6,0.2,1.6,1.0,0.4,4.2,2007
1089,11300,"Anderson, IN Metro Area",57234,78.4,13.5,0.6,2.7,0.5,1.6,2.7,2008
1450,11300,"Anderson, IN Metro Area",54236,83.2,10.6,0.6,3.0,0.0,0.3,2.4,2009
1816,11300,"Anderson, IN Metro Area",54421,83.6,9.4,0.9,3.7,0.1,0.4,2.0,2010
2182,11300,"Anderson, IN Metro Area",51189,85.0,7.3,0.1,3.1,0.1,0.9,3.6,2011
2548,11300,"Anderson, IN Metro Area",52667,82.1,9.9,0.2,2.0,0.6,1.4,3.7,2012
12,11340,"Anderson, SC Metro Area",74258,85.2,11.2,0.0,1.0,0.0,0.9,1.8,2005
370,11340,"Anderson, SC Metro Area",78090,84.8,11.8,0.7,0.6,0.3,0.6,1.3,2006
729,11340,"Anderson, SC Metro Area",75105,84.0,10.8,0.4,0.9,0.0,0.8,3.1,2007
1090,11340,"Anderson, SC Metro Area",80187,86.2,9.3,0.3,1.1,0.1,1.0,2.1,2008
1451,11340,"Anderson, SC Metro Area",78439,86.8,9.0,0.2,1.2,0.1,0.7,2.2,2009
1817,11340,"Anderson, SC Metro Area",75772,84.5,8.2,0.8,2.6,0.0,0.6,3.2,2010
2183,11340,"Anderson, SC Metro Area",75503,86.3,8.3,0.3,1.0,0.0,2.4,1.6,2011
2549,11340,"Anderson, SC Metro Area",76156,88.6,7.5,0.5,1.0,0.0,0.2,2.3,2012
13,11460,"Ann Arbor, MI Metro Area",158777,78.0,8.4,3.3,4.1,1.1,0.6,4.5,2005
371,11460,"Ann Arbor, MI Metro Area",167496,75.6,7.4,3.5,6.4,1.9,0.4,4.8,2006
730,11460,"Ann Arbor, MI Metro Area",171080,76.2,7.8,3.5,6.1,1.0,1.0,4.4,2007
1091,11460,"Ann Arbor, MI Metro Area",162662,73.6,8.4,4.2,5.8,1.5,0.7,5.8,2008
1452,11460,"Ann Arbor, MI Metro Area",164127,73.5,8.3,4.2,7.1,1.0,0.6,5.4,2009
1818,11460,"Ann Arbor, MI Metro Area",164209,74.4,8.2,3.9,6.7,1.1,0.5,5.1,2010
2184,11460,"Ann Arbor, MI Metro Area",163753,72.1,8.1,6.5,6.2,2.1,0.5,4.6,2011
2550,11460,"Ann Arbor, MI Metro Area",168997,72.9,8.2,4.3,6.6,1.8,0.6,5.6,2012
2915,11460,"Ann Arbor, MI Metro Area",170239,73.7,6.7,5.0,5.7,2.1,0.9,5.8,2013
3296,11460,"Ann Arbor, MI Metro Area",176360,72.5,7.1,5.6,6.7,1.9,0.6,5.6,2014
3677,11460,"Ann Arbor, MI Metro Area",177215,71.0,9.2,6.0,6.0,1.3,0.6,5.9,2015
4058,11460,"Ann Arbor, MI Metro Area",181547,72.4,8.4,4.8,6.2,1.5,0.6,6.0,2016
4440,11460,"Ann Arbor, MI Metro Area",187349,72.0,7.1,5.1,7.5,2.1,0.7,5.6,2017
14,11500,"Anniston-Oxford, AL Metro Area",N,N,N,N,N,N,N,N,2005
372,11500,"Anniston-Oxford, AL Metro Area",46146,89.3,7.2,0.3,1.0,0.2,0.8,1.2,2006
731,11500,"Anniston-Oxford, AL Metro Area",46023,87.7,9.4,0.0,0.8,0.1,1.0,1.0,2007
1092,11500,"Anniston-Oxford, AL Metro Area",48297,80.9,14.1,0.6,0.5,0.1,1.6,2.2,2008
1453,11500,"Anniston-Oxford, AL Metro Area",44833,87.2,7.3,0.2,1.2,0.2,1.5,2.4,2009
1819,11500,"Anniston-Oxford, AL Metro Area",N,N,N,N,N,N,N,N,2010
2185,11500,"Anniston-Oxford, AL Metro Area",47002,84.6,10.7,0.0,1.4,0.0,1.4,1.9,2011
2551,11500,"Anniston-Oxford, AL Metro Area",45124,84.3,11.8,0.2,1.1,0.1,0.7,1.8,2012
2916,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",41914,84.8,8.4,0.5,1.9,0.3,0.7,3.3,2013
3297,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",N,N,N,N,N,N,N,N,2014
3678,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",45754,85.8,9.9,0.0,0.8,0.0,1.1,2.4,2015
4059,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",N,N,N,N,N,N,N,N,2016
4441,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",48505,84.4,9.3,0.4,1.0,0.0,0.5,4.4,2017
15,11540,"Appleton, WI Metro Area",111473,86.8,6.0,0.5,1.8,0.5,0.9,3.4,2005
373,11540,"Appleton, WI Metro Area",116257,85.4,6.7,0.4,2.0,0.7,0.8,3.9,2006
732,11540,"Appleton, WI Metro Area",115164,84.0,6.9,0.5,3.2,0.4,1.2,3.7,2007
1093,11540,"Appleton, WI Metro Area",118903,83.2,8.2,0.6,2.6,0.4,1.8,3.2,2008
1454,11540,"Appleton, WI Metro Area",117821,85.4,7.1,1.2,2.2,0.4,0.7,3.0,2009
1820,11540,"Appleton, WI Metro Area",114776,85.7,5.9,0.7,1.8,0.3,0.8,4.8,2010
2186,11540,"Appleton, WI Metro Area",118575,81.3,8.8,0.4,3.1,0.5,1.1,4.8,2011
2552,11540,"Appleton, WI Metro Area",118198,85.5,6.6,0.3,2.2,0.5,1.2,3.7,2012
2917,11540,"Appleton, WI Metro Area",120766,85.8,7.5,0.9,1.7,0.7,0.6,2.8,2013
3298,11540,"Appleton, WI Metro Area",122597,87.1,5.6,0.7,1.6,0.8,1.0,3.2,2014
3679,11540,"Appleton, WI Metro Area",125900,86.5,5.8,0.5,1.9,0.5,0.7,4.2,2015
4060,11540,"Appleton, WI Metro Area",126816,84.9,7.0,0.6,2.3,0.4,0.7,4.0,2016
4442,11540,"Appleton, WI Metro Area",128337,84.4,6.6,0.5,2.2,0.4,0.8,5.2,2017
16,11700,"Asheville, NC Metro Area",178926,80.2,12.6,0.2,1.4,0.4,0.7,4.4,2005
374,11700,"Asheville, NC Metro Area",185305,79.0,11.2,0.7,2.8,0.5,0.8,4.9,2006
733,11700,"Asheville, NC Metro Area",182066,78.7,13.6,0.8,1.5,0.3,0.9,4.3,2007
1094,11700,"Asheville, NC Metro Area",186301,78.6,11.5,0.4,1.7,0.3,1.0,6.5,2008
1455,11700,"Asheville, NC Metro Area",179885,79.7,11.7,0.4,1.9,0.3,0.7,5.3,2009
1821,11700,"Asheville, NC Metro Area",184280,79.3,9.8,0.7,2.8,0.6,0.7,6.2,2010
2187,11700,"Asheville, NC Metro Area",184971,80.4,9.6,0.4,2.2,0.2,0.8,6.4,2011
2553,11700,"Asheville, NC Metro Area",189077,79.8,10.8,0.5,2.3,0.4,0.7,5.5,2012
2918,11700,"Asheville, NC Metro Area",194920,82.1,8.2,0.6,2.3,0.1,0.9,5.8,2013
3299,11700,"Asheville, NC Metro Area",199515,80.7,8.9,0.5,1.9,0.2,0.9,6.9,2014
3680,11700,"Asheville, NC Metro Area",195207,81.1,8.8,0.4,2.3,0.1,0.9,6.5,2015
4061,11700,"Asheville, NC Metro Area",207695,79.4,8.5,0.4,2.2,0.4,0.7,8.2,2016
4443,11700,"Asheville, NC Metro Area",220271,77.4,9.6,0.5,1.4,0.2,0.9,10.0,2017
17,12020,"Athens-Clarke County, GA Metro Area",77438,77.8,11.4,3.0,2.7,1.1,0.9,3.0,2005
375,12020,"Athens-Clarke County, GA Metro Area",88474,82.6,9.3,1.4,2.8,0.7,0.5,2.7,2006
734,12020,"Athens-Clarke County, GA Metro Area",87312,74.6,12.8,2.4,3.7,0.7,1.0,4.7,2007
1095,12020,"Athens-Clarke County, GA Metro Area",92497,75.2,13.0,2.3,3.3,1.0,1.0,4.1,2008
1456,12020,"Athens-Clarke County, GA Metro Area",79620,79.3,8.4,2.8,3.9,0.8,0.6,4.2,2009
1822,12020,"Athens-Clarke County, GA Metro Area",78843,74.8,10.3,1.1,3.5,0.9,1.9,7.5,2010
2188,12020,"Athens-Clarke County, GA Metro Area",80780,75.6,9.4,3.0,4.1,1.8,1.4,4.7,2011
2554,12020,"Athens-Clarke County, GA Metro Area",84326,80.1,9.0,1.9,3.8,1.1,1.1,3.0,2012
2919,12020,"Athens-Clarke County, GA Metro Area",86780,83.4,9.3,1.4,2.3,0.2,1.2,2.2,2013
3300,12020,"Athens-Clarke County, GA Metro Area",84331,78.1,10.3,3.4,2.0,1.0,0.8,4.4,2014
3681,12020,"Athens-Clarke County, GA Metro Area",91038,75.6,11.4,4.3,2.8,1.0,1.1,3.8,2015
4062,12020,"Athens-Clarke County, GA Metro Area",95382,79.2,9.0,1.9,3.2,0.9,0.7,5.0,2016
4444,12020,"Athens-Clarke County, GA Metro Area",95905,75.9,9.6,2.3,3.1,1.1,1.4,6.5,2017
18,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2371075,79.2,10.7,3.3,1.0,0.1,1.2,4.5,2005
376,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2481028,77.1,11.3,3.7,1.4,0.1,1.5,4.9,2006
735,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2537372,78.0,10.4,3.3,1.4,0.1,1.8,5.0,2007
1096,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2639723,76.5,11.3,3.6,1.2,0.1,1.6,5.7,2008
1457,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2520867,77.2,10.5,3.7,1.4,0.2,1.4,5.6,2009
1823,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2369588,77.6,10.3,3.4,1.3,0.2,1.5,5.8,2010
2189,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2397963,78.1,10.3,3.1,1.5,0.3,1.2,5.5,2011
2555,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2443090,78.0,10.5,2.9,1.4,0.1,1.1,5.9,2012
2920,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2520035,77.7,10.4,3.1,1.3,0.2,1.4,6.0,2013
3301,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2605472,77.6,10.3,3.1,1.4,0.2,1.4,6.2,2014
3682,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2707331,77.9,9.6,3.1,1.5,0.2,1.3,6.4,2015
4063,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2794255,77.6,9.2,3.1,1.3,0.3,1.5,7.0,2016
4445,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2868251,76.7,9.7,3.1,1.4,0.2,1.7,7.3,2017
19,12100,"Atlantic City, NJ Metro Area",123995,75.4,10.6,8.1,2.0,0.7,1.5,1.7,2005
