MNAME,RailBus,Year,Cluster_upt,UZA_upt,upt,UZA_vrm,VRM
"Albany, GA Metro Area",Bus,2009,12,3708.0,871177.0,309.0,44130.666666666664
"Albany, GA Metro Area",Bus,2010,12,3708.0,900406.0,309.0,44248.5
"Albany, GA Metro Area",Bus,2011,12,3708.0,985863.0,309.0,47878.166666666664
"Albany, GA Metro Area",Bus,2012,12,3708.0,1017648.0,309.0,43624.416666666664
"Albany, GA Metro Area",Bus,2013,12,3708.0,1017015.0,309.0,45150.416666666664
"Albany, GA Metro Area",Bus,2014,12,3708.0,883094.0,309.0,49054.166666666664
"Albany, GA Metro Area",Bus,2015,12,3708.0,695011.0,309.0,49623.166666666664
"Albany, GA Metro Area",Bus,2016,12,3708.0,655363.0,309.0,49750.583333333336
"Albany, GA Metro Area",Bus,2017,12,3708.0,723013.0,309.0,50200.416666666664
"Albany, GA Metro Area",Bus,2018,12,3708.0,739896.0,309.0,54920.25
"Albany, GA Metro Area",Bus,2019,3,927.0,201295.0,309.0,17625.666666666668
"Albany, GA Metro Area",DemandResponse,2002,11,3399.0,29496.0,309.0,14474.727272727272
"Albany, GA Metro Area",DemandResponse,2003,12,3708.0,29598.0,309.0,13161.833333333334
"Albany, GA Metro Area",DemandResponse,2004,12,3708.0,29006.0,309.0,12636.583333333334
"Albany, GA Metro Area",DemandResponse,2005,12,3708.0,25628.0,309.0,11612.166666666666
"Albany, GA Metro Area",DemandResponse,2006,12,3708.0,23487.0,309.0,11611.333333333334
"Albany, GA Metro Area",DemandResponse,2007,12,3708.0,21348.0,309.0,10190.833333333334
"Albany, GA Metro Area",DemandResponse,2008,12,3708.0,19959.0,309.0,9377.916666666666
"Albany, GA Metro Area",DemandResponse,2009,12,3708.0,16018.0,309.0,8765.5
"Albany, GA Metro Area",DemandResponse,2010,12,3708.0,12154.0,309.0,8241.5
"Albany, GA Metro Area",DemandResponse,2011,12,3708.0,10360.0,309.0,8277.333333333334
"Albany, GA Metro Area",DemandResponse,2012,12,3708.0,10393.0,309.0,8044.5
"Albany, GA Metro Area",DemandResponse,2013,12,3708.0,13066.0,309.0,7385.916666666667
"Albany, GA Metro Area",DemandResponse,2014,12,3708.0,14805.0,309.0,8350.083333333334
"Albany, GA Metro Area",DemandResponse,2015,12,3708.0,14593.0,309.0,7848.75
"Albany, GA Metro Area",DemandResponse,2016,12,3708.0,13816.0,309.0,8120.5
"Albany, GA Metro Area",DemandResponse,2017,12,3708.0,13111.0,309.0,7820.0
"Albany, GA Metro Area",DemandResponse,2018,12,3708.0,15704.0,309.0,8775.916666666666
"Albany, GA Metro Area",DemandResponse,2019,3,927.0,5088.0,309.0,7599.0
"Albany-Schenectady-Troy, NY Metro Area",Bus,2002,22,6820.0,10638696.0,310.0,260221.45454545456
"Albany-Schenectady-Troy, NY Metro Area",Bus,2003,24,7440.0,11755425.0,310.0,260400.58333333334
"Albany-Schenectady-Troy, NY Metro Area",Bus,2004,24,7440.0,11363591.0,310.0,275858.8333333333
"Albany-Schenectady-Troy, NY Metro Area",Bus,2005,24,7440.0,12582861.0,310.0,320631.125
"Albany-Schenectady-Troy, NY Metro Area",Bus,2006,24,7440.0,13048119.0,310.0,294705.375
"Albany-Schenectady-Troy, NY Metro Area",Bus,2007,24,7440.0,13394378.0,310.0,301249.4583333333
"Albany-Schenectady-Troy, NY Metro Area",Bus,2008,24,7440.0,15264603.0,310.0,322385.0416666667
"Albany-Schenectady-Troy, NY Metro Area",Bus,2009,24,7440.0,14198140.0,310.0,308332.9583333333
"Albany-Schenectady-Troy, NY Metro Area",Bus,2010,24,7440.0,13881547.0,310.0,310531.0833333333
"Albany-Schenectady-Troy, NY Metro Area",Bus,2011,24,7440.0,14514831.0,310.0,328635.0416666667
"Albany-Schenectady-Troy, NY Metro Area",Bus,2012,24,7440.0,15213240.0,310.0,310450.5416666667
"Albany-Schenectady-Troy, NY Metro Area",Bus,2013,24,7440.0,16052777.0,310.0,309884.0
"Albany-Schenectady-Troy, NY Metro Area",Bus,2014,24,7440.0,16608585.0,310.0,321305.0416666667
"Albany-Schenectady-Troy, NY Metro Area",Bus,2015,24,7440.0,16592640.0,310.0,326881.7083333333
"Albany-Schenectady-Troy, NY Metro Area",Bus,2016,24,7440.0,16515295.0,310.0,332500.6666666667
"Albany-Schenectady-Troy, NY Metro Area",Bus,2017,24,7440.0,16356553.0,310.0,342290.3333333333
"Albany-Schenectady-Troy, NY Metro Area",Bus,2018,24,7440.0,15395053.0,310.0,349564.3333333333
"Albany-Schenectady-Troy, NY Metro Area",Bus,2019,6,1860.0,3689553.0,310.0,348856.0
"Albany-Schenectady-Troy, NY Metro Area",DemandResponse,2002,22,7557.0,89553.0,343.5,30523.909090909092
"Albany-Schenectady-Troy, NY Metro Area",DemandResponse,2003,24,8244.0,125157.0,343.5,30928.583333333332
"Albany-Schenectady-Troy, NY Metro Area",DemandResponse,2004,24,8244.0,139501.0,343.5,29579.958333333332
"Albany-Schenectady-Troy, NY Metro Area",DemandResponse,2005,24,8244.0,173381.0,343.5,45822.291666666664
"Albany-Schenectady-Troy, NY Metro Area",DemandResponse,2006,24,8244.0,161872.0,343.5,54208.333333333336
"Albany-Schenectady-Troy, NY Metro Area",DemandResponse,2007,24,8244.0,189085.0,343.5,65475.708333333336
"Albany-Schenectady-Troy, NY Metro Area",DemandResponse,2008,24,8244.0,216960.0,343.5,58355.958333333336
"Albany-Schenectady-Troy, NY Metro Area",DemandResponse,2009,24,8244.0,225789.0,343.5,53924.916666666664
"Albany-Schenectady-Troy, NY Metro Area",DemandResponse,2010,24,8244.0,252260.0,343.5,59397.625
"Albany-Schenectady-Troy, NY Metro Area",DemandResponse,2011,24,8244.0,278407.0,343.5,69640.70833333333
"Albany-Schenectady-Troy, NY Metro Area",DemandResponse,2012,24,8244.0,285354.0,343.5,66559.91666666667
"Albany-Schenectady-Troy, NY Metro Area",DemandResponse,2013,24,8244.0,306426.0,343.5,97229.70833333333
"Albany-Schenectady-Troy, NY Metro Area",DemandResponse,2014,24,8244.0,299109.0,343.5,112676.04166666667
"Albany-Schenectady-Troy, NY Metro Area",DemandResponse,2015,24,8244.0,305443.0,343.5,117114.29166666667
"Albany-Schenectady-Troy, NY Metro Area",DemandResponse,2016,24,8244.0,326783.0,343.5,120000.875
"Albany-Schenectady-Troy, NY Metro Area",DemandResponse,2017,24,8244.0,321948.0,343.5,118616.58333333333
"Albany-Schenectady-Troy, NY Metro Area",DemandResponse,2018,24,8244.0,340622.0,343.5,124251.33333333333
"Albany-Schenectady-Troy, NY Metro Area",DemandResponse,2019,6,2061.0,94680.0,343.5,131567.66666666666
"Albany-Schenectady-Troy, NY Metro Area",Other,2002,11,4609.0,0.0,419.0,0.0
"Albany-Schenectady-Troy, NY Metro Area",Other,2003,12,5028.0,0.0,419.0,0.0
"Albany-Schenectady-Troy, NY Metro Area",Other,2004,12,5028.0,0.0,419.0,0.0
"Albany-Schenectady-Troy, NY Metro Area",Other,2005,12,5028.0,37051.0,419.0,3414.8333333333335
"Albany-Schenectady-Troy, NY Metro Area",Other,2006,12,5028.0,0.0,419.0,0.0
"Albany-Schenectady-Troy, NY Metro Area",Other,2007,12,5028.0,0.0,419.0,0.0
"Albany-Schenectady-Troy, NY Metro Area",Other,2008,12,5028.0,0.0,419.0,0.0
"Albany-Schenectady-Troy, NY Metro Area",Other,2009,12,5028.0,0.0,419.0,0.0
"Albany-Schenectady-Troy, NY Metro Area",Other,2010,12,5028.0,0.0,419.0,0.0
"Albany-Schenectady-Troy, NY Metro Area",Other,2011,12,5028.0,0.0,419.0,0.0
"Albany-Schenectady-Troy, NY Metro Area",Other,2012,12,5028.0,0.0,419.0,0.0
"Albany-Schenectady-Troy, NY Metro Area",Other,2013,12,5028.0,0.0,419.0,0.0
"Albany-Schenectady-Troy, NY Metro Area",Other,2014,12,5028.0,0.0,419.0,0.0
"Albany-Schenectady-Troy, NY Metro Area",Other,2015,12,5028.0,0.0,419.0,0.0
"Albany-Schenectady-Troy, NY Metro Area",Other,2016,12,5028.0,0.0,419.0,0.0
"Albany-Schenectady-Troy, NY Metro Area",Other,2017,12,5028.0,0.0,419.0,0.0
"Albany-Schenectady-Troy, NY Metro Area",Other,2018,12,5028.0,0.0,419.0,0.0
"Albany-Schenectady-Troy, NY Metro Area",Other,2019,3,1257.0,0.0,419.0,0.0
"Albuquerque, NM Metro Area",Bus,2002,22,3080.0,6532533.0,280.0,13913.90909090909
"Albuquerque, NM Metro Area",Bus,2003,24,3360.0,6620336.0,280.0,312400.5
"Albuquerque, NM Metro Area",Bus,2004,24,3360.0,6604625.0,280.0,329508.5833333333
"Albuquerque, NM Metro Area",Bus,2005,24,3360.0,7758914.0,280.0,398552.1666666667
"Albuquerque, NM Metro Area",Bus,2006,24,3360.0,9072409.0,280.0,386237.5833333333
"Albuquerque, NM Metro Area",Bus,2007,24,3360.0,9791599.0,280.0,408434.3333333333
"Albuquerque, NM Metro Area",Bus,2008,24,3360.0,10942102.0,280.0,420149.4166666667
"Albuquerque, NM Metro Area",Bus,2009,24,3360.0,10639235.0,280.0,428691.25
"Albuquerque, NM Metro Area",Bus,2010,24,3360.0,11527241.0,280.0,425239.6666666667
"Albuquerque, NM Metro Area",Bus,2011,24,3360.0,12375668.0,280.0,444153.8333333333
"Albuquerque, NM Metro Area",Bus,2012,24,3360.0,13029416.0,280.0,452361.5833333333
"Albuquerque, NM Metro Area",Bus,2013,24,3360.0,13037741.0,280.0,477672.6666666667
"Albuquerque, NM Metro Area",Bus,2014,24,3360.0,12960527.0,280.0,477539.0833333333
"Albuquerque, NM Metro Area",Bus,2015,24,3360.0,11866102.0,280.0,481701.8333333333
"Albuquerque, NM Metro Area",Bus,2016,24,3360.0,10968033.0,280.0,481646.5833333333
"Albuquerque, NM Metro Area",Bus,2017,24,3360.0,9744600.0,280.0,473708.3333333333
"Albuquerque, NM Metro Area",Bus,2018,24,3360.0,9638741.0,280.0,474778.75
"Albuquerque, NM Metro Area",Bus,2019,6,840.0,2187659.0,280.0,470137.0
"Albuquerque, NM Metro Area",DemandResponse,2002,22,1848.0,164944.0,168.0,120424.81818181818
"Albuquerque, NM Metro Area",DemandResponse,2003,24,2016.0,180125.0,168.0,129260.25
"Albuquerque, NM Metro Area",DemandResponse,2004,24,2016.0,170981.0,168.0,131561.33333333334
"Albuquerque, NM Metro Area",DemandResponse,2005,24,2016.0,174394.0,168.0,142318.41666666666
"Albuquerque, NM Metro Area",DemandResponse,2006,24,2016.0,188558.0,168.0,147767.83333333334
"Albuquerque, NM Metro Area",DemandResponse,2007,24,2016.0,193678.0,168.0,153629.08333333334
"Albuquerque, NM Metro Area",DemandResponse,2008,24,2016.0,195116.0,168.0,153248.58333333334
"Albuquerque, NM Metro Area",DemandResponse,2009,24,2016.0,200428.0,168.0,159603.83333333334
"Albuquerque, NM Metro Area",DemandResponse,2010,24,2016.0,238337.0,168.0,162571.5
"Albuquerque, NM Metro Area",DemandResponse,2011,24,2016.0,253217.0,168.0,168348.33333333334
"Albuquerque, NM Metro Area",DemandResponse,2012,24,2016.0,283731.0,168.0,168786.25
"Albuquerque, NM Metro Area",DemandResponse,2013,24,2016.0,327932.0,168.0,189308.25
"Albuquerque, NM Metro Area",DemandResponse,2014,24,2016.0,340093.0,168.0,201387.41666666666
"Albuquerque, NM Metro Area",DemandResponse,2015,24,2016.0,335404.0,168.0,203980.25
"Albuquerque, NM Metro Area",DemandResponse,2016,24,2016.0,346403.0,168.0,212230.5
"Albuquerque, NM Metro Area",DemandResponse,2017,24,2016.0,342957.0,168.0,221312.0
"Albuquerque, NM Metro Area",DemandResponse,2018,24,2016.0,335477.0,168.0,215568.41666666666
"Albuquerque, NM Metro Area",DemandResponse,2019,6,504.0,83996.0,168.0,216591.33333333334
"Albuquerque, NM Metro Area",Rail,2002,22,616.0,0.0,56.0,0.0
"Albuquerque, NM Metro Area",Rail,2003,24,672.0,0.0,56.0,0.0
"Albuquerque, NM Metro Area",Rail,2004,24,672.0,0.0,56.0,0.0
"Albuquerque, NM Metro Area",Rail,2005,24,672.0,0.0,56.0,0.0
"Albuquerque, NM Metro Area",Rail,2006,24,672.0,0.0,56.0,0.0
"Albuquerque, NM Metro Area",Rail,2007,24,672.0,0.0,56.0,0.0
"Albuquerque, NM Metro Area",Rail,2008,24,672.0,0.0,56.0,0.0
"Albuquerque, NM Metro Area",Rail,2009,24,672.0,1351087.0,56.0,67823.75
"Albuquerque, NM Metro Area",Rail,2010,24,672.0,1165687.0,56.0,117928.58333333333
"Albuquerque, NM Metro Area",Rail,2011,24,672.0,1242174.0,56.0,114223.33333333333
"Albuquerque, NM Metro Area",Rail,2012,24,672.0,1129303.0,56.0,118729.0
"Albuquerque, NM Metro Area",Rail,2013,24,672.0,1082588.0,56.0,115713.5
"Albuquerque, NM Metro Area",Rail,2014,24,672.0,1063217.0,56.0,115493.91666666667
"Albuquerque, NM Metro Area",Rail,2015,24,672.0,931324.0,56.0,116497.5
"Albuquerque, NM Metro Area",Rail,2016,24,672.0,851409.0,56.0,116686.16666666667
"Albuquerque, NM Metro Area",Rail,2017,24,672.0,811421.0,56.0,112518.66666666667
"Albuquerque, NM Metro Area",Rail,2018,24,672.0,771602.0,56.0,111459.5
"Albuquerque, NM Metro Area",Rail,2019,6,168.0,180988.0,56.0,110530.33333333333
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Bus,2002,33,7315.0,1217948370.0,221.66666666666666,8071411.848484849
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Bus,2003,36,7980.0,1289863135.0,221.66666666666666,7613910.0
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Bus,2004,36,7980.0,1297836526.0,221.66666666666666,8028788.444444444
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Bus,2005,36,7980.0,1358169599.0,221.66666666666666,8222674.611111111
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Bus,2006,36,7980.0,1315013620.0,221.66666666666666,7636927.888888889
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Bus,2007,36,7980.0,1264503709.0,221.66666666666666,8489736.0
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Bus,2008,36,7980.0,1287772680.0,221.66666666666666,8614801.083333334
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Bus,2009,36,7980.0,1254103333.0,221.66666666666666,8765738.444444444
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Bus,2010,36,7980.0,1231085502.0,221.66666666666666,7988511.666666667
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Bus,2011,36,7980.0,1198820010.0,221.66666666666666,7786307.5
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Bus,2012,36,7980.0,1206953276.0,221.66666666666666,7742549.25
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Bus,2013,36,7980.0,1211425113.0,221.66666666666666,7872035.583333333
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Bus,2014,36,7980.0,1201411617.0,221.66666666666666,7963821.194444444
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Bus,2015,36,7980.0,1169002004.0,221.66666666666666,7897759.138888889
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Bus,2016,36,7980.0,1170491879.0,221.66666666666666,7869131.027777778
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Bus,2017,36,7980.0,1108338797.0,221.66666666666666,7751325.611111111
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Bus,2018,36,7980.0,1115343115.0,221.66666666666666,7732349.111111111
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Bus,2019,9,1995.0,268260277.0,221.66666666666666,7634045.222222222
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",DemandResponse,2002,33,11308.0,3178152.0,342.6666666666667,918561.0909090909
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",DemandResponse,2003,36,12336.0,4288209.0,342.6666666666667,1191206.5833333333
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",DemandResponse,2004,36,12336.0,5068832.0,342.6666666666667,1339470.111111111
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",DemandResponse,2005,36,12336.0,6085666.0,342.6666666666667,1528414.638888889
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",DemandResponse,2006,36,12336.0,6259462.0,342.6666666666667,1654352.5277777778
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",DemandResponse,2007,36,12336.0,8115213.0,342.6666666666667,2237337.1666666665
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",DemandResponse,2008,36,12336.0,8715861.0,342.6666666666667,2373296.6944444445
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",DemandResponse,2009,36,12336.0,10494431.0,342.6666666666667,2943768.3333333335
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",DemandResponse,2010,36,12336.0,9466721.0,342.6666666666667,2722017.9166666665
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",DemandResponse,2011,36,12336.0,8884156.0,342.6666666666667,2426088.638888889
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",DemandResponse,2012,36,12336.0,8715470.0,342.6666666666667,2329374.361111111
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",DemandResponse,2013,36,12336.0,11002059.0,342.6666666666667,2418153.4444444445
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",DemandResponse,2014,36,12336.0,11235987.0,342.6666666666667,2499511.6666666665
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",DemandResponse,2015,36,12336.0,11588876.0,342.6666666666667,2625437.8333333335
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",DemandResponse,2016,36,12336.0,11321462.0,342.6666666666667,2502116.472222222
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",DemandResponse,2017,36,12336.0,10768354.0,342.6666666666667,2366917.972222222
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",DemandResponse,2018,36,12336.0,9927157.0,342.6666666666667,2274385.4166666665
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",DemandResponse,2019,9,3084.0,2329757.0,342.6666666666667,2148588.888888889
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Other,2002,11,77.0,21784502.0,7.0,17069.0
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Other,2003,12,84.0,24101451.0,7.0,17443.0
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Other,2004,12,84.0,23390619.0,7.0,32479.416666666668
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Other,2005,12,84.0,21918786.0,7.0,32145.166666666668
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Other,2006,12,84.0,21528958.0,7.0,33097.0
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Other,2007,12,84.0,21527487.0,7.0,32617.25
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Other,2008,12,84.0,28814569.0,7.0,91031.25
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Other,2009,12,84.0,28085065.0,7.0,91573.08333333333
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Other,2010,12,84.0,27954691.0,7.0,89609.75
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Other,2011,12,84.0,28908063.0,7.0,87415.33333333333
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Other,2012,12,84.0,32481604.0,7.0,185845.66666666666
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Other,2013,12,84.0,30404391.0,7.0,190599.91666666666
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Other,2014,12,84.0,32474410.0,7.0,198771.16666666666
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Other,2015,12,84.0,33738142.0,7.0,202055.58333333334
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Other,2016,12,84.0,35058188.0,7.0,202824.0
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Other,2017,12,84.0,38146846.0,7.0,224690.0
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Other,2018,12,84.0,40482281.0,7.0,261913.5
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Other,2019,3,21.0,8905564.0,7.0,230415.0
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Rail,2002,11,99.0,1868504631.0,9.0,39806756.0
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Rail,2003,12,108.0,2005667165.0,9.0,42084778.916666664
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Rail,2004,12,108.0,2121305237.0,9.0,43614856.75
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Rail,2005,12,108.0,2514504586.0,9.0,44127882.25
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Rail,2006,12,108.0,2611220314.0,9.0,45127754.666666664
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Rail,2007,12,108.0,2759027239.0,9.0,45390580.416666664
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Rail,2008,12,108.0,2826857125.0,9.0,46669370.083333336
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Rail,2009,12,108.0,2725172400.0,9.0,46984300.416666664
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Rail,2010,12,108.0,2820962850.0,9.0,46171692.416666664
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Rail,2011,12,108.0,2883841588.0,9.0,45363573.583333336
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Rail,2012,12,108.0,2935194264.0,9.0,45225513.5
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Rail,2013,12,108.0,3034642987.0,9.0,46231652.416666664
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Rail,2014,12,108.0,3143611971.0,9.0,46806611.416666664
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Rail,2015,12,108.0,3056061653.0,9.0,46906604.083333336
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Rail,2016,12,108.0,3078576569.0,9.0,46863996.75
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Rail,2017,12,108.0,3099677394.0,9.0,47136188.833333336
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Rail,2018,12,108.0,3034699758.0,9.0,46751748.916666664
