CBSA,Mode,Year,MNAME_x,POP_CENSUSTRACT
10580,Bus,2007,"Albany-Schenectady-Troy, NY Metro Area",190654
10580,Bus,2008,"Albany-Schenectady-Troy, NY Metro Area",189248
10580,Bus,2009,"Albany-Schenectady-Troy, NY Metro Area",187842
10580,Bus,2010,"Albany-Schenectady-Troy, NY Metro Area",186436
10580,Bus,2011,"Albany-Schenectady-Troy, NY Metro Area",185030
10580,Bus,2012,"Albany-Schenectady-Troy, NY Metro Area",184627
10580,Bus,2013,"Albany-Schenectady-Troy, NY Metro Area",184456
10580,Bus,2014,"Albany-Schenectady-Troy, NY Metro Area",182846
10580,Bus,2015,"Albany-Schenectady-Troy, NY Metro Area",183193
10580,Bus,2016,"Albany-Schenectady-Troy, NY Metro Area",183110
10580,Bus,2017,"Albany-Schenectady-Troy, NY Metro Area",184560
10580,Bus,2018,"Albany-Schenectady-Troy, NY Metro Area",185626.75
10740,Bus,2002,"Albuquerque, NM Metro Area",272794
10740,Bus,2003,"Albuquerque, NM Metro Area",269643
10740,Bus,2004,"Albuquerque, NM Metro Area",266492
10740,Bus,2005,"Albuquerque, NM Metro Area",263341
10740,Bus,2006,"Albuquerque, NM Metro Area",260190
10740,Bus,2007,"Albuquerque, NM Metro Area",257039
10740,Bus,2008,"Albuquerque, NM Metro Area",253888
10740,Bus,2009,"Albuquerque, NM Metro Area",250737
10740,Bus,2010,"Albuquerque, NM Metro Area",247586
10740,Bus,2011,"Albuquerque, NM Metro Area",244435
10740,Bus,2012,"Albuquerque, NM Metro Area",244628
10740,Bus,2013,"Albuquerque, NM Metro Area",245116
10740,Bus,2014,"Albuquerque, NM Metro Area",247927
10740,Bus,2015,"Albuquerque, NM Metro Area",248427
10740,Bus,2016,"Albuquerque, NM Metro Area",247010
10740,Bus,2017,"Albuquerque, NM Metro Area",246241
10740,Bus,2018,"Albuquerque, NM Metro Area",245310
10740,Rail,2009,"Albuquerque, NM Metro Area",250737
10740,Rail,2010,"Albuquerque, NM Metro Area",247586
10740,Rail,2011,"Albuquerque, NM Metro Area",244435
10740,Rail,2012,"Albuquerque, NM Metro Area",244628
10740,Rail,2013,"Albuquerque, NM Metro Area",245116
10740,Rail,2014,"Albuquerque, NM Metro Area",247927
10740,Rail,2015,"Albuquerque, NM Metro Area",248427
10740,Rail,2016,"Albuquerque, NM Metro Area",247010
10740,Rail,2017,"Albuquerque, NM Metro Area",246241
10740,Rail,2018,"Albuquerque, NM Metro Area",245310
10900,Bus,2002,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",197517
10900,Bus,2003,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",196620
10900,Bus,2004,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",195723
10900,Bus,2005,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",194826
10900,Bus,2006,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",193929
10900,Bus,2007,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",193032
10900,Bus,2008,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",192135
10900,Bus,2009,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",191238
10900,Bus,2010,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",190341
10900,Bus,2011,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",189444
10900,Bus,2012,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",189384
10900,Bus,2013,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",190118
10900,Bus,2014,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",190167
10900,Bus,2015,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",189783
10900,Bus,2016,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",189181
10900,Bus,2017,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",190441
10900,Bus,2018,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",191235.5
11020,Bus,2002,"Altoona, PA Metro Area",33089
11020,Bus,2003,"Altoona, PA Metro Area",32663
11020,Bus,2004,"Altoona, PA Metro Area",32237
11020,Bus,2005,"Altoona, PA Metro Area",31811
11020,Bus,2006,"Altoona, PA Metro Area",31385
11020,Bus,2007,"Altoona, PA Metro Area",30959
11020,Bus,2008,"Altoona, PA Metro Area",30533
11020,Bus,2009,"Altoona, PA Metro Area",30107
11020,Bus,2010,"Altoona, PA Metro Area",29681
11020,Bus,2011,"Altoona, PA Metro Area",29255
11020,Bus,2012,"Altoona, PA Metro Area",29903
11020,Bus,2013,"Altoona, PA Metro Area",29467
11020,Bus,2014,"Altoona, PA Metro Area",29623
11020,Bus,2015,"Altoona, PA Metro Area",29372
11020,Bus,2016,"Altoona, PA Metro Area",29115
11020,Bus,2017,"Altoona, PA Metro Area",29024
11020,Bus,2018,"Altoona, PA Metro Area",28891.5
11180,Bus,2003,"Ames, IA Metro Area",11718
11180,Bus,2004,"Ames, IA Metro Area",12562
11180,Bus,2005,"Ames, IA Metro Area",13406
11180,Bus,2006,"Ames, IA Metro Area",14250
11180,Bus,2007,"Ames, IA Metro Area",15094
11180,Bus,2008,"Ames, IA Metro Area",15938
11180,Bus,2009,"Ames, IA Metro Area",16782
11180,Bus,2010,"Ames, IA Metro Area",17626
11180,Bus,2011,"Ames, IA Metro Area",18470
11180,Bus,2012,"Ames, IA Metro Area",18244
11180,Bus,2013,"Ames, IA Metro Area",18230
11180,Bus,2014,"Ames, IA Metro Area",18009
11180,Bus,2015,"Ames, IA Metro Area",18304
11180,Bus,2016,"Ames, IA Metro Area",18830
11180,Bus,2017,"Ames, IA Metro Area",19080
11180,Bus,2018,"Ames, IA Metro Area",19399
11260,Bus,2002,"Anchorage, AK Metro Area",137254
11260,Bus,2003,"Anchorage, AK Metro Area",134393
11260,Bus,2004,"Anchorage, AK Metro Area",131532
11260,Bus,2005,"Anchorage, AK Metro Area",128671
11260,Bus,2006,"Anchorage, AK Metro Area",125810
11260,Bus,2007,"Anchorage, AK Metro Area",122949
11260,Bus,2008,"Anchorage, AK Metro Area",120088
11260,Bus,2009,"Anchorage, AK Metro Area",117227
11260,Bus,2010,"Anchorage, AK Metro Area",114366
11260,Bus,2011,"Anchorage, AK Metro Area",111505
11260,Bus,2012,"Anchorage, AK Metro Area",113139
11260,Bus,2013,"Anchorage, AK Metro Area",113468
11260,Bus,2014,"Anchorage, AK Metro Area",113333
11260,Bus,2015,"Anchorage, AK Metro Area",113929
11260,Bus,2016,"Anchorage, AK Metro Area",113530
11260,Bus,2017,"Anchorage, AK Metro Area",112879
11260,Bus,2018,"Anchorage, AK Metro Area",112291
11460,Bus,2002,"Ann Arbor, MI Metro Area",73900
11460,Bus,2003,"Ann Arbor, MI Metro Area",74940
11460,Bus,2004,"Ann Arbor, MI Metro Area",75980
11460,Bus,2005,"Ann Arbor, MI Metro Area",77020
11460,Bus,2006,"Ann Arbor, MI Metro Area",78060
11460,Bus,2007,"Ann Arbor, MI Metro Area",79100
11460,Bus,2008,"Ann Arbor, MI Metro Area",80140
11460,Bus,2009,"Ann Arbor, MI Metro Area",81180
11460,Bus,2010,"Ann Arbor, MI Metro Area",82220
11460,Bus,2011,"Ann Arbor, MI Metro Area",83260
11460,Bus,2012,"Ann Arbor, MI Metro Area",83507
11460,Bus,2013,"Ann Arbor, MI Metro Area",83130
11460,Bus,2014,"Ann Arbor, MI Metro Area",84947
11460,Bus,2015,"Ann Arbor, MI Metro Area",84696
11460,Bus,2016,"Ann Arbor, MI Metro Area",87037
11460,Bus,2017,"Ann Arbor, MI Metro Area",88090
11460,Bus,2018,"Ann Arbor, MI Metro Area",89465
11540,Bus,2002,"Appleton, WI Metro Area",13325
11540,Bus,2003,"Appleton, WI Metro Area",13641
11540,Bus,2004,"Appleton, WI Metro Area",13957
11540,Bus,2005,"Appleton, WI Metro Area",14273
11540,Bus,2006,"Appleton, WI Metro Area",14589
11540,Bus,2007,"Appleton, WI Metro Area",14905
11540,Bus,2008,"Appleton, WI Metro Area",15221
11540,Bus,2009,"Appleton, WI Metro Area",15537
11540,Bus,2010,"Appleton, WI Metro Area",15853
11540,Bus,2011,"Appleton, WI Metro Area",16169
11540,Bus,2012,"Appleton, WI Metro Area",15820
11540,Bus,2013,"Appleton, WI Metro Area",15642
11540,Bus,2014,"Appleton, WI Metro Area",16002
11540,Bus,2015,"Appleton, WI Metro Area",15580
11540,Bus,2016,"Appleton, WI Metro Area",16175
11540,Bus,2017,"Appleton, WI Metro Area",16151
11540,Bus,2018,"Appleton, WI Metro Area",16281.75
11700,Bus,2002,"Asheville, NC Metro Area",9592
11700,Bus,2003,"Asheville, NC Metro Area",9009
11700,Bus,2004,"Asheville, NC Metro Area",8426
11700,Bus,2005,"Asheville, NC Metro Area",7843
11700,Bus,2006,"Asheville, NC Metro Area",7260
11700,Bus,2007,"Asheville, NC Metro Area",6677
11700,Bus,2008,"Asheville, NC Metro Area",6094
11700,Bus,2009,"Asheville, NC Metro Area",5511
11700,Bus,2010,"Asheville, NC Metro Area",4928
11700,Bus,2011,"Asheville, NC Metro Area",4345
11700,Bus,2012,"Asheville, NC Metro Area",4493
11700,Bus,2013,"Asheville, NC Metro Area",4639
11700,Bus,2014,"Asheville, NC Metro Area",4678
11700,Bus,2015,"Asheville, NC Metro Area",5191
11700,Bus,2016,"Asheville, NC Metro Area",4883
11700,Bus,2017,"Asheville, NC Metro Area",4836
11700,Bus,2018,"Asheville, NC Metro Area",4723.75
12020,Bus,2006,"Athens-Clarke County, GA Metro Area",14345
12020,Bus,2007,"Athens-Clarke County, GA Metro Area",16021
12020,Bus,2008,"Athens-Clarke County, GA Metro Area",17697
12020,Bus,2009,"Athens-Clarke County, GA Metro Area",19373
12020,Bus,2010,"Athens-Clarke County, GA Metro Area",21049
12020,Bus,2011,"Athens-Clarke County, GA Metro Area",22725
12020,Bus,2012,"Athens-Clarke County, GA Metro Area",23023
12020,Bus,2013,"Athens-Clarke County, GA Metro Area",22928
12020,Bus,2014,"Athens-Clarke County, GA Metro Area",22794
12020,Bus,2015,"Athens-Clarke County, GA Metro Area",22293
12020,Bus,2016,"Athens-Clarke County, GA Metro Area",22686
12020,Bus,2017,"Athens-Clarke County, GA Metro Area",22602
12020,Bus,2018,"Athens-Clarke County, GA Metro Area",22637.25
12060,Bus,2002,"Atlanta-Sandy Springs-Marietta, GA Metro Area",648940
12060,Bus,2003,"Atlanta-Sandy Springs-Marietta, GA Metro Area",631316
12060,Bus,2004,"Atlanta-Sandy Springs-Marietta, GA Metro Area",613692
12060,Bus,2005,"Atlanta-Sandy Springs-Marietta, GA Metro Area",596068
12060,Bus,2006,"Atlanta-Sandy Springs-Marietta, GA Metro Area",578444
12060,Bus,2007,"Atlanta-Sandy Springs-Marietta, GA Metro Area",560820
12060,Bus,2008,"Atlanta-Sandy Springs-Marietta, GA Metro Area",543196
12060,Bus,2009,"Atlanta-Sandy Springs-Marietta, GA Metro Area",525572
12060,Bus,2010,"Atlanta-Sandy Springs-Marietta, GA Metro Area",507948
12060,Bus,2011,"Atlanta-Sandy Springs-Marietta, GA Metro Area",490324
12060,Bus,2012,"Atlanta-Sandy Springs-Marietta, GA Metro Area",499841
12060,Bus,2013,"Atlanta-Sandy Springs-Marietta, GA Metro Area",510298
12060,Bus,2014,"Atlanta-Sandy Springs-Marietta, GA Metro Area",522992
12060,Bus,2015,"Atlanta-Sandy Springs-Marietta, GA Metro Area",534812
12060,Bus,2016,"Atlanta-Sandy Springs-Marietta, GA Metro Area",543460
12060,Bus,2017,"Atlanta-Sandy Springs-Marietta, GA Metro Area",548716
12060,Bus,2018,"Atlanta-Sandy Springs-Marietta, GA Metro Area",554820
12060,Rail,2002,"Atlanta-Sandy Springs-Marietta, GA Metro Area",648940
12060,Rail,2003,"Atlanta-Sandy Springs-Marietta, GA Metro Area",631316
12060,Rail,2004,"Atlanta-Sandy Springs-Marietta, GA Metro Area",613692
12060,Rail,2005,"Atlanta-Sandy Springs-Marietta, GA Metro Area",596068
12060,Rail,2006,"Atlanta-Sandy Springs-Marietta, GA Metro Area",578444
12060,Rail,2007,"Atlanta-Sandy Springs-Marietta, GA Metro Area",560820
12060,Rail,2008,"Atlanta-Sandy Springs-Marietta, GA Metro Area",543196
12060,Rail,2009,"Atlanta-Sandy Springs-Marietta, GA Metro Area",525572
12060,Rail,2010,"Atlanta-Sandy Springs-Marietta, GA Metro Area",507948
12060,Rail,2011,"Atlanta-Sandy Springs-Marietta, GA Metro Area",490324
12060,Rail,2012,"Atlanta-Sandy Springs-Marietta, GA Metro Area",499841
12060,Rail,2013,"Atlanta-Sandy Springs-Marietta, GA Metro Area",510298
12060,Rail,2014,"Atlanta-Sandy Springs-Marietta, GA Metro Area",522992
12060,Rail,2015,"Atlanta-Sandy Springs-Marietta, GA Metro Area",534812
12060,Rail,2016,"Atlanta-Sandy Springs-Marietta, GA Metro Area",543460
12060,Rail,2017,"Atlanta-Sandy Springs-Marietta, GA Metro Area",548716
12060,Rail,2018,"Atlanta-Sandy Springs-Marietta, GA Metro Area",554820
12260,Bus,2006,"Augusta-Richmond County, GA-SC Metro Area",8583
12260,Bus,2007,"Augusta-Richmond County, GA-SC Metro Area",8716
12260,Bus,2008,"Augusta-Richmond County, GA-SC Metro Area",8849
12260,Bus,2009,"Augusta-Richmond County, GA-SC Metro Area",8982
12260,Bus,2010,"Augusta-Richmond County, GA-SC Metro Area",9115
12260,Bus,2011,"Augusta-Richmond County, GA-SC Metro Area",9248
12260,Bus,2012,"Augusta-Richmond County, GA-SC Metro Area",9425
12260,Bus,2013,"Augusta-Richmond County, GA-SC Metro Area",8907
12260,Bus,2014,"Augusta-Richmond County, GA-SC Metro Area",8845
12260,Bus,2015,"Augusta-Richmond County, GA-SC Metro Area",8607
12260,Bus,2016,"Augusta-Richmond County, GA-SC Metro Area",8952
12260,Bus,2017,"Augusta-Richmond County, GA-SC Metro Area",9207
12260,Bus,2018,"Augusta-Richmond County, GA-SC Metro Area",9484.5
12420,Bus,2002,"Austin-Round Rock-San Marcos, TX Metro Area",404798
12420,Bus,2003,"Austin-Round Rock-San Marcos, TX Metro Area",403531
12420,Bus,2004,"Austin-Round Rock-San Marcos, TX Metro Area",402264
12420,Bus,2005,"Austin-Round Rock-San Marcos, TX Metro Area",400997
12420,Bus,2006,"Austin-Round Rock-San Marcos, TX Metro Area",399730
12420,Bus,2007,"Austin-Round Rock-San Marcos, TX Metro Area",398463
12420,Bus,2008,"Austin-Round Rock-San Marcos, TX Metro Area",397196
12420,Bus,2009,"Austin-Round Rock-San Marcos, TX Metro Area",395929
12420,Bus,2010,"Austin-Round Rock-San Marcos, TX Metro Area",394662
12420,Bus,2011,"Austin-Round Rock-San Marcos, TX Metro Area",393395
12420,Bus,2012,"Austin-Round Rock-San Marcos, TX Metro Area",404087
12420,Bus,2013,"Austin-Round Rock-San Marcos, TX Metro Area",408119
12420,Bus,2014,"Austin-Round Rock-San Marcos, TX Metro Area",418023
12420,Bus,2015,"Austin-Round Rock-San Marcos, TX Metro Area",429200
12420,Bus,2016,"Austin-Round Rock-San Marcos, TX Metro Area",433514
12420,Bus,2017,"Austin-Round Rock-San Marcos, TX Metro Area",436722
12420,Bus,2018,"Austin-Round Rock-San Marcos, TX Metro Area",440206.5
12540,Bus,2004,"Bakersfield-Delano, CA Metro Area",249566
12540,Bus,2005,"Bakersfield-Delano, CA Metro Area",249609
12540,Bus,2006,"Bakersfield-Delano, CA Metro Area",249652
12540,Bus,2007,"Bakersfield-Delano, CA Metro Area",249695
12540,Bus,2008,"Bakersfield-Delano, CA Metro Area",249738
12540,Bus,2009,"Bakersfield-Delano, CA Metro Area",249781
12540,Bus,2010,"Bakersfield-Delano, CA Metro Area",249824
12540,Bus,2011,"Bakersfield-Delano, CA Metro Area",249867
12540,Bus,2012,"Bakersfield-Delano, CA Metro Area",251713
12540,Bus,2013,"Bakersfield-Delano, CA Metro Area",251301
12540,Bus,2014,"Bakersfield-Delano, CA Metro Area",254451
12540,Bus,2015,"Bakersfield-Delano, CA Metro Area",254882
12540,Bus,2016,"Bakersfield-Delano, CA Metro Area",254644
12540,Bus,2017,"Bakersfield-Delano, CA Metro Area",255560
12540,Bus,2018,"Bakersfield-Delano, CA Metro Area",256187.5
12580,Bus,2002,"Baltimore-Towson, MD Metro Area",1033685
12580,Bus,2003,"Baltimore-Towson, MD Metro Area",1030156
12580,Bus,2004,"Baltimore-Towson, MD Metro Area",1026627
12580,Bus,2005,"Baltimore-Towson, MD Metro Area",1023098
12580,Bus,2006,"Baltimore-Towson, MD Metro Area",1019569
12580,Bus,2007,"Baltimore-Towson, MD Metro Area",1016040
12580,Bus,2008,"Baltimore-Towson, MD Metro Area",1012511
12580,Bus,2009,"Baltimore-Towson, MD Metro Area",1008982
12580,Bus,2010,"Baltimore-Towson, MD Metro Area",1005453
12580,Bus,2011,"Baltimore-Towson, MD Metro Area",1001924
12580,Bus,2012,"Baltimore-Towson, MD Metro Area",1008750
12580,Bus,2013,"Baltimore-Towson, MD Metro Area",1013371
12580,Bus,2014,"Baltimore-Towson, MD Metro Area",1017774
12580,Bus,2015,"Baltimore-Towson, MD Metro Area",1023081
12580,Bus,2016,"Baltimore-Towson, MD Metro Area",1025569
12580,Bus,2017,"Baltimore-Towson, MD Metro Area",1024065
12580,Bus,2018,"Baltimore-Towson, MD Metro Area",1023559
12580,Rail,2002,"Baltimore-Towson, MD Metro Area",1033685
12580,Rail,2003,"Baltimore-Towson, MD Metro Area",1030156
12580,Rail,2004,"Baltimore-Towson, MD Metro Area",1026627
12580,Rail,2005,"Baltimore-Towson, MD Metro Area",1023098
12580,Rail,2006,"Baltimore-Towson, MD Metro Area",1019569
12580,Rail,2007,"Baltimore-Towson, MD Metro Area",1016040
12580,Rail,2008,"Baltimore-Towson, MD Metro Area",1012511
12580,Rail,2009,"Baltimore-Towson, MD Metro Area",1008982
12580,Rail,2010,"Baltimore-Towson, MD Metro Area",1005453
12580,Rail,2011,"Baltimore-Towson, MD Metro Area",1001924
12580,Rail,2012,"Baltimore-Towson, MD Metro Area",1008750
12580,Rail,2013,"Baltimore-Towson, MD Metro Area",1013371
12580,Rail,2014,"Baltimore-Towson, MD Metro Area",1017774
12580,Rail,2015,"Baltimore-Towson, MD Metro Area",1023081
12580,Rail,2016,"Baltimore-Towson, MD Metro Area",1025569
12580,Rail,2017,"Baltimore-Towson, MD Metro Area",1024065
12580,Rail,2018,"Baltimore-Towson, MD Metro Area",1023559
12700,Bus,2006,"Barnstable Town, MA Metro Area",
12700,Bus,2007,"Barnstable Town, MA Metro Area",
12700,Bus,2008,"Barnstable Town, MA Metro Area",
12700,Bus,2009,"Barnstable Town, MA Metro Area",
12700,Bus,2010,"Barnstable Town, MA Metro Area",
12700,Bus,2011,"Barnstable Town, MA Metro Area",
12700,Bus,2012,"Barnstable Town, MA Metro Area",
12700,Bus,2013,"Barnstable Town, MA Metro Area",
12700,Bus,2014,"Barnstable Town, MA Metro Area",
12700,Bus,2015,"Barnstable Town, MA Metro Area",
12700,Bus,2016,"Barnstable Town, MA Metro Area",
12700,Bus,2017,"Barnstable Town, MA Metro Area",
12700,Bus,2018,"Barnstable Town, MA Metro Area",
12940,Bus,2004,"Baton Rouge, LA Metro Area",87406
12940,Bus,2005,"Baton Rouge, LA Metro Area",85733
12940,Bus,2006,"Baton Rouge, LA Metro Area",84060
12940,Bus,2007,"Baton Rouge, LA Metro Area",82387
12940,Bus,2008,"Baton Rouge, LA Metro Area",80714
12940,Bus,2009,"Baton Rouge, LA Metro Area",79041
12940,Bus,2010,"Baton Rouge, LA Metro Area",77368
12940,Bus,2011,"Baton Rouge, LA Metro Area",75695
12940,Bus,2012,"Baton Rouge, LA Metro Area",75885
12940,Bus,2013,"Baton Rouge, LA Metro Area",75308
12940,Bus,2014,"Baton Rouge, LA Metro Area",77232
12940,Bus,2015,"Baton Rouge, LA Metro Area",76070
12940,Bus,2016,"Baton Rouge, LA Metro Area",75688
12940,Bus,2017,"Baton Rouge, LA Metro Area",75517
12940,Bus,2018,"Baton Rouge, LA Metro Area",75293.25
13020,Bus,2006,"Bay City, MI Metro Area",7266
13020,Bus,2007,"Bay City, MI Metro Area",7222
13020,Bus,2008,"Bay City, MI Metro Area",7178
13020,Bus,2009,"Bay City, MI Metro Area",7134
13020,Bus,2010,"Bay City, MI Metro Area",7090
13020,Bus,2011,"Bay City, MI Metro Area",7046
13020,Bus,2012,"Bay City, MI Metro Area",7167
13020,Bus,2013,"Bay City, MI Metro Area",6926
13020,Bus,2014,"Bay City, MI Metro Area",7006
13020,Bus,2015,"Bay City, MI Metro Area",6988
13020,Bus,2016,"Bay City, MI Metro Area",7136
13020,Bus,2017,"Bay City, MI Metro Area",6840
13020,Bus,2018,"Bay City, MI Metro Area",6655
13140,Bus,2005,"Beaumont-Port Arthur, TX Metro Area",8294
13140,Bus,2006,"Beaumont-Port Arthur, TX Metro Area",7992
13140,Bus,2007,"Beaumont-Port Arthur, TX Metro Area",7690
13140,Bus,2008,"Beaumont-Port Arthur, TX Metro Area",7388
13140,Bus,2009,"Beaumont-Port Arthur, TX Metro Area",7086
13140,Bus,2010,"Beaumont-Port Arthur, TX Metro Area",6784
13140,Bus,2011,"Beaumont-Port Arthur, TX Metro Area",6482
13140,Bus,2012,"Beaumont-Port Arthur, TX Metro Area",6825
13140,Bus,2013,"Beaumont-Port Arthur, TX Metro Area",6329
13140,Bus,2014,"Beaumont-Port Arthur, TX Metro Area",6577
13140,Bus,2015,"Beaumont-Port Arthur, TX Metro Area",6294
13140,Bus,2016,"Beaumont-Port Arthur, TX Metro Area",6365
13140,Bus,2017,"Beaumont-Port Arthur, TX Metro Area",6387
13140,Bus,2018,"Beaumont-Port Arthur, TX Metro Area",6421.25
13380,Bus,2002,"Bellingham, WA Metro Area",36488
13380,Bus,2003,"Bellingham, WA Metro Area",36422
13380,Bus,2004,"Bellingham, WA Metro Area",36356
13380,Bus,2005,"Bellingham, WA Metro Area",36290
13380,Bus,2006,"Bellingham, WA Metro Area",36224
13380,Bus,2007,"Bellingham, WA Metro Area",36158
13380,Bus,2008,"Bellingham, WA Metro Area",36092
13380,Bus,2009,"Bellingham, WA Metro Area",36026
13380,Bus,2010,"Bellingham, WA Metro Area",35960
13380,Bus,2011,"Bellingham, WA Metro Area",35894
13380,Bus,2012,"Bellingham, WA Metro Area",35588
13380,Bus,2013,"Bellingham, WA Metro Area",35608
13380,Bus,2014,"Bellingham, WA Metro Area",35819
13380,Bus,2015,"Bellingham, WA Metro Area",36140
13380,Bus,2016,"Bellingham, WA Metro Area",36375
13380,Bus,2017,"Bellingham, WA Metro Area",37268
13380,Bus,2018,"Bellingham, WA Metro Area",37996.5
13460,Bus,2006,"Bend, OR Metro Area",11184
13460,Bus,2007,"Bend, OR Metro Area",11069
13460,Bus,2008,"Bend, OR Metro Area",10954
13460,Bus,2009,"Bend, OR Metro Area",10839
13460,Bus,2010,"Bend, OR Metro Area",10724
13460,Bus,2011,"Bend, OR Metro Area",10609
13460,Bus,2012,"Bend, OR Metro Area",10311
13460,Bus,2013,"Bend, OR Metro Area",10674
13460,Bus,2014,"Bend, OR Metro Area",11284
13460,Bus,2015,"Bend, OR Metro Area",11134
13460,Bus,2016,"Bend, OR Metro Area",12168
13460,Bus,2017,"Bend, OR Metro Area",12342
13460,Bus,2018,"Bend, OR Metro Area",12731
13740,Bus,2002,"Billings, MT Metro Area",12815
13740,Bus,2003,"Billings, MT Metro Area",13264
13740,Bus,2004,"Billings, MT Metro Area",13713
13740,Bus,2005,"Billings, MT Metro Area",14162
13740,Bus,2006,"Billings, MT Metro Area",14611
13740,Bus,2007,"Billings, MT Metro Area",15060
13740,Bus,2008,"Billings, MT Metro Area",15509
13740,Bus,2009,"Billings, MT Metro Area",15958
13740,Bus,2010,"Billings, MT Metro Area",16407
13740,Bus,2011,"Billings, MT Metro Area",16856
13740,Bus,2012,"Billings, MT Metro Area",17124
13740,Bus,2013,"Billings, MT Metro Area",16687
13740,Bus,2014,"Billings, MT Metro Area",17069
13740,Bus,2015,"Billings, MT Metro Area",16748
13740,Bus,2016,"Billings, MT Metro Area",17143
13740,Bus,2017,"Billings, MT Metro Area",16262
13740,Bus,2018,"Billings, MT Metro Area",15700
13780,Bus,2002,"Binghamton, NY Metro Area",46541
13780,Bus,2003,"Binghamton, NY Metro Area",45095
13780,Bus,2004,"Binghamton, NY Metro Area",43649
13780,Bus,2005,"Binghamton, NY Metro Area",42203
13780,Bus,2006,"Binghamton, NY Metro Area",40757
13780,Bus,2007,"Binghamton, NY Metro Area",39311
13780,Bus,2008,"Binghamton, NY Metro Area",37865
13780,Bus,2009,"Binghamton, NY Metro Area",36419
13780,Bus,2010,"Binghamton, NY Metro Area",34973
13780,Bus,2011,"Binghamton, NY Metro Area",33527
13780,Bus,2012,"Binghamton, NY Metro Area",34563
13780,Bus,2013,"Binghamton, NY Metro Area",35047
13780,Bus,2014,"Binghamton, NY Metro Area",34840
13780,Bus,2015,"Binghamton, NY Metro Area",35108
13780,Bus,2016,"Binghamton, NY Metro Area",35506
13780,Bus,2017,"Binghamton, NY Metro Area",34234
13780,Bus,2018,"Binghamton, NY Metro Area",33379.5
13820,Bus,2002,"Birmingham-Hoover, AL Metro Area",104516
13820,Bus,2003,"Birmingham-Hoover, AL Metro Area",100201
13820,Bus,2004,"Birmingham-Hoover, AL Metro Area",95886
13820,Bus,2005,"Birmingham-Hoover, AL Metro Area",91571
13820,Bus,2006,"Birmingham-Hoover, AL Metro Area",87256
13820,Bus,2007,"Birmingham-Hoover, AL Metro Area",82941
