,Abbreviation,State,Cluster,MSA_Name,MNAME
98,OXN ,CA,2,Oxnard-Thousand Oaks-Ventura ,"Oxnard-Thousand Oaks-Ventura, CA Metro Area"
99,RAL ,NC,2,Raleigh ,"Raleigh, NC Metro Area"
100,SLE ,OR,2,Salem ,"Salem, OR Metro Area"
101,STL ,MO-IL,2,St. Louis ,"St. Louis, MO-IL Metro Area"
102,SAL ,CA,2,Salinas ,"Salinas, CA Metro Area"
103,SLC ,UT,2,Salt Lake City ,"Salt Lake City, UT Metro Area"
104,SAT ,TX,2,San Antonio-New Braunfels ,"San Antonio-New Braunfels, TX Metro Area"
105,SLO ,CA,2,San Luis Obispo-Paso Robles-Arroyo Grande ,"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area"
106,SCZ ,CA,2,Santa Cruz-Watsonville ,"Santa Cruz-Watsonville, CA Metro Area"
107,SFE ,NM,2,Santa Fe ,"Santa Fe, NM Metro Area"
108,SBB ,CA,2,Santa Maria-Santa Barbara ,"Santa Maria-Santa Barbara, CA Metro Area"
109,SRO ,CA,2,Santa Rosa ,"Santa Rosa, CA Metro Area"
110,SIC ,SD,2,Sioux City ,"Sioux City, SD Metro Area"
111,SIF ,SD,2,Sioux Falls ,"Sioux Falls, SD Metro Area"
112,SPO ,WA,2,Spokane-Spokane Valley ,"Spokane-Spokane Valley, WA Metro Area"
113,SPR ,MO,2,Springfield ,"Springfield, MO Metro Area"
114,STO ,CA,2,Stockton-Lodi ,"Stockton-Lodi, CA Metro Area"
115,TPA ,FL,2,Tampa-St. Petersburg-Clearwater ,"Tampa-St. Petersburg-Clearwater, FL Metro Area"
116,TUL ,OK,2,Tulsa ,"Tulsa, OK Metro Area"
117,VAL ,CA,2,Vallejo-Fairfield ,"Vallejo-Fairfield, CA Metro Area"
118,VIR ,NC,2,Virginia Beach-Norfolk-Newport News ,"Virginia Beach-Norfolk-Newport News, NC Metro Area"
119,WIC ,KS,2,Wichita ,"Wichita, KS Metro Area"
120,YAK ,WA,2,Yakima ,"Yakima, WA Metro Area"
121,YORK ,PA,2,York-Hanover ,"York-Hanover, PA Metro Area"
122,ATH ,GA,3,Athens-Clarke County ,"Athens-Clarke County, GA Metro Area"
123,AUG ,GA-SC,3,Augusta-Richmond County ,"Augusta-Richmond County, GA-SC Metro Area"
124,BTR ,LA,3,Baton Rouge ,"Baton Rouge, LA Metro Area"
125,BAY ,MI,3,Bay City ,"Bay City, MI Metro Area"
126,BEA ,TX,3,Beaumont-Port Arthur ,"Beaumont-Port Arthur, TX Metro Area"
127,BEL ,WA,3,Bellingham ,"Bellingham, WA Metro Area"
128,BIR ,AL,3,Birmingham-Hoover ,"Birmingham-Hoover, AL Metro Area"
129,BLA ,VA,3,Blacksburg-Christiansburg-Radford ,"Blacksburg-Christiansburg-Radford, VA Metro Area"
130,BLO ,IN,3,Bloomington ,"Bloomington, IN Metro Area"
131,BRM ,WA,3,Bremerton-Silverdale ,"Bremerton-Silverdale, WA Metro Area"
132,BRO ,TX,3,Brownsville-Harlingen ,"Brownsville-Harlingen, TX Metro Area"
133,BUR ,VT,3,Burlington-South Burlington ,"Burlington-South Burlington, VT Metro Area"
134,CAN ,OH,3,Canton-Massillon ,"Canton-Massillon, OH Metro Area"
135,FTM ,FL,3,Cape Coral-Fort Myers ,"Cape Coral-Fort Myers, FL Metro Area"
136,CHS ,SC,3,Charleston-North Charleston ,"Charleston-North Charleston, SC Metro Area"
137,CHA ,GA,3,Chattanooga ,"Chattanooga, GA Metro Area"
138,CHICO ,CA,3,Chico ,"Chico, CA Metro Area"
139,COL ,MO,3,Columbia ,"Columbia, MO Metro Area"
140,CAE ,SC,3,Columbia ,"Columbia, SC Metro Area"
141,DES ,FL,3,Crestview-Fort Walton Beach-Destin ,"Crestview-Fort Walton Beach-Destin, FL Metro Area"
142,DAY ,FL,3,Deltona-Daytona Beach-Ormond Beach ,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area"
143,DUL ,MN-WI,3,Duluth ,"Duluth, MN-WI Metro Area"
144,DUR ,NC,3,Durham-Chapel Hill ,"Durham-Chapel Hill, NC Metro Area"
145,EC ,WI,3,Eau Claire ,"Eau Claire, WI Metro Area"
146,ELP ,TX,3,El Paso ,"El Paso, TX Metro Area"
147,FTK ,KY,3,Elizabethtown-Fort Knox ,"Elizabethtown-Fort Knox, KY Metro Area"
148,EVA ,IN-KY,3,Evansville ,"Evansville, IN-KY Metro Area"
149,FAY ,NC,3,Fayetteville ,"Fayetteville, NC Metro Area"
150,FYV ,MO,3,Fayetteville-Springdale-Rogers ,"Fayetteville-Springdale-Rogers, MO Metro Area"
151,FLG ,AZ,3,Flagstaff ,"Flagstaff, AZ Metro Area"
152,FWA ,IN,3,Fort Wayne ,"Fort Wayne, IN Metro Area"
153,GAI ,FL,3,Gainesville ,"Gainesville, FL Metro Area"
154,GFL ,MT,3,Great Falls ,"Great Falls, MT Metro Area"
155,GSO ,NC,3,Greensboro-High Point ,"Greensboro-High Point, NC Metro Area"
156,GSP ,MS-SC,3,Greenville-Anderson-Mauldin ,"Greenville-Anderson-Mauldin, MS-SC Metro Area"
