MSA_NAME_CLUSTERS,CBSA_NAME,CBSA_ID,cbsa_name,State,Month,Year,Link
Corpus Christi,"Corpus Christi, TX",18580,"Corpus Christi, TX",TX,May,2014,https://newsroom.uber.com/us-texas/cheers-corpus-christi-your-uberx-has-arrived/
Corvallis,"Corvallis, OR",18700,"Corvallis, OR",OR,Sep,2017,http://kval.com/news/local/uber-launches-corvallis-service-wednesday-sept-20
Crestview-Fort Walton Beach-Destin,"Crestview-Fort Walton Beach-Destin, FL",18880,"Crestview-Fort Walton Beach-Destin, FL",FL,Sep,2016,https://www.wjhg.com/content/news/Uber-starting-service-at-VPS-394177191.html
Dallas-Fort Worth-Arlington,"Dallas-Fort Worth-Arlington, TX",19100,"Dallas-Fort Worth-Arlington, TX",TX,,2012,https://www.dmagazine.com/publications/d-magazine/2016/october/which-ride-sharing-app-works-best-in-dallas/
Davenport-Moline-Rock Island,"Davenport-Moline-Rock Island, IA-IL",19340,"Davenport-Moline-Rock Island, IA-IL",IA-IL,Jul,2015,https://wqad.com/2015/07/21/uber-launches-ride-sharing-app-in-the-quad-cities/
Dayton,"Dayton, OH",19380,"Dayton, OH",OH,Aug,2014,http://www.daytondailynews.com/news/business/uber-to-offer-vehicle-for-hire-service-in-dayton/nhBJZ/
Decatur,"Decatur, IL",19500,"Decatur, IL",IL,Feb,2017,https://herald-review.com/news/local/decatur-welcomes-arrival-of-ride-sharing-service-uber/article_98c2a173-c25c-5f6c-b681-bd74c904038b.html
Deltona-Daytona Beach-Ormond Beach,"Deltona-Daytona Beach-Ormond Beach, FL",19660,"Deltona-Daytona Beach-Ormond Beach, FL",FL,Dec,2014,https://www.theledger.com/news/20141204/smartphone-app-uber-car-service-launches-in-the-lakeland-area/1
Denver-Aurora-Lakewood,"Denver-Aurora-Lakewood, CO",19740,"Denver-Aurora-Broomfield, CO",CO,Sep,2012,https://newsroom.uber.com/denver/denver-launch-sky-high-in-the-mile-high-city/
Des Moines-West Des Moines,"Des Moines-West Des Moines, IA",19780,"Des Moines-West Des Moines, IA",IA,Sep,2014,https://newsroom.uber.com/uber-launching-des-moines-with-free-rides-for-a-week/
Detroit-Warren-Dearborn,"Detroit-Warren-Dearborn, MI",19820,"Detroit-Warren-Livonia, MI",MI,Oct,2013,https://newsroom.uber.com/detroit/partner_earnings/
Duluth,"Duluth, MN-WI",20260,"Duluth, MN-WI",MN-WI,May,2017,https://www.duluthnewstribune.com/business/4259489-uber-launches-duluth
Durham-Chapel Hill,"Durham-Chapel Hill, NC",20500,"Durham-Chapel Hill, NC",NC,Jun,2014,https://www.charlotteobserver.com/news/business/article9135194.html
Eau Claire,"Eau Claire, WI",20740,"Eau Claire, WI",WI,May,2017,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=2ahUKEwjo27_H28zkAhUFDKwKHY81BxcQFjAAegQIARAB&url=https%3A%2F%2Fchippewa.com%2Fuber-riding-into-area%2Farticle_4341cd9f-42ef-5590-b5c2-3bdb7f5062e5.html&usg=AOvVaw1OHUiu051TTGUhn2T2Dswa
El Centro,"El Centro, CA",20940,"El Centro, CA",CA,January,2015,https://www.uber.com/blog/san-diego/imperial-county-your-uber-has-arrived/
El Paso,"El Paso, TX",21340,"El Paso, TX",TX,Jun,2014,http://elpaso411.com/2014/06/uber-launches-in-el-paso/
Elizabethtown-Fort Knox,"Elizabethtown-Fort Knox, KY",21060,"Elizabethtown, KY",KY,,,
Elkhart-Goshen,"Elkhart-Goshen, IN",21140,"Elkhart-Goshen, IN",IN,,,
Erie,"Erie, PA",21500,"Erie, PA",PA,Apr,2015,http://www.erienewsnow.com/story/28767725/uber-ride-share-app-launching-in-erie
Eugene,"Eugene, OR",21660,"Eugene-Springfield, OR",OR,Sep,2018,https://www.registerguard.com/news/20180830/uber-set-to-launch-in-eugene-next-thursday
Evansville,"Evansville, IN-KY",21780,"Evansville, IN-KY",IN-KY,Jan,2017,https://www.courierpress.com/story/news/local/2017/01/25/uber-kicks-off-evansville/97009642/
Fargo,"Fargo, ND-MN",22020,"Fargo, ND-MN",ND-MN,May,2015,http://hpr1.com/index.php/feature/news/uber-launches-in-fargo/
Fayetteville,"Fayetteville, NC",22180,"Fayetteville, NC",NC,Jun,2014,https://newsroom.uber.com/us-north-carolina/uber-rolls-into-six-more-north-carolina-cities/
Fayetteville-Springdale-Rogers,"Fayetteville-Springdale-Rogers, MO",22220,"Fayetteville-Springdale-Rogers, AR-MO",MO,Sep,2014,http://www.uatrav.com/news/article_1dc69eea-3874-11e4-a7ce-0017a43b2370.html
Flagstaff,"Flagstaff, AZ",22380,"Flagstaff, AZ",AZ,Sep,2014,https://newsroom.uber.com/flagstaff/uber-launches-flagstaff-with-free-rides/
Flint,"Flint, MI",22420,"Flint, MI",MI,Jul,2014,http://nbc25news.com/news/local/ride-sharing-service-uber-launches-in-flint?id=1074670
