NTD_ID,MODE,SERVICE_ID,2002
2072,MB,PT,"6,539,157.00"
2075,HR,DO,"19,250,866.00"
2076,DR,PT,"529,334.00"
2076,MB,PT,"35,246,626.00"
2078,CR,DO,"339,127,850.00"
2078,FB,PT,"95,318.00"
2078,MB,PT,"223,017.00"
2079,MB,DO,0
2079,MB,PT,"34,867,064.00"
2080,CR,DO,"266,529,603.00"
2080,CR,PT,0
2080,DR,PT,"876,779.00"
2080,LR,DO,"4,465,592.00"
2080,LR,PT,"5,179,254.00"
2080,MB,DO,"216,255,079.00"
2080,MB,PT,"8,276,636.00"
2080,VP,PT,"1,148,063.00"
2082,FB,DO,0
2082,MB,PT,"125,268,793.00"
2084,MB,PT,"1,607,505.00"
2085,MB,DO,"64,653.00"
2086,DR,DO,"57,803.00"
2089,MB,DO,"22,599.00"
2096,DR,PT,"15,236.00"
2096,MB,PT,"131,119.00"
2098,FB,PT,"15,720,006.00"
2098,HR,DO,"69,979,000.00"
2099,HR,DO,"3,869,004.00"
2100,CR,DO,"351,620,368.00"
2113,DR,DO,"512,965.00"
2113,MB,DO,"13,101,997.00"
2116,MB,DO,"329,329.00"
2117,MB,DO,0
2117,MB,PT,"7,667,687.00"
2120,DR,DO,"3,539.00"
2120,MB,DO,"131,577.00"
2122,MB,DO,"25,310,324.00"
2126,MB,DO,"23,156,380.00"
2128,MB,DO,"19,536,292.00"
2132,MB,DO,"8,682,791.00"
2135,MB,DO,"1,611,986.00"
2136,MB,DO,"24,492,942.00"
2145,DR,PT,"24,498.00"
2145,MB,DO,"2,242,309.00"
2145,MB,PT,"8,510.00"
2147,MB,DO,"57,274,842.00"
2148,DR,DO,"3,453.00"
2148,MB,DO,"138,837.00"
2149,MB,DO,"14,267,042.00"
2155,DR,DO,"19,103.00"
2158,DR,DO,"199,680.00"
2158,MB,DO,"172,408.00"
2159,DR,DO,"1,007,327.00"
2160,MB,DO,"3,516,736.00"
2161,MB,DO,"14,480,310.00"
2162,MB,DO,"3,482,376.00"
2163,MB,DO,"9,099,965.00"
2164,MB,DO,"1,746,908.00"
2165,MB,DO,"10,865,685.00"
2166,MB,DO,"5,384,667.00"
2167,MB,DO,"3,345,277.00"
2168,MB,DO,"12,800,003.00"
2169,MB,DO,"8,183,768.00"
2171,MB,PT,"10,528,566.00"
2172,MB,DO,"363,612.00"
2173,DR,DO,"750,495.00"
2175,MB,DO,"535,182.00"
2177,MB,DO,"25,397,198.00"
2178,MB,DO,"194,291.00"
2178,MB,PT,"43,259.00"
2179,MB,DO,"186,629.00"
2179,MB,PT,
3001,DR,DO,"65,645.00"
3001,MB,DO,"1,251,746.00"
3002,DR,DO,"35,895.00"
3002,MB,DO,"342,421.00"
3003,DR,DO,"5,497.00"
3003,MB,DO,"131,921.00"
3006,DR,PT,"500,800.00"
3006,MB,DO,"7,849,630.00"
3006,VP,PT,"221,770.00"
3007,DR,PT,"75,718.00"
3007,MB,DO,"1,198,745.00"
3008,DR,DO,"700,642.00"
3008,MB,DO,"21,732.00"
3009,DR,PT,"7,041.00"
3009,MB,DO,"349,017.00"
3010,DR,PT,"508,825.00"
3010,MB,DO,"2,469,329.00"
3011,DR,DO,"2,608.00"
3011,DR,PT,"18,512.00"
3011,MB,DO,"516,107.00"
3012,DR,DO,"10,398.00"
3012,IP,DO,"93,358.00"
3012,MB,DO,"587,453.00"
3013,DR,DO,"1,706,965.00"
3013,MB,DO,"1,989,510.00"
3014,DR,DO,"920,694.00"
3014,DR,PT,"45,565.00"
3014,MB,DO,"2,460,022.00"
3014,MB,PT,942
3015,DR,PT,"18,217.00"
3015,MB,DO,"644,427.00"
3018,DR,PT,"195,510.00"
3018,MB,DO,"1,688,563.00"
3019,CR,DO,"87,825,260.00"
3019,DR,PT,"4,455,477.00"
3019,HR,DO,"69,567,024.00"
3019,LR,DO,"14,331,467.00"
3019,MB,DO,"137,174,952.00"
3019,MB,PT,"34,210.00"
3019,TB,DO,"7,711,829.00"
3022,DR,PT,"6,397,331.00"
3022,IP,DO,"700,557.00"
3022,IP,PT,"452,682.00"
3022,LR,DO,"5,849,260.00"
3022,MB,DO,"50,852,815.00"
3023,DR,PT,
3023,MB,PT,
3024,DR,DO,"343,892.00"
3024,DR,PT,"301,219.00"
3024,MB,DO,"1,911,829.00"
3025,DR,PT,"10,896.00"
3025,MB,DO,"657,265.00"
3025,MB,PT,"70,366.00"
3026,DR,PT,"7,200.00"
3026,MB,DO,"497,971.00"
3027,DR,DO,"666,804.00"
3027,DR,PT,"18,990.00"
3027,MB,DO,"1,308,816.00"
3030,DR,PT,"1,550,263.00"
3030,HR,DO,"284,054,189.00"
3030,MB,DO,"89,707,652.00"
3034,CR,PT,"19,921,792.00"
3034,DR,DO,"85,772.00"
3034,DR,PT,"589,725.00"
3034,HR,DO,"10,353,377.00"
3034,LR,DO,"6,204,867.00"
3034,MB,DO,"50,986,133.00"
3034,MB,PT,"5,803,374.00"
3035,DR,DO,"7,446.00"
3035,MB,DO,"290,504.00"
3036,DR,PT,"92,427.00"
3036,MB,DO,"443,363.00"
