5 digit NTD ID,4 digit NTD ID,Agency,HQ City,HQ State,UZA,UZA Name,UZA Area SQ Miles,UZA Population,Service Area SQ Miles,Service Area Population
10089,1089,Transit Express,Springfield,MA,57,"Springfield, MA-CT",302,"532,747",302,"551,543"
10095,1095,"Northeast Transportation Company, Inc.",Waterbury,CT,162,"Waterbury, CT",98,"189,026",58,"189,026"
10096,1096,City of Bangor - BAT Community Connector,Bangor,ME,441,"Bangor, ME",43,"61,210",29,"55,500"
10098,1098,"Western Maine Transportation Services, Inc.",Auburn,ME,446,"Lewiston, ME",35,"59,397","4,247","188,015"
10102,1102,Connecticut Department of Transportation,Newington,CT,47,"Hartford, CT",516,"924,859",171,"448,608"
10105,1105,Cape Cod Regional Transit Authority,Hyannis,MA,152,"Barnstable Town, MA",277,"246,695",394,"221,049"
10107,1107,Milford Transit District,Milford,CT,48,"Bridgeport-Stamford, CT-NY",466,"923,311",24,"52,759"
10108,1108,Greater Hartford Ridesharing Corporation - The Rideshare Company,Bloomfield,CT,47,"Hartford, CT",516,"924,859","4,909","3,708,000"
10110,1110,"2Plus Partners in Transportation, Inc",Rocky Hill,CT,41,"Bridgeport-Stamford, CT-NY",465,"888,890",465,"888,890"
10115,1115,Northern New England Passenger Rail Authority,Portland,ME,177,"Portland, ME",136,"203,914","3,706","1,431,087"
10116,1116,Bonanza,Providence,RI,35,"Providence, RI-MA",504,"1,174,548","2,239","5,207,032"
10117,1117,Plymouth & Brockton Street Railway Company,Plymouth,MA,10,"Boston, MA-NH-RI","1,873","4,181,019","1,057","718,439"
10118,1118,MetroWest Regional Transit Authority,Framingham,MA,10,"Boston, MA-NH-RI","1,873","4,181,019",267,"322,241"
10119,1119,University Of New Hampshire - University Transportation Services,Durham,NH,331,"Dover-Rochester, NH-ME",66,"88,087",68,"111,590"
10122,1122,"Jalbert Leasing, Inc. dba C&J",Portsmouth,NH,329,"Portsmouth, NH-ME",93,"88,200","2,449","536,001"
10126,1126,Worcester Regional Transit Authority COA,Worcester,MA,81,"Worcester, MA-CT",304,"486,514",231,"169,643"
10128,1128,Connecticut Department of Transportation- CTTransit Waterbury- NET,Waterbury,CT,185,"Waterbury, CT",90,"194,535",116,"238,853"
10129,1129,Massachusetts Department of Transportation,Boston,MA,10,"Boston, MA-NH-RI","1,873","4,181,019","7,800","4,181,019"
10130,1130,Connecticut Department of Transportation -CTTRANSIT New Britain,Berlin,CT,47,"Hartford, CT",516,"924,859",81,"203,562"
10183,,"Woods Hole, Martha's Vineyard and Nantucket Steamship Authority",Woods Hole,MA,152,"Barnstable Town, MA",277,"246,695","2,100","242,595"
11147,,Rhode Island Department of Transportation,Providence,RI,39,"Providence, RI-MA",545,"1,190,956",10,"78,813"
11154,1135,"Flight Line, Inc.",Salem,NH,209,"Manchester, NH",86,"158,377",517,"290,127"
20002,2002,Capital District Transportation Authority,Albany,NY,67,"Albany-Schenectady, NY",296,"594,962",207,"511,949"
20003,2003,Broome County Department of Public Transportation,Vestal,NY,210,"Binghamton, NY-PA",74,"158,084",712,"200,600"
20004,2004,Niagara Frontier Transportation Authority,Buffalo,NY,46,"Buffalo, NY",380,"935,906",407,"981,771"
20005,2005,C-TRAN,Elmira,NY,407,"Elmira, NY",38,"67,983",408,"95,195"
20006,2006,City of Long Beach,Long Beach,NY,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",13,"33,275"
20007,2007,"Metropolitan Suburban Bus Authority, dba: MTA Long Island Bus",Garden City,NY,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",285,"1,344,436"
20008,2008,MTA New York City Transit,New York,NY,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",321,"8,550,405"
20009,2009,City of Poughkeepsie,Poughkeepsie,NY,89,"Poughkeepsie-Newburgh, NY-NJ",327,"423,566",5,"28,844"
20010,2010,Dutchess County Division of Mass Transportation,Poughkeepsie,NY,89,"Poughkeepsie-Newburgh, NY-NJ",327,"423,566",175,"351,997"
20018,2018,"CNY Centro, Inc.",Syracuse,NY,90,"Syracuse, NY",195,"412,317",510,"641,357"
20021,2021,Utica Transit Authority,Utica,NY,233,"Utica, NY",55,"113,409",46,"113,409"
20040,2040,"New York Bus Tours, Inc., dba: New York Bus Service",Bronx,NY,1,"New York-Newark, NY-NJ-CT","3,353","17,799,861",322,"8,008,278"
20071,2071,Huntington Area Rapid Transit,Huntington Station,NY,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",93,"204,240"
20072,2072,Suffolk County Department of Public Works - Transportation Division,Yaphank,NY,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",912,"1,501,587"
20075,2075,Port Authority Transit Corporation,Lindenwold,NJ,5,"Philadelphia, PA-NJ-DE-MD","1,981","5,441,567",16,"159,726"
20076,2076,Westchester County Bee-Line System,Mount Vernon,NY,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",450,"949,113"
20078,2078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",527,"6,503,894"
20079,2079,"Liberty Lines Transit, Inc.",Yonkers,NY,1,"New York-Newark, NY-NJ-CT","3,353","17,799,861",434,"940,302"
20080,2080,New Jersey Transit Corporation,Newark,NJ,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295","5,325","10,594,013"
20082,2082,New York City Department of Transportation,New York,NY,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",372,"8,537,673"
20084,2084,Transport of Rockland,Pomona,NY,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",176,"326,780"
20085,2085,Clarkstown Mini-Trans,Nanuet,NY,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",179,"300,173"
20086,2086,Transportation Resources Intra-County for Physically Handicapped and Senior Citizens,New York,CT,1,"New York-Newark, NY-NJ-CT",,,,
20089,2089,Village of Spring Valley Bus,Spring Valley,NY,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",2,"32,603"
