,CLUSTER_APTA4,RAIL_FLAG,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,TSD_POP_PCT,JTW_HOME_PCT,YEARS_SINCE_TNC_BUS2_HINY,YEARS_SINCE_TNC_BUS2_MIDLOW,YEARS_SINCE_TNC_RAIL2_HINY,YEARS_SINCE_TNC_RAIL2_MIDLOW,BIKE_SHARE,scooter_flag,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,TSD_POP_PCT_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS2_HINY_FAC,YEARS_SINCE_TNC_BUS2_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL2_HINY_FAC,YEARS_SINCE_TNC_RAIL2_MIDLOW_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change,VRM_ADJ_log_FAC_cumsum,,FARE_per_UPT_2018_log_FAC_cumsum,,POP_EMP_log_FAC_cumsum,,GAS_PRICE_2018_log_FAC_cumsum,,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,,PCT_HH_NO_VEH_FAC_cumsum,,TSD_POP_PCT_FAC_cumsum,,JTW_HOME_PCT_FAC_cumsum,,YEARS_SINCE_TNC_BUS2_HINY_FAC_cumsum,,YEARS_SINCE_TNC_BUS2_MIDLOW_FAC_cumsum,YEARS_SINCE_TNC_RAIL2_HINY_FAC_cumsum,YEARS_SINCE_TNC_RAIL2_MIDLOW_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,,UPT_ADJ_POP_EMP_log_FAC_cumsum,,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_TSD_POP_PCT_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS2_HINY_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS2_MIDLOW_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL2_HINY_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL2_MIDLOW_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
30,1,1,2015,190,1267139821,1617627298,1604913378,337773556.7,1550494216,-76128660.49,66713506.91,2.15431858,9066661.996,2.705952602,37234.85207,11.0785446,36.68655698,5.147502418,0,0,4.529332197,0,0.953800418,0,29042391.63,-39477233.96,7276429.553,-65915611.18,-12685031.8,134420.9909,637845.0702,-59708.0756,0,0,-4150664.927,0,7591562.873,0,-77605599.83,-77371610.83,64657690.44,0,-12713920.39,114524877.6,114524877.6,-72301771.89,-72301771.89,21571430.24,21571430.24,-86578459.19,-86578459.19,-18971345.11,-18971345.11,726317.0103,-3828021.101,726317.0103,726317.0103,-1304197.745,-1304197.745,0,,0,-11938708.42,0,13552366.16,0,-44547512.4,1490388500,1490388500,1677215150,1677215150,1583341948,1583341948,1691491837,1623884723,1604187061,1604187061,1606217576,1604913378,1604913378,1616852086,1604913378,1591361012,1604913378,44547516.93
31,1,1,2016,190,1267139821,1604913378,1576037838,308898016.6,1531948776,-18545440.31,67150752.05,2.20941166,9138389.859,2.411332484,38056.86672,11.00106902,36.79528568,5.67983376,0,0,5.529332197,0,0.994564233,0,29788864.99,-14407068.32,5575496.865,-23489543.12,-9405028.979,-1029447.708,931578.6578,-2541960.405,0,0,-4118042.318,0,1046737.102,0,-17648413.23,-18299748.85,-10575791.19,0,-28875540.05,144313742.6,144313742.6,-86708840.21,-86708840.21,27146927.1,27146927.1,-110068002.3,-110068002.3,-28376374.09,-28376374.09,1657895.668,-4857468.809,1657895.668,1657895.668,-3846158.15,-3846158.15,0,,0,-16056750.74,0,14599103.26,0,-62195925.63,1431724095,1431724095,1662746678,1662746678,1548890911,1548890911,1686105840,1604414212,1574379942,1574379942,1579883996,1576037838,1576037838,1592094589,1576037838,1561438735,1576037838,62195931.16
32,1,1,2017,190,1267139821,1576037838,1542783629,275643808,1585237690,53288914.35,69027444.31,2.167580826,9231367.009,2.624335645,38871.0411,10.80341142,36.82469118,5.829700832,0,0,6.529332197,0,0.994564233,0,35847017.11,9143291.006,6750659.634,16963228.85,-8659169.559,-1865605.796,294477.6244,-692576.5328,0,0,-4043950.658,0,0,0,53737371.68,54180107.07,-87434315.68,0,-33254208.61,180160759.7,180160759.7,-77565549.2,-77565549.2,33897586.74,33897586.74,-93104773.46,-93104773.46,-37035543.65,-37035543.65,1952373.292,-6723074.605,1952373.293,1952373.293,-4538734.682,-4538734.682,0,,0,-20100701.4,0,14599103.26,0,-8458553.948,1362622869,1362622869,1620349178,1620349178,1508886042,1508886042,1635888402,1579819173,1540831256,1540831256,1547322364,1542783629,1542783629,1562884330,1542783629,1528184526,1542783629,8458560.478
33,1,1,2018,190,1267139821,1542783629,1516828098,249688277,1560586460,-24651230.12,69714209.32,2.153232528,9315861.718,2.889569122,39786.38947,10.64105158,36.87320972,6.07518397,0,0,7.529332197,0,1,0.676488578,11527481.21,2106250.37,6062590.267,19754540.71,-9459923.74,-1576432.583,422996.972,-1122340.598,0,0,-3958623.786,0,127739.4712,-49504144.45,-25619866.16,-26245996.76,290465.7098,0,-25955531.05,191688241,191688241,-75459298.83,-75459298.83,39960177.01,39960177.01,-73350232.75,-73350232.75,-46495467.39,-46495467.39,2375370.264,-8299507.188,2375370.265,2375370.265,-5661075.28,-5661075.28,0,,0,-24059325.18,0,14726842.74,-49504144.45,-34078420.11,1325139857,1325139857,1592287397,1592287397,1476867921,1476867921,1590178331,1563323565,1514452728,1514452728,1522489173,1516828098,1516828098,1540887423,1516828098,1502101255,1566332242,34078427.63
44,2,0,2012,1552,873295592,0,966527544.6,0,941210888.9,0,11464510.17,0.969699691,2558774.885,4.01180821,28863.81641,8.270421643,26.52600271,4.114439837,0,0,0,0,0.083797081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,966527544.6,966527544.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,966527544.6,966527544.6,966527544.6,966527544.6,966527544.6,966527544.6,966527544.6,966527544.6,966527544.6,966527544.6,966527544.6,966527544.6,966527544.6,966527544.6,966527544.6,966527544.6,966527544.6,0
45,2,0,2013,1552,873295592,966527544.6,950051312,76755720.08,933340337.1,-7870551.774,11478189.76,1.007708254,2595456.587,3.854335077,29041.22592,8.130697851,26.35624442,4.211555327,0,0.155593555,0,0,0.141709775,0,6686414.45,-8654156.329,6399645.119,-5393882.91,-1156739.799,-1197281.582,-1005836.978,-201874.0154,0,-3971620.611,0,0,890403.1922,0,-7604929.463,-7691437.902,-8784794.613,0,-16476232.51,6686414.45,6686414.45,-8654156.329,-8654156.329,6399645.119,6399645.119,-5393882.91,-5393882.91,-1156739.799,-1156739.799,-1005836.978,-1197281.582,-1005836.978,-1005836.978,-201874.0154,-201874.0154,0,,-3971620.611,0,0,890403.1922,0,-7604929.463,943364897.6,943364897.6,958705468.3,958705468.3,943651666.9,943651666.9,955445194.9,951208051.8,951057149,951057149,950253186,950051312,954022932.6,950051312,950051312,949160908.8,950051312,7604929.463
46,2,0,2014,1552,873295592,950051312,946875189.9,73579597.91,926719762.7,-6620574.466,11646853.19,0.994649818,2630689.747,3.634191658,29130.76432,8.137437852,26.26352823,4.291314871,0,0.968161072,0,0,0.261142392,0,13307985.87,4136633.573,4747844.743,-7629565.241,-899876.0193,172070.8779,-453657.5974,-246396.1704,0,-20901788.06,0,0,1384021.955,0,-6382726.064,-6672350.836,3496228.671,0,-3176122.165,19994400.32,19994400.32,-4517522.756,-4517522.756,11147489.86,11147489.86,-13023448.15,-13023448.15,-2056615.818,-2056615.818,-1459494.575,-1025210.704,-1459494.575,-1459494.575,-448270.1858,-448270.1858,0,,-24873408.67,0,0,2274425.147,0,-13987655.53,926880789.6,926880789.6,951392712.7,951392712.7,935727700,935727700,959898638.1,948931805.7,948334684.5,948334684.5,947323460.1,946875189.9,971748598.6,946875189.9,946875189.9,944600764.8,946875189.9,13987655.53
47,2,0,2015,1552,873295592,946875189.9,922077657.4,48782065.46,880967045.3,-45752717.32,12047082.23,1.003886375,2666207.811,2.662637659,30348.75181,7.945163753,26.20854906,4.488496846,0,1.912176443,0,0,0.479481012,0,24605116.12,-3775006.748,4659135.091,-38360579.19,-10153053.24,-1323788.66,-358655.7271,-453485.6939,0,-23565087.74,0,0,2829257.929,0,-45896147.85,-46519459,21721926.55,0,-24797532.45,44599516.45,44599516.44,-8292529.504,-8292529.504,15806624.95,15806624.95,-51384027.34,-51384027.34,-12209669.06,-12209669.06,-1818150.303,-2348999.364,-1818150.303,-1818150.303,-901755.8797,-901755.8797,0,,-48438496.41,0,0,5103683.076,0,-59883803.38,877478141,877478141,930370186.9,930370186.9,906271032.5,906271032.5,973461684.7,934287326.5,923895807.7,923895807.7,922979413.3,922077657.4,970516153.8,922077657.4,922077657.4,916973974.3,922077657.4,59883803.38
48,2,0,2016,1552,873295592,922077657.4,882769337,9473745.046,864359618.5,-16607426.81,12489384.74,1.015727732,2699933.512,2.360446915,31136.88109,7.796506404,26.12379072,5.014227229,0,2.862080348,0,0,0.622376618,0,25109375.26,-2946730.947,4364599.419,-13768300.86,-6198052.723,-855916.228,-447044.0708,-1380205.556,0,-23157637.38,0,0,1941711.061,0,-17338202.02,-17640113.53,-21668206.89,0,-39308320.41,69708891.71,69708891.7,-11239260.45,-11239260.45,20171224.37,20171224.37,-65152328.2,-65152328.2,-18407721.78,-18407721.78,-2265194.373,-3204915.592,-2265194.373,-2265194.373,-2281961.436,-2281961.436,0,,-71596133.79,0,0,7045394.137,0,-77222005.4,813060445.3,813060445.3,894008597.5,894008597.5,862598112.6,862598112.6,947921665.2,901177058.8,885034531.4,885034531.4,885051298.4,882769337,954365470.8,882769337,882769337,875723942.9,882769337,77222005.4
49,2,0,2017,1552,873295592,882769337,845676010.4,-27619581.6,860354482.6,-4005135.923,12657468.35,1.023014468,2737260.629,2.57216257,31245.63714,7.508017364,25.99403245,5.228117104,0,3.852501684,0,0,0.754672339,0,8357007.009,505415.1937,4436965.092,9503021.02,-1233128.65,-1695314.979,-618054.8128,-613412.0886,0,-23581333.35,0,0,1433591.779,0,-3505243.79,-4010292.278,-33083034.37,0,-37093326.65,78065898.72,78065898.71,-10733845.26,-10733845.26,24608189.46,24608189.46,-55649307.18,-55649307.18,-19640850.43,-19640850.43,-2883249.186,-4900230.571,-2883249.186,-2883249.186,-2895373.524,-2895373.524,0,,-95177467.14,0,0,8478985.916,0,-80727249.19,767610111.6,767610111.7,856409855.7,856409855.7,821067820.9,821067820.9,901325317.6,865316860.8,848559259.6,848559259.6,848571383.9,845676010.4,940853477.5,845676010.4,845676010.4,837197024.5,845676010.4,80727249.19
50,2,0,2018,1552,873295592,845676010.4,792037958.7,-81257633.31,813647186.9,-46707295.68,11925052.61,1.048591571,2770222.734,2.848365305,31622.90006,7.258458281,25.88016546,5.519967107,0,4.852501684,0,0,0.845569795,0.412400866,-18742992.95,-758439.5368,3865071.342,11044515.56,-2927716.846,-1388158.458,-534629.3963,-750339.5436,0,-22854285.72,0,0,1364423.189,-15561044.55,-47243596.91,-43786572.65,-9851479.051,0,-53638051.7,59322905.77,59322905.76,-11492284.79,-11492284.79,28473260.81,28473260.81,-44604791.62,-44604791.62,-22568567.28,-22568567.28,-3417878.582,-6288389.029,-3417878.582,-3417878.582,-3645713.068,-3645713.068,0,,-118031752.9,0,0,9843409.105,-15561044.55,-127970846.1,732715052.9,732715052.9,803530243.5,803530243.5,763564697.9,763564697.9,836642750.3,814606526,795455837.3,795455837.3,795683671.8,792037958.7,910069711.6,792037958.7,792037958.7,782194549.6,807599003.3,127970846.1
61,2,1,2012,359,54073127.77,0,85426704.23,0,92303087.49,0,4332729.114,1.213384945,2992531.853,4.012176276,28920.40962,8.642627131,30.40745322,4.227537673,0,0,0,0,0.27678492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85426704.23,85426704.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,85426704.23,85426704.23,85426704.23,85426704.23,85426704.23,85426704.23,85426704.23,85426704.23,85426704.23,85426704.23,85426704.23,85426704.23,85426704.23,85426704.23,85426704.23,85426704.23,85426704.23,0
62,2,1,2013,359,54073127.77,85426704.23,89532577.02,35459449.25,99907776.14,7604688.645,5093480.926,1.307377001,2995520.032,3.861480582,29649.63553,8.452708373,30.64914115,4.259967172,0,0,0,0.210186126,0.457882566,0,9446590.145,-1716118.361,426572.1978,-455357.3036,-489764.6087,-98435.85171,111159.6778,-3539.872083,0,0,0,-525663.5055,290250.8777,0,6985693.395,6840095.665,-2734222.876,0,4105872.789,9446590.145,9446590.145,-1716118.361,-1716118.361,426572.1978,426572.1978,-455357.3036,-455357.3036,-489764.6087,-489764.6087,111159.6778,-98435.85171,111159.6778,111159.6778,-3539.872083,-3539.872083,0,,0,0,-525663.5055,290250.8777,0,6985693.395,80085986.88,80085986.88,91248695.38,91248695.38,89106004.82,89106004.82,89987934.32,90022341.63,89421417.34,89421417.34,89536116.89,89532577.02,89532577.02,89532577.02,90058240.53,89242326.14,89532577.02,-6985693.395
63,2,1,2014,406,55267150.45,89532577.02,89518730.76,34251580.31,100770429.7,862653.593,5021191.779,1.290904284,3006277.482,3.652582247,29495.46312,8.453564362,30.31110515,4.331559264,0,0,0,1.189276566,0.449348126,0,2017111.547,96454.03824,355667.132,-678691.1265,-54597.4322,-2093.610078,-34575.74928,-18154.74447,0,0,0,-2062209.733,4378.775321,0,-376710.9026,-423990.0847,-783878.8549,1194022.683,-13846.2565,11463701.69,11463701.69,-1619664.323,-1619664.323,782239.3298,782239.3298,-1134048.43,-1134048.43,-544362.0409,-544362.0409,76583.92853,-100529.4618,76583.92852,76583.92852,-21694.61655,-21694.61655,0,,0,0,-2587873.239,294629.653,0,6608982.493,78055029.07,78055029.07,91138395.08,91138395.08,88736491.43,88736491.43,90652779.19,90063092.8,89442146.83,89442146.83,89540425.38,89518730.76,89518730.76,89518730.76,92106604,89224101.11,89518730.76,-6608982.493
64,2,1,2015,406,55267150.45,89518730.76,89090788.19,33823637.73,93819460.24,-6950969.49,5099319.306,1.33211484,3033871.014,2.689234431,30995.43031,8.238800885,30.20683295,4.469179117,0,0,0,2.189276566,0.62184894,0,1859454.385,-1168510.236,402608.0962,-3646999.027,-1245504.704,-134946.2332,-40270.63276,-45071.09485,0,0,0,-2282361.84,149286.1784,0,-6152315.109,-6298651.065,5870708.488,0,-427942.5773,13323156.08,13323156.08,-2788174.559,-2788174.559,1184847.426,1184847.426,-4781047.457,-4781047.457,-1789866.745,-1789866.745,36313.29577,-235475.695,36313.29576,36313.29576,-66765.7114,-66765.7114,0,,0,0,-4870235.079,443915.8314,0,456667.3838,75767632.11,75767632.11,91878962.75,91878962.75,87905940.76,87905940.76,93871835.65,90880654.94,89054474.89,89054474.89,89157553.9,89090788.19,89090788.19,89090788.19,93961023.27,88646872.36,89090788.19,-456667.3838
