CBSA,Mode,Year,MNAME,PBS_Flag_Update
49660,Bus,2009,"Youngstown-Warren-Boardman, OH-PA Metro Area",0
49660,Bus,2010,"Youngstown-Warren-Boardman, OH-PA Metro Area",0
49660,Bus,2011,"Youngstown-Warren-Boardman, OH-PA Metro Area",0
49660,Bus,2012,"Youngstown-Warren-Boardman, OH-PA Metro Area",0
49660,Bus,2013,"Youngstown-Warren-Boardman, OH-PA Metro Area",0
49660,Bus,2014,"Youngstown-Warren-Boardman, OH-PA Metro Area",0
49660,Bus,2015,"Youngstown-Warren-Boardman, OH-PA Metro Area",0
49660,Bus,2016,"Youngstown-Warren-Boardman, OH-PA Metro Area",0
49660,Bus,2017,"Youngstown-Warren-Boardman, OH-PA Metro Area",0
49660,Bus,2018,"Youngstown-Warren-Boardman, OH-PA Metro Area",0
49740,Bus,2004,"Yuma, AZ Metro Area",0
49740,Bus,2005,"Yuma, AZ Metro Area",0
49740,Bus,2006,"Yuma, AZ Metro Area",0
49740,Bus,2007,"Yuma, AZ Metro Area",0
49740,Bus,2008,"Yuma, AZ Metro Area",0
49740,Bus,2009,"Yuma, AZ Metro Area",0
49740,Bus,2010,"Yuma, AZ Metro Area",0
49740,Bus,2011,"Yuma, AZ Metro Area",0
49740,Bus,2012,"Yuma, AZ Metro Area",0
49740,Bus,2013,"Yuma, AZ Metro Area",0
49740,Bus,2014,"Yuma, AZ Metro Area",0
49740,Bus,2015,"Yuma, AZ Metro Area",0
49740,Bus,2016,"Yuma, AZ Metro Area",0
49740,Bus,2017,"Yuma, AZ Metro Area",0
49740,Bus,2018,"Yuma, AZ Metro Area",0
