,ID,Year,RAIL_FLAG,CLUSTER_APTA,UPT_ADJ_log,VRM_ADJ_log,FARE_per_UPT_2018_log,POP_EMP_log,GAS_PRICE_2018_log,TOTAL_MED_INC_INDIV_2018_log,PCT_HH_NO_VEH,TSD_POP_PCT,JTW_HOME_PCT,YEARS_SINCE_TNC_BUS2_HINY,YEARS_SINCE_TNC_BUS2_MIDLOW,YEARS_SINCE_TNC_RAIL2_HINY,YEARS_SINCE_TNC_RAIL2_MIDLOW,BIKE_SHARE,scooter_flag,effects,residual,fitted,check_fitted,UPT_ADJ,fitted_exp,VRM_ADJ,FARE_per_UPT_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,VRM_ADJ_ratio,FARE_per_UPT_2018_ratio,POP_EMP_ratio,GAS_PRICE_2018_ratio,TOTAL_MED_INC_INDIV_2018_ratio,PCT_HH_NO_VEH_diff,TSD_POP_PCT_diff,JTW_HOME_PCT_diff,YEARS_SINCE_TNC_BUS2_HINY_diff,YEARS_SINCE_TNC_BUS2_MIDLOW_diff,YEARS_SINCE_TNC_RAIL2_HINY_diff,YEARS_SINCE_TNC_RAIL2_MIDLOW_diff,BIKE_SHARE_diff,scooter_flag_diff,VRM_ADJ_log_FAC_ratio,FARE_per_UPT_2018_log_FAC_ratio,POP_EMP_log_FAC_ratio,GAS_PRICE_2018_log_FAC_ratio,TOTAL_MED_INC_INDIV_2018_log_FAC_ratio,PCT_HH_NO_VEH_FAC_ratio,TSD_POP_PCT_FAC_ratio,JTW_HOME_PCT_FAC_ratio,YEARS_SINCE_TNC_BUS2_HINY_FAC_ratio,YEARS_SINCE_TNC_BUS2_MIDLOW_FAC_ratio,YEARS_SINCE_TNC_RAIL2_HINY_FAC_ratio,YEARS_SINCE_TNC_RAIL2_MIDLOW_FAC_ratio,BIKE_SHARE_FAC_ratio,scooter_flag_FAC_ratio,UPT_ADJ_base,UPT_ADJ_ratio,fitted_exp_ratio,UPT_ADJ_diff,fitted_exp_diff,UPT_ADJ_first_year,UPT_ADJ_new_reporter,effects_FAC_ratio,residual_FAC_ratio,FAC_Sum,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,TSD_POP_PCT_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS2_HINY_FAC,YEARS_SINCE_TNC_BUS2_MIDLOW_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL2_HINY_FAC,YEARS_SINCE_TNC_RAIL2_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_FAC,YEARS_SINCE_TNC_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change,CLUSTER_APTA4
10,"Akron, OH Metro Area-Bus",2012,0,24,15.60664074,15.16695208,0.722966294,13.85068326,1.596332409,10.23515397,8.54,16.08915191,3,0,0,0,0,0,0,0.478561533,0.105105006,15.50153574,0,5996224.469,5397980.985,3862989.104,1.06053631,1035797.58,3.9349,27864.76,0.999068338,1.490026339,1.000098114,0.997636309,1.000532849,0.41,-0.234466391,-0.3,0,0,0,0,0,0,0.988289734,0.868917761,1.000511962,0.999333819,0.998500643,1.002824373,0.998720761,1.000900428,1,1,1,1,1,1,5858952.685,1.023429406,0.859417118,137271.784,-882998.1508,5226385.66,0,1,1.190841275,-831974.3253,-68609.89219,-768004.6384,2999.558234,-3903.124536,-8784.662243,16547.86668,-7495.000075,5275.567222,0,0,0,0,0,0,0,0,0,-823668.4559,960940.2399,0,137271.784,2
11,"Akron, OH Metro Area-Bus",2013,0,24,15.60327523,15.24264139,0.738989574,13.85196061,1.568949196,10.23628877,8.07,15.93201509,3.5,0,0,0,0,0,0,0.478561533,0.058418656,15.54485657,1.78E-15,5976078.01,5636965.199,4166725.99,1.093818797,1037121.5,3.8016,27896.4,1.00499041,1.022163247,1.000092223,0.982846171,1.000110873,-0.47,-0.157136823,0.5,0,0,0,0,0,0,1.065066195,0.990575666,1.000481261,0.995186815,0.999687669,0.996772089,0.999142487,0.998501086,1,1,1,1,1,1,5996224.469,0.996640143,1.044272889,-20146.459,238984.2143,5226385.66,0,1,0.954386695,272308.1431,390151.5104,-56510.42499,2885.745992,-28860.9378,-1872.804922,-19355.27942,-5141.840042,-8987.826114,0,0,0,0,0,0,0,0,0,265470.1818,-285616.6408,0,-20146.459,2
12,"Akron, OH Metro Area-Bus",2014,0,24,15.60406869,15.2811413,0.74341849,13.85629791,1.517673439,10.22891473,8.14,15.96391148,3.2,0,1,0,0,0,0,0.478561533,0.060977225,15.54309147,1.78E-15,5980821.699,5627024.144,4330272.662,1.10311271,1041629.58,3.5616,27691.44,1.002525803,1.005993205,1.000313118,0.967318409,0.999279618,0.07,0.031896395,-0.3,0,1,0,0,0,0,1.03258379,0.997386136,1.001635087,0.991006119,1.002031935,1.000481646,1.000174152,1.000900428,1,0.972975128,1,1,1,1,5976078.01,1.00079378,0.998236453,4743.689,-9941.055813,5226385.66,0,1,1.002561845,-4933.715503,194723.2736,-15620.6561,9771.408325,-53748.13445,12143.00338,2878.3556,1040.74577,5381.030187,0,-161502.7418,-161502.7418,0,0,0,-161502.7418,0,0,-10539.09736,15282.78636,0,4743.689,2
13,"Akron, OH Metro Area-Bus",2015,0,24,15.58268287,15.33320389,0.706330634,13.85957497,1.265256033,10.25981984,8.38,15.93398869,3.1,0,2,0,0,0,0,0.478561533,0.051671443,15.53101143,0,5854274.894,5559458.399,4561689.737,1.026541477,1045048.67,2.544,28560.64,1.003406983,0.950111739,1.000236504,0.833681344,1.003021348,0.24,-0.029922789,-0.1,0,1,0,0,0,0,1.044313482,1.02215917,1.00123515,0.956499634,0.991528749,1.001652325,0.999836651,1.000300053,1,0.972975128,1,1,1,1,5980821.699,0.978841234,0.987992633,-126546.805,-67565.74481,5226385.66,0,1,0.990737383,-56815.763,265031.0355,132530.0431,7387.213385,-260167.9335,-50665.04378,9882.258948,-976.959236,1794.561996,0,-161630.9394,-161630.9394,0,0,0,-161630.9394,0,0,-71813.92195,-54732.88305,0,-126546.805,2
14,"Akron, OH Metro Area-Bus",2016,0,24,15.52043056,15.2961241,0.699517065,13.85855017,1.18096003,10.25419372,8.22,15.9133663,4.2,0,3,0,0,0,0,0.478561533,0.06187405,15.45855651,1.78E-15,5500944.573,5170894.836,4395640.78,1.012780431,1043978.25,2.2575,28400.4,0.997581733,0.99035357,0.999926058,0.933376328,0.999451636,-0.16,-0.020622389,1.1,0,1,0,0,0,0,0.969590499,1.004034624,0.999614057,0.985257159,1.001549918,0.998899965,0.999887419,0.996705354,1,0.972975128,1,1,1,1,5854274.894,0.939645758,0.930107659,-353330.321,-388563.5625,5226385.66,0,1,1.010254831,-418497.9708,-178025.578,23619.79947,-2259.413886,-86308.64511,9073.643734,-6439.908495,-659.0777185,-19287.76263,0,-158211.0282,-158211.0282,0,0,0,-158211.0282,0,0,-409168.9775,55838.65649,0,-353330.321,2
15,"Akron, OH Metro Area-Bus",2017,0,24,15.51319971,15.30635694,0.693847361,13.86145804,1.240748222,10.31259137,7.79,15.87451404,4.8,0,4,0,0,0,0,0.478561533,0.079582795,15.43361691,0,5461311.53,5043529.617,4440851.607,1.001400852,1047018.42,2.4582,30108.36,1.000668983,0.991894831,1.000209825,1.050626771,1.005695001,-0.43,-0.038852264,0.6,0,1,0,0,0,0,1.008558719,1.003356154,1.00109592,1.010590107,0.984053232,0.997046399,0.99978791,0.998201573,1,0.972975128,1,1,1,1,5500944.573,0.99279523,0.975368824,-39633.043,-127365.2194,5226385.66,0,1,1.017866474,-133864.6946,47081.04153,18462.01942,6028.597046,58255.59437,-87722.28601,-16247.5974,-1166.692836,-9893.049144,0,-148662.3216,-148662.3216,0,0,0,-148662.3216,0,0,-135494.7325,95861.68946,0,-39633.043,2
16,"Akron, OH Metro Area-Bus",2018,0,24,15.5069867,15.30557323,0.68078409,13.86461154,1.313723668,10.35448355,7.44,15.84026138,5.525,0,5,0,0,0,0,0.478561533,0.095955143,15.41103156,-1.78E-15,5427485.555,4930896.411,4437372.601,0.975426037,1050325.41,2.72,31396.5,0.999948798,0.981172702,1.000227502,1.058815676,1.004062236,-0.35,-0.034252663,0.725,0,1,0,0,0,0,0.999347504,1.007749669,1.001188551,1.012940982,0.988534456,0.997595245,0.999813017,0.997827308,1,0.972975128,1,1,1,1,5461311.53,0.993806254,0.977667781,-33825.975,-112633.2057,5226385.66,0,1,1.01650711,-120302.5404,-3563.484446,42323.35708,6491.047834,70674.73447,-62616.90905,-13133.11862,-1021.173812,-11865.75014,0,-147591.2437,-147591.2437,0,0,0,-147591.2437,0,0,-121963.2027,88137.22771,0,-33825.975,2
17,"Albany, GA Metro Area-Bus",2002,0,34,13.35081283,13.18476524,0.515999476,12.26708352,1.051520681,10.39712826,14.66,1.896125531,2.9,0,0,0,0,0,0,0.67057551,-0.042034251,13.39284708,0,628324,655298.1175,532194,0.6753121,212581.0956,1.862,32764.39688,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,628324,628324,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628324,628324,3
18,"Albany, GA Metro Area-Bus",2003,0,34,13.41643797,13.19238372,0.461614873,12.30018942,1.130143255,10.33884051,13.69,1.73860344,2.9,0,0,0,0,0,0,0.67057551,-0.049728411,13.46616639,-1.78E-15,670941,705149.3949,536264,0.58663413,219736.6075,2.0961,30909.16938,1.000577824,0.894603375,1.002698758,1.074770354,0.994393861,-0.97,-0.157522091,0,0,0,0,0,0,0,1.006365132,1.032660837,1.012548237,1.01394936,1.016174447,0.993349578,0.999140386,1,1,1,1,1,1,1,628324,1.067826472,1.076074196,42617,49851.2774,628324,0,1,0.992335364,46614.086,3999.365158,20521.58763,7884.35857,8764.717568,10162.79298,-4178.619496,-540.1164076,0,0,0,0,0,0,0,0,0,0,47799.2431,-5182.243102,0,42617,3
19,"Albany, GA Metro Area-Bus",2004,0,34,13.40953882,13.19508396,0.525925465,12.32060632,1.241413087,10.26973953,12.73,1.588972261,2.9,0,0,0,0,0,0,0.67057551,-0.059768494,13.46930732,0,666328,707367.705,537714,0.692024033,224269.08,2.4605,28845.3725,1.000204682,1.139316551,1.001659885,1.098456396,0.99331637,-0.96,-0.149631179,0,0,0,0,0,0,0,1.002251392,0.962708501,1.007720182,1.019798716,1.019203688,0.993417913,0.999183429,1,1,1,1,1,1,1,670941,0.993124582,1.003145872,-4613,2218.310044,628324,0,1,0.990010151,2874.191668,1510.551299,-25020.39589,5179.786454,13283.77058,12884.5417,-4416.19182,-547.8706539,0,0,0,0,0,0,0,0,0,0,2110.694797,-6723.694797,0,-4613,3
20,"Albany, GA Metro Area-Bus",2005,0,34,13.39067454,13.19129971,0.518136169,12.34101648,1.378010142,10.20414347,11.94,1.453026982,2.9,0,0,0,0,0,0,0.67057551,-0.123720254,13.51439479,0,653876,739991.1032,535683,0.678895555,228893.5,2.967,27013.89,0.999713208,0.985189355,1.001656587,1.110033522,0.993612686,-0.79,-0.135945279,0,0,0,0,0,0,0,0.996853297,1.004613727,1.007717623,1.024359787,1.018220821,0.994580326,0.999258089,1,1,1,1,1,1,1,666328,0.981312507,1.046119434,-12452,32623.39825,628324,0,1,0.938050249,30387.00323,-2096.7361,3074.255647,5142.468621,16231.60834,12141.0433,-3611.280333,-494.3562435,0,0,0,0,0,0,0,0,0,0,30730.67028,-43182.67028,0,-12452,3
21,"Albany, GA Metro Area-Bus",2006,0,34,13.54476557,13.18856302,0.470540357,12.37365275,1.443973473,10.11105035,10.69,1.306781694,1.7,0,0,0,0,0,0,0.67057551,-0.039221587,13.58398716,1.78E-15,762810,793323.1334,534219,0.600858995,236487,3.2375,24612.5,0.999792538,0.90814034,1.002644536,1.047868538,0.990876929,-1.25,-0.146245288,-1.2,0,0,0,0,0,0,0.997723371,1.028526241,1.012369136,1.011690261,1.025957176,0.991438108,0.9992019,1.003606581,1,1,1,1,1,1,653876,1.166597336,1.072071178,108934,53332.03021,628324,0,1,1.088171394,46106.61102,-1488.633368,18652.62439,8087.88144,7643.98139,16972.77464,-5598.415581,-521.8586668,2358.256779,0,0,0,0,0,0,0,0,0,47125.61332,61808.38668,0,108934,3
22,"Albany, GA Metro Area-Bus",2007,0,34,13.550783,13.18999586,0.467201152,12.3667094,1.476112213,10.11659451,11.47,1.233050926,1.9,0,0,0,0,0,0,0.67057551,-0.042255047,13.59303805,0,767414,800536.0153,534985,0.595522313,234850.67,3.3759,24749.34,1.000108643,0.992903466,0.999438861,1.022257154,1.000548326,0.78,-0.073730769,0.2,0,0,0,0,0,0,1.001194036,1.001975266,0.997388034,1.005678773,0.998475009,1.005380044,0.999597551,0.999400164,1,1,1,1,1,1,762810,1.006035579,1.009091985,4604,7212.881852,628324,0,1,0.996971136,6933.086263,910.8222609,1506.752392,-1992.433906,4331.824609,-1163.278247,4103.95144,-306.9917595,-457.5605272,0,0,0,0,0,0,0,0,0,6935.456907,-2331.456907,0,4604,3
23,"Albany, GA Metro Area-Bus",2008,0,34,13.68865966,13.18626545,0.403263467,12.36718227,1.581244178,10.08239245,9.97,1.138746827,3.2,0,0,0,0,0,0,0.67057551,0.047560831,13.64109883,1.78E-15,880864,839949.9925,532993,0.496701171,234961.75,3.861,23917.14,0.999717179,0.863147416,1.000038237,1.071222204,0.996619212,-1.5,-0.094304099,1.3,0,0,0,0,0,0,0.996897992,1.038507142,1.000178133,1.018696435,1.009459357,0.989734547,0.999485284,0.996107495,1,1,1,1,1,1,767414,1.147834155,1.049234483,113450,39413.97718,628324,0,1,1.093972842,37654.23037,-2380.524307,29550.91957,136.7019262,14347.90583,7259.243226,-7877.852588,-395.0003485,-2987.162941,0,0,0,0,0,0,0,0,0,37783.23186,75666.76814,0,113450,3
24,"Albany, GA Metro Area-Bus",2009,0,34,13.6776016,13.17981875,0.457475403,12.36058899,1.324738055,9.990061042,7.57,1.03934534,1.8,0,0,0,0,0,0,0.67057551,0.109023262,13.56857834,0,871177,781192.6396,529568,0.58007988,233417.67,2.7612,21807.63,0.999511105,1.134433045,0.999466873,0.837782092,0.990842312,-2.4,-0.099401486,-1.4,0,0,0,0,0,0,0.99464533,0.968470971,0.997519557,0.955810806,1.025742076,0.983625926,0.99945747,1.004208941,1,1,1,1,1,1,880864,0.989002843,0.930046606,-9687,-58757.35291,628324,0,1,1.063390545,-62117.57998,-4716.73576,-27772.78626,-2184.932858,-38924.67024,22675.26778,-14423.332,-477.8954416,3707.504796,0,0,0,0,0,0,0,0,0,-61619.42661,51932.42661,0,-9687,3
25,"Albany, GA Metro Area-Bus",2010,0,34,13.71060216,13.18248528,0.429916012,12.32432926,1.43710629,9.994682458,11.19,0.957217246,1.5,0,0,0,0,0,0,0.67057551,0.093294527,13.61730764,1.78E-15,900406,820202.3985,530982,0.537128418,225105.58,3.2085,21908.65,1.00020232,0.939757656,0.997066505,1.084822984,1.000462601,3.62,-0.082128094,-0.3,0,0,0,0,0,0,1.002223262,1.016419682,0.986434718,1.019996101,0.998728659,1.02521464,0.999551726,1.000900428,1,1,1,1,1,1,871177,1.033551161,1.049936158,29229,39009.75897,628324,0,1,0.984394316,43096.44386,1936.854863,14304.4493,-11817.76127,17420.14324,-1107.563415,21966.41449,-390.525837,784.4324869,0,0,0,0,0,0,0,0,0,43503.2322,-14274.2322,0,29229,3
26,"Albany, GA Metro Area-Bus",2011,0,34,13.80127369,13.26132326,0.428668305,12.31969035,1.600114585,9.970452503,10.69,0.870576734,2.8,0,0,0,0,0,0,0.67057551,0.091738196,13.7095355,0,985863,899446.0788,574538,0.535211728,224063.75,3.9536,21384.16,1.005980509,0.997097789,0.999623598,1.113428141,0.997575715,-0.5,-0.086640512,1.3,0,0,0,0,0,0,1.067862812,1.00073761,0.998254166,1.029137804,1.006692141,0.996566406,0.999527102,0.996107495,1,1,1,1,1,1,900406,1.094909408,1.096614787,85457,79243.68033,628324,0,1,0.99844488,85435.50612,61104.08325,664.1480982,-1571.959354,26235.85332,6025.644297,-3091.628499,-425.8000088,-3504.834985,0,0,0,0,0,0,0,0,0,86992.53423,-1535.534227,0,85457,3
