CLUSTER_APTA4,RAIL_FLAG,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,TSD_POP_PCT,JTW_HOME_PCT,YEARS_SINCE_TNC_BUS2_HINY,YEARS_SINCE_TNC_BUS2_MIDLOW,YEARS_SINCE_TNC_RAIL2_HINY,YEARS_SINCE_TNC_RAIL2_MIDLOW,BIKE_SHARE,MDBF_Mechanical,scooter_flag,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,TSD_POP_PCT_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS2_HINY_FAC,YEARS_SINCE_TNC_BUS2_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL2_HINY_FAC,YEARS_SINCE_TNC_RAIL2_MIDLOW_FAC,BIKE_SHARE_FAC,MDBF_Mechanical_log_FAC,scooter_flag_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change
3.0,0,2009,4849,228055993.67490003,293468191.9951999,297326465.3183,2675004.3230999745,295388852.18032813,-5059707.918813399,2050586.939987884,0.8828501534988411,606727.0581652573,2.7927295285850633,26830.379836163764,7.169452773584928,15.851955525146378,3.715168398924263,0.0,0.0,0.0,0.0,0.012433946393192698,20160.82266851378,0.0,7862805.38594889,-4704586.360644169,-466947.1384397023,-12386711.0749779,4360987.221063878,79909.87525222948,-319245.6286462664,17973.801456726887,0.0,0.0,0.0,0.0,0.0,-505461.61379565875,0.0,-6061275.532781969,-6275845.007031897,8950849.330131872,1183268.9999999995,3858273.3230999745
3.0,0,2010,4914,228864272.5471,297326465.3183,302476692.51079994,5276750.3203000175,303741627.07331914,8534463.364852097,2012364.396730459,0.8684774193875793,611588.3205625189,3.239746803715182,26743.849318438362,7.330792608683745,15.509052552869072,3.940709358495232,0.0,0.0,0.0,0.0,0.029454440070425133,25548.273196509177,0.0,1793411.8005894308,839915.7447545123,1048004.120312383,5944149.5348199755,-229047.39055107153,419829.6491044233,-464116.2067173955,-165465.8506085725,0.0,0.0,0.0,0.0,52600.84312178669,79370.50416702637,0.0,9318652.748992499,9273192.652302826,-3996442.3320028153,808278.8722000007,6085029.19250002
3.0,0,2011,5013,229615508.5471,302476692.51079994,322906175.45890003,18689138.948100027,320571969.05504984,14950570.989530122,1995198.1372502137,0.8251425662115672,614993.4339473236,3.995912819473108,26566.6951943528,7.508281621659453,15.393173272101794,3.9217693218275564,0.0,0.0,0.0,0.0,0.029358073601623628,24031.04543775608,0.0,253954.91166688237,4185893.462468544,743675.1619709521,8619121.901143786,615648.0727127844,291699.59911989886,-135415.3243716002,25698.88833285915,0.0,0.0,0.0,0.0,0.0,121487.57761990624,0.0,14721764.250664014,15049315.375831382,3639823.572268632,751235.9999999994,19440374.94810002
3.0,0,2012,5044,231401004.5471,322906175.45890003,328876249.4395999,4184577.980699922,316773858.1226545,-5370120.462044951,1965756.3226065335,0.8614692592460997,620192.8183181501,4.009078601372616,26122.126166251994,7.362666457138164,15.40038970718478,3.8742036869432668,0.0,0.0,0.0,0.0,0.0408968060381681,44877.22101376476,0.0,-2849765.6807940784,-3633232.8512064326,1026596.532103709,91895.82625305836,1343559.1158542589,-213138.69054717923,-155671.0793853423,52679.74611969885,0.0,0.0,0.0,0.0,34150.61987113563,192641.9029693449,0.0,-4110284.558761825,-4081386.934187984,8265964.914887898,1785495.9999999998,5970073.980699918
3.0,0,2013,5110,232859244.73110002,328876249.4395999,326415492.2415,-2648819.9841999114,312770159.45091426,-4377259.602029674,1965651.0300364718,0.9176990462243161,629053.4016493168,3.843100277712497,26164.240759276152,7.369449801245534,15.195473169226382,3.8063815899081708,0.0,0.0,0.0,0.0,0.04298056006476133,27759.474867147328,0.0,1922814.7580687145,-6130261.7448531035,1725503.6481691645,-1733725.5551466984,-22962.563667361435,61185.64509789002,-251083.86231439732,62324.321611592604,0.0,0.0,0.0,0.0,9136.02459299567,-61580.62885920702,0.0,-4418649.957300408,-4425619.423458167,1776799.4392582565,1458240.1839999994,-1190579.8001999122
3.0,0,2014,5110,232859244.73110002,326415492.2415,326910517.18060005,-547185.0609000254,313634529.6018918,-184314.44712224387,2002292.942449283,0.9118007349070377,634867.9916687633,3.644007057934717,26538.953779270883,7.412262580429889,15.150638945643964,3.8645545744984235,0.0,0.5469699387953448,0.0,0.0,0.06385632122474229,34814.582423147396,0.0,6858977.525063489,89479.96596831722,1073217.2825745025,-2544948.827088586,-1191399.009199589,42490.204000993115,-127384.39975138151,-99193.91950900467,0.0,-4860144.827275306,0.0,0.0,88766.78285945117,36862.45289138091,0.0,-633276.7694657343,-592220.3265118158,45035.26561179085,0.0,-547185.0609000254
3.0,0,2015,5174,233334328.25350004,326910517.18060005,315485977.2547,-12305535.651999984,297020145.02774686,-17395526.858835984,2057655.7065311535,0.9343662118600379,641515.6633397704,2.6523042192370605,27431.28795710076,7.1368840417671535,15.050635113072984,3.9545889622194452,0.0,1.3215699533674359,0.0,0.0,0.12326340874906637,40109.037924435084,0.0,5838945.344217428,-782898.7906039605,1204142.7398253928,-13512689.460825395,-2861823.746470441,-331485.7768941735,-161840.46387517455,-17112.27699394225,0.0,-6901690.574040897,0.0,0.0,199654.64039027042,102670.6772964522,0.0,-17224127.687974434,-17609212.618329726,5303676.9663297525,475083.52239999984,-11830452.129599981
3.0,0,2016,5174,233334328.25350004,315485977.2547,295472267.6413,-19601230.77179998,283617683.3139596,-12923574.466587083,2091915.363932252,0.9879652819073118,645932.656058705,2.357491692474849,27774.742425533426,7.076702048494255,15.002076100594424,4.451367873457345,0.0,2.2121061152139223,0.0,0.0,0.20668226004579165,36001.387196494354,0.0,3447560.022296654,-5178006.87168812,1088286.0045333158,-4446246.741745574,-1282395.4387477487,-207650.47983642004,-46832.05861466621,-334377.19631107646,0.0,-7794065.039664123,0.0,0.0,313120.31167374493,13118.568698675908,0.0,-14427488.919405343,-13787046.45088407,-5814184.320915921,0.0,-19601230.77179998
3.0,0,2017,5174,233334328.25350004,295472267.6413,285058934.5504999,-10369483.381000001,280852352.04264975,-2912181.2989880326,2100975.6385304383,0.9722520355167599,650816.4934076163,2.5761161911767507,28048.157051699185,7.044444646564519,14.94653038681915,4.704201838217545,0.0,3.197212581243111,0.0,0.0,0.3966687081385833,41279.02624528068,0.0,1794106.3884221993,114241.10642114146,934285.68582572,3176251.235558838,-904880.3198794936,-126602.09955988223,-119767.6220882716,-197384.08084630192,0.0,-8043249.207611794,0.0,0.0,767407.2279794206,-69527.330904899,0.0,-2675119.0166833266,-3126327.0341871716,-7243156.34681283,0.0,-10369483.381000001
3.0,0,2018,5174,233334328.25350004,285058934.5504999,279667674.1262999,-5027329.752200028,278472725.3402271,-1930999.0190175779,2113347.664119429,1.0076313730762056,655901.4418952034,2.833474933388871,28377.354412462686,6.994831474841954,14.857631643519419,5.012324588399303,0.0,4.191869136040116,0.0,0.0,0.5471410658109411,41555.6718514519,0.06710856067945552,2591039.0124906893,-150226.49251920287,962876.702615018,3491835.2897479474,-1099001.217711881,-133570.72261276623,-92088.14650152785,-222284.95552815922,0.0,-7830804.985470051,0.0,0.0,545505.613763008,14937.012243453997,-1006661.2958451094,-2928444.1853285786,-2432685.372930027,-2594644.3792700013,0.0,-5027329.752200028
