,CBSA,Mode,Year,Mechanical_Failures,Other_Failures,Total_Failures
67,10740,Rail,2004,0,0,0
68,10740,Rail,2005,0,0,0
69,10740,Rail,2006,0,0,0
70,10740,Rail,2007,0,0,0
71,10740,Rail,2012,17,3,20
72,10740,Rail,2013,8,7,15
73,10740,Rail,2014,9,6,15
74,10740,Rail,2015,14,10,24
75,10740,Rail,2016,20,2,22
76,10740,Rail,2017,13,4,17
77,10740,Rail,2018,13,8,21
78,10780,Bus,2002,9,64,73
79,10780,Bus,2003,9,73,82
80,10780,Bus,2004,11,105,116
81,10780,Bus,2005,28,102,130
82,10780,Bus,2006,41,107,148
83,10780,Bus,2007,53,56,109
84,10780,Bus,2012,0,0,0
85,10780,Bus,2013,0,0,0
86,10780,Bus,2014,0,0,0
87,10780,Bus,2015,0,0,0
88,10780,Bus,2016,0,0,0
89,10780,Bus,2017,0,0,0
90,10780,Bus,2018,0,0,0
91,10900,Bus,2002,174,136,310
92,10900,Bus,2003,173,136,309
93,10900,Bus,2004,221,153,374
94,10900,Bus,2005,202,141,343
95,10900,Bus,2006,50,417,467
96,10900,Bus,2007,37,410,447
97,10900,Bus,2012,22,418,440
98,10900,Bus,2013,20,364,384
99,10900,Bus,2014,24,416,440
100,10900,Bus,2015,28,432,460
101,10900,Bus,2016,32,456,488
102,10900,Bus,2017,46,458,504
103,10900,Bus,2018,71,424,495
104,11020,Bus,2002,147,62,209
105,11020,Bus,2003,172,62,234
106,11020,Bus,2004,176,77,253
107,11020,Bus,2005,168,98,266
108,11020,Bus,2006,127,103,230
109,11020,Bus,2007,110,71,181
110,11020,Bus,2012,40,78,118
111,11020,Bus,2013,54,36,90
112,11020,Bus,2014,43,41,84
113,11020,Bus,2015,47,32,79
114,11020,Bus,2016,23,30,53
115,11020,Bus,2017,40,36,76
116,11020,Bus,2018,63,47,110
117,11100,Bus,2002,102,126,228
118,11100,Bus,2003,23,254,277
119,11100,Bus,2004,52,195,247
120,11100,Bus,2005,40,202,242
121,11100,Bus,2006,12,309,321
122,11100,Bus,2007,5,197,202
123,11100,Bus,2012,16,114,130
124,11100,Bus,2013,14,62,76
125,11100,Bus,2014,14,81,95
126,11100,Bus,2015,0,0,0
127,11100,Bus,2016,0,0,0
128,11100,Bus,2017,0,0,0
129,11100,Bus,2018,0,0,0
130,11180,Bus,2002,26,145,171
131,11180,Bus,2003,38,170,208
132,11180,Bus,2004,35,145,180
133,11180,Bus,2005,49,157,206
134,11180,Bus,2006,41,163,204
135,11180,Bus,2007,38,185,223
136,11180,Bus,2012,41,159,200
137,11180,Bus,2013,44,126,170
138,11180,Bus,2014,34,152,186
139,11180,Bus,2015,50,156,206
140,11180,Bus,2016,43,174,217
141,11180,Bus,2017,44,234,278
142,11180,Bus,2018,35,237,272
143,11260,Bus,2002,48,29,77
144,11260,Bus,2003,84,39,123
145,11260,Bus,2004,103,64,167
146,11260,Bus,2005,165,59,224
147,11260,Bus,2006,94,68,162
148,11260,Bus,2007,283,341,624
149,11260,Bus,2012,150,467,617
150,11260,Bus,2013,67,557,624
151,11260,Bus,2014,277,318,595
152,11260,Bus,2015,465,271,736
153,11260,Bus,2016,518,312,830
154,11260,Bus,2017,371,363,734
155,11260,Bus,2018,170,523,693
156,11300,Bus,2002,1,2,3
157,11300,Bus,2003,0,0,0
158,11300,Bus,2004,24,31,55
159,11300,Bus,2005,18,71,89
160,11300,Bus,2006,49,27,76
161,11300,Bus,2007,28,51,79
162,11300,Bus,2012,0,0,0
163,11300,Bus,2013,0,0,0
164,11300,Bus,2014,0,0,0
165,11300,Bus,2015,0,0,0
166,11300,Bus,2016,0,0,0
167,11300,Bus,2017,0,0,0
168,11300,Bus,2018,0,0,0
169,11460,Bus,2002,663,241,904
170,11460,Bus,2003,587,407,994
171,11460,Bus,2004,465,356,821
172,11460,Bus,2005,457,360,817
173,11460,Bus,2006,405,452,857
174,11460,Bus,2007,450,326,776
175,11460,Bus,2012,275,370,645
176,11460,Bus,2013,323,462,785
177,11460,Bus,2014,269,389,658
178,11460,Bus,2015,248,389,637
179,11460,Bus,2016,171,297,468
180,11460,Bus,2017,205,341,546
181,11460,Bus,2018,174,311,485
182,11540,Bus,2002,4,24,28
183,11540,Bus,2003,29,101,130
184,11540,Bus,2004,35,129,164
185,11540,Bus,2005,33,101,134
186,11540,Bus,2006,21,48,69
187,11540,Bus,2007,29,78,107
188,11540,Bus,2012,29,149,178
189,11540,Bus,2013,26,148,174
190,11540,Bus,2014,44,155,199
191,11540,Bus,2015,29,93,122
192,11540,Bus,2016,38,127,165
193,11540,Bus,2017,44,138,182
194,11540,Bus,2018,35,157,192
195,11700,Bus,2002,11,38,49
196,11700,Bus,2003,2,57,59
197,11700,Bus,2004,3,70,73
198,11700,Bus,2005,8,100,108
199,11700,Bus,2006,6,96,102
200,11700,Bus,2007,18,105,123
201,11700,Bus,2012,63,460,523
202,11700,Bus,2013,57,440,497
203,11700,Bus,2014,88,428,516
204,11700,Bus,2015,48,349,397
205,11700,Bus,2016,33,354,387
206,11700,Bus,2017,15,256,271
207,11700,Bus,2018,24,367,391
208,12020,Bus,2002,51,21,72
209,12020,Bus,2003,67,87,154
210,12020,Bus,2004,102,3,105
211,12020,Bus,2005,110,84,194
212,12020,Bus,2006,25,108,133
213,12020,Bus,2007,20,103,123
214,12020,Bus,2012,53,619,672
215,12020,Bus,2013,28,598,626
216,12020,Bus,2014,26,564,590
217,12020,Bus,2015,36,588,624
218,12020,Bus,2016,35,282,317
219,12020,Bus,2017,106,221,327
220,12020,Bus,2018,105,259,364
221,12060,Bus,2002,10544,504,11048
222,12060,Bus,2003,10030,519,10549
223,12060,Bus,2004,8215,570,8785
224,12060,Bus,2005,5755,1181,6936
225,12060,Bus,2006,5846,1299,7145
226,12060,Bus,2007,8304,2200,10504
227,12060,Bus,2012,6277,3149,9426
228,12060,Bus,2013,7317,3272,10589
229,12060,Bus,2014,7862,2671,10533
230,12060,Bus,2015,5526,2118,7644
231,12060,Bus,2016,5070,1694,6764
232,12060,Bus,2017,7394,2100,9494
233,12060,Bus,2018,8418,3511,11929
234,12060,Rail,2002,1130,392,1522
235,12060,Rail,2003,1107,364,1471
236,12060,Rail,2004,10072,892,10964
237,12060,Rail,2005,13476,1278,14754
238,12060,Rail,2006,13425,1150,14575
239,12060,Rail,2007,1964,98,2062
240,12060,Rail,2012,736,182,918
241,12060,Rail,2013,768,146,914
242,12060,Rail,2014,822,160,982
243,12060,Rail,2015,743,232,975
244,12060,Rail,2016,797,250,1047
245,12060,Rail,2017,788,168,956
246,12060,Rail,2018,798,179,977
247,12220,Bus,2002,181,75,256
248,12220,Bus,2003,210,108,318
249,12220,Bus,2004,219,237,456
250,12220,Bus,2005,165,206,371
251,12220,Bus,2006,132,232,364
252,12220,Bus,2007,143,211,354
253,12220,Bus,2012,0,0,0
254,12220,Bus,2013,0,0,0
255,12220,Bus,2014,0,0,0
256,12220,Bus,2015,0,0,0
257,12220,Bus,2016,0,0,0
258,12220,Bus,2017,0,0,0
259,12220,Bus,2018,0,0,0
260,12260,Bus,2002,89,110,199
261,12260,Bus,2003,94,138,232
262,12260,Bus,2004,119,112,231
263,12260,Bus,2005,130,78,208
264,12260,Bus,2006,123,76,199
265,12260,Bus,2007,95,132,227
266,12260,Bus,2012,92,127,219
267,12260,Bus,2013,117,124,241
268,12260,Bus,2014,288,118,406
269,12260,Bus,2015,103,183,286
270,12260,Bus,2016,268,124,392
271,12260,Bus,2017,305,143,448
272,12260,Bus,2018,202,143,345
273,12420,Bus,2002,1377,243,1620
274,12420,Bus,2003,2085,424,2509
275,12420,Bus,2004,4704,305,5009
276,12420,Bus,2005,3210,173,3383
277,12420,Bus,2006,2475,203,2678
278,12420,Bus,2007,1699,110,1809
279,12420,Bus,2012,3011,1201,4212
280,12420,Bus,2013,2229,1549,3778
281,12420,Bus,2014,512,234,746
282,12420,Bus,2015,5001,440,5441
283,12420,Bus,2016,4177,932,5109
284,12420,Bus,2017,3081,514,3595
285,12420,Bus,2018,3469,501,3970
286,12420,Rail,2002,0,0,0
287,12420,Rail,2003,0,0,0
288,12420,Rail,2004,0,0,0
289,12420,Rail,2005,0,0,0
290,12420,Rail,2006,0,0,0
291,12420,Rail,2007,0,0,0
292,12420,Rail,2012,0,0,0
293,12420,Rail,2013,0,0,0
294,12420,Rail,2014,0,0,0
295,12420,Rail,2015,0,0,0
296,12420,Rail,2016,0,0,0
297,12420,Rail,2017,0,0,0
298,12420,Rail,2018,0,0,0
299,12540,Bus,2002,468,325,793
300,12540,Bus,2003,571,335,906
301,12540,Bus,2004,448,457,905
302,12540,Bus,2005,417,440,857
303,12540,Bus,2006,427,344,771
304,12540,Bus,2007,330,299,629
305,12540,Bus,2012,276,188,464
306,12540,Bus,2013,250,179,429
307,12540,Bus,2014,320,212,532
308,12540,Bus,2015,253,168,421
309,12540,Bus,2016,331,85,416
310,12540,Bus,2017,331,193,524
311,12540,Bus,2018,461,184,645
312,12580,Bus,2002,3816,40,3856
313,12580,Bus,2003,4463,68,4531
314,12580,Bus,2004,3318,119,3437
315,12580,Bus,2005,4272,101,4373
316,12580,Bus,2006,3585,102,3687
317,12580,Bus,2007,3305,31,3336
318,12580,Bus,2012,3172,63,3235
319,12580,Bus,2013,3313,156,3469
320,12580,Bus,2014,3541,3932,7473
321,12580,Bus,2015,4646,4375,9021
322,12580,Bus,2016,4374,4269,8643
323,12580,Bus,2017,4472,4866,9338
324,12580,Bus,2018,4402,4936,9338
325,12580,Rail,2002,451,0,451
326,12580,Rail,2003,446,0,446
327,12580,Rail,2004,400,0,400
328,12580,Rail,2005,322,0,322
329,12580,Rail,2006,352,0,352
330,12580,Rail,2007,567,0,567
331,12580,Rail,2012,864,0,864
332,12580,Rail,2013,445,0,445
333,12580,Rail,2014,483,0,483
334,12580,Rail,2015,790,3293,4083
335,12580,Rail,2016,1248,3125,4373
336,12580,Rail,2017,1459,1382,2841
337,12580,Rail,2018,1344,1554,2898
338,12620,Bus,2002,11,2,13
339,12620,Bus,2003,6,8,14
340,12620,Bus,2004,12,0,12
341,12620,Bus,2005,16,0,16
342,12620,Bus,2006,36,2,38
343,12620,Bus,2007,24,0,24
344,12620,Bus,2012,0,0,0
345,12620,Bus,2013,0,0,0
346,12620,Bus,2014,0,0,0
347,12620,Bus,2015,0,0,0
348,12620,Bus,2016,0,0,0
349,12620,Bus,2017,0,0,0
350,12620,Bus,2018,0,0,0
351,12700,Bus,2002,0,0,0
352,12700,Bus,2003,0,0,0
353,12700,Bus,2004,0,0,0
354,12700,Bus,2005,0,0,0
355,12700,Bus,2006,0,0,0
356,12700,Bus,2007,0,0,0
357,12700,Bus,2012,29,148,177
358,12700,Bus,2013,35,212,247
359,12700,Bus,2014,31,198,229
360,12700,Bus,2015,101,157,258
361,12700,Bus,2016,86,113,199
362,12700,Bus,2017,91,121,212
363,12700,Bus,2018,92,79,171
364,12940,Bus,2002,261,60,321
365,12940,Bus,2003,236,86,322
366,12940,Bus,2004,546,583,1129
367,12940,Bus,2005,163,430,593
368,12940,Bus,2006,144,508,652
369,12940,Bus,2007,287,320,607
370,12940,Bus,2012,300,176,476
371,12940,Bus,2013,356,147,503
372,12940,Bus,2014,547,212,759
373,12940,Bus,2015,786,275,1061
374,12940,Bus,2016,622,255,877
375,12940,Bus,2017,348,206,554
376,12940,Bus,2018,369,190,559
377,12980,Bus,2002,22,14,36
378,12980,Bus,2003,25,17,42
379,12980,Bus,2004,30,20,50
380,12980,Bus,2005,32,24,56
381,12980,Bus,2006,34,27,61
382,12980,Bus,2007,37,31,68
383,12980,Bus,2012,0,0,0
384,12980,Bus,2013,0,0,0
385,12980,Bus,2014,0,0,0
386,12980,Bus,2015,0,0,0
387,12980,Bus,2016,0,0,0
388,12980,Bus,2017,0,0,0
389,12980,Bus,2018,0,0,0
390,13020,Bus,2002,3,72,75
391,13020,Bus,2003,2,50,52
392,13020,Bus,2004,2,82,84
393,13020,Bus,2005,7,87,94
394,13020,Bus,2006,5,75,80
395,13020,Bus,2007,1,52,53
396,13020,Bus,2012,35,23,58
397,13020,Bus,2013,23,26,49
398,13020,Bus,2014,25,24,49
399,13020,Bus,2015,23,20,43
400,13020,Bus,2016,24,13,37
401,13020,Bus,2017,15,17,32
402,13020,Bus,2018,20,35,55
403,13140,Bus,2002,53,83,136
404,13140,Bus,2003,56,80,136
405,13140,Bus,2004,56,93,149
406,13140,Bus,2005,48,123,171
407,13140,Bus,2006,50,72,122
408,13140,Bus,2007,48,31,79
409,13140,Bus,2012,28,8,36
410,13140,Bus,2013,30,9,39
411,13140,Bus,2014,36,12,48
412,13140,Bus,2015,42,8,50
413,13140,Bus,2016,5,15,20
414,13140,Bus,2017,6,18,24
415,13140,Bus,2018,7,19,26
416,13380,Bus,2002,135,133,268
417,13380,Bus,2003,58,176,234
418,13380,Bus,2004,62,292,354
419,13380,Bus,2005,41,254,295
420,13380,Bus,2006,28,214,242
421,13380,Bus,2007,57,48,105
422,13380,Bus,2012,87,28,115
423,13380,Bus,2013,133,72,205
424,13380,Bus,2014,175,55,230
425,13380,Bus,2015,156,48,204
426,13380,Bus,2016,124,51,175
427,13380,Bus,2017,146,12,158
428,13380,Bus,2018,127,16,143
429,13460,Bus,2002,0,0,0
430,13460,Bus,2003,0,0,0
431,13460,Bus,2004,0,0,0
432,13460,Bus,2005,0,0,0
433,13460,Bus,2006,0,0,0
434,13460,Bus,2007,0,0,0
435,13460,Bus,2012,5,5,10
436,13460,Bus,2013,5,5,10
437,13460,Bus,2014,25,16,41
438,13460,Bus,2015,31,25,56
439,13460,Bus,2016,6,3,9
440,13460,Bus,2017,28,4,32
441,13460,Bus,2018,18,15,33
442,13740,Bus,2002,23,9,32
443,13740,Bus,2003,27,12,39
444,13740,Bus,2004,25,9,34
445,13740,Bus,2005,21,7,28
446,13740,Bus,2006,19,4,23
447,13740,Bus,2007,20,6,26
448,13740,Bus,2012,61,134,195
449,13740,Bus,2013,73,158,231
450,13740,Bus,2014,73,158,231
451,13740,Bus,2015,216,274,490
452,13740,Bus,2016,248,283,531
453,13740,Bus,2017,198,347,545
454,13740,Bus,2018,303,205,508
455,13780,Bus,2002,228,970,1198
456,13780,Bus,2003,295,917,1212
457,13780,Bus,2004,214,602,816
458,13780,Bus,2005,300,550,850
459,13780,Bus,2006,183,499,682
460,13780,Bus,2007,208,550,758
461,13780,Bus,2012,111,485,596
462,13780,Bus,2013,134,494,628
463,13780,Bus,2014,155,494,649
464,13780,Bus,2015,210,384,594
465,13780,Bus,2016,193,557,750
466,13780,Bus,2017,208,484,692
467,13780,Bus,2018,174,454,628
468,13820,Bus,2002,0,0,0
469,13820,Bus,2003,0,0,0
470,13820,Bus,2004,1401,999,2400
471,13820,Bus,2005,840,574,1414
472,13820,Bus,2006,1141,607,1748
473,13820,Bus,2007,1246,668,1914
474,13820,Bus,2012,788,572,1360
475,13820,Bus,2013,967,690,1657
476,13820,Bus,2014,391,471,862
477,13820,Bus,2015,576,792,1368
478,13820,Bus,2016,1136,950,2086
479,13820,Bus,2017,749,608,1357
480,13820,Bus,2018,350,257,607
481,13900,Bus,2002,0,0,0
482,13900,Bus,2003,0,0,0
483,13900,Bus,2004,0,0,0
484,13900,Bus,2005,0,0,0
485,13900,Bus,2006,0,0,0
486,13900,Bus,2007,0,0,0
487,13900,Bus,2012,5,0,5
488,13900,Bus,2013,0,0,0
489,13900,Bus,2014,0,0,0
490,13900,Bus,2015,0,0,0
491,13900,Bus,2016,0,0,0
492,13900,Bus,2017,0,0,0
493,13900,Bus,2018,0,0,0
494,13980,Bus,2002,0,0,0
495,13980,Bus,2003,0,0,0
496,13980,Bus,2004,0,0,0
497,13980,Bus,2005,3,17,20
498,13980,Bus,2006,10,4,14
499,13980,Bus,2007,8,25,33
500,13980,Bus,2012,127,153,280
501,13980,Bus,2013,205,38,243
502,13980,Bus,2014,168,53,221
503,13980,Bus,2015,120,82,202
504,13980,Bus,2016,136,76,212
505,13980,Bus,2017,155,118,273
506,13980,Bus,2018,173,139,312
507,14020,Bus,2002,102,0,102
508,14020,Bus,2003,123,210,333
509,14020,Bus,2004,116,190,306
510,14020,Bus,2005,171,160,331
511,14020,Bus,2006,124,134,258
512,14020,Bus,2007,105,78,183
513,14020,Bus,2012,204,151,355
514,14020,Bus,2013,222,88,310
515,14020,Bus,2014,181,94,275
516,14020,Bus,2015,122,102,224
517,14020,Bus,2016,151,125,276
518,14020,Bus,2017,162,93,255
519,14020,Bus,2018,116,40,156
520,14060,Bus,2002,87,372,459
521,14060,Bus,2003,95,437,532
522,14060,Bus,2004,144,557,701
523,14060,Bus,2005,190,277,467
524,14060,Bus,2006,180,391,571
525,14060,Bus,2007,191,258,449
526,14060,Bus,2012,26,226,252
527,14060,Bus,2013,31,187,218
528,14060,Bus,2014,38,208,246
529,14060,Bus,2015,29,273,302
530,14060,Bus,2016,45,300,345
531,14060,Bus,2017,43,399,442
532,14060,Bus,2018,65,355,420
533,14260,Bus,2002,309,292,601
534,14260,Bus,2003,209,130,339
535,14260,Bus,2004,195,58,253
536,14260,Bus,2005,124,131,255
537,14260,Bus,2006,320,104,424
538,14260,Bus,2007,164,124,288
539,14260,Bus,2012,97,38,135
540,14260,Bus,2013,92,22,114
541,14260,Bus,2014,87,16,103
542,14260,Bus,2015,77,32,109
543,14260,Bus,2016,94,15,109
544,14260,Bus,2017,101,26,127
545,14260,Bus,2018,30,59,89
546,14460,Bus,2002,1860,3615,5475
547,14460,Bus,2003,2097,3915,6012
548,14460,Bus,2004,1812,1883,3695
549,14460,Bus,2005,6406,292,6698
550,14460,Bus,2006,8198,423,8621
551,14460,Bus,2007,4378,516,4894
552,14460,Bus,2012,2191,1948,4139
553,14460,Bus,2013,1735,1954,3689
554,14460,Bus,2014,2002,1626,3628
555,14460,Bus,2015,1983,1590,3573
556,14460,Bus,2016,1733,1492,3225
557,14460,Bus,2017,2144,1116,3260
558,14460,Bus,2018,1252,756,2008
559,14460,Rail,2002,1962,385,2347
560,14460,Rail,2003,2291,924,3215
561,14460,Rail,2004,3134,817,3951
562,14460,Rail,2005,2234,1004,3238
563,14460,Rail,2006,1757,1185,2942
564,14460,Rail,2007,1639,1006,2645
565,14460,Rail,2012,2181,193,2374
566,14460,Rail,2013,1775,149,1924
567,14460,Rail,2014,1674,142,1816
568,14460,Rail,2015,2099,220,2319
569,14460,Rail,2016,1795,148,1943
570,14460,Rail,2017,1496,145,1641
571,14460,Rail,2018,1287,142,1429
572,14740,Bus,2002,92,53,145
573,14740,Bus,2003,114,26,140
574,14740,Bus,2004,92,32,124
575,14740,Bus,2005,129,28,157
576,14740,Bus,2006,106,41,147
577,14740,Bus,2007,139,25,164
578,14740,Bus,2012,48,34,82
579,14740,Bus,2013,140,2,142
580,14740,Bus,2014,22,57,79
581,14740,Bus,2015,123,17,140
582,14740,Bus,2016,80,14,94
583,14740,Bus,2017,20,23,43
584,14740,Bus,2018,21,28,49
585,14860,Bus,2002,916,757,1673
586,14860,Bus,2003,968,718,1686
587,14860,Bus,2004,1097,811,1908
588,14860,Bus,2005,1291,1066,2357
589,14860,Bus,2006,1206,858,2064
590,14860,Bus,2007,1166,761,1927
591,14860,Bus,2012,1145,727,1872
592,14860,Bus,2013,791,869,1660
593,14860,Bus,2014,695,881,1576
594,14860,Bus,2015,636,749,1385
595,14860,Bus,2016,669,816,1485
596,14860,Bus,2017,652,1056,1708
597,14860,Bus,2018,376,1102,1478
598,15180,Bus,2002,200,361,561
599,15180,Bus,2003,101,406,507
600,15180,Bus,2004,86,342,428
601,15180,Bus,2005,52,220,272
602,15180,Bus,2006,38,160,198
603,15180,Bus,2007,413,97,510
604,15180,Bus,2012,187,358,545
605,15180,Bus,2013,301,427,728
606,15180,Bus,2014,979,1517,2496
607,15180,Bus,2015,871,562,1433
608,15180,Bus,2016,247,103,350
609,15180,Bus,2017,142,38,180
610,15180,Bus,2018,151,17,168
611,15380,Bus,2002,1424,2158,3582
612,15380,Bus,2003,1978,2885,4863
613,15380,Bus,2004,1799,2907,4706
614,15380,Bus,2005,1722,2718,4440
615,15380,Bus,2006,1949,2984,4933
616,15380,Bus,2007,1732,2935,4667
617,15380,Bus,2012,1078,1947,3025
618,15380,Bus,2013,904,1936,2840
619,15380,Bus,2014,951,1986,2937
620,15380,Bus,2015,880,1473,2353
621,15380,Bus,2016,985,1533,2518
622,15380,Bus,2017,786,1519,2305
623,15380,Bus,2018,726,1329,2055
624,15380,Rail,2002,3,6,9
625,15380,Rail,2003,3,3,6
626,15380,Rail,2004,3,4,7
627,15380,Rail,2005,18,11,29
628,15380,Rail,2006,3,28,31
629,15380,Rail,2007,4,33,37
630,15380,Rail,2012,2,47,49
631,15380,Rail,2013,1,49,50
632,15380,Rail,2014,3,64,67
633,15380,Rail,2015,7,44,51
634,15380,Rail,2016,5,51,56
635,15380,Rail,2017,7,41,48
636,15380,Rail,2018,54,9,63
637,15540,Bus,2002,52,58,110
638,15540,Bus,2003,53,70,123
639,15540,Bus,2004,51,120,171
640,15540,Bus,2005,55,104,159
641,15540,Bus,2006,109,155,264
642,15540,Bus,2007,117,158,275
643,15540,Bus,2012,47,5,52
644,15540,Bus,2013,56,40,96
645,15540,Bus,2014,59,46,105
646,15540,Bus,2015,47,30,77
647,15540,Bus,2016,98,108,206
648,15540,Bus,2017,121,137,258
649,15540,Bus,2018,84,110,194
650,15940,Bus,2002,3,511,514
651,15940,Bus,2003,238,253,491
652,15940,Bus,2004,114,118,232
653,15940,Bus,2005,103,113,216
654,15940,Bus,2006,118,120,238
655,15940,Bus,2007,129,107,236
656,15940,Bus,2012,86,85,171
657,15940,Bus,2013,94,103,197
658,15940,Bus,2014,26,113,139
659,15940,Bus,2015,84,79,163
660,15940,Bus,2016,136,389,525
661,15940,Bus,2017,119,431,550
662,15940,Bus,2018,105,841,946
663,15980,Bus,2002,377,247,624
664,15980,Bus,2003,168,157,325
665,15980,Bus,2004,175,438,613
666,15980,Bus,2005,135,310,445
667,15980,Bus,2006,86,285,371
668,15980,Bus,2007,58,99,157
669,15980,Bus,2012,197,108,305
670,15980,Bus,2013,123,74,197
671,15980,Bus,2014,93,46,139
672,15980,Bus,2015,111,35,146
673,15980,Bus,2016,115,34,149
674,15980,Bus,2017,206,36,242
675,15980,Bus,2018,195,92,287
676,16220,Bus,2002,0,0,0
677,16220,Bus,2003,0,0,0
678,16220,Bus,2004,0,0,0
679,16220,Bus,2005,0,0,0
680,16220,Bus,2006,0,0,0
681,16220,Bus,2007,0,0,0
682,16220,Bus,2012,0,0,0
683,16220,Bus,2013,0,0,0
684,16220,Bus,2014,0,0,0
685,16220,Bus,2015,0,0,0
686,16220,Bus,2016,0,0,0
687,16220,Bus,2017,0,0,0
688,16220,Bus,2018,0,0,0
689,16300,Bus,2002,213,64,277
690,16300,Bus,2003,131,87,218
691,16300,Bus,2004,229,77,306
692,16300,Bus,2005,234,80,314
693,16300,Bus,2006,198,112,310
694,16300,Bus,2007,277,87,364
695,16300,Bus,2012,48,80,128
696,16300,Bus,2013,49,109,158
697,16300,Bus,2014,49,72,121
698,16300,Bus,2015,32,56,88
699,16300,Bus,2016,25,78,103
700,16300,Bus,2017,31,74,105
701,16300,Bus,2018,25,80,105
702,16580,Bus,2002,139,100,239
703,16580,Bus,2003,65,168,233
704,16580,Bus,2004,73,178,251
705,16580,Bus,2005,51,125,176
706,16580,Bus,2006,24,114,138
707,16580,Bus,2007,63,23,86
708,16580,Bus,2012,108,31,139
709,16580,Bus,2013,84,43,127
710,16580,Bus,2014,75,40,115
711,16580,Bus,2015,65,47,112
712,16580,Bus,2016,85,46,131
713,16580,Bus,2017,89,41,130
714,16580,Bus,2018,200,229,429
715,16620,Bus,2002,16,1563,1579
716,16620,Bus,2003,12,1661,1673
717,16620,Bus,2004,13,1583,1596
718,16620,Bus,2005,8,1282,1290
719,16620,Bus,2006,10,1217,1227
720,16620,Bus,2007,5,1423,1428
721,16620,Bus,2012,378,1004,1382
722,16620,Bus,2013,255,945,1200
723,16620,Bus,2014,300,572,872
724,16620,Bus,2015,296,1017,1313
725,16620,Bus,2016,285,1039,1324
726,16620,Bus,2017,298,1109,1407
727,16620,Bus,2018,271,1146,1417
728,16700,Bus,2002,0,0,0
729,16700,Bus,2003,0,0,0
730,16700,Bus,2004,0,0,0
731,16700,Bus,2005,0,0,0
732,16700,Bus,2006,0,0,0
733,16700,Bus,2007,0,0,0
734,16700,Bus,2012,10,185,195
735,16700,Bus,2013,185,32,217
736,16700,Bus,2014,221,31,252
737,16700,Bus,2015,161,36,197
738,16700,Bus,2016,133,27,160
739,16700,Bus,2017,177,36,213
740,16700,Bus,2018,154,32,186
741,16740,Bus,2002,819,3708,4527
742,16740,Bus,2003,1278,4251,5529
743,16740,Bus,2004,712,3914,4626
744,16740,Bus,2005,767,8339,9106
745,16740,Bus,2006,907,10002,10909
746,16740,Bus,2007,1359,10172,11531
747,16740,Bus,2012,883,9199,10082
748,16740,Bus,2013,872,8863,9735
749,16740,Bus,2014,937,15047,15984
750,16740,Bus,2015,996,6607,7603
751,16740,Bus,2016,622,1954,2576
752,16740,Bus,2017,880,1883,2763
753,16740,Bus,2018,908,2634,3542
