,NTD_ID,4 digit NTDID,Legacy NTD ID,Agency_x,HQ City,HQ State,UZA Name,UZA,UZA Area SQ Miles,UZA Population,MODE,SERVICE_ID,RailBus,Service Area SQ Miles,Service Area Population,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
150,5,5,5,Everett Transit,Everett,WA,"Seattle, WA",14,"1,010","3,059,393",MB,DO,Bus,34,"106,736",1042125.0,804398.0,1023457.0,1091474.0,1076498.0,1206313.0,1175587.0,1210870.0,1507463.0,1443345.0,1401252.0,1287776.0,1206043.0
152,6,6,6,Yakima Transit,Yakima,WA,"Yakima, WA",248,60,"129,534",DR,PT,DemandResponse,33,"100,715",69195.0,60806.0,77751.0,172055.0,110008.0,130944.0,124761.0,122115.0,118499.0,125862.0,152642.0,120722.0,122189.0
156,6,6,6,Yakima Transit,Yakima,WA,"Yakima, WA",248,60,"129,534",MB,DO,Bus,33,"100,715",272478.0,301019.0,331030.0,395355.0,495585.0,534590.0,598546.0,502570.0,873269.0,958667.0,812661.0,828202.0,828281.0
160,6,6,6,Yakima Transit,Yakima,WA,"Yakima, WA",248,60,"129,534",VP,DO,DemandResponse,33,"100,715",110275.0,112453.0,129404.0,208776.0,192486.0,225310.0,258569.0,233280.0,255610.0,238266.0,209074.0,162052.0,131634.0
164,6,6,6,0,Yakima,WA,"Yakima, WA",248,60,"129,534",CB,PT,Bus,33,"100,715",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174695.0,212775.0,235439.0
168,7,7,7,Lane Transit District,Eugene,OR,"Eugene, OR",151,87,"247,421",DR,PT,DemandResponse,482,"302,200",223319.0,259345.0,200659.0,160407.0,249538.0,246257.0,232975.0,270481.0,288504.0,285891.0,308991.0,313677.0,271429.0
174,7,7,7,Lane Transit District,Eugene,OR,"Eugene, OR",151,87,"247,421",MB,DO,Bus,482,"302,200",4378336.0,5078340.0,5213706.0,6122561.0,6602497.0,7032027.0,7236371.0,5177964.0,5254293.0,5296259.0,5385722.0,5205513.0,5528894.0
180,7,7,7,Lane Transit District,Eugene,OR,"Eugene, OR",151,87,"247,421",VP,PT,DemandResponse,482,"302,200",12704.0,21433.0,28407.0,81579.0,45677.0,80679.0,63902.0,80671.0,127274.0,267017.0,324066.0,214498.0,289022.0
186,7,7,7,Lane Transit District,Eugene,OR,"Eugene, OR",151,87,"247,421",MB,PT,Bus,482,"302,200",0.0,0.0,0.0,0.0,37427.0,32757.0,39560.0,36047.0,38594.0,39382.0,37258.0,28461.0,19585.0
192,7,7,7,Lane Transit District,Eugene,OR,"Eugene, OR",151,87,"247,421",DT,PT,DemandResponse,482,"302,200",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
