UZA Name,RailBus,NTD_ID,UZA,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Austin, TX",DemandResponse,240192,148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1127118.0,1721054.0,1693653.0,1852181.0
"Austin, TX",Other,60048,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3136133.0,2487225.0,2135825.0,1974227.0
"Bakersfield, CA",Bus,90004,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4586294.0,4070003.0,4694269.0,4329747.0
"Bakersfield, CA",DemandResponse,90004,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128334.0,122459.0,158102.0,164644.0
"Baltimore, MD",Bus,180486,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73934699.0,72161965.0,79411899.0,73920675.0
"Baltimore, MD",DemandResponse,210367,133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1968863.0,2033344.0,3830585.0,4478877.0
"Baltimore, MD",Other,30201,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Baltimore, MD",Rail,90102,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62617076.0,63627505.0,72208820.0,71967223.0
"Bangor, ME",Bus,10096,441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,691025.0,742960.0,721971.0,671167.0
"Barnstable Town, MA",Bus,30393,456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1368939.0,1283741.0,1414647.0,1034017.0
"Barnstable Town, MA",DemandResponse,20210,304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7992107.0,9247228.0,11161058.0,11583397.0
"Barnstable Town, MA",Other,10183,152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32285844.0,33232039.0,31527306.0
"Baton Rouge, LA",Bus,60022,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1757495.0,1847943.0,1782187.0,1842507.0
"Baton Rouge, LA",DemandResponse,60022,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169189.0,100462.0,117578.0,101583.0
"Battle Creek, MI",Bus,50030,363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345674.0,346259.0,331702.0,309144.0
"Battle Creek, MI",DemandResponse,50030,363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44477.0,44553.0,42680.0,39777.0
"Bay City, MI",Bus,50029,390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671508.0,616081.0,755664.0,638933.0
"Bay City, MI",DemandResponse,50029,390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80721.0,78716.0,76204.0,77025.0
"Beaumont, TX",Bus,60016,222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464498.0,489328.0,422140.0,398376.0
"Beaumont, TX",DemandResponse,60016,222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51813.0,50798.0,49838.0,47150.0
