,NTD_ID,4 digit NTDID,Legacy NTD ID,Agency_x,MODE,SERVICE_ID,RailBus,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,NTD_ID_STR_x,NTD_5_Digit,NTD_ID_INT,5 digit NTD ID,4 digit NTD ID,Agency_y,HQ City,HQ State,UZA,UZA Name,UZA Area SQ Miles,UZA Population,Service Area SQ Miles,Service Area Population,NTD_ID_STR_y,_merge
1629,3066,0,0,0,DR,DO,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3066,30066,30066,,,,,,,,,,,,,left_only
1630,3066,0,0,Weirton Transit Corporation,MB,DO,Bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64453.0,59155.0,0.0,0.0,0.0,0.0,3066,30066,30066,,,,,,,,,,,,,left_only
1633,3090,0,0,Eastern Panhandle Transit Authority,DR,DO,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4694.0,0.0,0.0,0.0,0.0,3090,30090,30090,,,,,,,,,,,,,left_only
1634,3090,0,0,Eastern Panhandle Transit Authority,MB,DO,Bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120096.0,0.0,0.0,0.0,0.0,3090,30090,30090,,,,,,,,,,,,,left_only
1636,3098,0,0,Washington County Commissioners,DR,PT,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,1044.0,1060.0,1036.0,0.0,0.0,0.0,0.0,3098,30098,30098,,,,,,,,,,,,,left_only
1637,3098,0,0,Washington County Commissioners,MB,PT,Bus,0.0,0.0,0.0,0.0,0.0,0.0,7920.0,9807.0,10469.0,0.0,0.0,0.0,0.0,3098,30098,30098,,,,,,,,,,,,,left_only
1645,4016,0,0,Ashland Bus System,DR,DO,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,10970.0,21202.0,19640.0,0.0,0.0,0.0,0.0,4016,40016,40016,,,,,,,,,,,,,left_only
1646,4016,0,0,Ashland Bus System,MB,DO,Bus,0.0,0.0,0.0,0.0,0.0,0.0,55056.0,51281.0,58955.0,0.0,0.0,0.0,0.0,4016,40016,40016,,,,,,,,,,,,,left_only
1647,4020,0,0,Owensboro Transit System,DR,PT,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4020,40020,40020,,,,,,,,,,,,,left_only
1648,4020,0,0,Owensboro Transit System,MB,DO,Bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118324.0,110066.0,0.0,0.0,0.0,0.0,4020,40020,40020,,,,,,,,,,,,,left_only
1656,4049,0,0,Gadsden Transportation Services - City of Gadsden,DR,DO,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54628.0,50295.0,0.0,0.0,0.0,0.0,4049,40049,40049,,,,,,,,,,,,,left_only
1657,4049,0,0,Gadsden Transportation Services - City of Gadsden,MB,DO,Bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29396.0,28945.0,0.0,0.0,0.0,0.0,4049,40049,40049,,,,,,,,,,,,,left_only
1658,4055,0,0,Bristol Tennessee Transit System,DR,DO,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,2139.0,2306.0,2058.0,0.0,0.0,0.0,0.0,4055,40055,40055,,,,,,,,,,,,,left_only
1659,4055,0,0,Bristol Tennessee Transit System,MB,DO,Bus,0.0,0.0,0.0,0.0,0.0,0.0,24484.0,26227.0,27546.0,0.0,0.0,0.0,0.0,4055,40055,40055,,,,,,,,,,,,,left_only
1660,4060,0,0,Hub City Transit,DR,DO,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10022.0,0.0,0.0,0.0,0.0,4060,40060,40060,,,,,,,,,,,,,left_only
1661,4060,0,0,Hub City Transit,MB,DO,Bus,0.0,0.0,0.0,0.0,0.0,0.0,37530.0,38741.0,31526.0,0.0,0.0,0.0,0.0,4060,40060,40060,,,,,,,,,,,,,left_only
1662,4064,0,0,East Alabama Regional Planning and Development Commission,DR,PT,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,203726.0,176922.0,131011.0,0.0,0.0,0.0,0.0,4064,40064,40064,,,,,,,,,,,,,left_only
1663,4064,0,0,East Alabama Regional Planning and Development Commission,MB,PT,Bus,0.0,0.0,0.0,0.0,0.0,0.0,11213.0,51350.0,66613.0,0.0,0.0,0.0,0.0,4064,40064,40064,,,,,,,,,,,,,left_only
1666,4081,0,0,0,DR,DO,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,64418.0,0.0,0.0,0.0,0.0,0.0,0.0,4081,40081,40081,,,,,,,,,,,,,left_only
1667,4089,0,0,Phenix City Express,DR,DO,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,2474.0,11358.0,13034.0,0.0,0.0,0.0,0.0,4089,40089,40089,,,,,,,,,,,,,left_only
1668,4089,0,0,Phenix City Express,MB,DO,Bus,0.0,0.0,0.0,0.0,0.0,0.0,22275.0,22781.0,25455.0,0.0,0.0,0.0,0.0,4089,40089,40089,,,,,,,,,,,,,left_only
