,Unnamed: 0,CBSA,MNAME,Modes,Year,UPT,VRM,UPT_ADJ,VRM_ADJ,VRH_ADJ,FARE_TOTAL,FARE_per_UPT,AREALANDPT,Tot_Pop,Tot_Instate_Pop,Tot_Outstate_Pop,Tot_NonUSA_POP,Total_Median_Income_Individual,Native_Instate_Med_Inc_Indiv,Native_Outstate_Med_Inc_Indiv,Native_Outcountry_Med_Inc_Indiv,Total_Pop_Poverty,Pop_Below100_Poverty,Pop_Below150_Poverty,Pop_Above150_Poverty,Age_under18,Age_18to64,Age_over64,Total_HH,HH_0Veh,HH_1Veh,HH_2Veh,HH_3Veh,HH_4+Veh,PCT_HH_NO_VEH,HH_MED_INC,HH_MEAN_INC,INC_U35,INC_35_100,INC_100P,JTW_DA,JTW_CARPOOL,JTW_TRANSIT,MEAN_TT,TOT_UNEMP_MSA,TOT_EMP_MSA,TOT_LABOR_MSA,UNEMP_RATE_PCT,EMP_RATE_PCT,Area_acre,POP_CENSUSTRACT,AVG_SPEED,GasPrice
11,11,10180,"Abilene, TX Metro Area",Bus,2016,0,0,0,0,0,166398,0,141756054,170860,121500,38241,2054,23641,22515,26728,21659,156642,17.2,10.7,72.1,23.5,61.2,15.3,59263,4162,20643,24437,7454,2567,7.022931677,48016,62145,35.9,47.8,16.3,58181,7763,860,19.1,2933.833333,71659.16667,74593,3.93299765,96.06700342,1216,6878,0,2.025416667
12,12,10180,"Abilene, TX Metro Area",Bus,2017,0,0,0,0,0,191017,0,141756054,169747,112306,42683,2935,25356,24420,30638,22134,156245,15,10.9,74.1,23.7,61.1,15.2,61603,2935,20387,26759,7306,4216,4.764378358,51130,68263,34.9,42.6,22.5,62710,6675,0,18.3,2781.416667,72746.41667,75527.83333,3.684046292,96.31595358,1216,6757,0,2.297
13,13,10180,"Abilene, TX Metro Area",Bus,2018,0,0,0,0,0,177578.5,0,141756054,169843,107115.75,44986.5,3318.25,26749,25885,33922.75,19099,156291,14.175,10.825,75.025,23.925,60.675,15.4,63330.75,2304.25,20126.25,28444,7217.5,5238.75,3.561290272,53614.5,72092,33.85,39.325,26.825,64638.25,5827.75,-488.75,18.575,2682.354168,73522.39584,76204.75,3.519004184,96.4809951,1216,6589.5,0,2.577
14,14,10420,"Akron, OH Metro Area",Bus,2005,6661882,4489876,6013680.881,4053011.065,281367.9792,3022880,0.502667178,744634347,684459,521491,138184,2945,24612,24899,24755,16933,683742,11.3,8.1,80.7,23.7,63.2,13.1,276416,20661,85198,112380,40847,17330,7.474603496,44719,58676,38.7,46.8,14.5,286375,22594,2492,22.4,22420.75,358105.9167,380526.6667,5.896614042,94.10338467,13644.8,118025,14.40466352,2.246666667
15,15,10420,"Akron, OH Metro Area",Bus,2006,6725155,4425375,6070797.419,3994786.013,281536.7841,3163036,0.521024798,744634347,700943,530777,139714,4695,23925,24129,23644,19423,684898,12.7,7.8,79.5,23.3,63.3,13.4,280837,19248,97567,109326,38795,15901,6.853797755,44507,58859,38.8,47.2,14,291970,24769,4492,22.2,20348.08333,365133.3333,385481.4167,5.2823633,94.71763608,13644.8,117438,14.18921519,2.54425
16,16,10420,"Akron, OH Metro Area",Bus,2007,6501325,5064172,5868746.078,4571428.064,285205.3569,3445013,0.587010062,744634347,699356,536148,135625,3455,25217,25202,24776,25575,682807,13.4,7.6,79,23.3,63.4,13.3,281669,21066,94071,113232,36917,16383,7.478991298,47898,63454,37.2,46.1,16.7,287237,23483,4350,23.1,20953.41667,368688.4167,389641.8333,5.379501517,94.62049792,13644.8,116851,16.02854909,2.821583333
17,17,10420,"Akron, OH Metro Area",Bus,2008,6802292,4290843,6140428.988,3873343.976,260212.302,3602006,0.586604944,744634347,698553,529519,137011,4452,25357,25559,25281,15247,681880,12.1,8.2,79.7,22.9,63.5,13.6,281731,19035,100229,108332,38548,15587,6.756444978,50036,65801,36.4,45.1,18.5,292377,25902,5436,22.9,24154.58333,367016.5833,391171.1667,6.172643375,93.82735583,13644.8,116264,14.88532228,3.2295
18,18,10420,"Akron, OH Metro Area",Bus,2009,6160246,3801301,5560854.064,3431434.413,276561.1017,3387490,0.609167218,744634347,699935,537803,134499,2466,24856,24810,24817,29301,685405,14.7,7.2,78.1,22.4,63.6,14,281769,23447,97811,108215,36339,15957,8.321355437,47482,60668,36.8,48.1,15.1,282744,19361,4581,23.2,38703.16667,346409.3333,385112.5,10.05048467,89.94951508,13644.8,115677,12.4075092,2.33225
19,19,10420,"Akron, OH Metro Area",Bus,2010,6221965,3845627,5616567.806,3471447.493,299926.5885,3597828,0.640574124,744634347,702951,539313,132784,3944,24592,24348,25441,18974,687098,,,,22.3,63.4,14.3,281523,22621,92537,114311,35021,17033,8.035222699,46521,60782,38,45.6,16.4,280287,18056,4649,22.6,39167.33333,333040.75,372208.0833,10.52193011,89.47807,13644.8,115090,11.57432394,2.778083333
20,20,10420,"Akron, OH Metro Area",Bus,2011,6490476,4340328,5858952.685,3918014.086,305079.2001,3802014,0.648923827,744634347,701456,541743,127206,5605,24744,24630,24718,19914,684916,,,,21.9,63.7,14.4,274696,22332,98938,101762,35249,16415,8.129714302,47032,62438,38.4,45.1,16.5,276444,23293,4336,23.3,33038.33333,332935.0833,365973.4167,9.026856417,90.97314508,13644.8,114503,12.84261295,3.531833333
21,21,10420,"Akron, OH Metro Area",Bus,2012,6642544,4279372,5996224.469,3862989.104,305728.2414,6462990,1.077843238,744634347,702262,541057,125650,5192,25564,25656,25880,25575,687031,,,,21.6,63.5,14.9,280887,24001,98798,110693,32826,14569,8.544717271,49731,65187,35.5,46.2,18.3,280282,23756,4285,23.1,26723.25,333535.5833,360258.8333,7.418410092,92.58159058,13644.8,112988,12.63536887,3.613333333
22,22,10420,"Akron, OH Metro Area",Bus,2013,6620226,4615848,5976078.01,4166725.99,333046.6515,6704933,1.121962094,744634347,705686,541286,125313,4056,25830,25899,25802,28875,690331,15.4,8.5,76,21.3,63.5,15.2,281324,22696,97785,108261,37798,14784,8.067566223,49984,67507,35.2,45.7,19.1,286548,21490,5807,23.1,27438.41667,331435.5,358873.9167,7.6460559,92.35394425,13644.8,112430,12.51093795,3.518416667
23,23,10420,"Akron, OH Metro Area",Bus,2014,6625481,4797023,5980821.699,4330272.662,338313.0033,6894955,1.152844099,744634347,703825,537852,133036,4145,26124,26004,26942,22840,688629,13.3,9,77.7,21.1,63,15.9,283364,23065,96377,110920,37946,15056,8.139707232,50538,67821,35.1,44.9,20,292974,23208,5845,22.9,21176.83333,337804.5833,358981.4167,5.9031493,94.09685067,13644.8,112358,12.79960457,3.3645
24,24,10420,"Akron, OH Metro Area",Bus,2015,6485294,5053384,5854274.894,4561689.737,343816.7652,6280588,1.072820821,744634347,704243,539841,125207,4050,26944,26599,29413,23802,689016,14.2,7.7,78.1,21,62.8,16.2,282456,23662,95766,109671,35513,17844,8.377233976,51580,70288,34.5,43.2,22.3,287795,24669,6526,24.3,17723.75,340805.6667,358529.4167,4.943913817,95.0560855,13644.8,112214,13.26779319,2.40275
25,25,10420,"Akron, OH Metro Area",Bus,2016,6093879,4869437,5500944.573,4395640.78,342506.0448,5877868,1.068519765,744634347,702221,537399,123322,5468,27048,27611,27459,20468,684729,13.8,8.7,77.5,20.7,62.6,16.7,284670,23386,99761,106473,36824,18226,8.215126287,51598,70083,34.6,45.3,20.1,288064,21086,3831,22.9,18246.83333,341757.25,360004.0833,5.070081025,94.92992025,13644.8,111747,12.83376118,2.145916667
26,26,10420,"Akron, OH Metro Area",Bus,2017,6049974,4919521,5461311.53,4440851.607,345419.0577,5939656,1.087587838,744634347,703505,528663,132481,5747,29518,28993,31204,26950,686207,12.5,8.2,79.3,20.6,62.3,17.1,289282,22538,96678,111274,39726,19066,7.791013613,56106,75838,31,46.1,22.9,293201,25442,3859,23.2,18304.75,343513.4167,361818.1667,5.061858725,94.9381415,13644.8,111678,12.85641747,2.407583333
27,27,10420,"Akron, OH Metro Area",Bus,2018,6012502,4915667,5427485.555,4437372.601,343533.3174,5885317,1.084354245,744634347,703323,521500.5,138879,6310.75,31396.5,30282.5,33524.25,30978,686243.75,11.425,8.075,80.5,20.45,62.025,17.525,293294.5,21833,95364.5,114075.25,42230.25,19791.5,7.444053673,59491.5,80103,28.325,47.225,24.45,297121,27813.25,3206.25,23.075,18478.95834,345068.4376,363547.3959,5.087233802,94.91276613,13644.8,111509.5,12.91686243,2.716363636
28,28,10500,"Albany, GA Metro Area",Bus,2005,653876,535683,653876,535683,31970,344119,0.526275624,183486824,158772,119720,35966,765,20941,18805,26530,41107,158046,17.2,11.9,70.9,28.9,61.1,10,59384,7093,18516,20546,9969,3260,11.94429476,41213,53167,42.9,46.4,10.7,N,N,N,N,4227.5,70121.5,74349,5.685867233,94.31413275,691.2,2307,16.75580231,2.303166667
29,29,10500,"Albany, GA Metro Area",Bus,2006,762810,534219,762810,534219,31784,366673,0.480687196,183486824,165062,127633,34670,415,19690,18470,22270,38750,158981,22.8,10.9,66.2,27.7,60.8,11.5,61158,6536,20069,21296,8594,4663,10.68707283,35515,49529,49.3,38.7,12,53586,8571,779,19.7,4001.083333,71425,75426.08333,5.304025842,94.69597308,691.2,2157,16.80779638,2.58525
30,30,10500,"Albany, GA Metro Area",Bus,2007,767414,534985,767414,534985,32038,377696,0.4921672,183486824,162767,127992,30244,1265,20454,18686,26277,27889,159338,21.5,13.2,65.4,27.3,60.8,11.9,60777,6970,21026,19730,8575,4476,11.46815407,36402,51200,48.5,41.4,10.1,52600,9104,460,N,3878.583333,72083.66667,75962.25,5.104653375,94.89534633,691.2,2007,16.69845184,2.794416667
31,31,10500,"Albany, GA Metro Area",Bus,2008,880864,532993,880864,532993,31573,373954,0.424530915,183486824,163074,129258,31879,588,20442,19131,28225,9172,156890,23.3,9.5,67.2,26,61.2,12.8,60893,6073,23282,18448,8971,4119,9.973231734,38989,55456,46.6,40.5,12.9,53192,9252,305,18.6,4839.583333,71887.75,76727.33333,6.31081945,93.68918108,691.2,1857,16.88129098,3.30325
32,32,10500,"Albany, GA Metro Area",Bus,2009,871177,529568,871177,529568,31522,431925,0.49579477,183486824,164238,126496,33282,849,18639,17139,24907,11250,159356,23.2,13.6,63.3,26.5,61.4,12.1,60101,4550,24625,20779,7191,2956,7.570589508,36218,47306,48.6,43.8,7.6,50072,9207,519,20.5,7394.25,69179.66667,76573.91667,9.652048642,90.34795142,691.2,1707,16.79994924,2.356333333
33,33,10500,"Albany, GA Metro Area",Bus,2010,900406,530982,900406,530982,31846,420551,0.467068189,183486824,162659,122527,34782,1358,19051,16806,26457,27395,154966,,,,25.7,61.8,12.5,60263,6743,20159,20799,8757,3805,11.18928696,34002,47826,50.8,38.8,10.4,46102,9310,655,19.1,8318.5,62446.58333,70765.08333,11.75423567,88.2457645,691.2,1557,16.67342837,2.7855
34,34,10500,"Albany, GA Metro Area",Bus,2011,985863,574538,985863,574538,33486,471112,0.477867614,183486824,161617,126789,31236,886,19093,17591,25005,52762,157802,,,,26.3,61.6,12.1,58438,6247,23102,19607,6805,2677,10.68996201,32775,45215,52.5,38.1,9.4,45870,8565,569,20.9,7955.583333,62446.75,70402.33333,11.30064525,88.69935483,691.2,1407,17.15755838,3.534416667
35,35,10500,"Albany, GA Metro Area",Bus,2012,1017648,523493,1017648,523493,31940,523278,0.514203339,183486824,155019,116085,33853,1482,19997,18223,24992,25657,148869,,,,25.1,61.8,13.1,57699,5544,22517,20405,6850,2383,9.608485416,34469,54220,50.5,37.1,12.4,46710,7444,571,20.7,7231.166667,62546.41667,69777.58333,10.36072463,89.63927533,691.2,1613,16.38988729,3.623166667
36,36,10500,"Albany, GA Metro Area",Bus,2013,1017015,541805,1017015,541805,33101,525669,0.516874382,183486824,156277,121505,29335,787,20424,19361,25928,40112,150485,24.9,15,60.1,25.2,61.9,12.9,56505,6343,21035,19517,6953,2657,11.22555526,34756,49937,50.2,37.8,12,47391,6098,535,N,6416.916667,61633.66667,68050.58333,9.425776908,90.57422392,691.2,1528,16.36823661,3.533
37,37,10500,"Albany, GA Metro Area",Bus,2014,883094,588650,883094,588650,35168,535879,0.606819886,183486824,152596,118396,30033,1028,21803,19557,25863,55932,147236,25.3,12.2,62.5,25.2,60.7,14.1,57795,6344,20495,19943,8079,2934,10.97672809,39071,51306,46.1,42.6,11.3,48470,5306,721,N,5518.75,60940.16667,66458.91667,8.303649158,91.69635075,691.2,1664,16.73822793,3.407083333
38,38,10500,"Albany, GA Metro Area",Bus,2015,695011,595478,695011,595478,34802,542312,0.780292686,183486824,156997,122066,30295,1226,22262,20502,26635,30683,151625,24.6,9.3,66.2,25.1,60.5,14.4,57597,6411,21525,18435,7798,3428,11.13078806,40143,56072,44,41.1,14.9,48719,7330,1171,20.8,4597.333333,61012.41667,65609.75,7.008728175,92.991272,691.2,1731,17.11045342,2.41425
39,39,10500,"Albany, GA Metro Area",Bus,2016,655363,597007,655363,597007,34354,488610,0.745556279,183486824,152506,115953,33374,822,23281,22094,25505,36751,147606,25,11.1,63.9,24.8,60.4,14.8,57228,6357,19792,19908,7275,3896,11.10819878,40667,57901,44.3,40.6,15.1,51327,7148,235,N,4148.416667,62600,66748.41667,6.217915417,93.78208467,691.2,1435,17.3780928,2.207583333
40,40,10500,"Albany, GA Metro Area",Bus,2017,723013,602405,723013,602405,34690,466615,0.645375671,183486824,151754,120338,27005,1117,22543,20901,27217,23270,146085,24.7,10.6,64.8,24.1,60.5,15.4,57607,5627,20937,20474,7108,3461,9.76791015,43614,56185,41.9,44,14.1,48520,7078,533,22.3,3784.75,64583.41667,68368.16667,5.536437075,94.46356275,691.2,1382,17.36537907,2.456916667
41,41,10500,"Albany, GA Metro Area",Bus,2018,739896,659043,739896,659043,37646,436693.25,0.590208962,183486824,153752.3333,122098.5,22998,1237.25,22244.25,20404.25,28218.5,14676.25,143939.5,24.575,10.675,64.9,23.5,60.55,15.95,57799,5066,21362.5,21266.75,6852,3251.75,8.764857523,45955.25,55355.25,40.175,46.425,13.4,47066.75,6980,522.5,#VALUE!,3399.770833,66467.87501,69867.64584,4.827625129,95.17237448,691.2,1268.25,17.50632205,2.711545455
42,42,10580,"Albany-Schenectady-Troy, NY Metro Area",Bus,2005,12582861,7695147,12404857.22,7521258.431,599744,9623156,0.775757095,765942841,816044,643111,119725,7872,28558,28228,31577,24572,813649,10.5,6.6,82.9,22.8,64,13.2,337662,30104,122342,130417,41631,13168,8.9154243,50828,63227,34.3,48.9,16.8,329898,34858,8590,22.3,18041.41667,436270.4167,454311.8333,3.972748233,96.02725092,17900.8,193466,12.54078145,2.35025
43,43,10580,"Albany-Schenectady-Troy, NY Metro Area",Bus,2006,13048119,7072929,12786512.4,6827439.551,609215.815,9561427,0.747774428,765942841,850957,662383,127847,8050,27434,27388,29263,22627,821457,9.8,6.2,84,21.6,64.9,13.5,337905,30182,120392,132665,40789,13877,8.932096299,53202,64965,31.2,50.8,18,335600,38041,11046,21.6,17582.83333,438094.4167,455677.25,3.858535358,96.14146417,17900.8,192060,11.20693091,2.676166667
44,44,10580,"Albany-Schenectady-Troy, NY Metro Area",Bus,2007,13394378,7229987,13215234.97,7049387.84,611914.964,10394061,0.786521089,765942841,853358,654103,136601,10882,28423,28951,29119,15560,825123,10.1,6.6,83.3,21.5,65,13.5,337307,32523,115414,136222,39659,13489,9.641958216,55129,70200,31,47.5,21.5,329857,36762,12458,21.7,18099,434437.6667,452536.6667,3.999325192,96.0006745,17900.8,190654,11.52020829,2.85625
45,45,10580,"Albany-Schenectady-Troy, NY Metro Area",Bus,2008,15264603,7737241,15081889.65,7544906.478,632402.56,11145709,0.739012767,765942841,853919,658323,130726,10898,29971,30008,30574,21626,822273,10.5,5.8,83.8,21.3,65.1,13.6,337729,29909,120124,136120,38269,13307,8.855917022,58765,70913,29.8,47.8,22.4,341642,38987,14678,22.7,22724.16667,436999,459723.1667,4.943739375,95.05626042,17900.8,189248,11.93054386,3.354416667
46,46,10580,"Albany-Schenectady-Troy, NY Metro Area",Bus,2009,14198140,7399991,13940025.75,7143632.154,610349.3632,12943022,0.92847906,765942841,857592,657658,131750,8863,29153,29213,31894,20502,824549,9.9,6.9,83.2,21.3,64.7,14,336492,30823,117523,130563,42618,14965,9.160098903,57677,73357,29.9,46.4,23.7,333590,35430,11958,22,31675.66667,425586.0833,457261.75,6.927921117,93.07207992,17900.8,187842,11.7041691,2.427916667
47,47,10580,"Albany-Schenectady-Troy, NY Metro Area",Bus,2010,13881547,7452746,13611057.77,7176325.796,600989.521,15177256,1.115068076,765942841,870832,672027,131341,9681,29811,30340,30281,17235,840023,,,,21.3,64.8,13.9,348634,37056,125555,132327,39712,13984,10.6289117,55796,71547,31.9,44.3,23.8,344175,33446,13135,22.2,33404.83333,425697.6667,459102.5,7.276202442,92.72379875,17900.8,186436,11.94085012,2.857583333
48,48,10580,"Albany-Schenectady-Troy, NY Metro Area",Bus,2011,14514831,7887241,14230794,7605731.477,610057.9239,14459181,1.016048788,765942841,871478,678153,127679,10938,30513,30706,31556,23705,840939,,,,20.9,64.9,14.2,345662,33817,123067,135796,38424,14558,9.783256476,58617,73004,28.2,47.9,23.9,349584,32136,13604,22.3,32111,417238.0833,449349.0833,7.146201058,92.85379858,17900.8,185030,12.4672284,3.627916667
49,49,10580,"Albany-Schenectady-Troy, NY Metro Area",Bus,2012,15213240,7450813,15213240,7450813,609756,15266657,1.003511218,765942841,874646,681722,123818,8964,30928,30561,33962,28265,843802,,,,20.6,64.6,14.8,342705,34704,124356,129954,38578,15113,10.12649363,60625,75558,29.2,45.8,25,336050,34284,13626,22.5,33292.08333,421999.0833,455291.1667,7.314021708,92.68597858,17900.8,184627,12.21933528,3.766916667
50,50,10580,"Albany-Schenectady-Troy, NY Metro Area",Bus,2013,16052777,7437216,16052777,7437216,615481,16065571,1.000796996,765942841,877905,678826,123959,10292,30400,30751,32200,16951,846922,12.5,7.2,80.3,20.5,64.6,14.9,347942,34985,125422,130336,42960,14239,10.05483673,59626,76670,29.2,44.7,26.1,340435,32726,14419,22.4,28646.83333,427120.6667,455767.5,6.281636325,93.71836342,17900.8,184456,12.08358341,3.653333333
51,51,10580,"Albany-Schenectady-Troy, NY Metro Area",Bus,2014,16608585,7711321,16608585,7711321,641816,15781571,0.950205632,765942841,880167,673235,135272,10166,31625,31502,34811,27769,848344,11.7,6.5,81.8,20.3,64.3,15.4,347291,32412,126603,131455,41901,14920,9.332807358,62265,79446,27.1,45.6,27.3,347801,33264,15236,22.5,22594.33333,424274.3333,446868.6667,5.05457825,94.94542258,17900.8,182846,12.01484693,3.53875
52,52,10580,"Albany-Schenectady-Troy, NY Metro Area",Bus,2015,16592640,7845161,16592640,7845161,663452,16410246,0.989007536,765942841,881830,673152,135485,7727,31801,31429,35378,29063,849858,10.2,6.5,83.2,20.1,63.9,16,342766,32804,126214,127685,41861,14202,9.570377459,63080,81725,26.7,45.4,27.9,347296,36565,16292,23.5,20047.08333,429871.8333,449918.9167,4.455532533,95.54446725,17900.8,183193,11.8247605,2.553916667
53,53,10580,"Albany-Schenectady-Troy, NY Metro Area",Bus,2016,16515295,7980016,16515295,7980016,679558,18154706,1.099266226,765942841,881839,662303,138500,10509,32397,33227,33152,22303,851290,9.9,6.5,83.6,20,63.8,16.2,343069,34405,121295,129000,42191,16178,10.02859483,65855,85684,26.9,42.7,30.4,352503,33018,17665,23.4,18597.16667,432395.4167,450992.5833,4.122942275,95.87705725,17900.8,183110,11.74295056,2.314583333
54,54,10580,"Albany-Schenectady-Troy, NY Metro Area",Bus,2017,16356553,8214968,16356553,8214968,689746,18618324,1.138279196,765942841,886188,671822,133400,8287,35068,34895,36742,23981,855393,10.4,6.1,83.5,19.7,63.4,16.9,348421,37135,116013,139591,40175,15507,10.65808318,68681,89097,24.9,42.1,33,354331,32297,14957,23.4,19532.08333,432476.1667,452008.25,4.3216853,95.67831433,17900.8,184560,11.91013504,2.640666667
55,55,10580,"Albany-Schenectady-Troy, NY Metro Area",Bus,2018,15395053,8389544,15395053,8389544,681735,19402152.5,1.260284879,765942841,883285.6667,676249,130328.75,7316,37220.25,36595.5,38878,23549.5,858828.25,10.7,5.8,83.525,19.45,63.075,17.475,352510.75,39582.75,110821.75,147863,38745.5,15497.75,11.2288065,71494.25,92646.5,23.45,40.975,35.575,357003.75,30869.5,13269.25,23.375,19870.79166,433167.6251,453038.4167,4.387595004,95.61240464,17900.8,185626.75,12.30616589,2.922363636
56,56,10740,"Albuquerque, NM Metro Area",Bus,2005,7758914,4782626,7758914,4782626,287189,3024632,0.389826721,648969769,783920,407621,296236,8048,23212,20013,29329,27062,779127,14.5,9.6,75.9,24.8,64,11.2,319677,18413,110293,125079,48207,17685,5.759876375,43070,56791,40.3,46,13.7,285261,49616,4618,23.5,19014.58333,375221,394235.5833,4.825349917,95.17465025,28089.6,263341,16.65323533,2.23175
57,57,10740,"Albuquerque, NM Metro Area",Bus,2006,9072409,4634851,9072409,4634851,282951,3499539,0.385734263,648969769,815430,400756,317995,10892,23623,19906,30099,28396,801871,14.9,10.4,74.7,25.1,63.3,11.6,318482,18459,108533,124096,46716,20678,5.795931952,44799,58745,38.9,46.4,14.7,307006,45292,5386,23,15859.16667,386438.5,402297.6667,3.941679208,96.05832108,28089.6,260190,16.38040155,2.520666667
58,58,10740,"Albuquerque, NM Metro Area",Bus,2007,9791599,4901212,9791599,4901212,302922,3766172,0.38463299,648969769,832774,420471,332300,7521,24483,21141,29640,34568,817548,14.6,9,76.4,24.9,63.1,12,322464,17721,111727,124060,47833,21123,5.495497172,45325,60427,38.4,46,15.6,298497,45497,6301,23.8,15005.75,389242.8333,404248.5833,3.711399225,96.288601,28089.6,257039,16.17978225,2.719
59,59,10740,"Albuquerque, NM Metro Area",Bus,2008,10942102,5041793,10942102,5041793,312621,3645357,0.333149609,648969769,841408,421805,324703,10091,25312,22284,30385,33284,826682,14.5,10.4,75.1,24.8,62.9,12.3,331371,20772,113448,128920,47402,20829,6.268502675,47198,63503,36.9,45.3,17.8,304071,49451,7948,24.1,18586.5,388752.9167,407339.4167,4.559629917,95.44036875,28089.6,253888,16.12749303,3.193333333
