UZA Name,RailBus,UZA Area SQ Miles,UZA Population,Service Area SQ Miles,Service Area Population,NTD_ID,UZA,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Asheville, NC",DemandResponse,265,"280,648",45,"88,512",44010,266.0,33930.0,34973.0,32152.0,50164.0,53792.0,48572.0,49804.0,48530.0,50558.0,0.0,0.0,0.0,0.0
"Asheville, NC",DemandResponse,265,"280,648",657,"238,318",44448,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76241.0,81325.0,81304.0,1108298.0,969935.0
"Athens-Clarke County, GA",Bus,98,"128,754",14,"119,648",44360,498.0,0.0,0.0,0.0,0.0,6639364.0,6993179.0,5410698.0,6170049.0,6281720.0,6745361.0,7297838.0,7415285.0,7596246.0
"Athens-Clarke County, GA",Bus,98,"128,754",44,"119,980",44094,498.0,640597.0,1406257.0,1454451.0,1446636.0,1621761.0,1736509.0,1865289.0,1937479.0,1878216.0,1990536.0,1951602.0,1860562.0,1720834.0
"Athens-Clarke County, GA",DemandResponse,98,"128,754",14,"119,648",44360,498.0,0.0,0.0,0.0,0.0,423789.0,446373.0,508013.0,11366.0,13194.0,17097.0,17585.0,10413.0,19850.0
"Athens-Clarke County, GA",DemandResponse,98,"128,754",44,"119,980",44094,498.0,17900.0,23460.0,20586.0,18870.0,17792.0,24863.0,24275.0,29519.0,26922.0,22594.0,23595.0,23705.0,22487.0
"Atlanta, GA",Bus,"1,963","3,499,840",17,"17,685",8284,22.0,0.0,14817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Atlanta, GA",Bus,"1,963","3,499,840",68,"263,900",8314,22.0,0.0,0.0,1717546.0,2174339.0,2155526.0,1335102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Atlanta, GA",Bus,"2,645","4,515,419",210,"688,078",88312,36.0,3001918.0,3483356.0,3592630.0,4845995.0,4954670.0,4942305.0,5862173.0,6092257.0,5696015.0,5422161.0,5255334.0,5472967.0,5112003.0
"Atlanta, GA",Bus,"2,645","4,515,419",4,"171,000",44354,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Atlanta, GA",Bus,"2,645","4,515,419",422,"235,900",44322,18.0,0.0,0.0,0.0,0.0,0.0,0.0,19303.0,16313.0,19387.0,20831.0,23671.0,21596.0,16844.0
"Atlanta, GA",Bus,"2,645","4,515,419",437,"907,135",88552,36.0,2545657.0,2876616.0,2980491.0,4280843.0,4273216.0,4207883.0,4429815.0,4604668.0,5023226.0,3987853.0,3789010.0,2981018.0,2869569.0
"Atlanta, GA",Bus,"2,645","4,515,419",498,"1,354,871",48405,27.0,2270585.0,3495721.0,2481451.0,3612499.0,5375504.0,5032814.0,6197694.0,7107738.0,6932824.0,6257060.0,6005107.0,5519489.0,4973065.0
