,record,lma_title,Area_Code,Series ID,Month-Year,Total_Labor
31011,3854,"College Station-Bryan, TX Metropolitan Statistical Area",LAUMT4817780000000,LAUMT481778000000006,"Aug
2017",123753.0
31012,3939,"Killeen-Temple, TX Metropolitan Statistical Area",LAUMT4828660000000,LAUMT482866000000006,"Aug
2017",175762.0
31013,3951,"Laredo, TX Metropolitan Statistical Area",LAUMT4829700000000,LAUMT482970000000006,"Aug
2017",115427.0
31014,3963,"Lubbock, TX Metropolitan Statistical Area",LAUMT4831180000000,LAUMT483118000000006,"Aug
2017",161871.0
31015,4010,"San Angelo, TX Metropolitan Statistical Area",LAUMT4841660000000,LAUMT484166000000006,"Aug
2017",55000.0
31016,4012,"San Antonio-New Braunfels, TX Metropolitan Statistical Area",LAUMT4841700000000,LAUMT484170000000006,"Aug
2017",1172698.0
31017,4049,"Waco, TX Metropolitan Statistical Area",LAUMT4847380000000,LAUMT484738000000006,"Aug
2017",125477.0
31018,4084,"Salt Lake City, UT Metropolitan Statistical Area",LAUMT4941620000000,LAUMT494162000000006,"Aug
2017",651743.0
31019,4134,"Burlington-South Burlington, VT Metropolitan NECTA",LAUMT5072400000000,LAUMT507240000000006,"Aug
2017",127622.0
31020,4351,"Blacksburg-Christiansburg-Radford, VA Metropolitan Statistical Area",LAUMT5113980000000,LAUMT511398000000006,"Aug
2017",89705.0
31021,4376,"Harrisonburg, VA Metropolitan Statistical Area",LAUMT5125500000000,LAUMT512550000000006,"Aug
2017",63676.0
31022,4388,"Lynchburg, VA Metropolitan Statistical Area",LAUMT5131340000000,LAUMT513134000000006,"Aug
2017",122651.0
31023,4407,"Richmond, VA Metropolitan Statistical Area",LAUMT5140060000000,LAUMT514006000000006,"Aug
2017",674642.0
31024,4424,"Roanoke, VA Metropolitan Statistical Area",LAUMT5140220000000,LAUMT514022000000006,"Aug
2017",156527.0
31025,4478,"Bellingham, WA Metropolitan Statistical Area",LAUMT5313380000000,LAUMT531338000000006,"Aug
2017",109781.0
31026,4479,"Bremerton-Silverdale, WA Metropolitan Statistical Area",LAUMT5314740000000,LAUMT531474000000006,"Aug
2017",119555.0
31027,4485,"Kennewick-Richland, WA Metropolitan Statistical Area",LAUMT5328420000000,LAUMT532842000000006,"Aug
2017",139489.0
31028,4490,"Longview, WA Metropolitan Statistical Area",LAUMT5331020000000,LAUMT533102000000006,"Aug
2017",45303.0
31029,4492,"Mount Vernon-Anacortes, WA Metropolitan Statistical Area",LAUMT5334580000000,LAUMT533458000000006,"Aug
2017",59770.0
31030,4495,"Olympia-Tumwater, WA Metropolitan Statistical Area",LAUMT5336500000000,LAUMT533650000000006,"Aug
2017",132646.0
31031,4503,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",LAUMT5342660000000,LAUMT534266000000006,"Aug
2017",2077143.0
31032,4507,"Spokane-Spokane Valley, WA Metropolitan Statistical Area",LAUMT5344060000000,LAUMT534406000000006,"Aug
2017",258746.0
31033,4513,"Wenatchee, WA Metropolitan Statistical Area",LAUMT5348300000000,LAUMT534830000000006,"Aug
2017",69858.0
31034,4515,"Yakima, WA Metropolitan Statistical Area",LAUMT5349420000000,LAUMT534942000000006,"Aug
2017",128918.0
31035,4572,"Appleton, WI Metropolitan Statistical Area",LAUMT5511540000000,LAUMT551154000000006,"Aug
2017",133245.0
31036,4586,"Eau Claire, WI Metropolitan Statistical Area",LAUMT5520740000000,LAUMT552074000000006,"Aug
2017",92467.0
31037,4591,"Green Bay, WI Metropolitan Statistical Area",LAUMT5524580000000,LAUMT552458000000006,"Aug
2017",176838.0
31038,4602,"Madison, WI Metropolitan Statistical Area",LAUMT5531540000000,LAUMT553154000000006,"Aug
2017",389478.0
31039,4619,"Oshkosh-Neenah, WI Metropolitan Statistical Area",LAUMT5536780000000,LAUMT553678000000006,"Aug
2017",94310.0
