,CBSA,MNAME,APTA_CLUSTER
2114,29020,"Kokomo, IN Metro Area",
2127,29100,"La Crosse, WI-MN Metro Area",Low
2135,29100,"La Crosse-Onalaska, WI-MN Metro Area",Low
2140,29140,"Lafayette, IN Metro Area",Low
2148,29140,"Lafayette-West Lafayette, IN Metro Area",Low
2153,29180,"Lafayette, LA Metro Area",Low
2166,29420,"Lake Havasu City-Kingman, AZ Metro Area",
2177,29460,"Lakeland, FL Metro Area",Low
2180,29460,"Lakeland-Winter Haven, FL Metro Area",Low
2190,29540,"Lancaster, PA Metro Area",Mid
2203,29620,"Lansing-East Lansing, MI Metro Area",Mid
2216,29700,"Laredo, TX Metro Area",Low
2229,29740,"Las Cruces, NM Metro Area",Low
2242,29820,"Las Vegas-Paradise, NV Metro Area",Mid
2250,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",Mid
2255,29940,"Lawrence, KS Metro Area",Low
2268,30020,"Lawton, OK Metro Area",Low
2281,30140,"Lebanon, PA Metro Area",Low
2294,30340,"Lewiston-Auburn, ME Metro Area",Low
2307,30460,"Lexington-Fayette, KY Metro Area",Low
2320,30700,"Lincoln, NE Metro Area",Low
2333,30780,"Little Rock-North Little Rock, AR Metro Area",Low
2335,30780,"Little Rock-North Little Rock-Conway, AR Metro Area",Low
2346,30860,"Logan, UT-ID Metro Area",Low
2359,30980,"Longview, TX Metro Area",Low
2372,31100,"Los Angeles-Long Beach-Santa Ana, CA Metro Area",High
2380,31100,"Los Angeles-Long Beach-Anaheim, CA Metro Area",High
2385,31140,"Louisville, KY-IN Metro Area",Mid
2386,31140,"Louisville-Jefferson County, KY-IN Metro Area",Mid
2398,31180,"Lubbock, TX Metro Area",Low
2411,31340,"Lynchburg, VA Metro Area",Low
2424,31420,"Macon, GA Metro Area",Low
2435,31420,"Macon-Bibb County, GA Metro Area",Low
2437,31460,"Madera, CA Metro Area",Low
2441,31460,"Madera-Chowchilla, CA Metro Area",Low
2450,31540,"Madison, WI Metro Area",Mid
2463,31700,"Manchester-Nashua, NH Metro Area",Low
2476,31740,"Manhattan, KS Metro Area",Low
2485,31860,"Mankato-North Mankato, MN Metro Area",Low
2494,32580,"McAllen-Edinburg-Mission, TX Metro Area",Low
2507,32780,"Medford, OR Metro Area",Low
2520,32820,"Memphis, TN-MS-AR Metro Area",Mid
2533,32900,"Merced, CA Metro Area",Low
2546,33100,"Miami-Fort Lauderdale-Miami Beach, FL Metro Area",High
2548,33100,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",High
2554,33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",High
2559,33140,"Michigan City-La Porte, IN Metro Area",Low
2572,33220,"Midland, MI Metro Area",Low
2577,33260,"Midland, TX Metro Area",Low
2590,33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",Mid
2603,33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",High
2616,33540,"Missoula, MT Metro Area",Low
2629,33660,"Mobile, AL Metro Area",Low
2642,33700,"Modesto, CA Metro Area",Low
2655,33740,"Monroe, LA Metro Area",Low
2668,33860,"Montgomery, AL Metro Area",Low
2681,34060,"Morgantown, WV Metro Area",Low
2694,34580,"Mount Vernon-Anacortes, WA Metro Area",Low
2707,34620,"Muncie, IN Metro Area",Low
2720,34740,"Muskegon-Norton Shores, MI Metro Area",Low
2728,34740,"Muskegon, MI Metro Area",Low
2733,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area",Low
2736,34820,"Myrtle Beach-North Myrtle Beach-Conway, SC Metro Area",Low
2741,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",Low
2746,34900,"Napa, CA Metro Area",Low
2759,34940,"Naples-Marco Island, FL Metro Area",Low
2767,34940,"Naples-Immokalee-Marco Island, FL Metro Area",Low
2772,34980,"Nashville-Davidson-Murfreesboro, TN Metro Area",Mid
2774,34980,"Nashville-Davidson-Murfreesboro-Franklin, TN Metro Area",Mid
2785,35100,"New Bern, NC Metro Area",
2790,35300,"New Haven-Milford, CT Metro Area",Mid
2803,35380,"New Orleans-Metairie-Kenner, LA Metro Area",Mid
2811,35380,"New Orleans-Metairie, LA Metro Area",Mid
2816,35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",High
2824,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",High
2829,35660,"Niles-Benton Harbor, MI Metro Area",Low
2842,35840,"North Port-Bradenton-Sarasota, FL Metro Area",Mid
2845,35840,"North Port-Sarasota-Bradenton, FL Metro Area",Mid
2850,35980,"Norwich-New London, CT Metro Area",Low
2863,36100,"Ocala, FL Metro Area",Low
2876,36140,"Ocean City, NJ Metro Area",Low
2889,36220,"Odessa, TX Metro Area",Low
2902,36260,"Ogden-Clearfield, UT Metro Area",Mid
2915,36420,"Oklahoma City, OK Metro Area",Mid
2928,36500,"Olympia, WA Metro Area",Mid
2936,36500,"Olympia-Tumwater, WA Metro Area",Mid
2941,36540,"Omaha-Council Bluffs, NE-IA Metro Area",Low
2954,36740,"Orlando-Kissimmee, FL Metro Area",Mid
2959,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",Mid
2967,36780,"Oshkosh-Neenah, WI Metro Area",Low
2980,37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",Mid
2993,37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",Low
3006,37460,"Panama City-Lynn Haven, FL Metro Area",Low
3010,37460,"Panama City-Lynn Haven-Panama City Beach, FL Metro Area",Low
3014,37460,"Panama City, FL Metro Area",Low
3019,37620,"Parkersburg-Marietta-Vienna, WV-OH Metro Area",Low
3027,37620,"Parkersburg-Vienna, WV Metro Area",Low
3032,37860,"Pensacola-Ferry Pass-Brent, FL Metro Area",Low
3045,37900,"Peoria, IL Metro Area",Low
3058,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",High
3071,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",High
3076,38060,"Phoenix-Mesa-Glendale, AZ Metro Area",High
3084,38300,"Pittsburgh, PA Metro Area",High
3097,38340,"Pittsfield, MA Metro Area",Low
3110,38540,"Pocatello, ID Metro Area",
3123,38860,"Portland-South Portland-Biddeford, ME Metro Area",Mid
3131,38860,"Portland-South Portland, ME Metro Area",Mid
3136,38900,"Portland-Vancouver-Beaverton, OR-WA Metro Area",High
3141,38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",High
3149,38940,"Port St. Lucie-Fort Pierce, FL Metro Area",Low
3151,38940,"Port St. Lucie, FL Metro Area",Low
3162,39140,"Prescott, AZ Metro Area",
3175,39300,"Providence-New Bedford-Fall River, RI-MA Metro Area",Mid
3183,39300,"Providence-Warwick, RI-MA Metro Area",Mid
3188,39340,"Provo-Orem, UT Metro Area",Mid
3201,39380,"Pueblo, CO Metro Area",Low
3214,39460,"Punta Gorda, FL Metro Area",Low
3227,39540,"Racine, WI Metro Area",Low
3240,39580,"Raleigh-Cary, NC Metro Area",Mid
3248,39580,"Raleigh, NC Metro Area",Mid
3253,39740,"Reading, PA Metro Area",Low
3266,39820,"Redding, CA Metro Area",Low
3279,39900,"Reno-Sparks, NV Metro Area",Mid
3287,39900,"Reno, NV Metro Area",Mid
3292,40060,"Richmond, VA Metro Area",Mid
3305,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",Mid
3318,40220,"Roanoke, VA Metro Area",Low
3331,40340,"Rochester, MN Metro Area",Low
3344,40380,"Rochester, NY Metro Area",Mid
