CBSA,CBSA Name
28140,"Kansas City, MO-KS Metro Area"
28420,"Kennewick-Richland, WA Metro Area"
28660,"Killeen-Temple, TX Metro Area"
28940,"Knoxville, TN Metro Area"
29020,"Kokomo, IN Metro Area"
29100,"La Crosse-Onalaska, WI-MN Metro Area"
29180,"Lafayette, LA Metro Area"
29200,"Lafayette-West Lafayette, IN Metro Area"
29460,"Lakeland-Winter Haven, FL Metro Area"
29540,"Lancaster, PA Metro Area"
29620,"Lansing-East Lansing, MI Metro Area"
29700,"Laredo, TX Metro Area"
29820,"Las Vegas-Henderson-Paradise, NV Metro Area"
29940,"Lawrence, KS Metro Area"
30140,"Lebanon, PA Metro Area"
30340,"Lewiston-Auburn, ME Metro Area"
30460,"Lexington-Fayette, KY Metro Area"
30700,"Lincoln, NE Metro Area"
30780,"Little Rock-North Little Rock-Conway, AR Metro Area"
30860,"Logan, UT-ID Metro Area"
31020,"Longview, WA Metro Area"
31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area"
31140,"Louisville/Jefferson County, KY-IN Metro Area"
31180,"Lubbock, TX Metro Area"
31340,"Lynchburg, VA Metro Area"
31540,"Madison, WI Metro Area"
31700,"Manchester-Nashua, NH Metro Area"
32580,"McAllen-Edinburg-Mission, TX Metro Area"
32780,"Medford, OR Metro Area"
32820,"Memphis, TN-MS-AR Metro Area"
32900,"Merced, CA Metro Area"
33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area"
33340,"Milwaukee-Waukesha-West Allis, WI Metro Area"
33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area"
33540,"Missoula, MT Metro Area"
33660,"Mobile, AL Metro Area"
33700,"Modesto, CA Metro Area"
33860,"Montgomery, AL Metro Area"
34060,"Morgantown, WV Metro Area"
34580,"Mount Vernon-Anacortes, WA Metro Area"
34620,"Muncie, IN Metro Area"
34900,"Napa, CA Metro Area"
34940,"Naples-Immokalee-Marco Island, FL Metro Area"
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area"
35300,"New Haven-Milford, CT Metro Area"
35380,"New Orleans-Metairie, LA Metro Area"
35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area"
35660,"Niles-Benton Harbor, MI Metro Area"
35840,"North Port-Sarasota-Bradenton, FL Metro Area"
35980,"Norwich-New London, CT Metro Area"
36100,"Ocala, FL Metro Area"
36420,"Oklahoma City, OK Metro Area"
36500,"Olympia-Tumwater, WA Metro Area"
36540,"Omaha-Council Bluffs, NE-IA Metro Area"
36740,"Orlando-Kissimmee-Sanford, FL Metro Area"
36780,"Oshkosh-Neenah, WI Metro Area"
37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area"
37340,"Palm Bay-Melbourne-Titusville, FL Metro Area"
37460,"Panama City, FL Metro Area"
37860,"Pensacola-Ferry Pass-Brent, FL Metro Area"
37900,"Peoria, IL Metro Area"
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area"
38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area"
38300,"Pittsburgh, PA Metro Area"
38340,"Pittsfield, MA Metro Area"
38860,"Portland-South Portland, ME Metro Area"
38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area"
38940,"Port St. Lucie, FL Metro Area"
39300,"Providence-Warwick, RI-MA Metro Area"
39380,"Pueblo, CO Metro Area"
39540,"Racine, WI Metro Area"
39580,"Raleigh, NC Metro Area"
39740,"Reading, PA Metro Area"
39820,"Redding, CA Metro Area"
39900,"Reno, NV Metro Area"
40060,"Richmond, VA Metro Area"
40140,"Riverside-San Bernardino-Ontario, CA Metro Area"
40220,"Roanoke, VA Metro Area"
40340,"Rochester, MN Metro Area"
40380,"Rochester, NY Metro Area"
40420,"Rockford, IL Metro Area"
40660,"Rome, GA Metro Area"
40900,"Sacramento--Roseville--Arden-Arcade, CA Metro Area"
40980,"Saginaw, MI Metro Area"
41060,"St. Cloud, MN Metro Area"
41180,"St. Louis, MO-IL Metro Area"
41420,"Salem, OR Metro Area"
41500,"Salinas, CA Metro Area"
41540,"Salisbury, MD-DE Metro Area"
41620,"Salt Lake City, UT Metro Area"
41660,"San Angelo, TX Metro Area"
41700,"San Antonio-New Braunfels, TX Metro Area"
41740,"San Diego-Carlsbad, CA Metro Area"
41860,"San Francisco-Oakland-Hayward, CA Metro Area"
41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area"
41980,"San Juan-Carolina-Caguas, PR Metro Area"
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area"
42100,"Santa Cruz-Watsonville, CA Metro Area"
42140,"Santa Fe, NM Metro Area"
42200,"Santa Maria-Santa Barbara, CA Metro Area"
42220,"Santa Rosa, CA Metro Area"
42340,"Savannah, GA Metro Area"
42540,"Scranton--Wilkes-Barre--Hazleton, PA Metro Area"
42660,"Seattle-Tacoma-Bellevue, WA Metro Area"
42680,"Sebastian-Vero Beach, FL Metro Area"
43100,"Sheboygan, WI Metro Area"
43340,"Shreveport-Bossier City, LA Metro Area"
43580,"Sioux City, IA-NE-SD Metro Area"
43620,"Sioux Falls, SD Metro Area"
43740,"Somerset, PA Micro Area"
43780,"South Bend-Mishawaka, IN-MI Metro Area"
44060,"Spokane-Spokane Valley, WA Metro Area"
44100,"Springfield, IL Metro Area"
44140,"Springfield, MA Metro Area"
44180,"Springfield, MO Metro Area"
44300,"State College, PA Metro Area"
44700,"Stockton-Lodi, CA Metro Area"
44940,"Sumter, SC Metro Area"
45060,"Syracuse, NY Metro Area"
45220,"Tallahassee, FL Metro Area"
45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area"
45460,"Terre Haute, IN Metro Area"
45780,"Toledo, OH Metro Area"
45820,"Topeka, KS Metro Area"
45860,"Torrington, CT Micro Area"
46060,"Tucson, AZ Metro Area"
46140,"Tulsa, OK Metro Area"
46520,"Urban Honolulu, HI Metro Area"
46700,"Vallejo-Fairfield, CA Metro Area"
47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area"
47300,"Visalia-Porterville, CA Metro Area"
47380,"Waco, TX Metro Area"
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
48300,"Wenatchee, WA Metro Area"
48540,"Wheeling, WV-OH Metro Area"
48620,"Wichita, KS Metro Area"
48700,"Williamsport, PA Metro Area"
48900,"Wilmington, NC Metro Area"
49180,"Winston-Salem, NC Metro Area"
49340,"Worcester, MA-CT Metro Area"
49420,"Yakima, WA Metro Area"
49620,"York-Hanover, PA Metro Area"
49660,"Youngstown-Warren-Boardman, OH-PA Metro Area"
49700,"Yuba City, CA Metro Area"
49740,"Yuma, AZ Metro Area"
