CBSA,CBSA_NAME,Metropolitan Statistical Area,Abbreviation,State,Rail Cluster,Cluster
21500,"Erie, PA Metro Area",Erie,ERIE,PA,,1
21660,"Eugene, OR Metro Area",Eugene,EUG,OR,,1
21780,"Evansville, IN-KY Metro Area",Evansville,EVA,IN-KY,,3
22020,"Fargo, ND-MN Metro Area",Fargo,FAR,ND-MN,,2
22180,"Fayetteville, NC Metro Area",Fayetteville,FAY,NC,,3
22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",,,,,3
22380,"Flagstaff, AZ Metro Area",Flagstaff,FLG,AZ,,3
22420,"Flint, MI Metro Area",Flint,FLINT,MI,,1
22660,"Fort Collins, CO Metro Area",Fort Collins,FCO,CO,,2
23060,"Fort Wayne, IN Metro Area",Fort Wayne,FWA,IN,,3
23420,"Fresno, CA Metro Area",Fresno,FRE,CA,,1
23540,"Gainesville, FL Metro Area",Gainesville,GAI,FL,,3
24340,"Grand Rapids-Wyoming, MI Metro Area",Grand Rapids-Wyoming,GRR,MI,,2
24500,"Great Falls, MT Metro Area",Great Falls,GFL,MT,,3
24580,"Green Bay, WI Metro Area",Green Bay,GB,WI,,2
24660,"Greensboro-High Point, NC Metro Area",Greensboro-High Point,GSO,NC,,3
24860,"Greenville-Anderson-Mauldin, SC Metro Area",,,,,3
25060,"Gulfport-Biloxi-Pascagoula, MS Metro Area",,,,,3
25260,"Hanford-Corcoran, CA Metro Area",Hanford-Corcoran,HAN,CA,,3
25420,"Harrisburg-Carlisle, PA Metro Area",Harrisburg-Carlisle,MDT,PA,,3
25500,"Harrisonburg, VA Metro Area",Harrisonburg,HAR,VA,,3
25540,"Hartford-West Hartford-East Hartford, CT Metro Area",Hartford-West Hartford-East Hartford,HAR,CT,,1
25860,"Hickory-Lenoir-Morganton, NC Metro Area",Hickory-Lenoir-Morganton,HIC,NC,,3
26090,"Holland, MI Micro Area",,,,,3
26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",Houston-The Woodlands-Sugar Land,HOU,TX,E,4
26580,"Huntington-Ashland, WV-KY-OH Metro Area",,,,,3
26620,"Huntsville, AL Metro Area",Huntsville,HSV,AL,,3
26900,"Indianapolis-Carmel-Anderson, IN Metro Area",Indianapolis-Carmel-Anderson,IND,IN,,2
26980,"Iowa City, IA Metro Area",Iowa City,IOWA,IA,,2
27060,"Ithaca, NY Metro Area",Ithaca,ITH,NY,,1
27100,"Jackson, MI Metro Area",Jackson,JAC,MI,,3
27140,"Jackson, MS Metro Area",Jackson,JAN,MS,,3
27180,"Jackson, TN Metro Area",Jackson,JSN,TN,,3
27260,"Jacksonville, FL Metro Area",Jacksonville,JAX,FL,,3
27780,"Johnstown, PA Metro Area",Johnstown,JST,PA,,1
27980,"Kahului-Wailuku-Lahaina, HI Metro Area",Kahului-Wailuku-Lahaina,KAH,HI,,2
28020,"Kalamazoo-Portage, MI Metro Area",Kalamazoo-Portage,KAL,MI,,3
28100,"Kankakee, IL Metro Area",Kankakee,KAN,IL,,3
28140,"Kansas City, MO-KS Metro Area",,,,,2
28420,"Kennewick-Richland, WA Metro Area",Kennewick-Richland,KEN,WA,,3
28660,"Killeen-Temple, TX Metro Area",Killeen-Temple,KIL,TX,,2
28940,"Knoxville, TN Metro Area",Knoxville,KNO,TN,,3
29020,"Kokomo, IN Metro Area",Kokomo,KOK,IN,,3
29100,"La Crosse-Onalaska, WI-MN Metro Area",La Crosse-Onalaska,LAC,WI-MN,,2
29180,"Lafayette, LA Metro Area",Lafayette,LAF,LA,,3
29200,"Lafayette-West Lafayette, IN Metro Area",Lafayette-West Lafayette,LWL,IN,,3
29460,"Lakeland-Winter Haven, FL Metro Area",Lakeland-Winter Haven,LAK,FL,,3
29540,"Lancaster, PA Metro Area",Lancaster,LAN,PA,,1
29620,"Lansing-East Lansing, MI Metro Area",Lansing-East Lansing,LAN,MI,,3
29700,"Laredo, TX Metro Area",Laredo,LAR,TX,,2
29820,"Las Vegas-Henderson-Paradise, NV Metro Area",Las Vegas-Henderson-Paradise,LV,NV,--,4
29940,"Lawrence, KS Metro Area",Lawrence,LAW,KS,,2
30140,"Lebanon, PA Metro Area",Lebanon,LEB,PA,,2
30460,"Lexington-Fayette, KY Metro Area",Lexington-Fayette,LEX,KY,,2
30700,"Lincoln, NE Metro Area",Lincoln,LIN,NE,,2
30780,"Little Rock-North Little Rock-Conway, AR Metro Area",Little Rock-North Little Rock-Conway,LIT,AR,,3
30860,"Logan, UT-ID Metro Area",,,,,2
31020,"Longview, WA Metro Area",Longview,LON,WA,,3
31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Los Angeles-Long Beach-Anaheim,LA,CA,A,5
31140,"Louisville/Jefferson County, KY-IN Metro Area",,,,,1
31180,"Lubbock, TX Metro Area",Lubbock,LUB,TX,,2
31340,"Lynchburg, VA Metro Area",Lynchburg,LYN,VA,,3
31540,"Madison, WI Metro Area",Madison,MAD,WI,,2
31700,"Manchester-Nashua, NH Metro Area",Manchester-Nashua,MAN,NH,,2
32780,"Medford, OR Metro Area",Medford,MED,OR,,3
32820,"Memphis, TN-MS-AR Metro Area",Memphis,MEM,TN-MS-AR,,1
32900,"Merced, CA Metro Area",Merced,MER,CA,,3
33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",Miami-Fort Lauderdale-West Palm Beach,MIA,FL,D,5
33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",Milwaukee-Waukesha-West Allis,MIL,WI,,1
33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",Minneapolis-St. Paul-Bloomington,MSP,MN-WI,E,1
33540,"Missoula, MT Metro Area",Missoula,MIS,MT,,2
33660,"Mobile, AL Metro Area",Mobile,MOB,AL,,3
33700,"Modesto, CA Metro Area",Modesto,MOD,CA,,2
33860,"Montgomery, AL Metro Area",Montgomery,MON,AL,,3
34580,"Mount Vernon-Anacortes, WA Metro Area",Mount Vernon-Anacortes,MVN,WA,,3
34620,"Muncie, IN Metro Area",Muncie,MUN,IN,,3
34900,"Napa, CA Metro Area",Napa,NAP,CA,,2
34940,"Naples-Immokalee-Marco Island, FL Metro Area",Naples-Immokalee-Marco Island,NAP,FL,,2
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",Nashville-Davidson--Murfreesboro--Franklin,NAS,TN,,2
35300,"New Haven-Milford, CT Metro Area",New Haven-Milford,HVN,CT,,1
35380,"New Orleans-Metairie, LA Metro Area",New Orleans-Metairie,NOLA,LA,,1
35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",,,,,6
35660,"Niles-Benton Harbor, MI Metro Area",Niles-Benton Harbor,NIL,MI,,3
35840,"North Port-Sarasota-Bradenton, FL Metro Area",North Port-Sarasota-Bradenton,SRQ,FL,,2
36100,"Ocala, FL Metro Area",Ocala,OCA,FL,,3
36420,"Oklahoma City, OK Metro Area",Oklahoma City,OKC,OK,,2
36500,"Olympia-Tumwater, WA Metro Area",Olympia-Tumwater,OLY,WA,,3
36540,"Omaha-Council Bluffs, NE-IA Metro Area",,,,,2
36740,"Orlando-Kissimmee-Sanford, FL Metro Area",Orlando-Kissimmee-Sanford,ORL,FL,,2
36780,"Oshkosh-Neenah, WI Metro Area",Oshkosh-Neenah,OSH,WI,,2
37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",Oxnard-Thousand Oaks-Ventura,OXN,CA,,2
37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",Palm Bay-Melbourne-Titusville,MEL,FL,,3
37460,"Panama City, FL Metro Area",Panama City,PAN,FL,,3
37860,"Pensacola-Ferry Pass-Brent, FL Metro Area",Pensacola-Ferry Pass-Brent,PNS,FL,,3
37900,"Peoria, IL Metro Area",Peoria,PEO,IL,,3
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",,,,B,5
38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",Phoenix-Mesa-Scottsdale,PHO,AZ,D,4
38300,"Pittsburgh, PA Metro Area",Pittsburgh,PIT,PA,C,1
38340,"Pittsfield, MA Metro Area",Pittsfield,PSF,MA,,1
38860,"Portland-South Portland, ME Metro Area",Portland-South Portland,PSP,ME,,3
38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Portland-Vancouver-Hillsboro,POR,OR-WA,D,4
38940,"Port St. Lucie, FL Metro Area",Port St. Lucie,PSL,FL,,3
39300,"Providence-Warwick, RI-MA Metro Area",Providence-Warwick,PRO,RI-MA,,1
39380,"Pueblo, CO Metro Area",Pueblo,PUE,CO,,1
39540,"Racine, WI Metro Area",Racine,RAC,WI,,3
39580,"Raleigh, NC Metro Area",Raleigh,RAL,NC,,2
39740,"Reading, PA Metro Area",Reading,REA,PA,,1
39820,"Redding, CA Metro Area",Redding,RED,CA,,3
39900,"Reno, NV Metro Area",Reno,RNO,NV,,1
40060,"Richmond, VA Metro Area",Richmond,RIC,VA,,3
40140,"Riverside-San Bernardino-Ontario, CA Metro Area",Riverside-San Bernardino-Ontario,ONT,CA,--,4
40220,"Roanoke, VA Metro Area",Roanoke,ROA,VA,,3
40340,"Rochester, MN Metro Area",Rochester,RST,MN,,3
40380,"Rochester, NY Metro Area",Rochester,ROC,NY,,1
40420,"Rockford, IL Metro Area",Rockford,RCK,IL,,3
40660,"Rome, GA Metro Area",Rome,ROM,GA,,3
40900,"Sacramento--Roseville--Arden-Arcade, CA Metro Area",Sacramento--Roseville--Arden-Arcade,SAC,CA,D,4
40980,"Saginaw, MI Metro Area",Saginaw,SAG,MI,,1
41060,"St. Cloud, MN Metro Area",St. Cloud,STC,MN,,1
41180,"St. Louis, MO-IL Metro Area",St. Louis,STL,MO-IL,E,2
41420,"Salem, OR Metro Area",Salem,SLE,OR,,2
41500,"Salinas, CA Metro Area",Salinas,SAL,CA,,2
41620,"Salt Lake City, UT Metro Area",Salt Lake City,SLC,UT,E,2
41660,"San Angelo, TX Metro Area",San Angelo,ANG,TX,,3
41700,"San Antonio-New Braunfels, TX Metro Area",San Antonio-New Braunfels,SAT,TX,,2
41740,"San Diego-Carlsbad, CA Metro Area",San Diego-Carlsbad,SD,CA,D,4
41860,"San Francisco-Oakland-Hayward, CA Metro Area",San Francisco-Oakland-Hayward,SF,CA,B,5
41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",San Jose-Sunnyvale-Santa Clara,SJ,CA,D,4
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",San Luis Obispo-Paso Robles-Arroyo Grande,SLO,CA,,2
42100,"Santa Cruz-Watsonville, CA Metro Area",Santa Cruz-Watsonville,SCZ,CA,,2
42140,"Santa Fe, NM Metro Area",Santa Fe,SFE,NM,,2
42200,"Santa Maria-Santa Barbara, CA Metro Area",Santa Maria-Santa Barbara,SBB,CA,,2
42220,"Santa Rosa, CA Metro Area",Santa Rosa,SRO,CA,,2
42340,"Savannah, GA Metro Area",Savannah,SAV,GA,,3
42540,"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",Scranton--Wilkes-Barre--Hazleton,SWB,PA,,1
42660,"Seattle-Tacoma-Bellevue, WA Metro Area",Seattle-Tacoma-Bellevue,SEA,WA,D,5
42680,"Sebastian-Vero Beach, FL Metro Area",Sebastian-Vero Beach,VER,FL,,3
43100,"Sheboygan, WI Metro Area",Sheboygan,SHE,WI,,3
43340,"Shreveport-Bossier City, LA Metro Area",Shreveport-Bossier City,SHR,LA,,3
43580,"Sioux City, IA-NE-SD Metro Area",,,,,2
43620,"Sioux Falls, SD Metro Area",Sioux Falls,SIF,SD,,2
43740,"Somerset, PA Micro Area",,,,,3
43780,"South Bend-Mishawaka, IN-MI Metro Area",South Bend-Mishawaka,SBN,IN-MI,,3
44060,"Spokane-Spokane Valley, WA Metro Area",Spokane-Spokane Valley,SPO,WA,,2
44100,"Springfield, IL Metro Area",Springfield,SPI,IL,,3
44140,"Springfield, MA Metro Area",Springfield,SPR,MA,,3
44180,"Springfield, MO Metro Area",Springfield,SPR,MO,,2
44300,"State College, PA Metro Area",State College,SCE,PA,,1
44700,"Stockton-Lodi, CA Metro Area",Stockton-Lodi,STO,CA,,2
44940,"Sumter, SC Metro Area",Sumter,SUM,SC,,3
45060,"Syracuse, NY Metro Area",Syracuse,SYR,NY,,1
45220,"Tallahassee, FL Metro Area",Tallahassee,TAL,FL,,3
45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",Tampa-St. Petersburg-Clearwater,TPA,FL,,2
45460,"Terre Haute, IN Metro Area",Terre Haute,TER,IN,,3
45780,"Toledo, OH Metro Area",Toledo,TOL,OH,,1
45820,"Topeka, KS Metro Area",Topeka,TOP,KS,,3
45860,"Torrington, CT Micro Area",,,,,3
46060,"Tucson, AZ Metro Area",Tucson,TUC,AZ,,1
46140,"Tulsa, OK Metro Area",Tulsa,TUL,OK,,2
46520,"Urban Honolulu, HI Metro Area",Urban Honolulu,HON,HI,,1
46700,"Vallejo-Fairfield, CA Metro Area",Vallejo-Fairfield,VAL,CA,,2
47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",,,,E,2
47380,"Waco, TX Metro Area",Waco,WACO,TX,,3
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",,,,B,5
48300,"Wenatchee, WA Metro Area",Wenatchee,WEN,WA,,3
48540,"Wheeling, WV-OH Metro Area",,,,,1
48620,"Wichita, KS Metro Area",Wichita,WIC,KS,,2
48700,"Williamsport, PA Metro Area",Williamsport,WIL,PA,,1
49180,"Winston-Salem, NC Metro Area",Winston-Salem,WIN,NC,,3
49340,"Worcester, MA-CT Metro Area",,,,,1
49420,"Yakima, WA Metro Area",Yakima,YAK,WA,,2
49620,"York-Hanover, PA Metro Area",York-Hanover,YORK,PA,,2
49660,"Youngstown-Warren-Boardman, OH-PA Metro Area",,,,,3
49700,"Yuba City, CA Metro Area",Yuba City,YUBA,CA,,3
