MNAME,CLUSTER_GT_NEW_11,CLUSTER_GT_ORIGINAL,CLUSTER_GT_8_GROUPS,CLUSTER_APTA,CLUSTER_NOTE
"Lakeland-Winter Haven,  FL Metro Area",4,3,E,34,
"Lancaster,  PA Metro Area",1,1,H,24,
"Lansing-East Lansing,  MI Metro Area",7,3,D,23,
"Laredo,  TX Metro Area",2,2,G,31,
"Las Vegas-Henderson-Paradise,  NV Metro Area",10,2,C,21,
"Lawrence,  KS Metro Area",2,2,G,31,
"Lebanon,  PA Metro Area",2,2,G,32,
"Lewiston-Auburn,  ME Metro Area",1,1,H,32,
"Lexington-Fayette,  KY Metro Area",2,2,G,31,
"Lincoln,  NE Metro Area",2,2,G,31,
"Little Rock-North Little Rock-Conway,  AR Metro Area",4,3,E,34,
"Logan,  ID Metro Area",3,3,F,31,
"Longview,  WA Metro Area",7,3,D,32,
"Los Angeles-Long Beach-Anaheim,  CA Metro Area",11,5,A,10,
"Louisville/Jefferson County,  IN Metro Area",1,1,H,24,
"Lubbock,  TX Metro Area",2,2,G,31,
"Lynchburg,  VA Metro Area",7,3,D,33,
"Madison,  WI Metro Area",2,2,G,21,
"Manchester-Nashua,  NH Metro Area",3,3,F,32,
"McAllen-Edinburg-Mission,  TX Metro Area",4,3,E,32,
"Medford,  OR Metro Area",7,3,D,32,
"Memphis,  TN Metro Area",1,1,H,24,
"Merced,  CA Metro Area",7,3,D,32,
"Miami-Fort Lauderdale-West Palm Beach,  FL Metro Area",8,5,A,10,
"Milwaukee-Waukesha-West Allis,  WI Metro Area",10,2,C,21,
"Minneapolis-St. Paul-Bloomington,  MN Metro Area",9,4,B,10,
"Missoula,  MT Metro Area",2,2,G,31,
"Mobile,  AL Metro Area",4,3,E,34,
"Modesto,  CA Metro Area",2,2,G,32,
"Montgomery,  AL Metro Area",7,3,D,34,
"Mount Vernon-Anacortes,  WA Metro Area",4,3,E,33,
"Muncie,  IN Metro Area",7,3,D,31,
