,CLUSTER_APTA_EXTENDED,Mode,Year,CBSA,UPT_ADJ
167,21,Rail,2016,109840,45063119.84
168,21,Rail,2017,109840,43845067.876
169,21,Rail,2018,109840,42629836.622999996
170,22,Bus,2002,377120,161622628.303
171,22,Bus,2003,377120,171288566.877
172,22,Bus,2004,377120,176584883.21899998
173,22,Bus,2005,377120,173417055.37800002
174,22,Bus,2006,377120,188686855.85500002
175,22,Bus,2007,377120,191366305.206
176,22,Bus,2008,377120,209798285.392
177,22,Bus,2009,377120,196847255.05900002
178,22,Bus,2010,377120,191939020.601
179,22,Bus,2011,377120,195448937.591
180,22,Bus,2012,377120,193303220.53
181,22,Bus,2013,377120,186868019.695
182,22,Bus,2014,377120,182024413.615
183,22,Bus,2015,377120,175802969.267
184,22,Bus,2016,377120,167569244.99
185,22,Bus,2017,377120,158147003.972
186,22,Bus,2018,377120,156682093.896
187,22,Rail,2002,60720,8906500.0
188,22,Rail,2003,60720,9669600.0
189,22,Rail,2004,60720,12255400.0
190,22,Rail,2005,60720,13480863.0
191,22,Rail,2006,105420,14442246.0
192,22,Rail,2007,105420,15602286.0
193,22,Rail,2008,105420,17732817.0
194,22,Rail,2009,116160,18803706.0
195,22,Rail,2010,116160,15855121.0
196,22,Rail,2011,163420,15454234.0
197,22,Rail,2012,163420,19511203.898000002
198,22,Rail,2013,163420,19324894.667999998
199,22,Rail,2014,163420,18875217.2
200,22,Rail,2015,163420,17998447.265
201,22,Rail,2016,163420,17502539.623
202,22,Rail,2017,163420,17785609.023000002
203,22,Rail,2018,184760,16610115.805
204,23,Bus,2002,464280,217094642.164
205,23,Bus,2003,464280,197198875.291
206,23,Bus,2004,464280,200677517.37300003
207,23,Bus,2005,464280,218074917.709
208,23,Bus,2006,476980,248614326.4035
209,23,Bus,2007,476980,234871939.2692
210,23,Bus,2008,476980,281956543.8214
211,23,Bus,2009,476980,262090068.0493
212,23,Bus,2010,476980,257259553.55449998
213,23,Bus,2011,476980,270126114.086
214,23,Bus,2012,476980,257110424.9062
215,23,Bus,2013,476980,254878971.9298
216,23,Bus,2014,476980,251459916.89099997
217,23,Bus,2015,476980,241395082.169
218,23,Bus,2016,476980,233689313.372
219,23,Bus,2017,476980,229749817.787
220,23,Bus,2018,476980,226304857.031
221,23,Rail,2002,66720,15276557.4784
222,23,Rail,2003,66720,14989856.0776
223,23,Rail,2004,66720,15357761.9824
224,23,Rail,2005,66720,16517568.048
225,23,Rail,2006,66720,19155112.048
226,23,Rail,2007,105580,24421889.2144
227,23,Rail,2008,105580,23542934.4392
228,23,Rail,2009,105580,18969553.36
229,23,Rail,2010,105580,16839786.3984
230,23,Rail,2011,105580,17624545.6776
231,23,Rail,2012,105580,18294539.4544
232,23,Rail,2013,105580,18832928.1784
233,23,Rail,2014,151640,19170693.4159
234,23,Rail,2015,151640,18326774.5886
235,23,Rail,2016,151640,17550833.047
236,23,Rail,2017,151640,16314430.8262
237,23,Rail,2018,151640,15237150.0384
238,24,Bus,2002,693040,215855211.2722
239,24,Bus,2003,693040,217960263.3268
240,24,Bus,2004,734460,216290437.622
241,24,Bus,2005,734460,236308328.97699997
242,24,Bus,2006,734460,245018208.67500004
243,24,Bus,2007,734460,249284921.25499997
244,24,Bus,2008,734460,260971539.55600002
245,24,Bus,2009,734460,240406405.016
246,24,Bus,2010,734460,242010594.191
247,24,Bus,2011,734460,256300589.276
248,24,Bus,2012,734460,258237878.01299998
249,24,Bus,2013,734460,257096842.908
250,24,Bus,2014,734460,259700879.89900002
251,24,Bus,2015,734460,252841122.83
252,24,Bus,2016,734460,240067420.35399997
253,24,Bus,2017,734460,229227474.00200003
254,24,Bus,2018,734460,220732864.463
255,24,Rail,2002,72560,171977.0
256,24,Rail,2003,72560,549247.0
257,24,Rail,2004,72560,505923.0
258,24,Rail,2005,72560,620798.0
259,24,Rail,2006,89300,689659.358
260,24,Rail,2007,124280,1263823.5405000001
261,24,Rail,2008,124280,5646206.593
262,24,Rail,2009,124280,5348269.403
263,24,Rail,2010,124280,5514564.238
264,24,Rail,2011,124280,5475694.901000001
265,24,Rail,2012,124280,5985287.068
266,24,Rail,2013,124280,6135246.183999999
267,24,Rail,2014,161020,6991152.345
268,24,Rail,2015,161020,7442169.25
269,24,Rail,2016,206300,9177027.529
270,24,Rail,2017,206300,9792190.36
271,24,Rail,2018,206300,11444004.017
272,31,Bus,2002,611980,42185279.7508
273,31,Bus,2003,791160,63144236.005
274,31,Bus,2004,926320,69856054.10700001
275,31,Bus,2005,1014540,75695103.32319999
276,31,Bus,2006,1079360,89494077.78920001
277,31,Bus,2007,1122360,98835704.86500001
278,31,Bus,2008,1122360,106359662.2817
279,31,Bus,2009,1122360,105542170.3494
280,31,Bus,2010,1141060,112442250.14699998
281,31,Bus,2011,1162000,117740099.567
282,31,Bus,2012,1162000,120073529.34589998
283,31,Bus,2013,1162000,122217160.1658
284,31,Bus,2014,1162000,122771910.29389998
285,31,Bus,2015,1162000,119268531.224
286,31,Bus,2016,1162000,114021787.91439998
287,31,Bus,2017,1162000,108877595.7581
288,31,Bus,2018,1162000,105349119.59410001
289,32,Bus,2002,825380,34091715.0708
290,32,Bus,2003,886520,40699170.52820001
291,32,Bus,2004,985880,39307734.361600004
292,32,Bus,2005,1020820,43908115.51
293,32,Bus,2006,1078180,52270858.1065
294,32,Bus,2007,1156940,56181379.0275
295,32,Bus,2008,1156940,58253615.254300006
296,32,Bus,2009,1156940,55017178.892400004
297,32,Bus,2010,1156940,53786600.3765
298,32,Bus,2011,1156940,57338152.809599996
299,32,Bus,2012,1156940,58981877.080800004
300,32,Bus,2013,1156940,59013428.94089999
301,32,Bus,2014,1156940,58370673.46729999
302,32,Bus,2015,1219860,55586680.961600006
303,32,Bus,2016,1219860,51913476.4783
304,32,Bus,2017,1219860,50309942.3138
305,32,Bus,2018,1219860,49534720.15080002
306,33,Bus,2002,629180,52026162.490499996
307,33,Bus,2003,669520,53366966.7555
308,33,Bus,2004,751020,61522696.327999994
309,33,Bus,2005,862880,68631042.428
310,33,Bus,2006,1087280,82162835.9772
311,33,Bus,2007,1135580,87370859.32480001
312,33,Bus,2008,1135580,96099258.88199998
313,33,Bus,2009,1135580,106173580.16579999
314,33,Bus,2010,1135580,106659159.1232
315,33,Bus,2011,1135580,115882888.8674
316,33,Bus,2012,1135580,118947349.6988
317,33,Bus,2013,1135580,115417122.27859999
318,33,Bus,2014,1135580,115675069.82499999
319,33,Bus,2015,1135580,111472342.1288
320,33,Bus,2016,1135580,101913761.76600002
321,33,Bus,2017,1135580,98125282.056
322,33,Bus,2018,1135580,97150839.482
323,33,Rail,2002,44640,506671.001
324,33,Rail,2003,44640,449077.99199999997
325,33,Rail,2004,44640,503256.145
326,33,Rail,2005,44640,518095.556
327,33,Rail,2006,44640,492193.41000000003
328,33,Rail,2007,44640,466929.922
329,33,Rail,2008,44640,475954.077
330,33,Rail,2009,44640,453462.966
331,33,Rail,2010,44640,434065.78500000003
332,33,Rail,2011,44640,434673.86
333,33,Rail,2012,44640,457610.344
334,33,Rail,2013,44640,451974.005
335,33,Rail,2014,44640,455522.667
336,33,Rail,2015,44640,490103.971
337,33,Rail,2016,44640,533155.021
338,33,Rail,2017,44640,549339.183
339,33,Rail,2018,44640,538150.384
340,34,Bus,2002,626160,12493982.9889
341,34,Bus,2003,768900,17902947.6375
342,34,Bus,2004,900800,31967760.292700004
343,34,Bus,2005,1008080,35669811.3751
344,34,Bus,2006,1135740,39968478.9661
345,34,Bus,2007,1192060,45319888.303100005
346,34,Bus,2008,1192060,47947679.27079999
347,34,Bus,2009,1217920,46275665.1055
348,34,Bus,2010,1246940,46508866.862799995
349,34,Bus,2011,1304100,49356043.7584
350,34,Bus,2012,1304100,48055776.287
351,34,Bus,2013,1304100,48721594.3087
352,34,Bus,2014,1304100,48488368.120000005
353,34,Bus,2015,1304100,47625383.154699996
354,34,Bus,2016,1304100,45750003.75040001
355,34,Bus,2017,1304100,44611207.68100001
356,34,Bus,2018,1304100,43813676.678899996
357,34,Rail,2004,30780,0.0
358,34,Rail,2005,30780,159462.0
359,34,Rail,2006,30780,114673.0
360,34,Rail,2007,30780,133321.0
361,34,Rail,2008,30780,112578.0
362,34,Rail,2009,30780,120057.0
363,34,Rail,2010,30780,107079.0
364,34,Rail,2011,30780,100402.0
365,34,Rail,2012,30780,104818.0
366,34,Rail,2013,30780,92543.0
367,34,Rail,2014,30780,99500.0
368,34,Rail,2015,30780,95220.0
369,34,Rail,2016,30780,64570.0
370,34,Rail,2017,30780,95118.0
371,34,Rail,2018,30780,42912.0
372,100,Bus,2002,35620,1181250676.0
373,100,Bus,2003,35620,1136637575.0
374,100,Bus,2004,35620,1148429423.0
375,100,Bus,2005,35620,1216262132.0
376,100,Bus,2006,35620,1175257656.0
377,100,Bus,2007,35620,1227012503.0
378,100,Bus,2008,35620,1251501817.0
379,100,Bus,2009,35620,1217355182.0
380,100,Bus,2010,35620,1196278265.0
381,100,Bus,2011,35620,1164230022.0
382,100,Bus,2012,35620,1177871710.0
383,100,Bus,2013,35620,1199896222.0
384,100,Bus,2014,35620,1192647740.0
385,100,Bus,2015,35620,1160473736.0
386,100,Bus,2016,35620,1162084609.0
387,100,Bus,2017,35620,1100306571.0
388,100,Bus,2018,35620,1107464474.0
389,100,Rail,2002,35620,2028458449.0
390,100,Rail,2003,35620,1999850730.0
391,100,Rail,2004,35620,2115153452.0
392,100,Rail,2005,35620,2507212523.0
393,100,Rail,2006,35620,2603647775.0
394,100,Rail,2007,35620,2751026060.0
395,100,Rail,2008,35620,2818659239.0
396,100,Rail,2009,35620,2717269400.0
397,100,Rail,2010,35620,2812782058.0
398,100,Rail,2011,35620,2875478447.0
399,100,Rail,2012,35620,2926682201.0
400,100,Rail,2013,35620,3025842522.0
401,100,Rail,2014,35620,3134495496.0
402,100,Rail,2015,35620,3047199074.0
403,100,Rail,2016,35620,3069648697.0
404,100,Rail,2017,35620,3090688330.0
405,100,Rail,2018,35620,3025899129.0
