,CLUSTER_APTA4,RAIL_FLAG,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,TSD_POP_PCT,JTW_HOME_PCT,YEARS_SINCE_TNC_BUS2_HINY,YEARS_SINCE_TNC_BUS2_MIDLOW,YEARS_SINCE_TNC_RAIL2_HINY,YEARS_SINCE_TNC_RAIL2_MIDLOW,BIKE_SHARE,scooter_flag,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,TSD_POP_PCT_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS2_HINY_FAC,YEARS_SINCE_TNC_BUS2_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL2_HINY_FAC,YEARS_SINCE_TNC_RAIL2_MIDLOW_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,TSD_POP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS2_HINY_FAC_cumsum,YEARS_SINCE_TNC_BUS2_MIDLOW_FAC_cumsum,YEARS_SINCE_TNC_RAIL2_HINY_FAC_cumsum,YEARS_SINCE_TNC_RAIL2_MIDLOW_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS2_HINY_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS2_MIDLOW_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL2_HINY_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL2_MIDLOW_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
30,1.0,1,2015,190,1267139821.0349991,1617627298.110001,1604913377.72,-12713920.390001088,1550494216.1882102,-76128660.48643173,66713506.91182948,2.1543185795144,9066661.996129198,2.7059526020827542,37234.85207306103,11.078544602246838,36.68655698225177,5.1475024182948,0.0,0.0,4.529332196737486,0.0,0.9538004183317488,0.0,29042391.630425464,-39477233.95695672,7276429.552676612,-65915611.18191421,-12685031.8033004,134420.99092553067,637845.0701648041,-59708.075597150964,0.0,0.0,-4150664.927288083,0.0,7591562.873470128,0.0,-77605599.82739401,-77371610.82939962,64657690.43939854,0.0,-12713920.390001088,139219514.189865,-85878461.34610118,28985597.114958297,745415.2058847353,-85257174.26973534,-15074404.404654399,-5002219.778154785,-1570809.3327734584,0.0,0.0,-15525515.604347067,0.0,13711560.624913413,0.0,84487214.07226232,1465693863.5301352,1690791839.0661013,1575927780.6050417,1604167962.5141153,1690170551.9897354,1619987782.1246545,1609915597.4981549,1606484187.0527735,1604913377.72,1604913377.72,1620438893.324347,1604913377.72,1591201817.0950866,1604913377.72,1520426163.6477377
31,1.0,1,2016,190,1267139821.0349991,1604913377.72,1576037837.6749995,-28875540.045000236,1531948775.8738573,-18545440.31435325,67150752.04864955,2.2094116600786333,9138389.858552443,2.4113324838839483,38056.866717850135,11.001069020284483,36.795285681993825,5.67983376022172,0.0,0.0,5.529332196737486,0.0,0.994564233060426,0.0,29788864.98710762,-14407068.31576462,5575496.864665342,-23489543.11922121,-9405028.97925785,-1029447.7077582148,931578.6578161565,-2541960.404515749,0.0,0.0,-4118042.3179189377,0.0,1046737.1021514172,0.0,-17648413.232696038,-18299748.851064205,-10575791.193936026,0.0,-28875540.045000236,169008379.17697263,-100285529.6618658,34561093.97962364,1676993.8637008918,-108746717.38895655,-24479433.38391225,-6031667.485912999,-4112769.737289207,0.0,0.0,-19643557.922266006,0.0,14758297.72706483,0.0,73911422.8783263,1407029458.4980268,1676323367.3368652,1541476743.695376,1574360843.8112986,1684784555.063956,1600517271.0589118,1582069505.1609125,1580150607.4122887,1576037837.6749995,1576037837.6749995,1595681395.5972655,1576037837.6749995,1561279539.9479346,1576037837.6749995,1502126414.7966733
32,1.0,1,2017,190,1267139821.0349991,1576037837.6749995,1542783629.0619993,-33254208.61300007,1585237690.2271063,53288914.35324919,69027444.30572498,2.167580826387654,9231367.008586574,2.6243356453474034,38871.04110096437,10.803411422286368,36.824691183720496,5.829700831522334,0.0,0.0,6.529332196737485,0.0,0.994564233060426,0.0,35847017.11314556,9143291.006128203,6750659.633626951,16963228.851033498,-8659169.559346016,-1865605.795680169,294477.62435175,-692576.5327584755,0.0,0.0,-4043950.6582014486,0.0,0.0,0.0,53737371.68229985,54180107.06699926,-87434315.67999932,0.0,-33254208.61300007,204855396.2901182,-91142238.6557376,41311753.61325059,1971471.488052642,-91783488.53792305,-33138602.943258267,-7897273.281593168,-4805346.270047682,0.0,0.0,-23687508.580467455,0.0,14758297.72706483,0.0,-13522892.801673025,1337928232.771881,1633925867.717737,1501471875.4487488,1540812157.5739467,1634567117.5999224,1575922232.0052576,1550680902.3435924,1547588975.332047,1542783629.0619993,1542783629.0619993,1566471137.6424668,1542783629.0619993,1528025331.3349345,1542783629.0619993,1556306521.8636723
33,1.0,1,2018,190,1267139821.0349991,1542783629.0619993,1516828098.008,-25955531.05399961,1560586460.1087694,-24651230.118336905,69714209.3216147,2.1532325278653954,9315861.717670593,2.8895691221026394,39786.38947392797,10.64105158026356,36.87320971970133,6.075183970479527,0.0,0.0,7.529332196737483,0.0,1.0,0.6764885776652765,11527481.206189265,2106250.3695800547,6062590.267477705,19754540.714342456,-9459923.73952207,-1576432.583498292,422996.97196952975,-1122340.598409967,0.0,0.0,-3958623.7862229864,0.0,127739.47119916035,-49504144.45054709,-25619866.15744224,-26245996.763803065,290465.7098034639,0.0,-25955531.05399961,216382877.49630746,-89035988.28615753,47374343.8807283,2394468.460022172,-72028947.8235806,-42598526.68278034,-9473705.86509146,-5927686.868457649,0.0,0.0,-27646132.366690442,0.0,14886037.19826399,-49504144.45054709,-13232427.091869561,1300445220.5116925,1605864086.2941575,1469453754.1272717,1514433629.5479777,1588857045.8315804,1559426624.6907802,1526301803.8730915,1522755784.8764575,1516828098.008,1516828098.008,1544474230.3746903,1516828098.008,1501942060.809736,1566332242.4585469,1530060525.0998695
44,2.0,0,2012,1552,873295591.9680003,946328160.821,966527544.5620002,-3103901.2590003093,941210888.912498,-18511218.18765982,11464510.167756526,0.9696996908635644,2558774.8850616408,4.011808210176671,28863.81641197125,8.270421642845525,26.52600271228209,4.11443983679911,0.0,0.0,0.0,0.0,0.0837970812438058,0.0,-27288816.39593629,-283284.66727320594,3675401.8293064614,497481.99793215597,2591962.072183648,335941.02841242385,-523300.01280505,14143.324168854355,0.0,0.0,0.0,0.0,591159.4586367415,0.0,-20389311.36537426,-20922318.88483476,17818417.625834454,23303285.000000004,20199383.74099969,-27288816.39593629,-283284.66727320594,3675401.8293064614,-523300.01280505,497481.99793215597,2591962.072183648,335941.02841242385,14143.324168854355,0.0,0.0,0.0,0.0,591159.4586367415,0.0,17818417.625834454,993816360.9579364,966810829.2292733,962852142.7326937,967050844.5748053,966030062.564068,963935582.4898165,966191603.5335877,966513401.2378314,966527544.5620002,966527544.5620002,966527544.5620002,966527544.5620002,965936385.1033634,966527544.5620002,948709126.9361657
45,2.0,0,2013,1552,873295591.9680003,966527544.5620002,950051312.0469999,-16476232.51499983,933340337.1388377,-7870551.773660163,11478189.75815962,1.0077082542341986,2595456.586596482,3.854335077395312,29041.22592302485,8.130697850783735,26.35624441623333,4.211555327029944,0.0,0.15559355539490582,0.0,0.0,0.14170977474089286,0.0,6686414.45035468,-8654156.329062037,6399645.119111807,-5393882.910005616,-1156739.7985461005,-1197281.5819597042,-1005836.9780608905,-201874.01541995927,0.0,-3971620.611182632,0.0,0.0,890403.1922122288,0.0,-7604929.462558225,-7691437.901570219,-8784794.613429613,0.0,-16476232.51499983,-20602401.94558161,-8937440.996335244,10075046.948418269,-1529136.9908659405,-4896400.91207346,1435222.2736375476,-861340.5535472804,-187730.6912511049,0.0,-3971620.611182632,0.0,0.0,1481562.6508489703,0.0,9033623.01240484,970653713.9925815,958988753.0433352,939976265.0985817,951580449.0378659,954947712.9590734,948616089.7733624,950912652.6005472,950239042.7382511,950051312.0469999,954022932.6581826,950051312.0469999,950051312.0469999,948569749.396151,950051312.0469999,941017689.0345951
46,2.0,0,2014,1552,873295591.9680003,950051312.0469999,946875189.882,-3176122.1649997374,926719762.6730144,-6620574.465823592,11646853.193252666,0.9946498184498552,2630689.747408843,3.63419165764245,29130.764320043614,8.137437852261076,26.263528226416145,4.291314871167036,0.0,0.9681610716305796,0.0,0.0,0.261142391954678,0.0,13307985.872820055,4136633.5733601563,4747844.743031275,-7629565.241017598,-899876.019267532,172070.87788877686,-453657.59737460135,-246396.1703503059,0.0,-20901788.05789764,0.0,0.0,1384021.9546227898,0.0,-6382726.0641846275,-6672350.836011892,3496228.671012155,0.0,-3176122.1649997374,-7294416.072761556,-4800807.422975088,14822891.691449545,-1982794.5882405418,-12525966.153091058,535346.2543700156,-689269.6756585035,-434126.8616014108,0.0,-24873408.669080272,0.0,0.0,2865584.60547176,0.0,12529851.683416996,954169605.9547615,951675997.304975,932052298.1905504,948857984.4702405,959401156.035091,946339843.62763,947564459.5576584,947309316.7436013,946875189.882,971748598.5510802,946875189.882,946875189.882,944009605.2765282,946875189.882,934345338.198583
47,2.0,0,2015,1552,873295591.9680003,946875189.882,922077657.428,-24797532.45400012,880967045.3496035,-45752717.3234112,12047082.227438165,1.0038863750591411,2666207.810793666,2.662637659316253,30348.75180623096,7.945163753109615,26.20854906485557,4.488496846326611,0.0,1.912176443459238,0.0,0.0,0.4794810121328808,0.0,24605116.122838557,-3775006.7481546337,4659135.09121525,-38360579.18814278,-10153053.23527929,-1323788.6600551468,-358655.7270971478,-453485.69387076475,0.0,-23565087.743188396,0.0,0.0,2829257.929477565,0.0,-45896147.85225678,-46519459.00015127,21721926.54615116,0.0,-24797532.45400012,17310700.050077,-8575814.171129722,19482026.782664794,-2341450.3153376896,-50886545.341233835,-9617706.980909275,-2013058.3357136503,-887612.5554721756,0.0,-48438496.41226867,0.0,0.0,5694842.534949325,0.0,34251778.22956815,904766957.377923,930653471.5991297,902595630.6453352,924419107.7433376,972964202.7692338,931695364.4089092,924090715.7637136,922965269.9834721,922077657.428,970516153.8402686,922077657.428,922077657.428,916382814.8930507,922077657.428,887825879.1984318
48,2.0,0,2016,1552,873295591.9680003,922077657.428,882769337.0139999,-39308320.41400011,864359618.5375009,-16607426.812101878,12489384.737149285,1.0157277323002625,2699933.5118777263,2.3604469149355736,31136.881092227963,7.796506404256474,26.12379072473453,5.014227229272394,0.0,2.8620803484229507,0.0,0.0,0.6223766181885365,0.0,25109375.26155998,-2946730.946918924,4364599.418759861,-13768300.860746644,-6198052.7230089465,-855916.2279777194,-447044.0707517323,-1380205.5560487644,0.0,-23157637.376464725,0.0,0.0,1941711.0608240182,0.0,-17338202.02077359,-17640113.527896997,-21668206.88610312,0.0,-39308320.41400011,42420075.311636984,-11522545.118048646,23846626.201424655,-2788494.386089422,-64654846.20198048,-15815759.703918222,-2868974.5636913697,-2267818.11152094,0.0,-71596133.7887334,0.0,0.0,7636553.595773343,0.0,12583571.343465034,840349261.702363,894291882.1320486,858922710.8125753,885557831.4000894,947424183.2159804,898585096.7179182,885638311.5776913,885037155.1255208,882769337.0139999,954365470.8027333,882769337.0139999,882769337.0139999,875132783.4182266,882769337.0139999,870185765.6705348
49,2.0,0,2017,1552,873295591.9680003,882769337.0139999,845676010.365,-37093326.64900008,860354482.6147206,-4005135.922781124,12657468.349457504,1.0230144683656557,2737260.6294643497,2.5721625698392465,31245.637139037,7.50801736357796,25.994032454727893,5.228117104447609,0.0,3.8525016844780775,0.0,0.0,0.7546723390791482,0.0,8357007.009134048,505415.1936651846,4436965.092051805,9503021.019676387,-1233128.650193873,-1695314.9790732772,-618054.8127967856,-613412.0885531637,0.0,-23581333.35298156,0.0,0.0,1433591.7786721492,0.0,-3505243.7903990964,-4010292.2778662727,-33083034.371133804,0.0,-37093326.64900008,50777082.32077103,-11017129.924383461,28283591.29347646,-3406549.1988862073,-55151825.18230409,-17048888.354112096,-4564289.542764647,-2881230.2000741037,0.0,-95177467.14171496,0.0,0.0,9070145.374445492,0.0,-20499463.02766877,794898928.044229,856693140.2893834,817392419.0715235,849082559.5638862,900827835.5473042,862724898.7191122,850240299.9077647,848557240.5650741,845676010.365,940853477.5067149,845676010.365,845676010.365,836605864.9905546,845676010.365,866175473.3926687
