CLUSTER_APTA4,RAIL_FLAG,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,TSD_POP_PCT,JTW_HOME_PCT,YEARS_SINCE_TNC_BUS2_HINY,YEARS_SINCE_TNC_BUS2_MIDLOW,YEARS_SINCE_TNC_RAIL2_HINY,YEARS_SINCE_TNC_RAIL2_MIDLOW,BIKE_SHARE,scooter_flag,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,TSD_POP_PCT_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS2_HINY_FAC,YEARS_SINCE_TNC_BUS2_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL2_HINY_FAC,YEARS_SINCE_TNC_RAIL2_MIDLOW_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change
2.0,0,2006,1531,849992306.9680003,871533868.497,919190510.0660001,47656641.56900003,923569594.3818486,26185715.51203324,12305885.021133544,0.8276553057458169,2486074.6102777976,3.2548475190699038,31613.50068029088,7.4106378769815,29.49078824495828,3.600621265146837,0.0,0.0,0.0,0.0,0.03863439672429446,0.0,3204089.462115978,-1860859.4451852627,8840795.933155933,10746880.750589572,10465526.344153885,-478766.30012451427,-5346391.261178642,-479005.7529281691,0.0,0.0,0.0,0.0,0.0,0.0,25092269.73059877,28342335.1525916,19314306.416408405,0.0,47656641.56900003
2.0,0,2007,1531,849992306.9680003,919190510.0660001,909753375.2229997,-9437134.84300038,912122249.4220643,-11447344.959784519,12357622.757160917,0.9089708081675115,2516411.4292192324,3.4441812239145047,31979.378625465823,7.288771628914351,28.76063834958994,3.809492649336182,0.0,0.0,0.0,0.0,0.03863439672429446,0.0,-2815059.0075576324,-10666748.463029873,4564465.859369041,6936622.168243629,-2894667.249219926,-519399.81554508006,-3414966.9159368877,-541291.471480479,0.0,0.0,0.0,0.0,0.0,0.0,-9351044.895157203,-11459778.052067097,2022643.209066711,0.0,-9437134.84300038
2.0,0,2008,1531,849992306.9680003,909753375.2229997,994745706.7370002,84992331.51400027,960004461.7465796,47882212.324515805,12688138.82901006,0.8939743916730529,2528895.4836697737,3.8555976576233753,31717.224762009995,7.510694285840957,28.044199708268934,3.853417506101745,0.0,0.0,0.0,0.0,0.03863439672429446,0.0,27647132.010479484,1818350.9788799863,2029962.6319313392,14332136.3339276,1857116.8554761123,1120968.1531996748,-2658540.497034863,-69396.51779736456,0.0,0.0,0.0,0.0,0.0,0.0,46077729.94906196,46827636.94712699,38164694.56687329,0.0,84992331.51400027
2.0,0,2009,1531,849992306.9680003,994745706.7370002,916284363.5429999,-78461343.19400038,886760380.4902996,-73244081.25628047,12381739.032898476,1.0089238141663488,2514097.0201421482,2.7997390667432325,30191.394134674512,7.597829816144242,27.41253893374565,4.052307193392838,0.0,0.0,0.0,0.0,0.03863439672429446,0.0,-11372931.98477824,-33252124.881731622,-1720928.079773043,-41922903.31750869,14268977.71359983,405808.34063754516,-3010849.6011852194,-700220.5408314832,0.0,0.0,0.0,0.0,0.0,0.0,-77305172.35157095,-75130003.04402915,-3331340.1499712477,0.0,-78461343.19400036
2.0,0,2010,1531,849992306.9680003,916284363.5429999,907579934.879,-11693167.878999662,904168622.8036752,13478417.151958115,12074295.444973018,1.0115485296433988,2533110.088366694,3.2587874760922286,29718.173485593154,7.864082111414498,26.91725581579229,4.09032776930614,0.0,0.0,0.0,0.0,0.03863439672429446,0.0,-11446644.234206839,1012989.3799026356,3423929.7305298736,18536009.222248826,4152840.650962018,1789393.0529458958,-2765477.4316050694,36450.97339746368,0.0,0.0,0.0,0.0,0.0,0.0,14739491.344174804,15012898.909408096,-26706066.788407758,0.0,-11693167.878999665
2.0,0,2011,1531,849992306.9680003,907579934.879,946328160.8210001,38748225.942000054,934041670.4680394,29873047.66436445,11881927.046129525,0.9842849772365354,2555129.6456477433,3.997889513068385,29140.01425929514,8.12998914941297,26.44586209649467,4.16641174606022,0.0,0.0,0.0,0.0,0.05132983280240739,0.0,-10972066.475998392,6857151.898267176,2763493.665162289,25967849.516176235,5188403.146980469,1560039.112571292,-2185795.328462976,-363255.6190885206,0.0,0.0,0.0,0.0,200500.4814431069,0.0,29016320.397050682,28913486.605505142,9834739.336494913,0.0,38748225.942000054
2.0,0,2012,1552,873295591.9680003,946328160.8210001,966527544.5620002,-3103901.2590003093,941210888.9124981,-18511218.18765982,11464510.167756526,0.9696996908635644,2558774.885061641,4.011808210176671,28863.81641197125,8.270421642845525,26.526002712282093,4.11443983679911,0.0,0.0,0.0,0.0,0.0837970812438058,0.0,-27288816.39593629,-283284.66727320594,3675401.829306461,497481.99793215585,2591962.072183648,335941.02841242385,-523300.01280504995,14143.324168854357,0.0,0.0,0.0,0.0,591159.4586367415,0.0,-20389311.36537426,-20922318.88483476,17818417.625834454,23303285.000000004,20199383.740999695
2.0,0,2013,1552,873295591.9680003,966527544.5620002,950051312.047,-16476232.51499983,933340337.1388378,-7870551.773660164,11478189.75815962,1.0077082542341986,2595456.586596482,3.8543350773953122,29041.225923024846,8.130697850783735,26.356244416233327,4.211555327029944,0.0,0.15559355539490582,0.0,0.0,0.14170977474089283,0.0,6686414.4503546795,-8654156.329062037,6399645.119111808,-5393882.910005616,-1156739.7985461005,-1197281.581959704,-1005836.9780608903,-201874.01541995927,0.0,-3971620.6111826315,0.0,0.0,890403.1922122287,0.0,-7604929.462558225,-7691437.901570219,-8784794.613429612,0.0,-16476232.51499983
2.0,0,2014,1552,873295591.9680003,950051312.047,946875189.8820001,-3176122.1649997374,926719762.6730144,-6620574.465823591,11646853.193252666,0.9946498184498553,2630689.747408843,3.6341916576424502,29130.764320043614,8.137437852261076,26.263528226416142,4.291314871167036,0.0,0.9681610716305795,0.0,0.0,0.261142391954678,0.0,13307985.872820057,4136633.5733601563,4747844.743031275,-7629565.241017598,-899876.019267532,172070.87788877683,-453657.5973746013,-246396.1703503059,0.0,-20901788.057897642,0.0,0.0,1384021.9546227898,0.0,-6382726.0641846275,-6672350.836011893,3496228.6710121552,0.0,-3176122.1649997374
2.0,0,2015,1552,873295591.9680003,946875189.8820001,922077657.428,-24797532.45400012,880967045.3496035,-45752717.323411204,12047082.227438163,1.0038863750591411,2666207.810793666,2.662637659316253,30348.75180623096,7.945163753109615,26.208549064855575,4.488496846326611,0.0,1.912176443459238,0.0,0.0,0.4794810121328808,0.0,24605116.122838553,-3775006.748154634,4659135.09121525,-38360579.18814278,-10153053.23527929,-1323788.6600551468,-358655.72709714784,-453485.6938707648,0.0,-23565087.7431884,0.0,0.0,2829257.9294775655,0.0,-45896147.852256775,-46519459.00015127,21721926.54615116,0.0,-24797532.45400012
2.0,0,2016,1552,873295591.9680003,922077657.428,882769337.014,-39308320.41400011,864359618.5375009,-16607426.812101878,12489384.737149285,1.0157277323002625,2699933.5118777263,2.3604469149355736,31136.881092227963,7.796506404256474,26.12379072473453,5.014227229272394,0.0,2.8620803484229507,0.0,0.0,0.6223766181885365,0.0,25109375.26155998,-2946730.9469189234,4364599.418759861,-13768300.860746646,-6198052.7230089465,-855916.2279777194,-447044.07075173233,-1380205.5560487644,0.0,-23157637.376464725,0.0,0.0,1941711.060824018,0.0,-17338202.02077359,-17640113.527896997,-21668206.88610312,0.0,-39308320.41400011
2.0,0,2017,1552,873295591.9680003,882769337.014,845676010.365,-37093326.64900008,860354482.6147206,-4005135.922781124,12657468.349457504,1.0230144683656557,2737260.6294643497,2.5721625698392465,31245.637139037,7.508017363577961,25.994032454727886,5.228117104447608,0.0,3.8525016844780775,0.0,0.0,0.7546723390791482,0.0,8357007.009134047,505415.1936651846,4436965.092051805,9503021.019676387,-1233128.6501938733,-1695314.9790732772,-618054.8127967856,-613412.0885531637,0.0,-23581333.35298156,0.0,0.0,1433591.778672149,0.0,-3505243.790399096,-4010292.2778662727,-33083034.371133804,0.0,-37093326.64900008
2.0,0,2018,1552,873295591.9680003,845676010.365,792037958.6610001,-53638051.703999795,813647186.9303085,-46707295.68441173,11925052.607597884,1.048591570774795,2770222.7335575866,2.848365305111545,31622.900060763634,7.258458280631996,25.880165456718547,5.519967106565462,0.0,4.852501684478077,0.0,0.0,0.8455697945960297,0.41240086560541883,-18742992.94742804,-758439.5368220477,3865071.3420027522,11044515.556270204,-2927716.8460812885,-1388158.4579944306,-534629.3963028478,-750339.5436281293,0.0,-22854285.72400668,0.0,0.0,1364423.1893671285,-15561044.547483789,-47243596.91210716,-43786572.65334752,-9851479.050652288,0.0,-53638051.703999795
2.0,1,2002,179,47275493.026399985,0.0,47275493.026399985,0.0,40867091.38470885,0.0,2977747.893489275,1.229673983861692,2747170.419050106,1.9582856739004468,35510.50928167078,7.674608975092917,37.2518639250211,3.5499778434902955,0.0,0.0,0.0,0.0,0.31608954330006095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47275493.026399985,47275493.026399985
2.0,1,2003,179,47275493.026399985,47275493.026399985,47686990.312599964,411497.2861999793,45131617.865001865,4264526.4802930085,3085729.076960485,0.9613251622093146,2791745.878397376,2.225613515077834,34822.73219887885,7.7178328399487075,35.91903645042577,3.5499778434902955,0.0,0.0,0.0,0.0,0.31608954330006095,0.0,1119594.9144997157,3487060.175827758,326866.2397415235,721530.1074743746,249848.0269874568,14147.37801845492,-341489.4166132484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5577557.425936035,5847306.416935195,-5435809.130735216,0.0,411497.2861999793
2.0,1,2004,179,47275493.026399985,47686990.312599964,52362988.17539999,4675997.8628000235,48056582.37510341,2924964.510101542,2981166.386708963,0.8917237057707834,2837606.9663203964,2.5321155781568705,33845.84091064068,7.764747714787041,34.673548613750526,3.5499778434902955,0.0,0.0,0.0,0.0,0.31608954330006095,0.0,1296402.8918422638,1014058.1562164435,354366.85244992404,769522.0284066234,361796.41899749846,15066.89524128494,-334323.21494818927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3476890.028205849,3541178.4384114505,1134819.4243885733,0.0,4675997.8628000235
2.0,1,2005,179,47275493.026399985,52362988.17539999,58795934.232999966,6432946.057599977,52778619.61609343,4722037.240990025,3130410.6072175773,0.8479184609388699,2890850.141184367,2.9879994119830933,32987.582756732154,7.78667255593603,33.56435064160434,3.5499778434902955,0.0,0.0,0.0,0.0,0.31608954330006095,0.0,2639215.2656479524,640605.9156090753,446345.3420370147,1124739.672266872,343808.79504275054,7627.214326881229,-343051.47502742853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4859290.729903119,4983247.494138791,1449698.5634611857,0.0,6432946.057599977
